	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Pclaf	0	-3.10924824600915	0.039	0.959	0	DPre	preDP_ISP
Hells	0	-2.47937516438862	0.026	0.968	0	DPre	preDP_ISP
Top2a	0	-2.43361867597715	0.057	0.914	0	DPre	preDP_ISP
Mki67	0	-2.19950396794844	0.036	0.932	0	DPre	preDP_ISP
Rrm2	0	-2.13792630231929	0.023	0.918	0	DPre	preDP_ISP
Pola1	0	-2.08474860411635	0.042	0.923	0	DPre	preDP_ISP
Mcm3	0	-2.05359892674403	0.042	0.982	0	DPre	preDP_ISP
Uhrf1	0	-1.99060182907836	0.045	0.964	0	DPre	preDP_ISP
Birc5	0	-1.86154844409635	0.018	0.827	0	DPre	preDP_ISP
Ccnb2	0	-1.85814827980282	0.02	0.786	0	DPre	preDP_ISP
Lig1	0	-1.76808380872654	0.026	0.905	0	DPre	preDP_ISP
Cks1b	0	-1.73800706829058	0.045	0.873	0	DPre	preDP_ISP
Clspn	0	-1.65552467293317	0.007	0.832	0	DPre	preDP_ISP
Ncapg2	0	-1.59002119117795	0.005	0.873	0	DPre	preDP_ISP
Mcm5	0	-1.51971506296624	0.024	0.932	0	DPre	preDP_ISP
Tyms	0	-1.4642008227271	0.032	0.877	0	DPre	preDP_ISP
Prim1	0	-1.45464964309316	0.03	0.882	0	DPre	preDP_ISP
Rrm1	0	-1.4464827880792	0.057	0.923	0	DPre	preDP_ISP
Rfc4	0	-1.39855984949212	0.036	0.9	0	DPre	preDP_ISP
Rad51b	0	-1.37150842257725	0.014	0.709	0	DPre	preDP_ISP
Rfc3	0	-1.36894139898315	0.042	0.9	0	DPre	preDP_ISP
Diaph3	0	-1.3658387809547	0.016	0.786	0	DPre	preDP_ISP
Spc24	0	-1.36134307059261	0.01	0.859	0	DPre	preDP_ISP
Dhfr	0	-1.32944026090729	0.018	0.827	0	DPre	preDP_ISP
Cdca8	0	-1.28810785315558	0.015	0.709	0	DPre	preDP_ISP
Cdc6	0	-1.27576573238714	0.004	0.791	0	DPre	preDP_ISP
Cenpk	0	-1.25719388016821	0.007	0.823	0	DPre	preDP_ISP
Fam111a	0	-1.18694400410946	0.025	0.814	0	DPre	preDP_ISP
Zfp367	0	-1.17845745528574	0.029	0.827	0	DPre	preDP_ISP
Rad51	0	-1.16212592070922	0.005	0.768	0	DPre	preDP_ISP
Cenpw	0	-1.13149797667885	0.033	0.832	0	DPre	preDP_ISP
Cdk1	0	-1.11804642878881	0.01	0.7	0	DPre	preDP_ISP
Kif15	0	-1.10648457364514	0.014	0.736	0	DPre	preDP_ISP
D17H6S56E-5	0	-1.07938476258278	0.009	0.727	0	DPre	preDP_ISP
Ung	0	-1.07337140251043	0.013	0.7	0	DPre	preDP_ISP
Chek1	0	-1.02518944126668	0.004	0.791	0	DPre	preDP_ISP
Cenph	0	-1.01497043373573	0.005	0.764	0	DPre	preDP_ISP
Rad51ap1	0	-1.00734391177152	0.002	0.727	0	DPre	preDP_ISP
Chaf1a	0	-0.987000184719849	0.01	0.782	0	DPre	preDP_ISP
Cenps	0	-0.984802622310663	0.012	0.786	0	DPre	preDP_ISP
Asf1b	0	-0.979416965346517	0.012	0.7	0	DPre	preDP_ISP
E2f1	0	-0.953801923429492	0.009	0.745	0	DPre	preDP_ISP
Syce2	0	-0.949065922825952	0.009	0.759	0	DPre	preDP_ISP
E2f8	0	-0.939445188436058	0.005	0.582	0	DPre	preDP_ISP
Fignl1	0	-0.893509751461805	0.008	0.75	0	DPre	preDP_ISP
Pole	0	-0.874656101723869	0.007	0.7	0	DPre	preDP_ISP
Timeless	0	-0.852436089643283	0.015	0.736	0	DPre	preDP_ISP
Cdc45	0	-0.842693987780491	0.009	0.659	0	DPre	preDP_ISP
Dlgap5	0	-0.819505027535915	0.008	0.586	0	DPre	preDP_ISP
Exo1	0	-0.808212293357347	0.003	0.641	0	DPre	preDP_ISP
Pbk	0	-0.790671289272291	0.004	0.573	0	DPre	preDP_ISP
Mcm10	0	-0.759690984536645	0.002	0.605	0	DPre	preDP_ISP
Gins1	0	-0.758614535659719	0.011	0.664	0	DPre	preDP_ISP
Kntc1	0	-0.746796836861418	0.002	0.609	0	DPre	preDP_ISP
Tk1	0	-0.701230035084356	0.011	0.641	0	DPre	preDP_ISP
Cenpm	0	-0.655431418620854	0.003	0.586	0	DPre	preDP_ISP
Mybl2	0	-0.591666248710667	0.008	0.582	0	DPre	preDP_ISP
Wdhd1	2.62991986499431e-305	-0.902610311998986	0.024	0.718	8.86177797708482e-301	DPre	preDP_ISP
Dtl	1.35453143076456e-302	-1.67299211253028	0.061	0.909	4.56422910910428e-298	DPre	preDP_ISP
Kif4	1.81327324127891e-299	-0.662780233912941	0.002	0.5	6.1100055138134e-295	DPre	preDP_ISP
Fabp5	2.16079639921472e-299	-1.69390395256475	0.052	0.859	7.28101954679391e-295	DPre	preDP_ISP
Gmnn	3.49946269083992e-298	-1.74578964431474	0.075	0.955	1.17917894830542e-293	DPre	preDP_ISP
Ppa1	1.66528410865898e-297	-0.88438830239981	0.018	0.659	5.61134133253729e-293	DPre	preDP_ISP
AI506816	8.6623507513376e-295	-0.737577557765534	0.013	0.614	2.91886570917072e-290	DPre	preDP_ISP
