	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cenpe	7.52482775115404e-162	-2.38021547910813	0.008	0.823	2.53556595902887e-157	DPsel	Cluster_9
Ccnb2	2.30180682228211e-160	-2.85027697064804	0.022	0.852	7.75616826836181e-156	DPsel	Cluster_9
Lockd	5.63133991927044e-160	-3.11752450167646	0.05	0.909	1.89753629919737e-155	DPsel	Cluster_9
Endou	9.11542056305139e-158	-2.6415465440835	0.088	0.967	3.0715321129258e-153	DPsel	Cluster_9
Birc5	3.55615577002961e-155	-2.82784911858085	0.017	0.818	1.19828224826918e-150	DPsel	Cluster_9
Cenpf	1.60677068799063e-150	-3.40043996783179	0.012	0.785	5.41417451025324e-146	DPsel	Cluster_9
Anxa2	2.85475961549461e-146	-3.12765790338888	0.159	0.986	9.61939800037063e-142	DPsel	Cluster_9
Ube2c	1.03078894183387e-145	-3.86136453733808	0.031	0.813	3.47334641840342e-141	DPsel	Cluster_9
Cdca8	8.21260048914411e-145	-2.11952676934812	0.022	0.789	2.767317860822e-140	DPsel	Cluster_9
Mki67	1.20519743514144e-144	-3.08096821841386	0.032	0.813	4.0610332774526e-140	DPsel	Cluster_9
Ly6d	1.15524460715217e-137	-4.02867856111495	0.119	0.928	3.89271222825995e-133	DPsel	Cluster_9
Dntt	1.60772472921955e-137	-3.40300682660698	0.223	0.995	5.41738924757819e-133	DPsel	Cluster_9
Tpx2	1.91697616184701e-137	-2.24720970116201	0.016	0.742	6.45944287495969e-133	DPsel	Cluster_9
Aqp11	3.27528003245027e-137	-2.42400922674126	0.114	0.933	1.10363835973444e-132	DPsel	Cluster_9
Knstrn	3.40586751956023e-136	-1.77515564697439	0.031	0.78	1.14764111939102e-131	DPsel	Cluster_9
Rag2	3.49785692408613e-136	-1.88414928116547	0.054	0.837	1.17863786914006e-131	DPsel	Cluster_9
Rorc	6.45608533646385e-131	-1.79473328383889	0.072	0.871	2.17544251497486e-126	DPsel	Cluster_9
Arpp21	9.54341705946151e-131	-3.43363129308934	0.195	0.986	3.21574981235615e-126	DPsel	Cluster_9
Hmmr	3.08921001131121e-130	-1.94596077244633	0.005	0.679	1.04094020541143e-125	DPsel	Cluster_9
Cks2	3.11544979261766e-128	-2.91580796250434	0.088	0.847	1.04978196212045e-123	DPsel	Cluster_9
Rag1	7.1651469285423e-128	-2.85973212221321	0.172	0.962	2.41436790904161e-123	DPsel	Cluster_9
Knl1	1.35912678472906e-127	-2.07874673890701	0.019	0.708	4.57971361382305e-123	DPsel	Cluster_9
Cdca3	4.01582054993308e-127	-1.57507594974841	0.01	0.684	1.35317089250545e-122	DPsel	Cluster_9
Mns1	5.71249357236166e-126	-2.57198836961669	0.142	0.914	1.92488183414299e-121	DPsel	Cluster_9
Dgkeos	6.39780396173672e-125	-1.68878002406467	0.05	0.785	2.15580402294681e-120	DPsel	Cluster_9
Ccnb1	6.45312407118023e-125	-2.11895324186416	0.012	0.675	2.17444468702489e-120	DPsel	Cluster_9
A930003A15Rik	6.48027569384881e-123	-1.36658853738622	0.019	0.694	2.1835936977993e-118	DPsel	Cluster_9
Gm37065	8.19119410039191e-120	-1.55873811058652	0.076	0.828	2.76010476406806e-115	DPsel	Cluster_9
Nebl	6.95127477098767e-119	-1.71976654234467	0.071	0.813	2.34230154683201e-114	DPsel	Cluster_9
Cdc20	2.40497536234292e-118	-2.53329895630157	0.039	0.718	8.10380498095071e-114	DPsel	Cluster_9
Cip2a	1.92615359805175e-116	-1.25288754594478	0.01	0.641	6.49036716399516e-112	DPsel	Cluster_9
Cenpa	8.04658607538481e-116	-2.93038588536737	0.166	0.885	2.71137764396166e-111	DPsel	Cluster_9
Lgals1	1.74457134218187e-115	-2.86431417150478	0.29	0.976	5.87850759461603e-111	DPsel	Cluster_9
Gm525	3.25899485402204e-113	-1.43481440988027	0.021	0.66	1.09815090601127e-108	DPsel	Cluster_9
Tmsb10	2.19812761556666e-107	3.18440462007222	1	0.952	7.40681081341343e-103	DPsel	Cluster_9
Ckap2	6.81768036764452e-107	-1.33414501665685	0.009	0.589	2.2972855766815e-102	DPsel	Cluster_9
Hmgb1	2.07343703415171e-106	-2.70660023380626	0.986	1	6.9866534302776e-102	DPsel	Cluster_9
Top2a	2.44714369685886e-106	-3.17943056641658	0.063	0.718	8.24589540093562e-102	DPsel	Cluster_9
Aspm	2.2921676116815e-105	-1.58578920905689	0.01	0.584	7.723687984322e-101	DPsel	Cluster_9
Bach2	1.97062566665738e-104	3.86662989686991	0.977	0.067	6.64022024636871e-100	DPsel	Cluster_9
Ccna2	9.42893763498164e-104	-1.43527178771856	0.004	0.555	3.17717482548341e-99	DPsel	Cluster_9
Dlgap5	1.61001033583668e-103	-1.73973002566721	0.047	0.675	5.42509082763528e-99	DPsel	Cluster_9
Gm13919	2.18169550036239e-103	-1.42050288717306	0.092	0.799	7.35144115802111e-99	DPsel	Cluster_9
Depdc1a	4.51711603712882e-103	-1.27961484277827	0.004	0.55	1.52208741987093e-98	DPsel	Cluster_9
Cdkn3	2.15889090565784e-102	-1.20080179700865	0.012	0.579	7.27459879570467e-98	DPsel	Cluster_9
Inpp4b	2.28736853404209e-102	3.99532219759001	0.977	0.153	7.70751701230822e-98	DPsel	Cluster_9
Ect2	4.24091657592753e-102	-1.58279551403529	0.026	0.622	1.42901924942454e-97	DPsel	Cluster_9
Cd52	1.11201708380611e-101	3.02728218673978	1	0.713	3.74705276559306e-97	DPsel	Cluster_9
H2az1	2.81584860095869e-101	-2.5180665442025	0.819	1	9.48828344579039e-97	DPsel	Cluster_9
Bub1b	4.24290136980078e-99	-1.2233834219286	0.018	0.584	1.42968804556807e-94	DPsel	Cluster_9
Hmgb2	5.2754385112701e-99	-4.44726885866048	0.568	0.976	1.77761176075757e-94	DPsel	Cluster_9
Anp32e	1.20676867709358e-98	-2.25668788811927	0.555	0.995	4.06632773433453e-94	DPsel	Cluster_9
Cd8a	1.51172304133961e-98	-2.19239115223255	0.342	0.986	5.09390196009794e-94	DPsel	Cluster_9
Ly6e	2.09712913868068e-98	-2.22597089636771	0.684	0.99	7.06648634569841e-94	DPsel	Cluster_9
Ldlrad3	3.41953251045192e-98	-1.52907058844582	0.079	0.746	1.15224567472188e-93	DPsel	Cluster_9
Cdk1	3.96408525303941e-98	-1.88974178186474	0.01	0.55	1.33573816686416e-93	DPsel	Cluster_9
Kif11	9.42524702366949e-98	-1.89880936643991	0.035	0.622	3.17593123709567e-93	DPsel	Cluster_9
Tubb2a	1.76982262845784e-97	-1.70199014481288	0.138	0.833	5.96359432885154e-93	DPsel	Cluster_9
Ppp1r14b	4.3386550695785e-97	-2.34156710958021	0.568	0.971	1.46195321224517e-92	DPsel	Cluster_9
Stmn1	5.89075042566382e-97	-2.63196934432675	0.679	0.99	1.98494726343168e-92	DPsel	Cluster_9
Kif4	6.12204053694693e-97	-1.13969125411663	0.001	0.512	2.06288277932964e-92	DPsel	Cluster_9
Txn1	6.97911356122166e-96	-2.04793228739205	0.739	0.986	2.35168210558925e-91	DPsel	Cluster_9
Prc1	4.88801603953165e-95	-1.83996755953788	0.03	0.598	1.64706588468059e-90	DPsel	Cluster_9
Tacc3	9.11815391412722e-95	-1.35892622150022	0.034	0.612	3.07245314290431e-90	DPsel	Cluster_9
Aurka	1.15198033211258e-94	-1.29235969595142	0.019	0.569	3.88171292708655e-90	DPsel	Cluster_9
Cd8b1	1.24755732666252e-94	-2.2863744722331	0.457	0.99	4.20376916792202e-90	DPsel	Cluster_9
Nusap1	4.22613050750193e-94	-2.22193823487158	0.019	0.56	1.42403693580785e-89	DPsel	Cluster_9
Sgo1	5.25425178706464e-93	-1.17030511927074	0.01	0.526	1.7704726821693e-88	DPsel	Cluster_9
Xrcc6	7.40442277909375e-93	-1.81208769656613	0.325	0.947	2.49499429964343e-88	DPsel	Cluster_9
Glcci1	1.68328047107184e-91	-2.34100869583102	0.576	0.986	5.67198187532368e-87	DPsel	Cluster_9
Tubb2b	3.05341111991224e-91	-1.67141861787313	0.115	0.785	1.02887741096563e-86	DPsel	Cluster_9
Spc24	3.88097482497462e-91	-1.05119938082204	0.012	0.526	1.30773327702345e-86	DPsel	Cluster_9
Ptms	4.02099719933298e-91	-2.30501442476933	0.419	0.952	1.35491521628724e-86	DPsel	Cluster_9
Kif2c	5.26046607983554e-91	-0.927333108235931	0.001	0.483	1.77256665026138e-86	DPsel	Cluster_9
Ckap2l	5.3190326016482e-91	-1.13481400305022	0.008	0.512	1.79230122545138e-86	DPsel	Cluster_9
H2az2	8.26484203135036e-90	-2.03568856318829	0.784	0.99	2.78492117088382e-85	DPsel	Cluster_9
Hmgn2	9.12094683097919e-89	-2.0037854965859	0.719	0.99	3.07339424416675e-84	DPsel	Cluster_9
Pclaf	1.03427649424497e-88	-1.40073581816379	0.027	0.565	3.48509807500786e-84	DPsel	Cluster_9
Rplp1	1.62604886969945e-88	1.59139883045544	0.997	0.995	5.47913427133927e-84	DPsel	Cluster_9
Slc7a11	2.22674090103534e-88	-1.6411615970482	0.049	0.627	7.50322614012867e-84	DPsel	Cluster_9
Nek2	4.47871346356116e-87	-0.89600883265547	0.001	0.464	1.50914728868157e-82	DPsel	Cluster_9
H2bc4	4.98509260832322e-87	-1.64505965360412	0.053	0.636	1.67977680530059e-82	DPsel	Cluster_9
Colq	6.1523591776128e-87	-1.52063533411798	0.138	0.799	2.07309894848841e-82	DPsel	Cluster_9
Racgap1	1.13986364032704e-86	-1.16742016148887	0.04	0.598	3.84088452244599e-82	DPsel	Cluster_9
Cd53	2.84504202803599e-85	2.19841160883797	0.881	0.024	9.58665361767009e-81	DPsel	Cluster_9
Cep55	1.23765223231866e-84	-0.90293533200756	0.004	0.464	4.17039296202096e-80	DPsel	Cluster_9
Ctsl	8.99021522241447e-84	-1.57891493851488	0.157	0.794	3.02934292134478e-79	DPsel	Cluster_9
Prr11	1.30067245209056e-83	-0.811858688454241	0.003	0.455	4.38274589456435e-79	DPsel	Cluster_9
E2f2	2.24339869444151e-83	-1.27689624028485	0.091	0.689	7.5593562407901e-79	DPsel	Cluster_9
