	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Mki67	3.59747635378326e-266	-3.70473223280952	0.032	1	1.21220563217081e-261	DPsel	DPblast
H3c3	9.00889022831992e-266	-3.98172286988807	0.026	0.997	3.03563565133468e-261	DPsel	DPblast
Pclaf	1.57989623218738e-265	-3.7604557643143	0.027	0.997	5.32361834397859e-261	DPsel	DPblast
H2ac22	1.79929532032823e-264	-3.4349266923797	0.03	0.995	6.062905511378e-260	DPsel	DPblast
H2ac4	8.55427419540623e-264	-3.76271266500502	0.022	0.99	2.88244823288408e-259	DPsel	DPblast
Birc5	2.73312950448898e-262	-3.12415971352918	0.017	0.985	9.20955317832606e-258	DPsel	DPblast
Top2a	6.69466164133645e-262	-4.52670383342815	0.063	1	2.25583318666473e-257	DPsel	DPblast
Cdk1	1.1081675000908e-261	-2.45157543943095	0.01	0.982	3.73408120830597e-257	DPsel	DPblast
Knl1	2.11398656874519e-261	-2.57342380277119	0.019	0.985	7.12328914204379e-257	DPsel	DPblast
Kif11	3.56311052625143e-261	-2.82615859077964	0.035	0.995	1.20062572292568e-256	DPsel	DPblast
H2ac24	5.30460216487745e-260	-4.78990167975615	0.065	0.997	1.78743874547711e-255	DPsel	DPblast
Spc24	5.62081126041685e-260	-2.22649213473259	0.012	0.979	1.89398856231006e-255	DPsel	DPblast
Nusap1	6.31581875599666e-259	-3.38894443347246	0.019	0.979	2.12817828802063e-254	DPsel	DPblast
H2ac10	1.24832947278037e-258	-2.41213542736214	0.005	0.971	4.20637099148073e-254	DPsel	DPblast
H1f5	7.54666070009589e-258	-5.97236193329598	0.092	1	2.54292278950431e-253	DPsel	DPblast
H2ac8	1.14599512899954e-257	-4.77003337330661	0.075	0.995	3.86154518667684e-253	DPsel	DPblast
Lockd	1.09745526325955e-256	-3.26810702508407	0.05	0.99	3.69798525507938e-252	DPsel	DPblast
Rrm2	1.1159883751708e-255	-2.83165126775909	0.021	0.972	3.76043442897552e-251	DPsel	DPblast
Ccna2	1.22516515780506e-254	-2.12833066648162	0.004	0.961	4.12831651573992e-250	DPsel	DPblast
Prc1	1.8781907316077e-254	-2.78053723192941	0.03	0.977	6.32875148922531e-250	DPsel	DPblast
Neil3	4.58297873692729e-254	-2.3028687704879	0.006	0.961	1.54428051519502e-249	DPsel	DPblast
Kif15	5.34185665488337e-253	-2.29761032872485	0.027	0.971	1.7999920184295e-248	DPsel	DPblast
Cdca8	1.92617712959086e-251	-2.43684364705292	0.022	0.966	6.49044645586935e-247	DPsel	DPblast
H1f1	1.44888209179142e-250	-2.90782831493057	0.032	0.966	4.88215309650036e-246	DPsel	DPblast
Spc25	5.67530451317498e-250	-2.07580155145899	0.008	0.953	1.91235060875944e-245	DPsel	DPblast
H2bc15	1.04341101574836e-249	-2.08154125336293	0.006	0.949	3.51587775866568e-245	DPsel	DPblast
Fbxo5	1.50878491220736e-249	-2.25147099508129	0.06	0.985	5.08400164017393e-245	DPsel	DPblast
Cdca3	3.69952948996851e-248	-2.30108650817867	0.01	0.949	1.24659345693979e-243	DPsel	DPblast
Diaph3	9.93065731152908e-248	-2.37625535929456	0.057	0.98	3.34623428769284e-243	DPsel	DPblast
H1f3	1.85714898350436e-247	-2.78215115318644	0.093	0.985	6.25784921481631e-243	DPsel	DPblast
Kif4	2.38895938052215e-247	-1.91452321629243	0.001	0.94	8.04983752860745e-243	DPsel	DPblast
Cks2	3.70900897464557e-247	-2.9936846344228	0.088	0.985	1.24978766409657e-242	DPsel	DPblast
H2bc11	2.53049185169193e-246	-1.90967870237317	0.016	0.956	8.52674534346113e-242	DPsel	DPblast
Esco2	7.99707015968521e-243	-1.89737443627061	0.006	0.936	2.69469276100753e-238	DPsel	DPblast
Cenpe	9.22820455941154e-243	-2.55463993321217	0.008	0.933	3.10953580833931e-238	DPsel	DPblast
H2ac20	1.07984516568698e-242	-2.87223133932088	0.129	0.987	3.63864627029883e-238	DPsel	DPblast
Aurkb	6.80736860696999e-242	-1.71441294082006	0.008	0.933	2.29381092580461e-237	DPsel	DPblast
Tpx2	8.70829904035092e-242	-2.47957318605105	0.016	0.936	2.93434844463665e-237	DPsel	DPblast
Depdc1a	5.53930753187203e-241	-1.90279709718209	0.004	0.925	1.8665250659396e-236	DPsel	DPblast
Sgo1	1.64650094749562e-240	-1.6930368479685	0.01	0.93	5.54804959268124e-236	DPsel	DPblast
Pbk	1.98881817963955e-240	-1.8354791430157	0.004	0.925	6.70152173811341e-236	DPsel	DPblast
H2bc18	2.12077503042829e-239	-1.86586597582384	0.021	0.94	7.14616354253117e-235	DPsel	DPblast
H1f4	9.09957607598837e-239	-3.58109616384215	0.21	0.993	3.06619315456504e-234	DPsel	DPblast
H2ax	1.32300546800805e-236	-3.04261820763472	0.158	0.987	4.45799922499994e-232	DPsel	DPblast
Cenpp	6.2358040823901e-236	-2.23715070872055	0.043	0.958	2.10121654360217e-231	DPsel	DPblast
Cenpf	7.27655417967786e-235	-3.00093793346538	0.012	0.915	2.45190769638425e-230	DPsel	DPblast
H2bc14	1.64194006694963e-234	-1.61268297433967	0.004	0.91	5.53268124959348e-230	DPsel	DPblast
Ckap2l	9.5183428812184e-234	-1.64314913066553	0.008	0.915	3.20730081725535e-229	DPsel	DPblast
Bub1b	2.99813356216493e-233	-1.7759425356079	0.018	0.92	1.0102510851071e-228	DPsel	DPblast
Nsd2	3.47215449918554e-233	-2.33372107829156	0.135	0.982	1.16997718004556e-228	DPsel	DPblast
Ndc80	1.31225804254442e-232	-1.72253574238937	0.045	0.956	4.42178470015769e-228	DPsel	DPblast
Mis18bp1	3.497804859804e-232	-1.97505897809611	0.016	0.914	1.17862032555956e-227	DPsel	DPblast
Racgap1	1.45966727887813e-231	-1.86677675038786	0.04	0.943	4.91849486290773e-227	DPsel	DPblast
H3c11	1.78903375368232e-231	-1.67436221600872	0.021	0.927	6.02832813640793e-227	DPsel	DPblast
E2f8	2.82255578587153e-231	-1.6030423452862	0.004	0.902	9.5108839760727e-227	DPsel	DPblast
Ect2	4.19088744632462e-231	-2.03091915521132	0.026	0.925	1.41216143391355e-226	DPsel	DPblast
Cdkn2c	5.33558120867608e-231	-1.83534548025828	0.061	0.956	1.79787744407549e-226	DPsel	DPblast
H4c4	1.71534985113605e-230	-4.10876367355796	0.419	1	5.78004285838805e-226	DPsel	DPblast
Ccnf	4.944300091042e-230	-1.66402799119596	0.008	0.902	1.66603135867751e-225	DPsel	DPblast
Incenp	1.54160661799111e-229	-1.82818579532296	0.052	0.943	5.19459765998284e-225	DPsel	DPblast
