	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Inpp4b	2.23442141962271e-177	2.50126068192932	0.977	0.541	7.52910641556069e-173	DPsel	SP
Gimap4	3.35648708676452e-159	2.09519144580135	0.763	0.056	1.13100188875617e-154	DPsel	SP
Rplp1	6.65592526348007e-150	1.13146642290076	0.997	0.999	2.24278057678224e-145	DPsel	SP
Rps20	5.83381305620498e-140	1.21781430224292	0.999	0.993	1.96576164741883e-135	DPsel	SP
Cd52	2.90205611873599e-137	1.53136080055058	1	0.919	9.7787682976928e-133	DPsel	SP
Gm4258	2.99052302130724e-137	-2.17940381099255	0.754	0.964	1.00768663725969e-132	DPsel	SP
Rps29	2.41878277466281e-135	0.957837914828748	1	0.999	8.15033043750381e-131	DPsel	SP
Il7r	1.03346599081422e-128	2.26786354571367	0.626	0.027	3.4823670026476e-124	DPsel	SP
Rpl21	1.37676203104052e-128	1.00575710068013	0.997	0.98	4.63913733979414e-124	DPsel	SP
H2-K1	2.33134272755537e-121	2.69307148151226	0.718	0.157	7.85569245477058e-117	DPsel	SP
Rpl39	1.53283761669783e-119	1.08966087241992	1	0.992	5.165049633225e-115	DPsel	SP
Rps24	4.09504113841632e-119	1.02118545862113	0.996	0.999	1.37986506200076e-114	DPsel	SP
Rpl12	9.3822753407535e-119	0.989894648774832	0.996	0.986	3.1614514988203e-114	DPsel	SP
Rps7	3.63189413847312e-118	1.0172312870769	0.992	0.99	1.2238030488999e-113	DPsel	SP
2610307P16Rik	2.92940003810573e-116	-1.66417516823089	0.625	0.945	9.87090636840107e-112	DPsel	SP
Rps4x	3.44655398792787e-116	0.955038647184729	0.994	0.986	1.16135083177217e-111	DPsel	SP
Colq	3.85003857258969e-116	-1.82078896718793	0.138	0.689	1.29730899741982e-111	DPsel	SP
Rpl3	3.86827960931765e-115	1.15199039530177	0.987	0.881	1.30345549715568e-110	DPsel	SP
Rps18	5.31549825346639e-114	1.09480721772639	0.995	0.987	1.79111029148804e-109	DPsel	SP
Rps19	1.75188019401803e-113	1.10069490912601	0.995	0.968	5.90313550176316e-109	DPsel	SP
Ccnd2	2.02572542580375e-112	2.09419649778654	0.592	0.036	6.82588439478832e-108	DPsel	SP
Rps15a	5.55520508811499e-112	0.955073598280685	1	0.997	1.87188190649123e-107	DPsel	SP
H2-D1	1.36039698456012e-110	1.69075574556985	0.856	0.39	4.58399367917378e-106	DPsel	SP
Slc9a9	9.17111924161209e-108	-1.47564804452158	0.869	0.98	3.09030033965361e-103	DPsel	SP
Myb	4.58469088382532e-107	-1.99138798761863	0.199	0.705	1.54485744021378e-102	DPsel	SP
Ap3s1	1.04670497247966e-106	-1.48509643993037	0.558	0.871	3.52697707526746e-102	DPsel	SP
Rps12	2.40801558312089e-104	0.940321301211047	0.997	0.978	8.11404930888414e-100	DPsel	SP
Ifi27l2a	9.06305038629038e-104	2.4255319349856	0.571	0.048	3.05388545816441e-99	DPsel	SP
Rpl36a	1.58564241746281e-103	1.09435924459311	0.986	0.875	5.34298068988269e-99	DPsel	SP
Celf2	8.06429809183948e-103	-1.25773821943574	0.803	0.959	2.71734588502623e-98	DPsel	SP
Camk4	4.44034070952588e-102	-1.21395530017385	0.947	0.976	1.49621720548184e-97	DPsel	SP
B2m	9.49874322331342e-101	1.5489157012821	0.921	0.669	3.20069651652769e-96	DPsel	SP
Bach2	8.42481390853944e-100	1.32565150151174	0.977	0.644	2.83882529462145e-95	DPsel	SP
Ikzf2	2.38105310372086e-99	-2.1490671299267	0.322	0.804	8.02319653829781e-95	DPsel	SP
Ccr7	2.74309916521299e-99	1.18258598407468	0.556	0.041	9.24314694710169e-95	DPsel	SP
Rps23	5.92132581502599e-97	0.772715781294727	1	1	1.99524994663116e-92	DPsel	SP
Eef1a1	9.05062036825736e-97	0.790383223330359	1	1	3.049697039288e-92	DPsel	SP
Rpl23	1.69710138448699e-96	0.891792253855258	0.999	0.997	5.71855282516736e-92	DPsel	SP
Rpl13	1.88951680505111e-96	0.901898814631894	0.997	0.992	6.36691582630023e-92	DPsel	SP
Rps26	7.88970314729693e-96	0.922564579700424	0.992	0.986	2.65851437251317e-91	DPsel	SP
Nrip1	1.17156897150566e-95	-1.46663098824426	0.651	0.896	3.94771880638547e-91	DPsel	SP
Rplp0	1.01005506236377e-94	0.8274480374409	0.999	0.985	3.40348153814095e-90	DPsel	SP
Arap2	5.25334979827419e-93	-1.45276360360327	0.662	0.899	1.77016874802647e-88	DPsel	SP
Rps21	5.31724593512764e-93	0.823528138537842	0.995	0.992	1.79169919030061e-88	DPsel	SP
Rps27a	1.45068160287155e-92	0.760834358079506	0.996	0.99	4.88821672903597e-88	DPsel	SP
Rps5	3.87762591344928e-91	0.961827667297141	0.991	0.947	1.30660482779587e-86	DPsel	SP
Rpl27a	7.9540054000492e-91	0.764434854465855	0.997	0.993	2.68018165960058e-86	DPsel	SP
Rpl5	1.31646147132158e-90	0.808630797624069	0.992	0.975	4.4359485737652e-86	DPsel	SP
Rps8	5.89421239580786e-90	0.839052690533772	0.996	0.996	1.98611380889142e-85	DPsel	SP
Sh2d1a	6.44110754616557e-90	-1.33519800411958	0.658	0.9	2.17039559875595e-85	DPsel	SP
Slfn1	6.46922746637585e-90	1.45713439332175	0.466	0.011	2.17987088707001e-85	DPsel	SP
Rpl30	7.27784069898775e-90	0.768928589734981	0.991	0.993	2.45234120193091e-85	DPsel	SP
Rpl9	7.28532116034105e-90	0.733974493119531	0.991	0.986	2.45486181818852e-85	DPsel	SP
Rplp2	1.71320740339296e-88	0.739060318723986	0.997	0.994	5.77282366647293e-84	DPsel	SP
Ldhb	6.3658378595748e-88	-1.33042265678617	0.418	0.797	2.14503272516233e-83	DPsel	SP
Rpl10a	7.94051676479092e-88	0.924576298095352	0.99	0.92	2.67563652906395e-83	DPsel	SP
Nlrc5	5.14255297142521e-86	1.17259243322202	0.547	0.069	1.73283464925144e-81	DPsel	SP
Tesc	6.60394214815504e-86	1.26241692437454	0.488	0.035	2.22526434624232e-81	DPsel	SP
Samhd1	7.34376716408204e-86	1.6834063725251	0.458	0.015	2.47455578360909e-81	DPsel	SP
Rpl35a	8.62676315525994e-86	0.787465295084336	0.999	0.994	2.90687411279639e-81	DPsel	SP
Sgms1	5.17363623596222e-85	1.36952618472143	0.508	0.046	1.74330846606983e-80	DPsel	SP
Rpsa	9.76865200767817e-85	0.854236969431945	0.995	0.978	3.29164498050724e-80	DPsel	SP
Rps3a1	2.75804351094581e-84	0.655785848367641	0.995	0.997	9.293503414483e-80	DPsel	SP
Rpl22l1	6.20107753682987e-84	1.1815967985561	0.917	0.627	2.08951508681019e-79	DPsel	SP
