	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Pclaf	3.36129184661406e-187	-3.18487851400615	0.027	0.959	1.13262090063507e-182	DPsel	preDP_ISP
Rrm2	3.63146902610766e-178	-2.17394268063228	0.021	0.918	1.22365980303724e-173	DPsel	preDP_ISP
Uhrf1	4.95191751749437e-176	-2.04257517622532	0.048	0.964	1.6685981266949e-171	DPsel	preDP_ISP
Dtl	6.35121045112067e-174	-1.8301355465202	0.022	0.909	2.14010387360962e-169	DPsel	preDP_ISP
Mki67	3.21987424694679e-173	-2.23265266904553	0.032	0.932	1.08496882625119e-168	DPsel	preDP_ISP
Hells	3.85981697404367e-173	-2.42328410641276	0.06	0.968	1.30060392757376e-168	DPsel	preDP_ISP
Lockd	3.8734213708628e-170	-2.09956202621609	0.05	0.964	1.30518806512593e-165	DPsel	preDP_ISP
Spc24	9.24110421857748e-168	-1.37241445103833	0.012	0.859	3.11388247749187e-163	DPsel	preDP_ISP
Ncapg2	2.53812172869295e-166	-1.56588992456136	0.017	0.873	8.55245497700378e-162	DPsel	preDP_ISP
Cdc6	2.73558127101087e-158	-1.28101100156088	0.003	0.791	9.21781465079823e-154	DPsel	preDP_ISP
Lig1	4.47400521033108e-158	-1.76942258781721	0.048	0.905	1.50756079567316e-153	DPsel	preDP_ISP
Birc5	1.36171732224529e-156	-1.88550435669538	0.017	0.827	4.58844268903773e-152	DPsel	preDP_ISP
Cenpk	5.93897164505111e-156	-1.25376292547331	0.014	0.823	2.00119588551642e-151	DPsel	preDP_ISP
Clspn	2.42084068751808e-155	-1.64199454780171	0.021	0.832	8.15726478066093e-151	DPsel	preDP_ISP
Mcm3	1.32500958242714e-153	-1.96318301531199	0.113	0.982	4.46475228894649e-149	DPsel	preDP_ISP
Chek1	1.62659649110902e-153	-1.02502691509629	0.008	0.791	5.48097953644096e-149	DPsel	preDP_ISP
Cdca7	7.14339492359903e-153	-2.11461182964511	0.137	0.991	2.40703835345593e-148	DPsel	preDP_ISP
Mcm5	7.67954588800398e-153	-1.47960077517524	0.061	0.932	2.58769978242182e-148	DPsel	preDP_ISP
Top2a	2.32123988050247e-152	-2.49004249851801	0.063	0.914	7.82164990134111e-148	DPsel	preDP_ISP
Gmnn	4.41873634630983e-151	-1.80316272535052	0.089	0.955	1.48893739925256e-146	DPsel	preDP_ISP
Tyms	4.28856314771653e-147	-1.48271866853031	0.047	0.877	1.44507423825456e-142	DPsel	preDP_ISP
Chaf1a	1.57464232817009e-146	-0.998483187366554	0.013	0.782	5.30591478900194e-142	DPsel	preDP_ISP
Ly6d	3.22243199842154e-145	-3.22783350146331	0.119	0.968	1.08583068618812e-140	DPsel	preDP_ISP
Endou	4.70801588914121e-145	-1.85164214400828	0.088	0.955	1.58641303400502e-140	DPsel	preDP_ISP
Cenps	1.54824299662717e-144	-0.998080388287542	0.017	0.786	5.21695960143492e-140	DPsel	preDP_ISP
Anxa2	6.35511188234339e-144	-2.40957758390566	0.159	0.991	2.14141849987443e-139	DPsel	preDP_ISP
