	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il2rb	1.60537670329781e-113	1.98639554970555	0.779	0.013	5.40947733943232e-109	Monocyte_Macrophages_Dendritic	DPblast
Cd53	7.20235348566957e-107	1.87293855848355	0.882	0.059	2.42690503053122e-102	Monocyte_Macrophages_Dendritic	DPblast
Ms4a4b	4.88106716101535e-106	3.32811438373722	0.89	0.069	1.64472439057573e-101	Monocyte_Macrophages_Dendritic	DPblast
Ccnd2	2.17262446937852e-105	2.31902049369275	0.868	0.06	7.32087541201786e-101	Monocyte_Macrophages_Dendritic	DPblast
Gimap3	1.7061848673486e-102	1.94254654420369	0.779	0.033	5.74916052901783e-98	Monocyte_Macrophages_Dendritic	DPblast
Il7r	1.09906273559354e-100	3.22130054968239	0.801	0.046	3.70340179385601e-96	Monocyte_Macrophages_Dendritic	DPblast
Ahnak	8.24232450124796e-100	1.86521292493811	0.684	0.008	2.77733366394051e-95	Monocyte_Macrophages_Dendritic	DPblast
Gm2682	1.98053644173454e-97	4.09269320457924	0.721	0.021	6.67361559406872e-93	Monocyte_Macrophages_Dendritic	DPblast
S100a6	2.42054300199407e-95	3.49160932651732	0.669	0.011	8.15626169951923e-91	Monocyte_Macrophages_Dendritic	DPblast
Chn2	4.61892416959868e-95	2.71482564625803	0.721	0.026	1.55639268818797e-90	Monocyte_Macrophages_Dendritic	DPblast
Arid5b	9.53449472266814e-93	2.00972656086678	0.824	0.073	3.21274334175026e-88	Monocyte_Macrophages_Dendritic	DPblast
Nkg7	1.0026133389509e-92	2.57376990928319	0.669	0.015	3.37840590692896e-88	Monocyte_Macrophages_Dendritic	DPblast
H2-Q7	1.36237120682591e-90	2.14224617475318	0.801	0.07	4.59064601852059e-86	Monocyte_Macrophages_Dendritic	DPblast
Ctsw	2.01733020146781e-90	1.8158224796919	0.699	0.028	6.79759584686595e-86	Monocyte_Macrophages_Dendritic	DPblast
Il18r1	1.49478822730583e-89	2.01569564814501	0.61	0.005	5.03683841072972e-85	Monocyte_Macrophages_Dendritic	DPblast
Gimap4	8.3908259568404e-89	2.02520102879882	0.713	0.036	2.82737271441694e-84	Monocyte_Macrophages_Dendritic	DPblast
Gng2	9.21415232191557e-89	1.51798122441873	0.728	0.041	3.10480076639267e-84	Monocyte_Macrophages_Dendritic	DPblast
Coro2a	2.46737969943318e-86	1.48837088371182	0.632	0.015	8.31408263521005e-82	Monocyte_Macrophages_Dendritic	DPblast
Itgb7	1.5040190317324e-82	1.41570811818423	0.706	0.044	5.0679425293255e-78	Monocyte_Macrophages_Dendritic	DPblast
Hopx	3.66447017452078e-82	1.39550084653345	0.559	0.003	1.23477987000652e-77	Monocyte_Macrophages_Dendritic	DPblast
S100a4	4.80214271851548e-82	2.25929809543431	0.559	0.003	1.61813001043098e-77	Monocyte_Macrophages_Dendritic	DPblast
St6gal1	5.02475003085427e-82	1.9756307691101	0.816	0.103	1.69313977039665e-77	Monocyte_Macrophages_Dendritic	DPblast
Smad7	1.34630266815738e-81	1.28047991163561	0.647	0.024	4.53650147062312e-77	Monocyte_Macrophages_Dendritic	DPblast
Shisa5	1.10395963580487e-80	2.62822421036054	0.926	0.227	3.71990238880808e-76	Monocyte_Macrophages_Dendritic	DPblast
Samhd1	2.73324880291312e-80	1.51881016109416	0.654	0.031	9.20995516629606e-76	Monocyte_Macrophages_Dendritic	DPblast
AW112010	1.50931566927495e-79	3.28842561848937	0.89	0.199	5.08579007918886e-75	Monocyte_Macrophages_Dendritic	DPblast
Gm26740	4.96056305824785e-77	2.66075337067261	0.772	0.1	1.6715113281072e-72	Monocyte_Macrophages_Dendritic	DPblast
S100a11	1.33388366847806e-75	2.01627409465542	0.89	0.21	4.49465440930366e-71	Monocyte_Macrophages_Dendritic	DPblast
Inpp4b	1.05496905625981e-74	3.86335188475564	0.86	0.179	3.55482373197305e-70	Monocyte_Macrophages_Dendritic	DPblast
H1f5	1.09594787326464e-74	-5.85912017352849	0.11	1	3.69290595375252e-70	Monocyte_Macrophages_Dendritic	DPblast
Top2a	1.21251865250659e-74	-4.38393543744319	0.096	1	4.08570285148621e-70	Monocyte_Macrophages_Dendritic	DPblast
Mki67	1.46697812187588e-74	-3.60866795540538	0.066	1	4.94312947947298e-70	Monocyte_Macrophages_Dendritic	DPblast
H3c3	2.06949118986076e-74	-4.00405453282055	0.015	0.997	6.97335751335481e-70	Monocyte_Macrophages_Dendritic	DPblast
Hmgb1	2.18674459625786e-74	-2.79813068401225	0.978	1	7.36845459155049e-70	Monocyte_Macrophages_Dendritic	DPblast
