	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ms4a4b	6.08596090190569e-28	3.33771864496619	0.89	0.111	2.05072538550614e-23	Monocyte_Macrophages_Dendritic	Stroma
H2-Eb1	7.49577404525995e-28	-5.02427059717976	0	0.679	2.52577602229079e-23	Monocyte_Macrophages_Dendritic	Stroma
Skap1	2.59794998820409e-27	2.39613281857613	0.985	0.309	8.75405228025252e-23	Monocyte_Macrophages_Dendritic	Stroma
H2-Aa	5.79587114515241e-27	-5.1665020742013	0.022	0.691	1.95297674107056e-22	Monocyte_Macrophages_Dendritic	Stroma
Cd3g	9.996481796201e-27	2.26521600150795	0.971	0.333	3.36841450604789e-22	Monocyte_Macrophages_Dendritic	Stroma
H2-Ab1	1.16820493715037e-25	-4.84193289010298	0.022	0.667	3.9363833562219e-21	Monocyte_Macrophages_Dendritic	Stroma
Utrn	1.03728342745554e-24	1.94159511536495	0.963	0.407	3.49523023715418e-20	Monocyte_Macrophages_Dendritic	Stroma
Cd74	3.46002838926471e-24	-5.82659036274192	0.096	0.716	1.16589116604664e-19	Monocyte_Macrophages_Dendritic	Stroma
Il2rb	6.92180019376914e-24	1.96693390687859	0.779	0.049	2.33236979329245e-19	Monocyte_Macrophages_Dendritic	Stroma
Apoe	9.32968798349679e-24	-5.25944659528649	0.029	0.642	3.14373166291908e-19	Monocyte_Macrophages_Dendritic	Stroma
Ctsh	1.14421417399434e-23	-2.0069177773304	0.007	0.605	3.85554408069132e-19	Monocyte_Macrophages_Dendritic	Stroma
Cd3d	2.03411581044709e-23	1.92797548038301	0.926	0.235	6.85415663488251e-19	Monocyte_Macrophages_Dendritic	Stroma
Il7r	5.23783228248682e-23	2.9966038573632	0.801	0.111	1.76493996590676e-18	Monocyte_Macrophages_Dendritic	Stroma
Prkcq	7.23462605035208e-23	1.98368432614571	0.912	0.198	2.43777959392664e-18	Monocyte_Macrophages_Dendritic	Stroma
Mpeg1	4.80238867694135e-22	-2.51238119186838	0	0.556	1.61821288858216e-17	Monocyte_Macrophages_Dendritic	Stroma
Cd3e	6.4693346309432e-22	1.75482563020819	0.919	0.247	2.17990699724262e-17	Monocyte_Macrophages_Dendritic	Stroma
Wdfy4	2.07011737216128e-21	-2.12628643795452	0.015	0.568	6.97546749723464e-17	Monocyte_Macrophages_Dendritic	Stroma
Psap	4.40367018499426e-21	-3.36129153371037	0.529	0.901	1.48386070553567e-16	Monocyte_Macrophages_Dendritic	Stroma
Ipcef1	6.62501134834688e-21	1.62642621883507	0.853	0.272	2.23236382393896e-16	Monocyte_Macrophages_Dendritic	Stroma
Tmsb10	9.0264237333361e-21	1.52167207543492	0.993	0.864	3.04154374118493e-16	Monocyte_Macrophages_Dendritic	Stroma
Prkch	1.06265674401444e-20	1.89006014123493	0.897	0.358	3.58072816463105e-16	Monocyte_Macrophages_Dendritic	Stroma
Gm2682	1.08807879118124e-20	4.02859135258801	0.721	0.049	3.66639029476429e-16	Monocyte_Macrophages_Dendritic	Stroma
Marchf1	2.11160617697145e-20	-1.99890191927958	0	0.519	7.115268173923e-16	Monocyte_Macrophages_Dendritic	Stroma
Unc93b1	2.90583928789227e-20	-1.84854011970334	0.14	0.704	9.79151606448181e-16	Monocyte_Macrophages_Dendritic	Stroma
Cybb	2.93258246194322e-20	-1.98992066283804	0.022	0.556	9.88162986376388e-16	Monocyte_Macrophages_Dendritic	Stroma
Ctsw	6.24293047555308e-20	1.79022856843943	0.699	0.037	2.10361785304236e-15	Monocyte_Macrophages_Dendritic	Stroma
Aif1	7.28891986294733e-20	-2.64365308052603	0	0.506	2.45607443701873e-15	Monocyte_Macrophages_Dendritic	Stroma
Ly86	7.28891986294733e-20	-1.87677610572152	0	0.506	2.45607443701873e-15	Monocyte_Macrophages_Dendritic	Stroma
Nkg7	1.48397885516113e-19	2.56624207413745	0.669	0.012	5.00041515035095e-15	Monocyte_Macrophages_Dendritic	Stroma
Plcg2	1.61090990728511e-19	-1.52184192314378	0.022	0.543	5.42812202358791e-15	Monocyte_Macrophages_Dendritic	Stroma
Lyz2	2.48864310164833e-19	-5.07912673222823	0	0.494	8.3857317953142e-15	Monocyte_Macrophages_Dendritic	Stroma
Syk	5.2979182114797e-19	-1.30418767330946	0.044	0.58	1.7851865205402e-14	Monocyte_Macrophages_Dendritic	Stroma
Ctss	5.96457812512807e-19	-2.29732710777848	0.426	0.864	2.00982424504316e-14	Monocyte_Macrophages_Dendritic	Stroma
Tnik	8.24869169536749e-19	1.41547666332343	0.868	0.235	2.77947915367103e-14	Monocyte_Macrophages_Dendritic	Stroma
S100a10	1.55767093289839e-18	1.45676933256745	0.934	0.506	5.24872797549441e-14	Monocyte_Macrophages_Dendritic	Stroma
Irf8	2.22607645849626e-18	-2.35848945005673	0.132	0.654	7.50098723454898e-14	Monocyte_Macrophages_Dendritic	Stroma
Sirpa	2.80872624188062e-18	-2.10336713991751	0	0.469	9.46428394464094e-14	Monocyte_Macrophages_Dendritic	Stroma
Btk	2.80872624188062e-18	-0.89365071637321	0	0.469	9.46428394464094e-14	Monocyte_Macrophages_Dendritic	Stroma
Itk	3.13956507325103e-18	1.32533183637801	0.904	0.272	1.05790784708267e-13	Monocyte_Macrophages_Dendritic	Stroma
Peak1	3.31338066217057e-18	1.59505687821261	0.838	0.272	1.116476747925e-13	Monocyte_Macrophages_Dendritic	Stroma
Ctsz	3.88956804093689e-18	-2.45319766281839	0.221	0.728	1.31062884707409e-13	Monocyte_Macrophages_Dendritic	Stroma
Napsa	4.45368902029089e-18	-1.67499329348451	0.015	0.494	1.50071505227722e-13	Monocyte_Macrophages_Dendritic	Stroma
Sdc3	4.50174838600981e-18	-2.16436488081072	0.007	0.481	1.51690913614987e-13	Monocyte_Macrophages_Dendritic	Stroma
Grn	4.54741081055305e-18	-1.88494229675471	0.051	0.568	1.53229554672396e-13	Monocyte_Macrophages_Dendritic	Stroma
Trac	4.94861166221555e-18	1.73054107836767	0.831	0.235	1.66748418570015e-13	Monocyte_Macrophages_Dendritic	Stroma
Ftl1	5.18273555324293e-18	-2.94909015119524	0.912	0.951	1.74637457202074e-13	Monocyte_Macrophages_Dendritic	Stroma
Ccnd2	6.25087123784452e-18	1.5306585575678	0.868	0.272	2.10629357230409e-13	Monocyte_Macrophages_Dendritic	Stroma
Hcst	9.3580551657929e-18	1.74537228555122	0.801	0.296	3.15329026866558e-13	Monocyte_Macrophages_Dendritic	Stroma
Tyrobp	1.51091920912476e-17	-3.21697474194768	0.059	0.556	5.09119336706678e-13	Monocyte_Macrophages_Dendritic	Stroma
Ets1	1.74314442945943e-17	1.35502384370563	0.985	0.519	5.8736994695065e-13	Monocyte_Macrophages_Dendritic	Stroma
Ms4a6b	2.16199752854426e-17	1.55346554691758	0.86	0.309	7.28506687218274e-13	Monocyte_Macrophages_Dendritic	Stroma
