	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cd53	3.55240616163579e-57	1.93756836239314	0.882	0.05	1.1970187802248e-52	Monocyte_Macrophages_Dendritic	preDP_ISP
Dut	1.6332194366121e-56	-3.03567134067091	0.382	1	5.50329621360815e-52	Monocyte_Macrophages_Dendritic	preDP_ISP
Anp32e	2.63597745079468e-56	-2.49488064173149	0.588	1	8.88218961819775e-52	Monocyte_Macrophages_Dendritic	preDP_ISP
Hmgb2	4.62671916459453e-56	-3.72356195526253	0.816	1	1.55901928970177e-51	Monocyte_Macrophages_Dendritic	preDP_ISP
Hmgb1	6.21278963267691e-56	-2.59454172957225	0.978	1	2.09346159462681e-51	Monocyte_Macrophages_Dendritic	preDP_ISP
Ptma	7.85169781679952e-56	-2.29556734980114	0.956	1	2.64570809634877e-51	Monocyte_Macrophages_Dendritic	preDP_ISP
Hmgn2	1.27769855411978e-55	-2.81925598508585	0.485	1	4.30533304796201e-51	Monocyte_Macrophages_Dendritic	preDP_ISP
Stmn1	1.44690824850264e-55	-3.35981541809487	0.404	1	4.8755020341545e-51	Monocyte_Macrophages_Dendritic	preDP_ISP
Ms4a4b	5.54506721468635e-55	3.52735892111103	0.89	0.1	1.86846584866071e-50	Monocyte_Macrophages_Dendritic	preDP_ISP
Cdca7	8.2009093840965e-55	-2.14615579854834	0.14	0.991	2.76337842606516e-50	Monocyte_Macrophages_Dendritic	preDP_ISP
Shisa5	1.62096028915655e-54	2.75868411680415	0.926	0.191	5.4619877903419e-50	Monocyte_Macrophages_Dendritic	preDP_ISP
Txn1	2.45657759840909e-54	-2.07752976634916	0.794	1	8.27768387559928e-50	Monocyte_Macrophages_Dendritic	preDP_ISP
Anp32b	4.24273917852964e-54	-2.04015262589095	0.787	1	1.42963339359735e-49	Monocyte_Macrophages_Dendritic	preDP_ISP
H2az1	4.51176936231068e-54	-2.5514098550789	0.919	1	1.52028580432421e-49	Monocyte_Macrophages_Dendritic	preDP_ISP
Arid5b	2.07109582297473e-53	2.09547549637536	0.824	0.027	6.97876448509566e-49	Monocyte_Macrophages_Dendritic	preDP_ISP
Uhrf1	3.54320403663471e-53	-2.00405288890594	0.081	0.964	1.19391803218443e-48	Monocyte_Macrophages_Dendritic	preDP_ISP
Ppia	5.03976440206794e-53	-1.64341834676959	0.956	1	1.69819901292081e-48	Monocyte_Macrophages_Dendritic	preDP_ISP
Il2rb	9.60201678866295e-53	2.00340185534377	0.779	0	3.23549557710787e-48	Monocyte_Macrophages_Dendritic	preDP_ISP
