	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Knl1	1.15760271804034e-122	-3.47459153017603	0.008	0.872	3.90065811870872e-118	SP	Cluster_13
Kif4	7.84622531527472e-105	-2.2542765955277	0.001	0.667	2.64386408223497e-100	SP	Cluster_13
Mki67	5.53956894708382e-99	-3.79599550447953	0.036	0.974	1.86661315240937e-94	SP	Cluster_13
Neil3	3.9691989583078e-97	-2.60826276016009	0.008	0.718	1.3374612809914e-92	SP	Cluster_13
Diaph3	3.8811758063689e-93	-3.19710363544232	0.024	0.846	1.30780099971406e-88	SP	Cluster_13
Cit	1.55926606724046e-92	-2.00922276156639	0.003	0.615	5.25410294017344e-88	SP	Cluster_13
Cenpe	1.35996559862218e-91	-2.79532136592613	0.011	0.718	4.58254008111731e-87	SP	Cluster_13
Kif11	2.98555833065989e-90	-3.28598166540096	0.034	0.897	1.00601373509916e-85	SP	Cluster_13
Depdc1a	4.96758377207292e-86	-2.36289896657884	0.006	0.615	1.67387702783769e-81	SP	Cluster_13
Anln	6.52570497373295e-86	-2.01815366075434	0.006	0.615	2.19890154794905e-81	SP	Cluster_13
Tpx2	2.62863837511141e-84	-2.55537110559191	0.008	0.641	8.85745986877541e-80	SP	Cluster_13
Mis18bp1	4.27504635066966e-83	-2.06940079584292	0.007	0.615	1.44051961832165e-78	SP	Cluster_13
Aspm	1.23952708392811e-81	-2.01334842715661	0.006	0.59	4.17671046200417e-77	SP	Cluster_13
Top2a	7.81870440294785e-77	-4.62804564877993	0.06	0.949	2.63459063561731e-72	SP	Cluster_13
Hmmr	3.05038279596713e-76	-2.35015056375696	0.008	0.59	1.02785698692909e-71	SP	Cluster_13
Shcbp1	2.83365113433808e-75	-1.68713136317921	0.001	0.487	9.5482708622656e-71	SP	Cluster_13
Cenpf	1.24052513034997e-74	-3.31104482983286	0.027	0.744	4.18007347922727e-70	SP	Cluster_13
