	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ctss	2.10334457615771e-127	-3.33552825313066	0.017	0.864	7.08742988382102e-123	SP	Stroma
Unc93b1	4.34775182280093e-113	-2.05409122145249	0.004	0.704	1.465018454211e-108	SP	Stroma
H2-Eb1	7.00561166660267e-107	-5.00600110268072	0.006	0.679	2.36061090717844e-102	SP	Stroma
H2-Aa	1.72039490249984e-102	-5.16191402265139	0.011	0.691	5.79704266346346e-98	SP	Stroma
H2-Ab1	2.80176505346457e-101	-4.85639682477634	0.008	0.667	9.44082752415421e-97	SP	Stroma
Ctsh	1.94469437812757e-99	-2.01351900596127	0.001	0.605	6.55284217653867e-95	SP	Stroma
Cd74	9.37308487841281e-96	-6.02319404944958	0.022	0.716	3.15835468062998e-91	SP	Stroma
Ifi30	2.60117642157081e-95	-3.02520611816898	0.017	0.691	8.76492407012501e-91	SP	Stroma
Wdfy4	3.05850697404457e-95	-2.13713694082404	0	0.568	1.03059450997406e-90	SP	Stroma
Mpeg1	4.27934598678349e-93	-2.51238119186838	0	0.556	1.44196842370656e-88	SP	Stroma
Cybb	4.27934598678349e-93	-2.02349916987536	0	0.556	1.44196842370656e-88	SP	Stroma
Lgals3	9.7954453044403e-92	-3.1538748401213	0.007	0.605	3.3006732497842e-87	SP	Stroma
Fcer1g	5.86101165563269e-88	-3.30063509653568	0.008	0.593	1.97492648748199e-83	SP	Stroma
Irf8	1.43168747517955e-87	-2.53392997021702	0.018	0.654	4.82421411636501e-83	SP	Stroma
Grn	1.29455601068642e-86	-1.93200083138533	0.006	0.568	4.36213593360895e-82	SP	Stroma
9930111J21Rik2	1.95002865434385e-86	-1.26281540370692	0.004	0.556	6.57081655367705e-82	SP	Stroma
Lyn	1.88597053980938e-85	-2.214300459057	0.018	0.642	6.3549663309417e-81	SP	Stroma
Marchf1	1.61163384966301e-84	-1.99412521714648	0.001	0.519	5.43056141982449e-80	SP	Stroma
Napsa	1.91380618585805e-82	-1.69008928000219	0	0.494	6.44876132386728e-78	SP	Stroma
Plcg2	2.49179502639126e-82	-1.53262666370672	0.006	0.543	8.396352520928e-78	SP	Stroma
