	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Hells	5.19402971864664e-174	-2.4848274484237	0.036	0.968	1.75018025399517e-169	SP	preDP_ISP
Pclaf	1.00035732184735e-170	-3.12736567940387	0.038	0.959	3.37080403169683e-166	SP	preDP_ISP
Rrm2	7.14358205394399e-165	-2.15495166346953	0.024	0.918	2.40710140889697e-160	SP	preDP_ISP
Dtl	2.13231701931551e-162	-1.82397600106511	0.024	0.909	7.18505542828554e-158	SP	preDP_ISP
Uhrf1	2.1156881397036e-160	-1.98607181390854	0.052	0.964	7.12902275554525e-156	SP	preDP_ISP
Mki67	1.95688631120548e-159	-2.19638137760497	0.036	0.932	6.593924114238e-155	SP	preDP_ISP
Spc24	6.19850449967564e-157	-1.3624451862666	0.01	0.859	2.08864807621071e-152	SP	preDP_ISP
Mcm3	3.89898136560875e-154	-1.9896828138886	0.083	0.982	1.31380076095552e-149	SP	preDP_ISP
Ncapg2	3.94047955055349e-153	-1.55380291364229	0.021	0.873	1.3277839893545e-148	SP	preDP_ISP
Rfc4	9.15791068148863e-152	-1.44958822899411	0.034	0.9	3.08584958323441e-147	SP	preDP_ISP
Clspn	1.84945781568502e-150	-1.64854559394693	0.013	0.832	6.23193305573225e-146	SP	preDP_ISP
Mcm5	6.02998120939077e-150	-1.48113946178619	0.045	0.932	2.03186246831631e-145	SP	preDP_ISP
Cdc6	2.29034656496795e-148	-1.28447373553881	0.003	0.791	7.71755178531602e-144	SP	preDP_ISP
Gmnn	2.16177936526247e-147	-1.78199971985668	0.066	0.955	7.28433174918843e-143	SP	preDP_ISP
Lig1	1.10767866577101e-146	-1.75163910614279	0.05	0.905	3.73243403218199e-142	SP	preDP_ISP
Top2a	7.93730164943441e-145	-2.47264230624354	0.06	0.914	2.67455316379342e-140	SP	preDP_ISP
Chek1	2.61594581520965e-144	-1.02437316516708	0.007	0.791	8.81469101893045e-140	SP	preDP_ISP
Cenpk	3.45594583344753e-144	-1.24140922085997	0.015	0.823	1.16451550803848e-139	SP	preDP_ISP
