	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	8.54040158378601e-21	-4.14067458634712	0	1	2.87777371767253e-16	Stroma	Cluster_14
Cdh10	8.54040158378601e-21	-3.79142525928878	0	1	2.87777371767253e-16	Stroma	Cluster_14
Cxcr6	8.54040158378601e-21	-3.06763772436677	0	1	2.87777371767253e-16	Stroma	Cluster_14
Ppp1r14c	8.54040158378601e-21	-1.53024503848888	0	1	2.87777371767253e-16	Stroma	Cluster_14
Il1r1	7.37320321161675e-19	-4.0404049553165	0.012	1	2.48447455418638e-14	Stroma	Cluster_14
Il18r1	1.20457775501286e-18	-3.57489987821038	0.012	1	4.05894520329135e-14	Stroma	Cluster_14
Trgv2	3.42623876300582e-18	-2.5907659251313	0	0.875	1.15450541358244e-13	Stroma	Cluster_14
Fstl4	3.42623876300582e-18	-2.42589023622768	0	0.875	1.15450541358244e-13	Stroma	Cluster_14
Pdcd1	3.42623876300582e-18	-1.93002460191893	0	0.875	1.15450541358244e-13	Stroma	Cluster_14
Kcnk1	3.42623876300582e-18	-1.63420871553511	0	0.875	1.15450541358244e-13	Stroma	Cluster_14
Or13a27	3.42623876300582e-18	-1.53047247780245	0	0.875	1.15450541358244e-13	Stroma	Cluster_14
Il17re	3.42623876300582e-18	-1.50055503472362	0	0.875	1.15450541358244e-13	Stroma	Cluster_14
Sntb1	2.60436303386424e-17	-2.72268686861111	0.025	1	8.77566167890893e-13	Stroma	Cluster_14
Zbtb16	5.09054529641607e-17	-2.85991551205876	0.025	1	1.71531014308036e-12	Stroma	Cluster_14
Abi3bp	3.15140319727531e-16	-2.96218744520254	0.012	0.875	1.06189682135389e-11	Stroma	Cluster_14
Colgalt2	3.15140319727531e-16	-1.55487258921649	0.012	0.875	1.06189682135389e-11	Stroma	Cluster_14
Apol7b	1.21689587905759e-15	-2.50607420336813	0	0.75	4.10045235407245e-11	Stroma	Cluster_14
