	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gm19951	5.07598377512596e-05	-1.33860801303603	0.051	0.418	1
Lars2	0.000235558229661561	-1.22273928929182	0.487	0.791	1
Syne2	0.00220137660633017	1.00478723161506	0.436	0.179	1
Camk1d	0.00333475933202124	-0.999155676340731	0.949	0.97	1
Socs1	0.000325440837236701	0.984818057237141	0.359	0.09	1
St7	0.0298166015595787	-0.975867127254136	0.256	0.418	1
Kcnq5	0.183638506490805	-0.973960571405543	0.564	0.642	1
Dck	0.183713881750861	-0.958768410679789	0.333	0.418	1
Gm56517	0.349762947339796	-0.957296230113319	0.051	0.104	1
Mir142hg	0.00101654626515769	0.934572858988947	0.872	0.731	1
Cyba	0.000210192813179482	0.927270269491716	0.385	0.104	1
Gphn	0.000619498404221201	-0.900107091915456	0.846	0.896	1
H2ax	0.0397115288964823	0.89580771630721	0.359	0.209	1
Crip1	0.000563193207465989	0.895018859821243	0.436	0.149	1
Hdac9	0.0390885697196886	-0.884795489936997	0.077	0.224	1
Bnip2	0.0195475708949964	0.879367551107282	0.41	0.239	1
Cd52	0.119565752915594	-0.879258116402253	0.077	0.179	1
Maml2	0.0985800377605581	-0.879246055095243	0.179	0.328	1
Tmsb10	0.182199370753027	-0.87099798824246	0.128	0.224	1
Abce1	0.00483857575868153	-0.862674445288598	0.179	0.448	1
Csgalnact1	0.00128154998462418	0.858209122378176	0.308	0.075	1
Troap	0.00434247927095801	0.851352613240858	0.333	0.119	1
Ube2w	0.0958448823785657	-0.850837980220088	0.256	0.388	1
Atxn7l1	0.03080940216217	-0.83947258586776	0.282	0.478	1
Gm43305	0.000822038825609151	0.832485782327175	0.462	0.164	1
Lgals1	0.00176106581808606	0.830939424411142	0.41	0.149	1
Gle1	0.0186097200962175	0.826044713922886	0.308	0.134	1
Itpr1	0.0545492847863105	-0.825660727082641	0.513	0.612	1
Birc3	0.00362675900225552	-0.822434023063503	0	0.194	1
Ncald	0.0164129325689811	0.821510840082193	0.205	0.06	1
Pikfyve	0.0210509373397644	-0.818688741199849	0.179	0.358	1
Cdc20	0.0180722266365661	0.809239684162973	0.41	0.224	1
Tpk1	0.0261101127230933	-0.807434983846635	0.205	0.403	1
Zfp236	0.0235646834157376	0.806422512479127	0.462	0.299	1
Gfra1	0.379864654682953	-0.796036336114079	0.154	0.209	1
Zfp950	0.00385486078608573	-0.792692678550234	0.051	0.284	1
Mrpl3	0.00159709607635086	-0.787481498756586	0	0.224	1
Pdia3	0.0282514570645432	-0.783977141883961	0.179	0.373	1
Cyb5a	0.0450143579509429	0.783942500169178	0.462	0.299	1
