	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Mir142hg	5.76341283319604e-213	0.580895516117249	0.998	0.993	1.94203958827374e-208
Rab6b	3.9218890910966e-150	-0.74737150052422	0.008	0.236	1.32151974813591e-145
Gm56655	6.63469977858121e-122	-0.693541163039826	0.054	0.288	2.23562843739072e-117
Hnrnpa0	1.19252061092522e-121	-0.610829577952078	0.731	0.882	4.01831745057362e-117
Cmss1	7.030649073403e-86	-0.355883059269551	0.993	0.997	2.36904751177388e-81
Rsrp1	7.35126341743682e-85	0.391934402625905	0.986	0.965	2.47708172113951e-80
Agtrap	5.31054838185637e-84	-0.568886141040974	0.087	0.288	1.78944238275032e-79
Rps29	6.99020129601872e-75	0.319352961435254	0.997	0.995	2.35541822870647e-70
Kif1b	9.08885638467944e-73	0.584220606085447	0.278	0.092	3.06258104738158e-68
Gm10076	1.44396953783398e-54	0.486133369617426	0.719	0.567	4.86559975468539e-50
Jun	3.47425121611072e-52	-0.466379202109464	0.039	0.158	1.17068368978067e-47
H2ac6	2.92865420706623e-51	-0.46588909041671	0.051	0.178	9.86839321613036e-47
Rps27	1.60129476055747e-48	0.240915260962153	0.998	0.996	5.39572282517447e-44
Gphn	1.70995071362025e-48	-0.353378865851813	0.907	0.939	5.76184992461481e-44
Hspa8	9.40546902956108e-41	-0.462523686498522	0.734	0.816	3.1692668442009e-36
Btg2	4.32952342656904e-38	0.288119129767765	0.965	0.943	1.4588762138167e-33
Srsf7	1.08563519564198e-31	0.307575003983124	0.818	0.727	3.65815635523523e-27
Satb1	1.55413327150094e-29	-0.166174057906239	1	1	5.23680747164956e-25
mt-Atp6	1.72039697950681e-29	0.159007522305673	0.999	1	5.79704966214616e-25
Gm43305	2.26523552313584e-29	0.25827386281048	0.122	0.04	7.63293761875851e-25
Camk1d	7.0007671036002e-29	-0.233713581672299	0.964	0.976	2.35897848322913e-24
2610035D17Rik	7.53886793125089e-28	-0.398606167476629	0.257	0.386	2.5402969381143e-23
Tpt1	9.78978918417939e-26	0.148762772781017	1	0.999	3.29876736350109e-21
