	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Hnrnpa0	4.27380597230242e-42	-0.619847707261285	0.839	0.956	1.44010166042702e-37
Rab6b	9.80475166206863e-37	-0.623393047513642	0.011	0.23	3.30380912005064e-32
Mir142hg	2.55649311843365e-36	0.472014200238618	0.999	0.996	8.61435921187403e-32
Kif1b	3.86113067529472e-26	0.627165347302802	0.351	0.111	1.30104659234731e-21
Gm56655	1.58670496744841e-23	-0.543655585989594	0.067	0.262	5.34656105831415e-19
Gm10076	1.50511766508567e-20	0.485498166527983	0.837	0.699	5.07164448427268e-16
Rps29	9.64960165023287e-18	0.279611257164512	0.999	0.997	3.25152977206247e-13
Gm43305	2.68569039081956e-15	0.375075054908776	0.224	0.072	9.04970234090559e-11
Rbm3	1.53723394050571e-14	0.374336806219502	0.861	0.746	5.17986348592804e-10
Hspa8	4.47444623746096e-13	-0.481429342646086	0.896	0.922	1.50770940417485e-08
Camk1d	4.52644908416164e-13	-0.286057522331162	0.955	0.965	1.5252322833991e-08
Rsrp1	5.51969650556645e-13	0.307175664766708	0.969	0.94	1.85991693451567e-08
Rps27	2.31692842025555e-12	0.225010702271107	0.994	0.999	7.80712200489311e-08
Zfp990	1.25619959773551e-10	0.128321419082317	0.059	0	4.23289016452956e-06
A630014C17Rik	4.44566958229281e-10	-0.404247233857825	0.69	0.78	1.49801282244939e-05
Jun	4.78458318127376e-10	-0.384888279628907	0.055	0.155	1.61221314876201e-05
Cmss1	5.59475735962816e-10	-0.185054703950348	0.994	1	1.8852094399003e-05
Gphn	7.15760156606417e-09	-0.245558789905461	0.91	0.946	0.000241182542370098
2610035D17Rik	9.28346430696825e-09	-0.346258245918258	0.258	0.397	0.000312815613287602
Rps21	1.33034526127802e-08	0.218353782817438	0.992	0.981	0.000448273139240241
Rnaset2a	3.4603931600052e-08	-0.339791130661188	0.45	0.567	0.00116601407919535
Zmynd8	6.00174183695523e-08	0.301126219719516	0.522	0.381	0.00202234692938043
mt-Atp6	6.21126758203445e-08	0.149817865563013	1	1	0.00209294872444233
Srsf7	1.31562005904941e-07	0.276871126138323	0.851	0.783	0.00443311335097289
Rpl8	1.76980868228577e-07	-0.19264167064506	0.985	0.991	0.00596354733583013
Slc15a2	3.00117122268669e-07	0.243342691431381	0.206	0.106	0.0101127465519651
Gm47283	1.20775324705668e-06	-0.303685344786686	0.331	0.452	0.040696453412822
Tpt1	1.75410315113203e-06	0.145161845070893	1	1	0.0591062597805449
4930481A15Rik	3.29312255679041e-06	-0.123837484744337	0.01	0.053	0.11096505767361
Laptm5	4.30800902477584e-06	-0.205510433162362	0.899	0.924	0.145162672098847
Tmem258	8.04187060187338e-06	0.229212062824427	0.787	0.679	0.270978871800725
Gm20559	8.61056823678701e-06	-0.211944445652023	0.063	0.133	0.290141707306775
H2bc4	9.08295553165451e-06	-0.171303052402277	0.024	0.075	0.30605926959463
Arhgef1	1.14666340300788e-05	0.231896374238722	0.813	0.739	0.386379700277535
Pfn1	1.25637356530971e-05	0.157713702898216	0.999	1	0.423347636566761
H3c1	1.34824509343188e-05	-0.138213475311589	0.011	0.051	0.454304666682805
H2ac6	1.39191402276032e-05	-0.146737149549533	0.024	0.073	0.469019349109319
Gm56626	1.74112882469016e-05	0.17351110657516	0.178	0.095	0.586690768767596
Rpl18	1.78146252450746e-05	-0.175239678481661	0.983	0.996	0.600281612258034
Gm21411	1.78339544820897e-05	0.0598588743685164	0.027	0	0.600932930228495
Hsp90ab1	2.06167398654808e-05	-0.267586251487674	0.945	0.96	0.694701666507241
Rpl37a	2.63824987360001e-05	0.149068877871366	0.997	0.994	0.888984677408261
Kcnrg	2.80199511891307e-05	0.166293621890605	0.126	0.06	0.944160275268949
Xcl1	0.104263543607462	0.43457232139621	0.017	0.007	1
Kcnq5	0.178606843564923	0.354962462126145	0.366	0.348	1
Gm12840	0.100177436264075	-0.315523827614177	0.052	0.073	1
Ccl4	0.542976911872805	0.301313130023234	0.025	0.021	1
Rell1	3.26862140773556e-05	-0.271374903950859	0.143	0.223	1
Chsy1	0.00578712781981623	0.2551710167571	0.254	0.194	1
H1f4	0.00238959245262195	-0.251193507606346	0.279	0.343	1
Hsp90aa1	0.000385939738362353	-0.247050300846117	0.729	0.751	1
B630019A10Rik	0.000996323771377591	0.245982778863983	0.387	0.314	1
Nr4a1	0.750035075385738	0.245567715013118	0.212	0.21	1
Timm13	9.90001346367592e-05	-0.243326560137855	0.433	0.504	1
Rnaset2b	0.000248176237034072	-0.236613863693923	0.46	0.54	1
5330438D12Rik	0.00260831142717214	-0.232822072012332	0.746	0.768	1
Nfatc1	0.0286546336156893	0.232419715945966	0.332	0.284	1
Lmo4	0.014257316670781	0.231912348277339	0.396	0.337	1
Kmt2d	0.00118938816603968	-0.229913488106393	0.255	0.321	1
Cd274	0.162739428337214	0.228964343658831	0.153	0.128	1
H1f2	0.00330108101376399	-0.226366251575725	0.316	0.381	1
Egr2	0.0147666046721777	0.225225046292123	0.165	0.12	1
Hbp1	0.000660548835113496	-0.224775327037787	0.25	0.32	1
Phpt1	3.26005796618837e-05	-0.22459965487536	0.151	0.235	1
Ifi27l2a	0.445594871766333	-0.22335324809947	0.048	0.056	1
Gramd1b	0.0340887150700204	0.223040028438847	0.384	0.339	1
Scmh1	0.0244520548539239	-0.220325606454795	0.289	0.328	1
Rnf167	0.00014122003895948	0.217085580733488	0.578	0.491	1
Pip5k1b	0.00870292528587352	0.216474464798676	0.334	0.274	1
Bcl2l11	0.078183955321575	0.215440816765132	0.33	0.29	1
Gm11808	0.000696981053765725	-0.213093044235523	0.226	0.295	1
Ube2e1	0.00169702397407795	-0.212414439357484	0.475	0.532	1
H2bc6	0.000487576206427961	-0.210900968625177	0.115	0.179	1
Ralbp1	0.00423553239516774	-0.210178641395625	0.363	0.418	1
Uba52	0.000125513748533187	-0.210155178788189	0.708	0.764	1
St13	0.00272404396037288	-0.208899125109764	0.665	0.71	1
D8Ertd738e	0.000699211887651332	-0.207752418772661	0.571	0.625	1
Gpx1	0.0077739341735919	-0.207681142753668	0.432	0.482	1
Arih1	0.000446012023147181	-0.207027138657195	0.769	0.811	1
Gm43713	0.00288815814528214	-0.20465840525311	0.163	0.22	1
Gm19951	0.000171809912541699	-0.204494419234366	0.196	0.282	1
Tnik	0.00544949069379119	-0.203168304111232	0.863	0.894	1
Gm11290	0.167032310889031	-0.203018129422834	0.153	0.174	1
Brd9	0.00078085109107153	0.202761508510304	0.296	0.217	1
Tnpo1	0.00662361660544458	-0.201177258540319	0.452	0.512	1
mt-Nd4l	0.00716592577810395	0.200948688380157	0.52	0.468	1
H1f3	0.00045163126905153	-0.200387199471983	0.129	0.196	1
Zfp809	0.00025398794830268	0.199854482440172	0.181	0.113	1
Cd200	0.000899587863843335	0.199605612806924	0.118	0.067	1
Ikzf3	0.300415568257937	0.198890393066444	0.686	0.657	1
Nup98	0.00413497410722207	-0.198289656922652	0.362	0.418	1
Sox4	0.0035187848042997	-0.197602775509565	0.82	0.834	1
Sumo1	0.00054082539461574	-0.197050575765164	0.67	0.729	1
Dcaf7	0.000209539725250506	0.19643709903198	0.311	0.224	1
Cd8a	0.00803625846714797	-0.196326816037657	0.748	0.758	1
Kdm5c	0.0018159599261122	-0.195526059719635	0.353	0.415	1
Echdc1	0.000182476030214019	0.195317208093751	0.158	0.092	1
Zfp52	0.0002159373409906	0.19434945285178	0.118	0.062	1
Ldlrad4	0.0132489960301999	0.194320523457435	0.633	0.576	1
Snapc1	0.00443420220234787	0.193313524039243	0.209	0.154	1
Pttg1	0.000974867806874711	-0.193287692482506	0.101	0.16	1
Immp2l	0.00950354030394228	0.19242547824049	0.14	0.094	1
Runx1	0.0166858462717556	-0.191739515687504	0.719	0.748	1
Mrps14	0.00122382046731881	0.191149938856833	0.596	0.521	1
4930417O13Rik	0.0170791525115675	0.190296752100896	0.546	0.494	1
Htt	0.013492905837239	-0.189920017122626	0.259	0.306	1
Pcnp	0.00665920760787849	-0.189737491435329	0.436	0.491	1
Myb	0.00594148918834453	-0.189027299135212	0.705	0.754	1
mt-Nd3	5.19949173399162e-05	0.188864951024388	0.893	0.833	1
Taf1	0.00016572142739344	0.188699535412165	0.29	0.196	1
Rapgef1	0.00520407223155737	-0.188635435544939	0.433	0.488	1
Dcp1b	0.030462155716322	-0.188046033121425	0.156	0.194	1
Plcl1	0.042057314360687	-0.18802930863322	0.626	0.65	1
Gtf2h4	0.00072032859009234	0.187946753533009	0.393	0.304	1
Dhrs3	0.000833158504795402	0.187306188138755	0.234	0.163	1
Dnajb9	0.000477805597087471	-0.186281052167079	0.137	0.207	1
Trp53	0.00481015984561942	0.185312090652361	0.572	0.5	1
Xpo1	0.00457189745572564	-0.185225608765647	0.227	0.292	1
Ndufaf8	0.00423330370546377	0.184861541495763	0.257	0.196	1
mt-Atp8	0.00137091054667976	0.184453686663566	0.418	0.331	1
Mllt11	0.000113025332795391	0.184229883344657	0.295	0.199	1
Synj2bp	0.00198961888442614	-0.183318079861334	0.536	0.607	1
Mllt3	0.003492735706696	-0.182832890806071	0.606	0.655	1
Lsm7	0.012284851708444	0.18276493213033	0.366	0.308	1
Tpp2	0.0124341981523531	-0.18241794840284	0.489	0.545	1
Scfd1	0.000850137727069886	-0.181401373375609	0.241	0.315	1
Rag1	0.46370829594978	-0.18069354642084	0.352	0.358	1
Prdx5	0.0136645583477626	0.179518106100333	0.652	0.594	1
Dctn5	0.00456142247149212	-0.179383890520144	0.156	0.208	1
Fem1c	0.00500135060381315	-0.179340449193483	0.255	0.32	1
Arhgef3	0.00320258906978352	0.179188917061661	0.362	0.283	1
Phb2	0.00379831398326247	0.178953355224127	0.435	0.358	1
Dctn2	0.00386042704319537	-0.178519667569377	0.173	0.227	1
Phf12	0.00174466384548834	0.178174375879655	0.435	0.352	1
Gm2245	0.0676341935757768	-0.17763677272718	0.302	0.336	1
Mta3	0.00486702500526463	0.177499035987533	0.397	0.328	1
Txnrd1	0.00389337304832812	-0.17710957285716	0.231	0.296	1
Kdm6b	0.103962173016334	-0.176883610357339	0.523	0.551	1
Atp5g2	0.000726260839458013	0.176585131753045	0.652	0.575	1
Itpr3	0.000105013903338421	-0.175181655866219	0.074	0.136	1
Ccdc85b	0.00157358644165795	-0.1739279247431	0.187	0.252	1
Rsu1	0.00110747703021639	0.173852737627428	0.212	0.142	1
Gm49912	0.0367785309008443	0.173674868630042	0.295	0.249	1
Cnga1	0.00251261796250341	0.173454218701322	0.151	0.098	1
Tomm7	0.000285619134281676	0.173312693614295	0.762	0.686	1
Txn2	0.00111914108707942	0.173286072696107	0.429	0.342	1
Esd	0.00448415304609673	-0.173152075596933	0.445	0.5	1
Elp4	0.00806741815724455	0.173122156123043	0.335	0.267	1
Reep3	0.120394897873023	-0.173110332587495	0.303	0.331	1
Pak1ip1	0.00468849075100484	0.172910052580784	0.36	0.289	1
C1qbp	0.000465866055849659	0.172848320420702	0.3	0.216	1
2810454H06Rik	3.29337128983075e-05	-0.172755537810608	0.055	0.117	1
Smc6	0.012288518771169	0.172694732459944	0.48	0.418	1
Sdhb	0.00282492840285815	-0.172524918840074	0.396	0.463	1
Pet100	0.00207951650666431	0.172354390952575	0.379	0.298	1
Rpl37	0.00031270869668423	0.172087123908967	0.98	0.985	1
Ppp1r12b	0.0452731840124511	-0.17202377684958	0.295	0.333	1
Atp6v0e	0.000355085262145367	0.171617177484745	0.728	0.672	1
Kif13b	0.0218177804897653	-0.171316525406297	0.302	0.348	1
Cux1	0.00896855884019605	-0.171294637635682	0.909	0.928	1
Fryl	0.00308935546280182	-0.171221410368698	0.752	0.779	1
Cd81	0.00860657930325015	-0.170777203688543	0.255	0.314	1
Igsf3	0.00191956251551892	0.170358030664784	0.094	0.051	1
Il6st	0.0132013986580408	0.170192041326877	0.644	0.592	1
Tgfbr1	0.0596917766258018	-0.170081212520871	0.381	0.416	1
Lars2	3.21566501983154e-05	-0.170060910477815	0.714	0.761	1
Cox4i1	0.000281607066405886	-0.169998887134067	0.934	0.96	1
Bach2	0.00944561800042639	0.169959271154506	0.644	0.572	1
Polr2j	0.0128720812427651	-0.169913382805689	0.459	0.506	1
Dnajc10	0.000787035218486635	0.1699107820924	0.334	0.249	1
Slfn2	0.113796625341964	-0.169865662273154	0.452	0.482	1
Scaper	0.0346573129063462	0.169823794741254	0.341	0.289	1
Midn	0.0036592786498097	0.169750851586228	0.431	0.355	1
Fhit	0.00656147098425325	0.169725119679036	0.543	0.478	1
Gm28112	0.00237549323290595	-0.169578253308441	0.13	0.189	1
Dleu2	0.00477612106491204	0.169434570460925	0.719	0.644	1
Irf2	0.00968112974777922	0.169197193546222	0.633	0.585	1
Fkbp4	0.0279234414573176	-0.168883390694508	0.323	0.365	1
Dtymk	0.0043174293603726	0.168837097723178	0.425	0.348	1
Rprd1b	0.00166255695715066	0.168204128585479	0.269	0.201	1
Mrps28	0.231609581237411	-0.168062129592681	0.345	0.367	1
Gm44148	0.00243510115867917	0.167930817359028	0.236	0.169	1
Zbtb17	0.000611554857593309	0.167890013252794	0.208	0.139	1
Atp5d	0.00640520448820912	-0.167633612164794	0.645	0.667	1
Chl1	0.224374705259818	0.167249014174593	0.149	0.128	1
Vps13d	0.0510364112763314	-0.166909931487399	0.433	0.463	1
Sec61g	0.000791676022096352	0.16674020320456	0.759	0.694	1
Mad1l1	0.0555049350939634	0.166590599482916	0.537	0.506	1
Clic4	0.0607925731818514	-0.166547270892248	0.259	0.295	1
Trbc1	0.082549450292566	-0.166539733940368	0.718	0.743	1
F13a1	0.0193384925158079	0.166481770221786	0.435	0.383	1
Cd3e	5.05796445962181e-05	0.166212201700599	0.965	0.969	1
Cpeb4	0.0232821859666732	-0.166061904900521	0.21	0.258	1
Atp5o	0.00423301207500671	-0.165804903195564	0.644	0.691	1
Cmah	0.00522411442186111	0.165792988794224	0.314	0.243	1
Prrg1	0.176130596243579	-0.165661807751667	0.431	0.455	1
Eny2	0.0335449044695557	0.165636670209579	0.485	0.434	1
Dnajc2	0.00324420822180172	0.16542458649272	0.419	0.346	1
Pik3cd	0.0385601340876584	-0.165268834312838	0.223	0.262	1
Pitpnm2	0.128300116873791	0.164943636535885	0.508	0.479	1
Thy1	0.0991907885177942	-0.16471546489203	0.703	0.71	1
Abce1	0.00874584491428161	0.16403477207184	0.344	0.28	1
Nr2c2	0.00909556113153748	-0.163977072252937	0.575	0.628	1
Kremen1	0.202078221720813	-0.16389941603408	0.396	0.411	1
Mgat2	0.00190953224988253	0.163548951429199	0.224	0.161	1
Purb	0.00175156801930186	-0.16347465633581	0.583	0.647	1
Hsp90b1	0.021503117884344	-0.163428826143273	0.387	0.443	1
Ndufa13	0.010701263507727	-0.163423127055229	0.783	0.795	1
Zc3h18	0.000291535505067128	0.162973317286955	0.366	0.265	1
Rbm26	0.00483692955420458	-0.162961620350943	0.595	0.65	1
Vapa	0.00564579690146626	-0.162901205869946	0.572	0.622	1
Pdss1	0.0156873347710905	0.162707678155127	0.146	0.106	1
Arhgdia	0.0188621274894862	-0.162343589979286	0.488	0.526	1
Dad1	0.00154560735616264	-0.162255554714355	0.755	0.771	1
Sash3	0.0783661341781939	-0.161688874555506	0.433	0.455	1
Bud31	0.00229419135034359	-0.161677997725992	0.353	0.427	1
Arhgap24	0.166136148838019	0.161593742261354	0.184	0.155	1
Ppp1r14b	0.00830115555551716	0.161409332595617	0.71	0.648	1
Ten1	0.00571743910467689	-0.161236261635947	0.303	0.362	1
Rpl38	5.8256536155257e-05	0.161178168286908	0.962	0.971	1
Atg5	0.0173835654966766	-0.161148389339767	0.257	0.305	1
A630001G21Rik	0.00170098852299044	0.160953177083625	0.388	0.304	1
Ndufa4	0.000382723445447822	0.160714026003308	0.881	0.845	1
Gm16158	0.0191937021756841	-0.160590903739289	0.205	0.257	1
Zfp36l2	0.0755635726773577	0.160127158832527	0.489	0.45	1
Chmp4b	0.00259116413414828	-0.159619738999351	0.474	0.543	1
Vav3	0.0211599478788979	0.159486001431582	0.328	0.271	1
Cirbp	0.00281435486848105	0.159464708361037	0.383	0.304	1
Vps41	0.00429667232446581	0.159356885833537	0.292	0.224	1
Dmxl1	0.0367077085997871	-0.159298044292661	0.446	0.479	1
Umad1	0.208409656344078	0.159110908655605	0.238	0.217	1
Rnft1	0.00687333034145634	0.158969860651506	0.275	0.216	1
Parn	0.00364476786561789	0.15878207562353	0.199	0.142	1
Rae1	0.00116316832593778	0.158683208718471	0.36	0.283	1
Atp7a	0.0543855155497529	-0.158618127505373	0.24	0.28	1
Hcls1	0.0036248980759362	0.15860396507017	0.544	0.466	1
Arpc1b	0.00153409349784291	-0.158389535845272	0.714	0.761	1
Ccdc77	0.00443880801153972	0.158305107814734	0.129	0.084	1
Cnot2	0.00363578986455305	-0.157847857700086	0.835	0.865	1
Dcun1d1	0.0345880284221486	-0.157827278794867	0.47	0.512	1
