	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gm43305	2.95266434213119e-123	1.13646871564493	0.935	0.381	9.94929776724525e-119
Hnrnpa0	5.19834600216003e-102	-0.597822809180197	0.986	0.999	1.75163466888784e-97
Agtrap	1.97862035855912e-51	-0.458302341605761	0.202	0.529	6.6671591602008e-47
Gm49980	2.44833934634444e-45	0.439699135779296	0.622	0.28	8.24992426144223e-41
Mir142hg	1.00559041768248e-38	0.574548159709066	0.987	0.964	3.38843747142289e-34
Gm10076	6.04156392401503e-38	0.545157708255879	0.981	0.946	2.03576537983611e-33
Rab6b	7.730577022034e-38	-0.202566218046424	0.007	0.199	2.60489523334458e-33
Camk2b	2.71573707405585e-36	0.292123403900712	0.431	0.153	9.15094764473859e-32
Gphn	3.8985227094887e-34	-0.478868711008766	0.994	0.999	1.31364621218931e-29
Cmss1	2.51962571237954e-33	-0.411543833172566	1	0.999	8.4901308004341e-29
Uba52	1.41621001648638e-30	-0.321570442765201	0.98	0.984	4.7720612715525e-26
Hspa8	4.25068942424837e-29	-0.41904611846702	0.999	0.996	1.43231230839473e-24
Rbm3	1.25599892696531e-26	0.312308289816782	1	0.996	4.2322139843023e-22
Rsrp1	1.86236986745702e-26	0.358217286463138	0.982	0.952	6.27544150538316e-22
Gm11808	6.09350527381441e-26	-0.321127373552266	0.727	0.819	2.0532675370645e-21
Camk1d	1.80277282923014e-25	-0.478750814133583	0.996	0.995	6.07462332537389e-21
Rps29	9.84614094917043e-25	0.24816576743962	1	1	3.31775565423247e-20
Gm56655	1.3142986401935e-24	-0.187733731931722	0.038	0.2	4.42866069799603e-20
Zfp990	6.32120908839999e-23	0.0904085914852685	0.114	0.002	2.12999461442726e-18
Gm2296	3.47005354417977e-21	-0.326746310384155	0.408	0.598	1.16926924224682e-16
Lars2	1.50392915056105e-20	-0.344388179044744	0.934	0.973	5.06763966573051e-16
Tpt1	7.23565446637425e-20	0.142397085767271	1	1	2.43812612898947e-15
Rps27	1.43928810498407e-18	0.202224292583556	1	0.996	4.84982519855433e-14
Gm47283	2.41388021697197e-18	-0.395983786045198	0.832	0.897	8.13381077910876e-14
Jun	4.1766509690127e-18	-0.306579661392495	0.145	0.315	1.40736431051852e-13
Cldn34c1	1.51766831344304e-17	-0.15846526276235	0.065	0.208	5.11393514897766e-13
Gm19951	5.15976509388989e-17	-0.270433598597924	0.363	0.553	1.73863444603714e-12
Trim17	7.33694620446107e-17	-0.167109562510456	0.03	0.146	2.4722573930552e-12
H2ac24	1.35645526242062e-16	0.515043271091878	0.939	0.924	4.57071165225254e-12
Gm2000	1.37999453888047e-16	-0.305055640084738	0.679	0.785	4.65002959821162e-12
Nutf2-ps1	1.30519607039649e-15	-0.208999536849407	0.355	0.506	4.39798867880801e-11
mt-Co1	2.20067329700768e-15	-0.190824588343592	1	0.998	7.41538874159707e-11
Pfn1	1.97168454400734e-14	0.137056348417954	0.998	1	6.64378823948712e-10
Dnaja1	2.28697329860457e-14	-0.256583809580277	0.987	0.98	7.70618522697797e-10
H3c1	5.14119572217125e-14	-0.266790648619559	0.505	0.657	1.73237731054283e-09
Phpt1	7.70902180087116e-14	-0.22777883211738	0.438	0.583	2.59763198602155e-09
Thy1	8.17407505073028e-13	-0.204630210509851	0.988	0.992	2.75433632909408e-08
Zfp984	4.03093538340865e-12	-0.126241858266209	0.142	0.275	1.35826398679338e-07
Rbm44	7.38851349191268e-11	0.173182152374565	0.17	0.069	2.4896335062349e-06
mt-Nd3	1.06640219345415e-10	0.174183650414388	0.995	0.992	3.59334883106309e-06
Rnaset2b	1.24682683493182e-10	-0.203464090646471	0.657	0.744	4.20130770298627e-06
Tra2b	2.27497748290685e-10	-0.171792843559464	0.984	0.986	7.66576412640293e-06
4930481A15Rik	2.46216344182336e-10	-0.091550680801542	0.032	0.112	8.29650593356799e-06
Rpl19	3.05398512493811e-10	-0.158198915646657	1	1	1.02907082769915e-05
Emg1	3.14052065435302e-10	0.148088385678591	0.971	0.956	1.05822983969079e-05
Cox7c	3.74312404972538e-10	0.148156286748406	0.998	0.999	1.26128307979546e-05
Arf5	4.8067216895837e-10	0.156010569488656	0.978	0.964	1.61967294052212e-05
H4c4	4.94273850683252e-10	0.387374120497401	0.95	0.946	1.66550516726229e-05
mt-Nd2	6.19074528512462e-10	-0.218608059739409	0.993	0.995	2.08603353127559e-05
Tnfrsf8	6.25066646586433e-10	-0.0897231139626947	0.047	0.133	2.10622457233765e-05
Btaf1	8.12874661069665e-10	-0.187877388060352	0.767	0.86	2.73906245794034e-05
Zfp992	1.16319198421367e-09	0.0987402734530284	0.191	0.09	3.91949171000637e-05
Ifi27l2a	1.52969287948979e-09	-0.481746334905392	0.082	0.179	5.1544531267288e-05
Cdk8	2.61140995270611e-09	-0.204458266965997	0.968	0.968	8.79940697663851e-05
H3c14	2.86877235160434e-09	-0.126588892436392	0.106	0.208	9.666615315966e-05
Rps19	4.20941525004238e-09	-0.214657416413321	0.999	0.999	0.000141840456265428
H3c4	7.17436246407433e-09	-0.223595401941763	0.376	0.494	0.000241747317589449
H2bc4	1.41951306570555e-08	-0.308570724829415	0.715	0.798	0.000478319122620142
Ndufb1	2.43058338101568e-08	0.150766912033511	0.995	0.995	0.000819009376067044
Rnaset2a	2.70948776081572e-08	-0.181767409801326	0.663	0.731	0.000912988995884464
Gm20559	2.73886583640749e-08	-0.0838825111415053	0.04	0.111	0.000922888232235868
Pink1	4.37788305930502e-08	-0.128713543462547	0.186	0.293	0.00147517147566342
Fbxo44	4.72061825514746e-08	-0.0633993415077715	0.036	0.104	0.00159065952725449
Gnb2	5.49784250389446e-08	0.158308937968919	0.975	0.963	0.00185255301011228
H2ac6	5.62287501691126e-08	-0.269621226018282	0.663	0.761	0.00189468396569842
Ssu72	6.18230404932747e-08	0.156070568100189	0.875	0.798	0.00208318917246138
Sf3b6	6.32543404967632e-08	0.14632521587171	0.976	0.953	0.00213141825737893
Tpgs1	6.48424625402099e-08	-0.122373196640234	0.229	0.346	0.00218493161775491
Snrpf	6.693923393921e-08	0.147564395315301	1	1	0.00225558442681562
Rpa3	8.53893848768066e-08	0.157998791179806	0.947	0.942	0.00287728071280888
Alyref	9.65461915861591e-08	0.16192000392397	0.978	0.951	0.00325322047168722
Ppp1r14b	1.22291099456313e-07	0.188750152449687	0.987	0.982	0.00412072088727991
Rpl17	2.01312685122416e-07	-0.163275705542418	0.999	0.999	0.00678343223788492
Tomm7	2.13140070866881e-07	0.120258278579255	0.989	0.991	0.00718196782793042
Camk2a	2.84955392518882e-07	0.137854022054443	0.342	0.234	0.00960185690631626
Dpm3	3.09480830394109e-07	0.149045272578029	0.867	0.811	0.0104282660609599
Ubxn4	4.17044481916196e-07	-0.148833870416413	0.778	0.836	0.0140527308626481
Atp5h	4.66129697242495e-07	-0.103274304058816	0.998	0.998	0.0157067062782831
Bloc1s1	4.71203784905597e-07	-0.137585269729954	0.359	0.46	0.015877682736179
Tardbp	5.25510712552488e-07	0.154178978443289	0.95	0.926	0.0177076089701686
Tomm6	5.53954199291583e-07	-0.167060031466703	0.911	0.939	0.0186660406993292
Sik1	6.19449931515063e-07	-0.0999928501825677	0.103	0.183	0.0208729848923316
Fau	6.3968998728043e-07	-0.101455810779836	1	1	0.0215549938114014
Gnas	7.10120153008568e-07	-0.130726051399564	0.993	0.998	0.0239282086757767
Slc15a2	7.50017138472012e-07	0.0669036954855945	0.152	0.075	0.0252725774979529
Cnbd2	8.01984749963013e-07	0.0625288316804522	0.145	0.07	0.0270236781347537
Hdgf	8.02647242864156e-07	0.148962027483226	0.965	0.957	0.0270460014955506
Rps21	8.50755030575606e-07	0.168266817214451	1	0.998	0.0286670415102756
Hmgb3	1.11670108011554e-06	0.199313446960388	0.858	0.804	0.0376283595955733
Gm44686	1.12413787137584e-06	-0.11198102693711	0.299	0.411	0.0378789497138803
Stmn1	1.51543824869524e-06	0.126572360300494	1	1	0.0510642072280348
Cct2	1.54257106260776e-06	0.141732379771955	0.977	0.945	0.0519784745256312
Rpl39	1.68130695830314e-06	0.150765219225466	1	0.998	0.0566533192669825
Gm21411	1.71675920067542e-06	0.0191289148331342	0.026	0	0.0578479180259589
Fus	1.92875221412805e-06	0.140407452949789	0.988	0.981	0.0649912346072587
Psmb8	2.14844664816701e-06	-0.136077693013867	0.971	0.974	0.0723940582566356
Lage3	2.18263788261933e-06	0.123093885889834	0.772	0.696	0.0735461660927409
A630014C17Rik	2.31020788027572e-06	-0.179751404373729	0.874	0.883	0.0778447647337706
Ndufb4	2.45045345632094e-06	-0.161446766863227	0.651	0.716	0.0825704796641903
Rpl38	2.56727239074122e-06	0.154431311795245	0.998	0.999	0.0865068104784162
Lsm5	2.65911134983335e-06	0.121486858016529	0.983	0.989	0.0896014160439846
Pcbp2	2.74219445705551e-06	0.0965144934458495	0.996	0.993	0.0924009844249425
Atp5k	2.91837365471275e-06	0.144301628325817	0.974	0.966	0.0983375186692009
Hnrnpf	3.00203852743219e-06	0.127193432195183	1	0.998	0.101156690220355
H4c8	3.22330508541325e-06	0.349242388967785	0.846	0.853	0.108612488158085
Rpsa	3.27033477259751e-06	-0.182371594735399	0.999	1	0.110197200497446
Ndufa4	3.53064284575994e-06	0.112747847887301	0.989	0.984	0.118968541330727
Sec61g	3.65943882689037e-06	0.118569807641603	0.981	0.974	0.123308450710898
Zfp991	3.90051021707059e-06	-0.0461369212971972	0.029	0.079	0.131431592274411
H3f3a	4.47824794131572e-06	0.103979330147292	1	1	0.150899042630574
Oaz1	4.59633951257968e-06	0.112800276494589	0.993	0.996	0.154878256215885
Cdca4	4.7264285819519e-06	0.150151189583197	0.718	0.665	0.159261737497451
Hmgb2	4.77284747358317e-06	0.153573946145075	1	1	0.160825868469858
Ybx1	4.86351099990001e-06	0.124853462636494	0.998	0.995	0.163880866652631
Sptssa	5.31227511294856e-06	0.150595281688881	0.89	0.848	0.179002422205915
Nr4a1	5.40472869483694e-06	-0.0251521845775397	0.041	0.098	0.182117738101226
Romo1	5.56699219723945e-06	0.128790798079827	0.935	0.891	0.187585369078181
Sumo2	5.60667909347896e-06	0.119624307805491	0.998	0.995	0.188922658733867
