	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	7.63500762624897e-62	-4.0332739933196	0	1	2.57269216974085e-57	CD8_exhausted_naive	Cluster_14
Il1r1	7.63500762624897e-62	-3.54068058472959	0	1	2.57269216974085e-57	CD8_exhausted_naive	Cluster_14
Blk	4.15212558108426e-59	-3.38958023936788	0.004	1	1.39910023580215e-54	CD8_exhausted_naive	Cluster_14
Clnk	1.24510478985807e-58	-3.78861859459644	0	0.95	4.19550509990575e-54	CD8_exhausted_naive	Cluster_14
Cxcr6	9.55395986758928e-56	-3.29149158426641	0.004	0.95	3.21930231698288e-51	CD8_exhausted_naive	Cluster_14
Serpinb1a	1.92828230949039e-55	-2.83843508564495	0	0.9	6.49754007005882e-51	CD8_exhausted_naive	Cluster_14
Cdh10	1.92828230949039e-55	-2.75135798913241	0	0.9	6.49754007005882e-51	CD8_exhausted_naive	Cluster_14
Ccr6	1.92828230949039e-55	-1.70384462194795	0	0.9	6.49754007005882e-51	CD8_exhausted_naive	Cluster_14
Il18r1	9.74449786199645e-54	-3.13004744177486	0.012	1	3.28350599957832e-49	CD8_exhausted_naive	Cluster_14
S100a4	1.0201521740339e-52	-4.54558016890184	0.004	0.9	3.43750476562463e-48	CD8_exhausted_naive	Cluster_14
Chst11	1.13486153449959e-52	-2.62363165971514	0.008	0.95	3.82402942664981e-48	CD8_exhausted_naive	Cluster_14
Trgc1	2.83750267841486e-52	-2.94153469408232	0	0.85	9.56124902518671e-48	CD8_exhausted_naive	Cluster_14
Zbtb16	2.83750267841486e-52	-2.43493122991951	0	0.85	9.56124902518671e-48	CD8_exhausted_naive	Cluster_14
S100a6	1.55291173573699e-49	-4.65523561402747	0.004	0.85	5.23269138473938e-45	CD8_exhausted_naive	Cluster_14
Tmem176a	1.55291173573699e-49	-3.01309121297011	0.004	0.85	5.23269138473938e-45	CD8_exhausted_naive	Cluster_14
Jaml	2.39721353752747e-49	-2.44016692603459	0.008	0.9	8.07765073605257e-45	CD8_exhausted_naive	Cluster_14
Niban1	2.56595409645143e-49	-2.05376058754122	0.012	0.95	8.64623892340274e-45	CD8_exhausted_naive	Cluster_14
Ly6a	3.96959815800912e-49	-3.51293619504332	0	0.8	1.33759579532275e-44	CD8_exhausted_naive	Cluster_14
