	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Myl10	3.47975524310842e-72	-3.49405643010026	0.012	0.955	1.17253832671781e-67	CD8_exhausted_naive	DN_Precursors
Gm4632	3.66934250955962e-72	-3.24056022489754	0	0.937	1.23642165202121e-67	CD8_exhausted_naive	DN_Precursors
Pgls	2.06151651160723e-68	-1.91115140632705	0.016	0.937	6.94648603751173e-64	CD8_exhausted_naive	DN_Precursors
Il2ra	1.79751088205129e-67	-3.11122004053007	0.019	0.937	6.05689266816004e-63	CD8_exhausted_naive	DN_Precursors
Crip1	1.88070019356913e-66	-4.32705884907648	0.062	0.964	6.33720737225054e-62	CD8_exhausted_naive	DN_Precursors
Trgc2	4.4591474250865e-65	-2.67919624762062	0.004	0.874	1.50255431635715e-60	CD8_exhausted_naive	DN_Precursors
Trgc1	2.16165165312739e-64	-2.70889660121773	0	0.856	7.28390141037805e-60	CD8_exhausted_naive	DN_Precursors
Notch3	9.31708263512061e-64	-2.28633488911859	0.004	0.865	3.13948416473024e-59	CD8_exhausted_naive	DN_Precursors
Ly6d	1.47010789394221e-63	-3.50253225080932	0.078	0.973	4.95367555942766e-59	CD8_exhausted_naive	DN_Precursors
Plac8	7.32858236117029e-62	-3.42699042617322	0.004	0.838	2.46943911241994e-57	CD8_exhausted_naive	DN_Precursors
Gria3	3.57472661495062e-59	-2.08605079154151	0.019	0.865	1.20453988017376e-54	CD8_exhausted_naive	DN_Precursors
Trgc4	1.33101532859737e-58	-2.18064326765144	0	0.793	4.48498925124171e-54	CD8_exhausted_naive	DN_Precursors
Hes1	1.33101532859737e-58	-2.1191055508999	0	0.793	4.48498925124171e-54	CD8_exhausted_naive	DN_Precursors
Bst2	4.76671470721967e-58	-1.85776983006357	0.019	0.856	1.60619218774474e-53	CD8_exhausted_naive	DN_Precursors
Rps28	6.33438832479088e-58	-3.43614887245529	0.195	0.973	2.13443548992153e-53	CD8_exhausted_naive	DN_Precursors
Rps5	1.95301683011139e-57	-3.4805493601698	0.163	0.964	6.58088551074334e-53	CD8_exhausted_naive	DN_Precursors
Atp8b4	9.856507405316e-57	-2.39281998192378	0.058	0.919	3.32124873529528e-52	CD8_exhausted_naive	DN_Precursors
Rpl22l1	1.20797265893351e-56	-2.33686405709067	0.082	0.928	4.07038467154237e-52	CD8_exhausted_naive	DN_Precursors
Rps18	1.23622651383681e-56	-3.73923337247484	0.257	0.991	4.16558886102452e-52	CD8_exhausted_naive	DN_Precursors
Rpl7	1.35561052693666e-56	-3.25332058934167	0.214	0.973	4.56786523156577e-52	CD8_exhausted_naive	DN_Precursors
Cox8a	1.35913110271012e-56	-2.04341535565305	0.054	0.91	4.57972816369201e-52	CD8_exhausted_naive	DN_Precursors
Rpl29	1.99790722062334e-56	-2.89912445245977	0.136	0.946	6.73214817061242e-52	CD8_exhausted_naive	DN_Precursors
Rpl35	2.92101124224157e-56	-3.06506470474395	0.121	0.928	9.84263948185721e-52	CD8_exhausted_naive	DN_Precursors
Rpl36a	6.16839693095065e-56	-3.15401044915249	0.156	0.955	2.07850302985313e-51	CD8_exhausted_naive	DN_Precursors
Rps2	7.04456276315035e-56	-3.54232714633445	0.245	0.982	2.37373586867114e-51	CD8_exhausted_naive	DN_Precursors
Rps4x	7.06838408441469e-56	-3.64300437243404	0.195	0.964	2.38176270108437e-51	CD8_exhausted_naive	DN_Precursors
