	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Rps5	9.42535134790414e-68	-3.90416664430414	0.163	0.985	3.17596639018978e-63	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Uba52	4.16363099591304e-67	-2.51782131219945	0.07	0.97	1.40297710038286e-62	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
AW112010	6.44755252226328e-66	-3.38314463582535	0.008	0.859	2.17256729790183e-61	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl7	1.87901432318379e-65	-3.2147824187439	0.214	0.985	6.33152666340011e-61	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl34	3.34126550948112e-65	-3.66957448927416	0.222	0.985	1.12587282607476e-60	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rps4x	4.51480223144761e-65	-3.84841775734576	0.195	0.978	1.52130775990859e-60	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl35	5.96014783889156e-65	-3.01070665987775	0.121	0.963	2.0083314157929e-60	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rps28	6.07115123421021e-65	-3.35444496979764	0.195	0.978	2.04573511987947e-60	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rps18	1.4058776308952e-64	-4.00999460348169	0.257	0.985	4.73724526506448e-60	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl29	2.1070596829353e-64	-2.96202619784776	0.136	0.963	7.09994830761878e-60	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl14	2.30418642144394e-64	-3.10704885656194	0.175	0.978	7.76418656569749e-60	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl10	2.34567925595016e-64	-3.41363948664308	0.171	0.97	7.90400082084966e-60	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rps15a	9.96305011599149e-64	-3.88260708787662	0.304	1	3.35714936708449e-59	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rps7	1.07183776767112e-63	-3.90325473113328	0.272	0.993	3.61166454194459e-59	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl3	3.18811812753735e-63	-3.28180368828009	0.191	0.978	1.07426828425498e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl9	5.07652218396628e-63	-3.63516037065346	0.272	0.985	1.71058491510928e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl39	5.09887457668121e-63	-3.70430724443092	0.253	0.978	1.7181167773585e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl23	5.92836586408219e-63	-3.95602095417898	0.3	0.985	1.99762216156113e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rplp0	6.6998087201509e-63	-3.48256758907934	0.261	0.985	2.25756754634205e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl26	7.28419513948332e-63	-3.1535018743318	0.292	0.993	2.4544823942003e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl21	8.69252158045271e-63	-3.40529350075826	0.311	0.993	2.92903207174934e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl38	1.03703648830384e-62	-3.21439075135056	0.276	0.985	3.49439815098862e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl8	1.0768228490775e-62	-3.25882116744761	0.265	0.985	3.62846227225155e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rps24	1.26405495352208e-62	-4.23603946860169	0.311	0.985	4.25935957138801e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl32	1.32340911971241e-62	-3.72029806549627	0.304	0.985	4.45935936978295e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rps6	1.32979697929865e-62	-3.05161800876341	0.249	0.985	4.48088390144472e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rps14	1.40364871468773e-62	-3.52377995247667	0.311	0.993	4.72973470901179e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpsa	1.55323153660353e-62	-3.52055689481899	0.319	0.993	5.23376898573926e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
Rpl5	1.7841545600923e-62	-3.08544978472216	0.237	0.97	6.01188720568702e-58	CD8_exhausted_naive	Monocyte_Macrophages_Dendritic
