	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Mki67	6.7504742290768e-111	3.42886250086036	0.881	0.043	2.27463979622972e-106	Cluster_13	DPsel
Knl1	4.59627477551658e-110	2.84541951381195	0.761	0.022	1.54876074835807e-105	Cluster_13	DPsel
Cenpe	1.73680786358767e-105	2.8024354396958	0.746	0.024	5.852347777145e-101	Cluster_13	DPsel
Anln	4.78906801839369e-103	1.93745610563558	0.582	0.005	1.61372435947794e-98	Cluster_13	DPsel
Kif11	3.77989310144643e-94	3.09438446358295	0.746	0.034	1.27367277946339e-89	Cluster_13	DPsel
Neil3	2.94443317650645e-93	2.31750915706388	0.597	0.012	9.92156203155615e-89	Cluster_13	DPsel
Cenpf	4.33927214103657e-90	2.77548918541555	0.657	0.021	1.46216114064368e-85	Cluster_13	DPsel
Depdc1a	6.29179407751992e-90	1.97228764047471	0.582	0.012	2.12008293236111e-85	Cluster_13	DPsel
Bub1b	1.60513654554628e-88	1.92115970263872	0.627	0.019	5.40866810387274e-84	Cluster_13	DPsel
Top2a	1.8756399261708e-85	4.15188659351655	0.91	0.092	6.32015629522512e-81	Cluster_13	DPsel
Aspm	5.16309173846579e-84	1.80242569552638	0.552	0.012	1.73975539219343e-79	Cluster_13	DPsel
Ncapg2	2.75830998400762e-81	2.00605718401986	0.627	0.025	9.29440132211209e-77	Cluster_13	DPsel
Kif4	1.14980832684402e-79	2.13574751817586	0.582	0.019	3.87439413813361e-75	Cluster_13	DPsel
Nusap1	9.62084819681537e-78	2.31945097733572	0.642	0.031	3.24184100839891e-73	Cluster_13	DPsel
Kif15	1.8195865483072e-75	2.51308466721278	0.612	0.028	6.13127883317595e-71	Cluster_13	DPsel
Stil	1.11990203620344e-74	1.49665296112279	0.493	0.011	3.77362190119112e-70	Cluster_13	DPsel
Cdca2	1.86477219325577e-74	1.6973527093043	0.493	0.011	6.28353638239465e-70	Cluster_13	DPsel
Kif14	4.20883327575192e-73	1.49988734492565	0.418	0.004	1.41820846059737e-68	Cluster_13	DPsel
Mis18bp1	6.5223664135652e-72	2.0091244106788	0.522	0.017	2.19777658671493e-67	Cluster_13	DPsel
Cenpp	6.93418274785e-72	2.95733408079316	0.746	0.064	2.33654221871554e-67	Cluster_13	DPsel
Hmmr	4.97494376680467e-71	1.68541595674319	0.522	0.017	1.6763570516625e-66	Cluster_13	DPsel
Nuf2	1.31540905913902e-70	1.20408515108538	0.418	0.005	4.43240236567486e-66	Cluster_13	DPsel
Tpx2	2.2788505224337e-70	2.08745857258812	0.567	0.025	7.6788147203926e-66	Cluster_13	DPsel
E2f2	4.25003026956706e-70	2.34552822411348	0.731	0.064	1.43209019963332e-65	Cluster_13	DPsel
Diaph3	1.38213803591759e-69	3.30273298359504	0.746	0.068	4.6572523258279e-65	Cluster_13	DPsel
Lockd	3.4327812209477e-69	2.63640560675633	0.716	0.058	1.15670996021054e-64	Cluster_13	DPsel
Esco2	6.66368269598103e-67	1.36197517987779	0.373	0.002	2.24539452123777e-62	Cluster_13	DPsel
Ttk	7.32272814177017e-67	1.1893713580458	0.388	0.004	2.46746647465088e-62	Cluster_13	DPsel
Prc1	6.76407379828025e-66	2.2294581858144	0.612	0.039	2.27922230706851e-61	Cluster_13	DPsel
Ccnf	2.38287177634403e-65	1.31339355598503	0.463	0.013	8.02932473756883e-61	Cluster_13	DPsel
Ect2	4.40313837212362e-65	2.37851114674394	0.642	0.047	1.48368150587077e-60	Cluster_13	DPsel
Cit	1.10026237666808e-64	1.78302136187729	0.552	0.028	3.70744410442076e-60	Cluster_13	DPsel
Bub1	2.96240629853269e-64	1.26422401334046	0.418	0.008	9.98212426353575e-60	Cluster_13	DPsel
Clspn	3.6484990023173e-64	1.9820384370733	0.537	0.026	1.22939822382084e-59	Cluster_13	DPsel
E2f7	6.41472358069148e-64	1.27391138278889	0.358	0.002	2.1615052577498e-59	Cluster_13	DPsel
Arpp21	6.63792620233304e-63	4.5203186672803	0.955	0.2	2.23671561313814e-58	Cluster_13	DPsel
Sgo2a	2.40947089703034e-62	1.30337745124532	0.418	0.009	8.11895313463343e-58	Cluster_13	DPsel
Shcbp1	4.68810653156956e-62	1.35000016578943	0.373	0.005	1.57970437687768e-57	Cluster_13	DPsel
E2f8	6.60742964704452e-62	1.34639133083342	0.373	0.005	2.22643949386812e-57	Cluster_13	DPsel
Fancd2	5.78062950570507e-61	0.997458961165101	0.313	0	1.94784091824238e-56	Cluster_13	DPsel
Spag5	1.71950798831064e-60	1.15583223638914	0.388	0.007	5.79405411741153e-56	Cluster_13	DPsel
Kif18a	7.21003493135002e-60	2.0160683014256	0.612	0.047	2.4294933704677e-55	Cluster_13	DPsel
Sgo1	3.79325389696616e-58	1.19261363559537	0.433	0.014	1.27817483312172e-53	Cluster_13	DPsel
Kntc1	1.65451860594079e-57	1.1958263458143	0.403	0.011	5.57506589457809e-53	Cluster_13	DPsel
Bard1	2.22744081807517e-57	1.74642903129882	0.552	0.037	7.50558458058608e-53	Cluster_13	DPsel
Espl1	3.0356142979758e-56	0.973365293861603	0.343	0.005	1.02288059384593e-51	Cluster_13	DPsel
Ncapg	1.36228622348273e-55	1.26876046623751	0.418	0.014	4.5903596586474e-51	Cluster_13	DPsel
Ticrr	1.10123617981877e-52	1.01852858430451	0.358	0.008	3.71072543151732e-48	Cluster_13	DPsel
Tacc3	7.83224936925902e-51	1.60602096040047	0.478	0.03	2.63915474746552e-46	Cluster_13	DPsel
Rtkn2	1.87238965917498e-49	1.26099031952119	0.418	0.019	6.30920419555601e-45	Cluster_13	DPsel
Cip2a	1.91519027944735e-49	1.67461355425235	0.433	0.022	6.4534251656258e-45	Cluster_13	DPsel
