	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Bcl11b	8.6231026960351e-23	3.17549344045496	1	0.274	2.90564068445599e-18	Cluster_13	Stroma
Cd74	1.74526078036599e-22	-6.46400482951636	0	0.877	5.88083072552124e-18	Cluster_13	Stroma
Fth1	3.92198824733946e-22	-4.94950265000777	0.299	0.959	1.32155315982351e-17	Cluster_13	Stroma
Tmsb4x	5.15023390515466e-22	-5.26585343696949	0.463	0.973	1.73542281668091e-17	Cluster_13	Stroma
Cyba	1.20679565167556e-21	-3.31212300999686	0.104	0.904	4.06641862788596e-17	Cluster_13	Stroma
Top2a	1.67804803412676e-21	3.74359839267136	0.91	0.137	5.65435065579352e-17	Cluster_13	Stroma
Ctss	3.02806539026536e-21	-3.63237589493522	0.015	0.849	1.02033691390382e-16	Cluster_13	Stroma
Ftl1	4.32926707250544e-21	-4.50716699143071	0.269	0.973	1.45878983275143e-16	Cluster_13	Stroma
Rplp1	4.83053623218854e-21	-3.386827452173	0.463	0.959	1.62769748879825e-16	Cluster_13	Stroma
Rpl39	9.75192104625395e-21	-3.31697205722785	0.358	0.945	3.28600731574573e-16	Cluster_13	Stroma
Arpp21	1.55066786834745e-20	3.139180790293	0.955	0.233	5.22513044918358e-16	Cluster_13	Stroma
Smc4	2.02185133711588e-20	2.49273940456444	0.955	0.425	6.81283026554568e-16	Cluster_13	Stroma
B2m	2.74655734674522e-20	-3.97577151504126	0.164	0.89	9.25479963559268e-16	Cluster_13	Stroma
H2-D1	3.61485585843744e-20	-3.31518790887246	0.149	0.89	1.21806183005908e-15	Cluster_13	Stroma
Mki67	3.62202385035953e-20	3.20191673644341	0.881	0.164	1.22047715661715e-15	Cluster_13	Stroma
H2-Ab1	3.82909406151104e-20	-4.93927186151693	0.015	0.822	1.29025153496676e-15	Cluster_13	Stroma
Ano6	7.64802926464792e-20	3.02622366641603	0.925	0.384	2.57707994101576e-15	Cluster_13	Stroma
H2-K1	8.95797556226321e-20	-3.69196725514285	0.119	0.863	3.01847944546021e-15	Cluster_13	Stroma
Rps24	1.03040025305857e-19	-3.37135703560598	0.418	0.959	3.47203669270615e-15	Cluster_13	Stroma
Rps11	1.16702133567254e-19	-2.89324123283345	0.463	0.973	3.93239509268218e-15	Cluster_13	Stroma
