	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ccnb2	3.08587337372764e-230	-2.74172017496039	0.011	0.869	1.03981589201127e-225	Cluster_2_6	Cluster_9
Cenpa	6.9443376873254e-221	-2.99674132825231	0.025	0.905	2.33996402712117e-216	Cluster_2_6	Cluster_9
Cenpf	1.23343063720363e-216	-3.33803410297811	0.013	0.833	4.15616787512134e-212	Cluster_2_6	Cluster_9
Birc5	3.54768432008059e-213	-2.62099996234982	0.015	0.839	1.19542770849436e-208	Cluster_2_6	Cluster_9
Selenoh	8.19763160043737e-211	-1.80504217268713	0.015	0.839	2.76227394408337e-206	Cluster_2_6	Cluster_9
Cenpe	3.89866359060974e-209	-2.23501797284081	0.012	0.815	1.31369368349186e-204	Cluster_2_6	Cluster_9
Hmgn2	3.67670222965603e-203	-3.35351612730942	0.066	0.982	1.2389015833049e-198	Cluster_2_6	Cluster_9
Tpx2	2.89806888539799e-197	-2.18836500107344	0.006	0.732	9.76533291623705e-193	Cluster_2_6	Cluster_9
Cks1b	2.76029225728833e-195	-2.0103147093093	0.014	0.78	9.30108079015874e-191	Cluster_2_6	Cluster_9
Cdca8	9.17870478254396e-195	-2.05474073220821	0.007	0.732	3.09285636352601e-190	Cluster_2_6	Cluster_9
Hint1	3.34339475590859e-191	-1.80021247728775	0.035	0.893	1.12659029695096e-186	Cluster_2_6	Cluster_9
Cdc20	3.42843901093066e-190	-2.47235263080562	0.003	0.69	1.1552468091232e-185	Cluster_2_6	Cluster_9
Mki67	4.50101965383358e-190	-2.85727714944195	0.023	0.81	1.51666358255576e-185	Cluster_2_6	Cluster_9
Crip1	2.67707106971173e-184	-2.69433377407513	0.07	0.964	9.02065867650065e-180	Cluster_2_6	Cluster_9
Knstrn	1.6071801593684e-183	-1.58966775314222	0.014	0.75	5.41555426500776e-179	Cluster_2_6	Cluster_9
Emp3	3.41214420035993e-183	-1.77769165004573	0.034	0.857	1.14975610975328e-178	Cluster_2_6	Cluster_9
Cdca3	1.90614251584462e-182	-1.47414830530784	0.004	0.673	6.42293782139003e-178	Cluster_2_6	Cluster_9
Lockd	2.19334409338638e-180	-2.65816971224919	0.063	0.946	7.39069225707475e-176	Cluster_2_6	Cluster_9
Lgals1	4.52122186112334e-180	-3.28536222553307	0.088	0.97	1.52347091832412e-175	Cluster_2_6	Cluster_9
Stmn1	2.22210747090416e-177	-3.65212474770825	0.113	1	7.48761333395864e-173	Cluster_2_6	Cluster_9
Dlgap5	1.0605548889418e-171	-1.78186472848767	0.008	0.667	3.5736457537783e-167	Cluster_2_6	Cluster_9
Cks2	2.26581931062718e-171	-2.81304098684136	0.032	0.78	7.63490474908933e-167	Cluster_2_6	Cluster_9
Ube2c	6.45189867622901e-171	-3.56259207539818	0.022	0.738	2.17403177794213e-166	Cluster_2_6	Cluster_9
Vim	1.20245168553404e-170	-1.76473157943879	0.022	0.75	4.05178119957551e-166	Cluster_2_6	Cluster_9
Ccnb1	6.61177265276037e-169	-2.05004226892463	0.003	0.619	2.22790291307413e-164	Cluster_2_6	Cluster_9
Lsm5	1.01139323134532e-164	-1.74969018055803	0.053	0.887	3.40799063234119e-160	Cluster_2_6	Cluster_9
Dbi	2.86624739311481e-162	-1.66985425757268	0.045	0.845	9.65810721583968e-158	Cluster_2_6	Cluster_9
Rps27l	7.18399600304338e-162	-1.64550833567861	0.068	0.946	2.4207192931855e-157	Cluster_2_6	Cluster_9
Hmgn5	6.84953628154894e-161	-1.43258835930048	0.021	0.72	2.30801974543073e-156	Cluster_2_6	Cluster_9
Knl1	3.98170172743042e-160	-1.92172973366815	0.018	0.69	1.34167421407495e-155	Cluster_2_6	Cluster_9
Lsm3	1.95481795842719e-158	-1.34937165040597	0.036	0.798	6.58695459271625e-154	Cluster_2_6	Cluster_9
Lsm4	5.71924545802872e-158	-1.60824656731374	0.056	0.881	1.92715694953736e-153	Cluster_2_6	Cluster_9
Fkbp2	2.18721558995653e-157	-1.32549460585611	0.02	0.702	7.37004165191753e-153	Cluster_2_6	Cluster_9
Hmmr	7.20088569656547e-157	-1.89830181080086	0.006	0.601	2.4264104443147e-152	Cluster_2_6	Cluster_9
Snrpf	1.85524147956948e-156	-2.04592048437346	0.09	0.964	6.25142168955734e-152	Cluster_2_6	Cluster_9
Ppp1r14b	2.63279193774527e-156	-2.69891334367494	0.136	1	8.87145571342645e-152	Cluster_2_6	Cluster_9
Rpl3	4.53702381781904e-155	-2.65275520957143	0.124	0.988	1.5287955456523e-150	Cluster_2_6	Cluster_9
Cops9	6.11415230699261e-154	-1.23048918453699	0.041	0.81	2.06022476136423e-149	Cluster_2_6	Cluster_9
Cox7a2	2.5455144838527e-153	-2.25702838517819	0.108	0.976	8.57736560479005e-149	Cluster_2_6	Cluster_9
S100a13	3.84555708717085e-153	-1.56966815660568	0.06	0.881	1.29579891609309e-148	Cluster_2_6	Cluster_9
Ndufb11	8.68463416633753e-153	-1.79333388128743	0.076	0.917	2.9263743286891e-148	Cluster_2_6	Cluster_9
Nucks1	8.80374590974884e-153	-2.46762882787607	0.093	0.94	2.96651022174897e-148	Cluster_2_6	Cluster_9
Tomm7	2.04280040214552e-152	-1.99372919543206	0.102	0.988	6.88342023506953e-148	Cluster_2_6	Cluster_9
Ran	4.10731860850565e-151	-2.15119358672643	0.08	0.917	1.38400207832207e-146	Cluster_2_6	Cluster_9
Sec61b	1.6009548780791e-150	-1.93717145367722	0.104	1	5.39457755717535e-146	Cluster_2_6	Cluster_9
Ndufa4	8.60856265147742e-150	-2.16211318585409	0.117	0.994	2.90074127104183e-145	Cluster_2_6	Cluster_9
2610318N02Rik	1.37351285658392e-149	-1.06724571176499	0.004	0.565	4.62818892154518e-145	Cluster_2_6	Cluster_9
Gm10076	3.68826702497661e-149	-1.5383859296038	0.062	0.875	1.24279845673612e-144	Cluster_2_6	Cluster_9
Atp5k	4.80128835985724e-149	-1.57434776281399	0.076	0.929	1.61784212573749e-144	Cluster_2_6	Cluster_9
Ckap2l	8.05326647405328e-149	-1.21867147283294	0.002	0.542	2.71362867109699e-144	Cluster_2_6	Cluster_9
Banf1	3.02170709860148e-148	-1.77696253477675	0.072	0.899	1.01819442394475e-143	Cluster_2_6	Cluster_9
Calm3	5.43169192864731e-148	-1.77786999923149	0.083	0.935	1.830262912277e-143	Cluster_2_6	Cluster_9
Pgls	8.2068383839311e-148	-1.35570817801898	0.039	0.774	2.76537626184942e-143	Cluster_2_6	Cluster_9
Atpif1	1.09826235207309e-147	-1.96297826821832	0.091	0.946	3.70070482154549e-143	Cluster_2_6	Cluster_9
Psmb5	4.23040115262916e-147	-1.34241825500402	0.054	0.845	1.42547597238992e-142	Cluster_2_6	Cluster_9
