	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H1f5	0	-4.80121061594476	0.129	0.97	0	Cluster_2_6	preDP_DPblast
Hmgb2	0	-4.71782985112977	0.214	1	0	Cluster_2_6	preDP_DPblast
H2ac8	0	-4.15081127227296	0.062	0.945	0	Cluster_2_6	preDP_DPblast
H2az1	0	-4.10240863709925	0.175	1	0	Cluster_2_6	preDP_DPblast
Stmn1	0	-3.93708683381963	0.113	1	0	Cluster_2_6	preDP_DPblast
Ptma	0	-3.89403280427711	0.56	1	0	Cluster_2_6	preDP_DPblast
H2ac24	0	-3.81965251863758	0.029	0.924	0	Cluster_2_6	preDP_DPblast
Top2a	0	-3.81330993545658	0.043	0.977	0	Cluster_2_6	preDP_DPblast
Ppia	0	-3.80041473478077	0.336	1	0	Cluster_2_6	preDP_DPblast
Hmgn2	0	-3.66737848759854	0.066	0.998	0	Cluster_2_6	preDP_DPblast
H4c4	0	-3.52203421657471	0.098	0.946	0	Cluster_2_6	preDP_DPblast
H3c3	0	-3.49504248246316	0.013	0.883	0	Cluster_2_6	preDP_DPblast
H2ac4	0	-3.46613971739314	0.017	0.889	0	Cluster_2_6	preDP_DPblast
Tuba1b	0	-3.45869457004013	0.044	0.989	0	Cluster_2_6	preDP_DPblast
Rpsa	0	-3.44175857918042	0.278	1	0	Cluster_2_6	preDP_DPblast
Pclaf	0	-3.39126675770381	0.017	0.975	0	Cluster_2_6	preDP_DPblast
Rplp0	0	-3.27169444237156	0.29	0.999	0	Cluster_2_6	preDP_DPblast
Rpl3	0	-3.26472716048821	0.124	0.995	0	Cluster_2_6	preDP_DPblast
Mki67	0	-3.26333895976423	0.023	0.98	0	Cluster_2_6	preDP_DPblast
Rps2	0	-3.2625699519066	0.203	0.988	0	Cluster_2_6	preDP_DPblast
Rps20	0	-3.18633608966331	0.312	0.999	0	Cluster_2_6	preDP_DPblast
Rps4x	0	-3.13286612205293	0.226	0.996	0	Cluster_2_6	preDP_DPblast
Rps26	0	-3.1272352801961	0.259	1	0	Cluster_2_6	preDP_DPblast
Rpl39	0	-3.11170335807287	0.255	0.998	0	Cluster_2_6	preDP_DPblast
Rps8	0	-3.08613574873106	0.353	0.999	0	Cluster_2_6	preDP_DPblast
Rpl13	0	-3.08498899581401	0.345	1	0	Cluster_2_6	preDP_DPblast
Rps27a	0	-3.07755516830251	0.289	1	0	Cluster_2_6	preDP_DPblast
Rpl32	0	-3.06723154480368	0.343	0.999	0	Cluster_2_6	preDP_DPblast
Rps16	0	-3.05675717494842	0.352	1	0	Cluster_2_6	preDP_DPblast
Rps15a	0	-3.02723406221406	0.32	0.999	0	Cluster_2_6	preDP_DPblast
Rplp2	0	-2.99515396819489	0.323	1	0	Cluster_2_6	preDP_DPblast
Rpl21	0	-2.99400338541329	0.232	0.999	0	Cluster_2_6	preDP_DPblast
Rps24	0	-2.9759698675795	0.373	1	0	Cluster_2_6	preDP_DPblast
Rps18	0	-2.96144332147157	0.259	0.998	0	Cluster_2_6	preDP_DPblast
Rpl15	0	-2.96114514825313	0.269	0.998	0	Cluster_2_6	preDP_DPblast
Rpl28	0	-2.95662803464225	0.335	1	0	Cluster_2_6	preDP_DPblast
Rps5	0	-2.95010836313211	0.218	0.998	0	Cluster_2_6	preDP_DPblast
Rpl10	0	-2.93508467876549	0.159	0.991	0	Cluster_2_6	preDP_DPblast
Rps3	0	-2.93199058966766	0.257	0.999	0	Cluster_2_6	preDP_DPblast
Rpl23	0	-2.92567074697649	0.325	0.999	0	Cluster_2_6	preDP_DPblast
Rps10	0	-2.91192001524191	0.332	1	0	Cluster_2_6	preDP_DPblast
Rpl41	0	-2.90751485657379	0.29	0.996	0	Cluster_2_6	preDP_DPblast
Tubb5	0	-2.90346245165178	0.238	1	0	Cluster_2_6	preDP_DPblast
Rps19	0	-2.89422379720023	0.29	0.999	0	Cluster_2_6	preDP_DPblast
Rpl12	0	-2.86469822480232	0.249	0.999	0	Cluster_2_6	preDP_DPblast
Dut	0	-2.86277425167579	0.082	0.984	0	Cluster_2_6	preDP_DPblast
H2ac22	0	-2.853124222804	0.028	0.893	0	Cluster_2_6	preDP_DPblast
Rpl10a	0	-2.84798845111808	0.178	0.992	0	Cluster_2_6	preDP_DPblast
Rps23	0	-2.84779321390715	0.322	1	0	Cluster_2_6	preDP_DPblast
Rpl9	0	-2.8368966856444	0.266	0.996	0	Cluster_2_6	preDP_DPblast
Anp32b	0	-2.82139799152151	0.153	1	0	Cluster_2_6	preDP_DPblast
Rpl22	0	-2.80937660603244	0.21	0.994	0	Cluster_2_6	preDP_DPblast
Ran	0	-2.80769851991655	0.08	0.994	0	Cluster_2_6	preDP_DPblast
Rps6	0	-2.80604395776119	0.198	0.991	0	Cluster_2_6	preDP_DPblast
Rps29	0	-2.80592383896592	0.362	1	0	Cluster_2_6	preDP_DPblast
Rpl8	0	-2.80576145312427	0.281	0.998	0	Cluster_2_6	preDP_DPblast
Rpl18a	0	-2.80120778141708	0.308	1	0	Cluster_2_6	preDP_DPblast
Rps13	0	-2.79508512927585	0.302	0.998	0	Cluster_2_6	preDP_DPblast
Rpl36a	0	-2.75738671395717	0.148	0.993	0	Cluster_2_6	preDP_DPblast
Gapdh	0	-2.7553478819712	0.181	0.998	0	Cluster_2_6	preDP_DPblast
Eef1a1	0	-2.74826066769743	0.446	1	0	Cluster_2_6	preDP_DPblast
Rpl19	0	-2.73877407613914	0.359	1	0	Cluster_2_6	preDP_DPblast
Rpl14	0	-2.7251376662918	0.205	0.996	0	Cluster_2_6	preDP_DPblast
Crip1	0	-2.725066746222	0.07	0.994	0	Cluster_2_6	preDP_DPblast
Rpl34	0	-2.72239663184572	0.293	0.999	0	Cluster_2_6	preDP_DPblast
