	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cd74	7.07786461537076e-32	-6.45523475317328	0.009	0.877	2.38495726079533e-27	DN_Precursors	Stroma
Cdk6	1.61386330866353e-30	3.6202202451692	1	0.301	5.43807380487264e-26	DN_Precursors	Stroma
Ctss	9.06637434615076e-30	-3.61735545088561	0.027	0.849	3.05500549967896e-25	DN_Precursors	Stroma
Fkbp5	1.06426426224111e-29	3.19662214748766	1	0.288	3.58614485804764e-25	DN_Precursors	Stroma
Cd3g	2.04056312947693e-29	3.9184275991357	0.982	0.192	6.87588152108546e-25	DN_Precursors	Stroma
Myl10	2.32268283592855e-29	3.41755100877236	0.955	0.027	7.82651208394483e-25	DN_Precursors	Stroma
Il2ra	3.67794775265857e-29	3.32039763028888	0.937	0	1.23932127473583e-24	DN_Precursors	Stroma
Gm4632	3.67794775265857e-29	3.24056022489754	0.937	0	1.23932127473583e-24	DN_Precursors	Stroma
Notch1	4.08364917318235e-29	2.54140791175026	0.964	0.096	1.37602642539553e-24	DN_Precursors	Stroma
Dntt	9.14350619067772e-28	2.90117656074751	0.982	0.192	3.08099584601077e-23	DN_Precursors	Stroma
Myb	9.95007497719546e-28	2.26773623340349	0.991	0.247	3.35277726431578e-23	DN_Precursors	Stroma
H2-Aa	1.54055165544492e-27	-5.29273485210887	0.018	0.795	5.1910428581872e-23	DN_Precursors	Stroma
Desi1	4.53943993753368e-27	2.27690219381357	0.973	0.288	1.52960968135135e-22	DN_Precursors	Stroma
Aqp11	5.45843517123103e-27	2.34125612202853	0.964	0.123	1.83927431529801e-22	DN_Precursors	Stroma
H2-Ab1	6.80187177813166e-27	-4.94981797143368	0.063	0.822	2.29195871435924e-22	DN_Precursors	Stroma
Rgcc	2.93794399637878e-26	2.50549218792777	0.964	0.192	9.89969609019795e-22	DN_Precursors	Stroma
Trgc2	3.27588469307995e-26	2.70721671794541	0.874	0	1.10384210618022e-21	DN_Precursors	Stroma
Cd3e	7.62565596109847e-26	2.33206125347227	0.973	0.205	2.56954103265174e-21	DN_Precursors	Stroma
5830418P13Rik	1.00701727459053e-25	2.0799520057041	0.928	0.137	3.39324540846025e-21	DN_Precursors	Stroma
Fam169b	1.70809315717759e-25	2.24165550563152	0.982	0.301	5.7555907024256e-21	DN_Precursors	Stroma
H2-Eb1	1.90542669417868e-25	-5.03473586980348	0.009	0.74	6.42052578870448e-21	DN_Precursors	Stroma
Notch3	2.06066658816507e-25	2.33575241591059	0.865	0.014	6.94362213548102e-21	DN_Precursors	Stroma
Uck2	2.6757756799169e-25	2.12108798862126	0.964	0.233	9.01629373104799e-21	DN_Precursors	Stroma
2610307P16Rik	2.99695854791668e-25	2.82542177575744	0.991	0.219	1.00985515230601e-20	DN_Precursors	Stroma
Mtf2	3.75113648878661e-25	2.04570459975723	0.955	0.288	1.26398295126154e-20	DN_Precursors	Stroma
