	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il7r	0	-4.66972753473672	0.003	1	0	DPre	Cluster_14
S100a4	0	-4.57349922502661	0.001	0.9	0	DPre	Cluster_14
Scart1	0	-4.33142829982735	0.001	0.8	0	DPre	Cluster_14
Il23r	0	-4.03113816327965	0.001	1	0	DPre	Cluster_14
Clnk	0	-3.78638116067193	0.001	0.95	0	DPre	Cluster_14
Il1r1	0	-3.53899232368225	0	1	0	DPre	Cluster_14
Blk	0	-3.40611799957479	0.001	1	0	DPre	Cluster_14
Il18r1	0	-3.23715672497097	0.003	1	0	DPre	Cluster_14
Maf	0	-3.19639359839407	0.006	0.95	0	DPre	Cluster_14
Trdv4	0	-3.01489419310296	0	0.6	0	DPre	Cluster_14
Trgc1	0	-2.9305729440114	0.003	0.85	0	DPre	Cluster_14
Serpinb1a	0	-2.8351070809782	0	0.9	0	DPre	Cluster_14
Cdh10	0	-2.7474813468501	0.001	0.9	0	DPre	Cluster_14
Capg	0	-2.64757683616575	0.003	0.9	0	DPre	Cluster_14
Zbtb16	0	-2.43493122991951	0	0.85	0	DPre	Cluster_14
Sntb1	0	-2.28992078208686	0.001	0.85	0	DPre	Cluster_14
Niban1	0	-2.1932297769934	0.002	0.95	0	DPre	Cluster_14
Ccr2	0	-2.06952313460571	0.003	0.8	0	DPre	Cluster_14
Trgc4	0	-2.04144123611419	0.002	0.8	0	DPre	Cluster_14
Or13a27	0	-1.88142993000446	0	0.7	0	DPre	Cluster_14
Cd7	0	-1.85835572783432	0	0.75	0	DPre	Cluster_14
Bcl2a1b	0	-1.84900907476321	0.001	0.8	0	DPre	Cluster_14
Rarg	0	-1.8154639411711	0.001	0.75	0	DPre	Cluster_14
Myo1e	0	-1.78214112934085	0.001	0.8	0	DPre	Cluster_14
Pxdc1	0	-1.70936244206069	0	0.8	0	DPre	Cluster_14
Bcl2a1d	0	-1.7064477042979	0	0.8	0	DPre	Cluster_14
Ccr6	0	-1.70301958198241	0	0.9	0	DPre	Cluster_14
Cst7	0	-1.59668532903154	0	0.8	0	DPre	Cluster_14
Kcnk1	0	-1.59314617321501	0	0.75	0	DPre	Cluster_14
Chd7	0	-1.58860302108372	0.001	0.7	0	DPre	Cluster_14
Gprin3	0	-1.47460123337247	0.001	0.7	0	DPre	Cluster_14
Sox13	0	-1.46511161289045	0	0.7	0	DPre	Cluster_14
Arnt2	0	-1.45464895752571	0	0.65	0	DPre	Cluster_14
Mmp25	0	-1.41842718098598	0	0.8	0	DPre	Cluster_14
Podnl1	0	-1.41345720355289	0.003	0.85	0	DPre	Cluster_14
Lrrn2	0	-1.40363235589096	0.001	0.6	0	DPre	Cluster_14
Zfp462	0	-1.37943184742345	0	0.7	0	DPre	Cluster_14
Trpm6	0	-1.2716440771487	0	0.7	0	DPre	Cluster_14
Prelid2	0	-1.23331530449922	0.001	0.6	0	DPre	Cluster_14
Cpe	0	-1.16599555429848	0	0.6	0	DPre	Cluster_14
Tnfrsf25	0	-1.11801292998541	0	0.7	0	DPre	Cluster_14
Ltb4r1	0	-1.0569788389196	0	0.65	0	DPre	Cluster_14
Krt83	0	-0.902689453818495	0	0.55	0	DPre	Cluster_14
Cpd	1.17176305667712e-307	-1.16219884695788	0	0.55	3.94837279577922e-303	DPre	Cluster_14
Jag1	1.69315326657253e-307	-0.849655298211033	0	0.55	5.70524924704278e-303	DPre	Cluster_14
Il18rap	2.72598928895037e-305	-1.25377160032409	0	0.5	9.18549350804718e-301	DPre	Cluster_14
Fgl2	2.72598928895037e-305	-1.24602224588851	0	0.5	9.18549350804718e-301	DPre	Cluster_14
Zbtb7c	2.72598928895037e-305	-1.15685431009669	0	0.5	9.18549350804718e-301	DPre	Cluster_14
Trgv6	2.72598928895037e-305	-1.15433635453401	0	0.5	9.18549350804718e-301	DPre	Cluster_14
H2-Q7	3.4855716740096e-303	-1.68295618057988	0.004	0.85	1.17449823127427e-298	DPre	Cluster_14
Pvt1	1.24910925581649e-299	-1.78183771864023	0.004	0.8	4.20899854839925e-295	DPre	Cluster_14
Ly6a	1.09873830680711e-290	-3.5015138741865	0.004	0.8	3.70230859861725e-286	DPre	Cluster_14
Fat3	4.29409077796706e-284	-1.67424133767482	0.001	0.55	1.44693682854378e-279	DPre	Cluster_14
Pik3ap1	8.6942780034912e-284	-1.45323062032965	0.003	0.7	2.92962391605639e-279	DPre	Cluster_14
Samhd1	1.11716570348125e-283	-1.78122464175926	0.005	0.85	3.76440155445043e-279	DPre	Cluster_14
Stab2	1.23507742818425e-277	-2.37956166125965	0	0.5	4.16171690200965e-273	DPre	Cluster_14
Lrrc17	1.77919683436213e-277	-1.05565788395723	0	0.5	5.99518165306663e-273	DPre	Cluster_14
Fam83a	2.13536352293516e-277	-0.818418004584887	0	0.5	7.19532092688233e-273	DPre	Cluster_14
Acsbg1	2.56276186586295e-277	-0.837912109194321	0	0.5	8.6354823832118e-273	DPre	Cluster_14
Adam19	2.80751573363771e-277	-1.05937361783915	0	0.5	9.46020501606563e-273	DPre	Cluster_14
Bcl2a1a	7.03761583567211e-275	-1.16335854405918	0	0.45	2.37139503198807e-270	DPre	Cluster_14
Ablim3	7.03761583567211e-275	-1.16182821102525	0	0.45	2.37139503198807e-270	DPre	Cluster_14
Aqp3	7.03761583567211e-275	-0.8824099186335	0	0.45	2.37139503198807e-270	DPre	Cluster_14
Tns4	7.03761583567211e-275	-0.767237259362241	0	0.45	2.37139503198807e-270	DPre	Cluster_14
Cryba4	7.03761583567211e-275	-0.514325468975249	0	0.45	2.37139503198807e-270	DPre	Cluster_14
Rasgef1b	6.23292463885178e-274	-1.28492786950777	0.001	0.6	2.1002462863075e-269	DPre	Cluster_14
Farp1	2.01848944550661e-268	-1.70992375047971	0.005	0.8	6.80150203557909e-264	DPre	Cluster_14
