	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cd74	0	-6.42760845848337	0.01	0.877	0	DPre	Stroma
H2-Aa	0	-5.29593483942591	0.005	0.795	0	DPre	Stroma
H2-Eb1	0	-5.05115939942192	0.003	0.74	0	DPre	Stroma
H2-Ab1	0	-5.01408862972657	0.005	0.822	0	DPre	Stroma
Tyrobp	0	-3.71510672564273	0.002	0.589	0	DPre	Stroma
Ctss	0	-3.63782829775956	0.002	0.849	0	DPre	Stroma
Ifi30	0	-3.10905704855286	0.003	0.767	0	DPre	Stroma
Cybb	0	-2.59894358610525	0.001	0.616	0	DPre	Stroma
Ctsh	0	-2.39742886598699	0	0.671	0	DPre	Stroma
Wdfy4	0	-2.34069282852976	0.001	0.589	0	DPre	Stroma
Ly86	0	-2.31357536028777	0.003	0.63	0	DPre	Stroma
Mpeg1	0	-2.07335025113516	0.001	0.548	0	DPre	Stroma
Unc93b1	0	-2.07298720799305	0.003	0.616	0	DPre	Stroma
Cd86	0	-1.70489482934753	0	0.521	0	DPre	Stroma
Napsa	0	-1.44848996572022	0.001	0.534	0	DPre	Stroma
Cd180	2.62250510332283e-304	-1.48962688284564	0.001	0.521	8.83679319615661e-300	DPre	Stroma
Sirpa	7.0264836904202e-304	-2.56642454950955	0	0.493	2.36764394432399e-299	DPre	Stroma
Rassf4	6.83734321430374e-296	-1.43154057306216	0.001	0.507	2.30391116949179e-291	DPre	Stroma
Lgals3	4.45463156268117e-293	-3.51976317624329	0.002	0.548	1.50103265136105e-288	DPre	Stroma
H2-Q7	7.10956884516015e-291	-2.10878398539982	0.004	0.603	2.39564031806517e-286	DPre	Stroma
Marchf1	6.6311668796735e-290	-1.9870676608808	0.001	0.521	2.23443799177478e-285	DPre	Stroma
Plcg2	4.81793867367789e-289	-1.2250532478365	0.001	0.521	1.6234526154825e-284	DPre	Stroma
Aif1	4.29891899848141e-287	-3.12716156081596	0	0.479	1.4485637457283e-282	DPre	Stroma
Lyn	1.53720862124999e-281	-2.77773070392388	0.014	0.767	5.17977817016397e-277	DPre	Stroma
Samhd1	1.48409770490426e-279	-1.73627772762792	0.005	0.603	5.00081562644539e-275	DPre	Stroma
Plek	6.07594405520304e-279	-1.42709241944701	0.001	0.479	2.04735010884122e-274	DPre	Stroma
Rnase6	1.91198731374958e-278	-1.2150217201113	0	0.452	6.44263245241058e-274	DPre	Stroma
Fcer1g	5.2250450238849e-278	-3.51899111089267	0.005	0.589	1.76063117124825e-273	DPre	Stroma
Bcl2a1b	2.02310133213398e-272	-1.94992964071334	0.001	0.493	6.81704224875867e-268	DPre	Stroma
Spi1	2.35427040343328e-271	-1.56178846273494	0.001	0.479	7.93294955140879e-267	DPre	Stroma
Fcgr2b	1.59148733534111e-270	-1.4132143484578	0.001	0.466	5.3626757251654e-266	DPre	Stroma
Kynu	5.60079817839133e-270	-1.71319150776279	0	0.438	1.88724495419074e-265	DPre	Stroma
Pik3ap1	1.70734111192e-269	-1.69352266142306	0.003	0.521	5.75305661072564e-265	DPre	Stroma
Mef2c	9.08513924095465e-266	-2.33493728531017	0.002	0.493	3.06132851863208e-261	DPre	Stroma
Gm15987	1.27792131858736e-264	-2.2774991725444	0.001	0.479	4.30608367511197e-260	DPre	Stroma
Btk	1.61919761119688e-261	-0.872484209293382	0	0.425	5.45604827068902e-257	DPre	Stroma
Lyz2	7.42726688804416e-260	-4.68107770147436	0.002	0.493	2.50269185059536e-255	DPre	Stroma
H2-DMb1	1.31953595456074e-254	-1.4252781950478	0.001	0.452	4.44630835248787e-250	DPre	Stroma
Lrrk1	4.62011513705258e-253	-0.986674698942658	0	0.411	1.55679399658124e-248	DPre	Stroma
Zeb2	2.84132065096715e-252	-2.85307315344962	0.004	0.521	9.5741140654989e-248	DPre	Stroma
Plbd1	1.94515669149016e-247	-2.30088370776067	0.003	0.493	6.55439998764524e-243	DPre	Stroma
Sdc3	2.87497696772031e-245	-1.85780090227613	0.001	0.425	9.68752239043037e-241	DPre	Stroma
Myo1e	3.02850636499272e-245	-1.69063169051568	0.001	0.425	1.02048550474795e-240	DPre	Stroma
Snx9	5.03285130974601e-242	-1.02820411749195	0.005	0.548	1.69586957733201e-237	DPre	Stroma
C1qa	4.32934607937553e-238	-4.22308968826485	0.001	0.425	1.45881645490638e-233	DPre	Stroma
Cd38	3.6169869129722e-236	-1.56964371937113	0	0.384	1.21877991019511e-231	DPre	Stroma
Hck	3.6169869129722e-236	-1.38912232711719	0	0.384	1.21877991019511e-231	DPre	Stroma
Btla	2.57906073334599e-229	-1.29762214006583	0.001	0.411	8.69040304708265e-225	DPre	Stroma
Lgmn	2.03180746153508e-228	-2.32372502271932	0.001	0.397	6.84637842238861e-224	DPre	Stroma
Cdk14	2.4992371084259e-228	-1.42864724147277	0.001	0.397	8.42142936055191e-224	DPre	Stroma
Ms4a6c	2.08337888525102e-223	-1.73191110484837	0.006	0.521	7.02015349174185e-219	DPre	Stroma
Chd7	1.10410408606167e-220	-0.833679562948679	0.001	0.397	3.72038912839341e-216	DPre	Stroma
Cd68	3.53492117465952e-220	-1.92695065077052	0.003	0.438	1.19112703901327e-215	DPre	Stroma
Pkib	6.05745241957909e-220	-1.22999358634074	0.001	0.384	2.04111916730137e-215	DPre	Stroma
C1qb	2.68848865287907e-219	-3.97942210404091	0	0.356	9.05913136474132e-215	DPre	Stroma
Irf8	4.05897796686966e-212	-2.44012309568794	0.008	0.534	1.3677132157164e-207	DPre	Stroma
Grn	4.77780649239157e-211	-1.8484352535024	0.006	0.507	1.60992967567626e-206	DPre	Stroma
Setbp1	7.18957194995558e-211	-1.22939330518505	0	0.342	2.42259816425703e-206	DPre	Stroma
Rasgrp3	7.18957194995558e-211	-0.897852078903834	0	0.342	2.42259816425703e-206	DPre	Stroma
Cd83	7.79474006780825e-211	-1.23899656920489	0	0.356	2.62651561324867e-206	DPre	Stroma
Ncf4	8.22100783739197e-211	-0.711114949301332	0	0.356	2.7701508008876e-206	DPre	Stroma
H2-Q6	8.67052296491362e-211	-0.612182814880935	0	0.356	2.92161941825729e-206	DPre	Stroma
Bcl11a	1.42250242782956e-206	-1.65933492664841	0.003	0.425	4.7932641808145e-202	DPre	Stroma
Bank1	3.61951065004257e-206	-2.82082859640938	0.001	0.384	1.21963030863834e-201	DPre	Stroma
Smad7	4.4611018842801e-203	-0.608818288522698	0.001	0.356	1.50321289092702e-198	DPre	Stroma
Slamf7	1.57409549380097e-202	-1.14741707176479	0	0.342	5.30407217591176e-198	DPre	Stroma
Ms4a1	1.89822058489777e-202	-2.06295561321886	0	0.329	6.39624408287153e-198	DPre	Stroma
Ly6a	5.77982978766084e-200	-2.68854195584148	0.004	0.438	1.9475714452502e-195	DPre	Stroma
C1qc	7.2733955824739e-200	-3.57415456866568	0.002	0.384	2.45084337547041e-195	DPre	Stroma
Iglc3	7.5958995778068e-198	-1.78213981075491	0.001	0.37	2.55951432173778e-193	DPre	Stroma
Ncf1	6.30474182144718e-197	-0.691602653009941	0.001	0.37	2.12444580415484e-192	DPre	Stroma
9930111J21Rik2	6.39920906856967e-197	-1.05665275628466	0.005	0.452	2.15627748774523e-192	DPre	Stroma
Ogfrl1	4.66603222359928e-194	-0.982261173793257	0	0.329	1.57226621806401e-189	DPre	Stroma
Adam19	4.92019722450694e-194	-1.18917031302249	0	0.329	1.65790965676986e-189	DPre	Stroma
Siglecg	4.94848994014522e-194	-0.876483239331951	0	0.315	1.66744317023133e-189	DPre	Stroma
Apba1	4.94848994014522e-194	-0.844290623101218	0	0.315	1.66744317023133e-189	DPre	Stroma
Ciita	3.46412907081198e-193	-1.438623234458	0.005	0.452	1.16727293170081e-188	DPre	Stroma
Entpd1	8.13143292560903e-193	-1.235003512872	0.002	0.384	2.73996763861322e-188	DPre	Stroma
Irf5	1.28036448257817e-192	-0.647585955048521	0.002	0.384	4.31431616049539e-188	DPre	Stroma
Capg	4.77715553626339e-190	-1.12444211194153	0.003	0.397	1.60971032949931e-185	DPre	Stroma
Trf	3.01038541699922e-189	-2.14813532084059	0.001	0.356	1.01437947011206e-184	DPre	Stroma
Pld4	1.53964236853238e-187	-0.831746294631574	0.001	0.342	5.18797892500672e-183	DPre	Stroma
Atp6v0a1	2.78114014271005e-187	-0.629741945839562	0.001	0.342	9.3713298248758e-183	DPre	Stroma
Ifi207	1.2738507208185e-185	-0.989708102345203	0	0.301	4.29236738887e-181	DPre	Stroma
Csf2rb	1.29122995479358e-185	-0.67763095441296	0	0.315	4.35092845567245e-181	DPre	Stroma
Cd63	2.55599664247772e-183	-2.76121641648705	0.002	0.356	8.61268628649292e-179	DPre	Stroma
Plac8	3.97995393381022e-182	-2.7879633917831	0.005	0.438	1.34108527753669e-177	DPre	Stroma
Evi2a	1.22408958371005e-181	-1.01995895599689	0.003	0.384	4.12469226126938e-177	DPre	Stroma
Vcam1	1.89237747559137e-179	-3.39664052700308	0.001	0.329	6.37655514175268e-175	DPre	Stroma
Casp1	5.84741463184154e-179	-0.685791837945411	0.001	0.329	1.97034483434532e-174	DPre	Stroma
Rubcnl	6.45956046400484e-178	-0.486811504135736	0.001	0.315	2.17661349395107e-173	DPre	Stroma
Cd300c2	2.42994757102447e-177	-1.51892511295387	0	0.301	8.18795133532405e-173	DPre	Stroma
Fgd2	2.77299992627695e-177	-0.935197547971468	0	0.301	9.34390055158281e-173	DPre	Stroma
Bcl2a1d	3.00162986181592e-177	-0.920623897871214	0	0.301	1.01142919823749e-172	DPre	Stroma
Gm12185	1.37923136145685e-174	-0.744503932432215	0.002	0.342	4.647457995565e-170	DPre	Stroma
Cd79a	2.03334594269787e-169	-2.61636305678786	0.002	0.342	6.85156248851474e-165	DPre	Stroma
Iglc2	2.90325395694316e-169	-2.69087739959026	0.002	0.342	9.78280453331566e-165	DPre	Stroma
Bcar3	6.51804238782031e-169	-1.02767490664217	0	0.288	2.19631956299993e-164	DPre	Stroma
H2-Eb2	8.13099490307733e-169	-0.789238485133519	0	0.274	2.73982004254094e-164	DPre	Stroma
Gm43388	8.13099490307733e-169	-0.635571657708305	0	0.274	2.73982004254094e-164	DPre	Stroma
Rassf3	9.88059965717475e-167	-0.99436729510964	0.013	0.534	3.3293668604816e-162	DPre	Stroma
Lrrk2	1.92291927677548e-164	-1.09813397172068	0.001	0.315	6.47946879502264e-160	DPre	Stroma
Lap3	2.45016588433587e-163	-1.54902304504661	0.003	0.342	8.25607896385815e-159	DPre	Stroma
Scpep1	1.88841770184026e-162	-0.574649774876496	0.001	0.301	6.36321228812096e-158	DPre	Stroma
Kctd12	3.92627125367434e-162	-0.882136379042499	0.005	0.397	1.32299636163811e-157	DPre	Stroma
H2-DMb2	1.36654523511274e-161	-1.45672035703163	0.003	0.356	4.60471082423591e-157	DPre	Stroma
Gm30211	2.75316158902859e-161	-1.32642888078116	0.001	0.288	9.27705329039075e-157	DPre	Stroma
Specc1	3.63156254215528e-161	-0.607835988565909	0.001	0.288	1.22369131420464e-156	DPre	Stroma
Pou2f2	4.73358877282535e-161	-1.65271784450754	0.008	0.452	1.59503007289123e-156	DPre	Stroma
Niban1	1.00788203085689e-160	-1.0477999845531	0.002	0.329	3.39615929117536e-156	DPre	Stroma
Tbc1d9	1.40255202580776e-160	-1.06224904090495	0.002	0.329	4.72603930616182e-156	DPre	Stroma
Fcmr	1.50795037470715e-160	-1.15558136769391	0	0.274	5.08118958261321e-156	DPre	Stroma
Ms4a4c	1.67508574962698e-160	-0.878696793044501	0	0.274	5.64436894194307e-156	DPre	Stroma
Slc15a3	1.81246753866291e-160	-0.531417327681514	0	0.274	6.10729061827854e-156	DPre	Stroma
Lmo2	1.96110001096e-160	-0.599545175550722	0	0.274	6.6081225969308e-156	DPre	Stroma
Casp4	2.01330122391338e-160	-0.539064963607869	0	0.274	6.78401980409851e-156	DPre	Stroma
Pax5	2.01662420829307e-160	-1.18041434161319	0	0.26	6.79521693226434e-156	DPre	Stroma
Cdc42bpb	2.01662420829307e-160	-0.700298062798556	0	0.26	6.79521693226434e-156	DPre	Stroma
Clec2g	2.01662420829307e-160	-0.577667524348502	0	0.26	6.79521693226434e-156	DPre	Stroma
Hdac9	1.71763346995177e-156	-1.82300285146011	0.008	0.438	5.78773774034948e-152	DPre	Stroma
App	1.85705153601243e-156	-1.0258225803739	0.004	0.356	6.25752085574749e-152	DPre	Stroma
Gsap	4.43404463416574e-155	-0.83738518138194	0.003	0.329	1.49409567992849e-150	DPre	Stroma
Lpcat2	3.17277711299225e-152	-1.67210363309324	0	0.26	1.06909897599387e-147	DPre	Stroma
Snx8	3.91280885121782e-152	-0.634322292694165	0	0.26	1.31846007050636e-147	DPre	Stroma
Ms4a7	4.94120233480036e-152	-1.84624518278241	0	0.247	1.66498753873433e-147	DPre	Stroma
Cd300a	4.94120233480036e-152	-1.14109599565319	0	0.247	1.66498753873433e-147	DPre	Stroma
Trim7	4.94120233480036e-152	-0.650562796443234	0	0.247	1.66498753873433e-147	DPre	Stroma
Nrp2	4.94120233480036e-152	-0.643187652034019	0	0.247	1.66498753873433e-147	DPre	Stroma
Cd19	4.94120233480036e-152	-0.626849808084991	0	0.247	1.66498753873433e-147	DPre	Stroma
Fgl2	4.94120233480036e-152	-0.619582695987313	0	0.247	1.66498753873433e-147	DPre	Stroma
Il15	4.94120233480036e-152	-0.49240283806801	0	0.247	1.66498753873433e-147	DPre	Stroma
Gm57206	4.94120233480036e-152	-0.445395692143574	0	0.247	1.66498753873433e-147	DPre	Stroma
Phka1	4.94120233480036e-152	-0.362287485337836	0	0.247	1.66498753873433e-147	DPre	Stroma
Pvt1	2.71292088036769e-148	-0.849642834652783	0.004	0.342	9.14145819848696e-144	DPre	Stroma
H2-Ob	5.33152427005294e-148	-1.18666572334965	0.004	0.356	1.79651041803704e-143	DPre	Stroma
Blnk	8.65661111724711e-148	-1.76206929624808	0.01	0.452	2.91693168206759e-143	DPre	Stroma
Gab2	1.64010168698448e-147	-1.67822990274077	0.003	0.315	5.52648664446289e-143	DPre	Stroma
Litaf	3.09321539575597e-147	-1.11342117649248	0.009	0.438	1.04228985975393e-142	DPre	Stroma
Cxcl16	1.06248933851996e-144	-1.18732571850942	0.001	0.26	3.58016407507687e-140	DPre	Stroma
Phf11b	1.3977302542641e-144	-0.827741829000434	0.001	0.26	4.70979186476831e-140	DPre	Stroma
Itpripl2	1.5442575133461e-144	-0.790066738625002	0.001	0.26	5.20353011697101e-140	DPre	Stroma
Cd80	6.97823575238404e-144	-0.750732487084241	0.004	0.342	2.35138631912333e-139	DPre	Stroma
Mt1	8.9861759427082e-144	-1.42851568802215	0	0.247	3.02798184565495e-139	DPre	Stroma
Pou2af1	9.97580835920363e-144	-0.593336522259215	0	0.247	3.36144838471726e-139	DPre	Stroma
Lilrb4a	1.19629726195376e-143	-0.919413946550028	0	0.233	4.03104325387938e-139	DPre	Stroma
Man1c1	1.19629726195376e-143	-0.859405570364533	0	0.233	4.03104325387938e-139	DPre	Stroma
Cd22	1.19629726195376e-143	-0.786551315818344	0	0.233	4.03104325387938e-139	DPre	Stroma
Gm20429	1.19629726195376e-143	-0.354376283769088	0	0.233	4.03104325387938e-139	DPre	Stroma
Fcrla	3.40510419197975e-142	-0.794859707202705	0.003	0.315	1.1473839085295e-137	DPre	Stroma
Gm31243	3.44832862209612e-142	-1.10142206600824	0.002	0.288	1.16194881250151e-137	DPre	Stroma
Clec12a	4.70706541951367e-142	-1.15373295036924	0.002	0.288	1.58609276375933e-137	DPre	Stroma
D17H6S56E-5	1.12991264131521e-140	-1.25671990136842	0.009	0.425	3.80735363617572e-136	DPre	Stroma
Mzb1	6.17024032429239e-140	-1.98856104832218	0.003	0.301	2.07912417967357e-135	DPre	Stroma
Lat2	1.19979304889054e-138	-0.75649284571759	0.008	0.411	4.04282265754157e-134	DPre	Stroma
Clec7a	1.6464928181836e-135	-1.85540593476295	0	0.233	5.54802220015146e-131	DPre	Stroma
Haao	1.87542938442988e-135	-0.342381167873536	0	0.233	6.31944685377492e-131	DPre	Stroma
Clec4n	2.86239271847387e-135	-1.52315899922142	0	0.219	9.64511850416956e-131	DPre	Stroma
Tgfbi	2.86239271847387e-135	-1.36660625434548	0	0.219	9.64511850416956e-131	DPre	Stroma
Havcr2	2.86239271847387e-135	-0.853540543599314	0	0.219	9.64511850416956e-131	DPre	Stroma
Ifi211	2.86239271847387e-135	-0.827632015957164	0	0.219	9.64511850416956e-131	DPre	Stroma
Wdfy3	2.86239271847387e-135	-0.804062344879924	0	0.219	9.64511850416956e-131	DPre	Stroma
Cd40	2.86239271847387e-135	-0.62462042153305	0	0.219	9.64511850416956e-131	DPre	Stroma
Bcl2a1a	2.86239271847387e-135	-0.612405081576747	0	0.219	9.64511850416956e-131	DPre	Stroma
Trim30d	3.76212042553792e-133	-0.851246218260564	0.009	0.411	1.26768409858926e-128	DPre	Stroma
Cfp	5.06788754729172e-133	-2.00440842548937	0.004	0.329	1.70767538793542e-128	DPre	Stroma
Rbm47	7.12794160723466e-132	-1.08625148132328	0.008	0.397	2.40183120397379e-127	DPre	Stroma
Pirb	2.34423651591733e-131	-0.435452059822352	0.001	0.26	7.89913936403503e-127	DPre	Stroma
Naip2	2.62592647155767e-131	-0.319758935602819	0.001	0.26	8.84832183856072e-127	DPre	Stroma
Dse	1.36289012225533e-129	-1.23101196089548	0.001	0.247	4.59239455595156e-125	DPre	Stroma
Tasl	2.14522245692147e-128	-0.591840522520696	0.002	0.274	7.22854159084259e-124	DPre	Stroma
Shtn1	3.84344068754199e-128	-1.06259500266169	0.001	0.233	1.29508577407415e-123	DPre	Stroma
Fcrl5	4.13833700985855e-128	-1.17758397617322	0.001	0.233	1.39445403884194e-123	DPre	Stroma
Cyp4f18	6.1374410236528e-128	-0.418155461812284	0.001	0.233	2.06807212733005e-123	DPre	Stroma
Csprs	6.1374410236528e-128	-0.414798538721891	0.001	0.233	2.06807212733005e-123	DPre	Stroma
Gm55122	6.44724794615644e-128	-0.483382129642518	0.001	0.233	2.17246466793688e-123	DPre	Stroma
Ebf1	3.25921903122431e-127	-2.27710155029316	0.003	0.288	1.09822644476134e-122	DPre	Stroma
Igf1	3.74648551586725e-127	-1.89385364931648	0	0.219	1.26241575942663e-122	DPre	Stroma
Gatm	4.49237931043105e-127	-0.749223281032019	0	0.219	1.51375213244285e-122	DPre	Stroma
Ptpro	4.61040439014002e-127	-0.957376623721618	0	0.219	1.55352186330158e-122	DPre	Stroma
Ppfia4	4.85582143110304e-127	-0.647096200714975	0	0.219	1.63621758942448e-122	DPre	Stroma
Themis2	4.85582143110304e-127	-0.528451198902654	0	0.219	1.63621758942448e-122	DPre	Stroma
Gm20513	5.11427849632669e-127	-0.43996183964753	0	0.219	1.72330728212224e-122	DPre	Stroma
