	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il1r1	2.75096060095704e-190	-3.54068058472959	0	1	9.26963684098484e-186	DPsel	Cluster_14
Blk	2.75096060095704e-190	-3.41002746152731	0	1	9.26963684098484e-186	DPsel	Cluster_14
Il23r	1.56173502497656e-181	-4.03142857833765	0.001	1	5.262422340161e-177	DPsel	Cluster_14
Clnk	6.50456784294388e-172	-3.78602047753799	0.001	0.95	2.19177918035837e-167	DPsel	Cluster_14
Cdh10	4.5398999616267e-171	-2.75135798913241	0	0.9	1.52976469106973e-166	DPsel	Cluster_14
Ccr6	7.43314218020015e-162	-1.69825434895113	0.001	0.9	2.50467158904024e-157	DPsel	Cluster_14
S100a4	1.93132421534823e-154	-4.57555106369012	0.002	0.9	6.50779007603739e-150	DPsel	Cluster_14
Serpinb1a	2.79133815419346e-154	-2.8324303206927	0.002	0.9	9.40569304437028e-150	DPsel	Cluster_14
Trgc1	2.06592333180285e-152	-2.92922766617916	0.001	0.85	6.96133525884288e-148	DPsel	Cluster_14
Zbtb16	4.46273019251038e-152	-2.42076571195026	0.001	0.85	1.5037615656683e-147	DPsel	Cluster_14
Mmp25	6.15093606475151e-152	-1.41968608396306	0	0.8	2.07261941637867e-147	DPsel	Cluster_14
Pxdc1	3.70458692685441e-143	-1.70798368748088	0.001	0.8	1.24829761087286e-138	DPsel	Cluster_14
Kcnk1	2.10428079653155e-142	-1.59314617321501	0	0.75	7.09058457199272e-138	DPsel	Cluster_14
Scart1	2.36421774428439e-135	-4.33036635356058	0.002	0.8	7.96646811114067e-131	DPsel	Cluster_14
Or13a27	6.85949662598254e-133	-1.88142993000446	0	0.7	2.31137598309108e-128	DPsel	Cluster_14
Zfp462	6.85949662598254e-133	-1.38060798036384	0	0.7	2.31137598309108e-128	DPsel	Cluster_14
Trgc4	1.26955043649074e-127	-2.03660413270453	0.004	0.8	4.2778771507992e-123	DPsel	Cluster_14
Fstl4	5.50398199809613e-125	-2.2132390358341	0.006	0.85	1.85462177407847e-120	DPsel	Cluster_14
Pik3ap1	5.12627768120608e-124	-1.46094906399014	0.001	0.7	1.7273505274592e-119	DPsel	Cluster_14
Arnt2	2.1315698818436e-123	-1.45464895752571	0	0.65	7.18253787386021e-119	DPsel	Cluster_14
Ltb4r1	2.1315698818436e-123	-1.0569788389196	0	0.65	7.18253787386021e-119	DPsel	Cluster_14
Ccr2	2.14658708280789e-116	-2.07231976433965	0.006	0.8	7.23313983422948e-112	DPsel	Cluster_14
Trpm6	3.56808056146004e-116	-1.26676807189928	0.002	0.7	1.20230042598958e-111	DPsel	Cluster_14
S100a6	1.44743328871672e-115	-4.69152963697199	0.008	0.85	4.87727120965987e-111	DPsel	Cluster_14
Trdv4	6.31760287049142e-114	-3.01632812749705	0	0.6	2.12877946324079e-109	DPsel	Cluster_14
Cpe	6.31760287049142e-114	-1.16599555429848	0	0.6	2.12877946324079e-109	DPsel	Cluster_14
Maf	6.9401296003103e-113	-3.18241494608796	0.014	0.95	2.33854607012056e-108	DPsel	Cluster_14
Sox13	2.3133204782773e-109	-1.45669835969869	0.004	0.7	7.79496468360319e-105	DPsel	Cluster_14
