	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Inpp4b	5.79641472709155e-179	2.38241953449945	0.98	0.494	1.95315990644077e-174	DPsel	SP
Gimap4	4.98277068263915e-162	2.10495389986305	0.783	0.062	1.67899440922209e-157	DPsel	SP
Gm4258	1.21126938681256e-157	-2.3214569481936	0.708	0.977	4.08149332580361e-153	DPsel	SP
Rplp1	3.77643554029216e-154	1.09244906389198	0.999	1	1.27250771965684e-149	DPsel	SP
Cd52	1.38920144426507e-149	1.53248746051825	0.999	0.918	4.68105318659558e-145	DPsel	SP
Rps20	3.39305929174559e-148	1.29809581044367	1	0.984	1.14332525894659e-143	DPsel	SP
H2-K1	4.45409975489292e-138	2.79341815777249	0.74	0.111	1.50085345340872e-133	DPsel	SP
Rps19	9.18264748277692e-131	1.17876505923408	0.998	0.987	3.09418489579651e-126	DPsel	SP
Myb	1.01512136157984e-129	-2.17401078292299	0.209	0.754	3.42055293997944e-125	DPsel	SP
B2m	4.56874112712113e-129	1.74949753209503	0.953	0.679	1.53948301019473e-124	DPsel	SP
Rpl3	8.64477037348071e-128	1.24252617948784	0.986	0.871	2.91294182504806e-123	DPsel	SP
Ap3s1	1.8850261983615e-127	-1.52835038116241	0.58	0.897	6.35178427799892e-123	DPsel	SP
2610307P16Rik	6.55509311871295e-127	-1.70872677515712	0.584	0.953	2.20880417728152e-122	DPsel	SP
Rps18	7.6335173816005e-125	1.16261366080636	0.999	0.984	2.5721900169041e-120	DPsel	SP
H2-D1	1.54388041116747e-124	1.84100190839721	0.871	0.399	5.20225943346991e-120	DPsel	SP
Colq	3.98268925545062e-124	-1.86902579207946	0.157	0.713	1.34200697151664e-119	DPsel	SP
Rps29	1.42187856787313e-122	0.931474849798144	0.999	0.997	4.79116202230529e-118	DPsel	SP
Slc9a9	3.10250560546635e-122	-1.60946459574862	0.858	0.982	1.04542028881794e-117	DPsel	SP
Il7r	3.58891963432022e-122	2.15885114391773	0.61	0.021	1.20932235998054e-117	DPsel	SP
Rpl12	5.1157841487472e-122	1.01539497799904	0.999	0.978	1.72381462676186e-117	DPsel	SP
Ccnd2	2.79764120569347e-121	2.01895317663772	0.628	0.034	9.42693180670472e-117	DPsel	SP
Rps4x	6.57968701125004e-120	0.987526642205919	0.993	0.987	2.21709133531081e-115	DPsel	SP
Rpl21	7.32563869644294e-120	0.96719075270358	0.995	0.985	2.46844721515341e-115	DPsel	SP
Rps24	8.6741371207833e-119	1.02507502826993	0.999	1	2.92283724421914e-114	DPsel	SP
Rpl39	7.18306169333365e-117	1.08482184530708	0.996	0.982	2.42040446818571e-112	DPsel	SP
Rps12	1.66129925479523e-111	0.96967716462638	0.999	0.988	5.597913968958e-107	DPsel	SP
Rps7	6.58816562137518e-109	0.980656739342324	0.992	0.985	2.21994828777858e-104	DPsel	SP
Bach2	2.87156577497129e-108	1.40681097489991	0.961	0.572	9.67602803534324e-104	DPsel	SP
Rps15a	3.56268088267301e-108	0.974068307098173	1	0.997	1.2004809502255e-103	DPsel	SP
Ldhb	3.95279568051509e-105	-1.45729368304033	0.4	0.826	1.33193403250637e-100	DPsel	SP
Ifi27l2a	6.09814014450232e-105	2.35538439398777	0.601	0.056	2.0548293030915e-100	DPsel	SP
Camk4	5.28807594258385e-104	-1.20920835350307	0.949	0.981	1.78187006961305e-99	DPsel	SP
Evl	2.92929503203104e-103	1.20883271700136	0.784	0.214	9.8705525399318e-99	DPsel	SP
Rpl13	4.5673950302458e-103	0.93215200420817	0.998	0.993	1.53902942939162e-98	DPsel	SP
Eef1a1	6.03877840485464e-102	0.79625177039702	1	0.997	2.03482677129982e-97	DPsel	SP
Ccr7	2.3626419124442e-101	1.18365130111126	0.58	0.041	7.96115818817199e-97	DPsel	SP
Sh2d1a	2.87809715731858e-99	-1.39664588074873	0.645	0.905	9.6980361813007e-95	DPsel	SP
Tcf7	4.67843037955973e-99	-1.07292080657823	0.957	0.994	1.57644390069645e-94	DPsel	SP
Rps27a	8.83990654026136e-99	0.790909337015631	0.994	0.996	2.97869490780647e-94	DPsel	SP
Rpl23	1.39928295795247e-96	0.907539103831621	0.996	0.993	4.71502385511664e-92	DPsel	SP
Rpl22l1	3.60385752817483e-96	1.22638624922318	0.92	0.61	1.21435583269379e-91	DPsel	SP
Rpl36a	8.86385444934282e-96	1.0507036355561	0.978	0.878	2.98676439525056e-91	DPsel	SP
Tmsb10	6.01231937072839e-95	0.980715453531367	1	0.965	2.02591113516064e-90	DPsel	SP
Arpp21	9.30489927041123e-95	-2.29371397421252	0.2	0.666	3.13537885815777e-90	DPsel	SP
Nrip1	1.14821431726536e-94	-1.36287866967647	0.66	0.903	3.86902296345735e-90	DPsel	SP
Aqp11	1.05245275479256e-93	-1.66048583116253	0.093	0.554	3.546344802549e-89	DPsel	SP
Rpsa	2.00421054865998e-93	0.901534707255635	0.995	0.984	6.75338786476465e-89	DPsel	SP
Rplp2	3.77945288356866e-93	0.782077239716912	0.998	0.994	1.2735244436473e-88	DPsel	SP
Rps23	8.35371738873253e-93	0.752638191514154	0.996	0.997	2.81486861130731e-88	DPsel	SP
Gimap3	9.21132956351836e-93	1.40702608888083	0.545	0.051	3.10384960972315e-88	DPsel	SP
Rps26	1.326753499075e-92	0.873319857693718	0.994	0.987	4.47062859048313e-88	DPsel	SP
Tesc	1.96625985078445e-92	1.31290261572476	0.525	0.037	6.62550919320328e-88	DPsel	SP
Shisa5	2.144790923454e-92	1.24999011005095	0.914	0.594	7.2270874956706e-88	DPsel	SP
Rps21	3.10764295640501e-92	0.835931126554228	0.992	0.981	1.04715137059023e-87	DPsel	SP
Rpl27a	1.5010948917946e-91	0.779092988684975	0.999	0.997	5.05808934739107e-87	DPsel	SP
Themis	1.59145868937445e-91	-1.38204027717179	0.979	0.971	5.36257919971614e-87	DPsel	SP
Rpl5	2.70673807390908e-91	0.835931398409969	0.995	0.963	9.12062461384404e-87	DPsel	SP
Slfn1	2.75204196123639e-91	1.48063164579948	0.479	0.012	9.27328059258215e-87	DPsel	SP
Rplp0	3.25209388478956e-91	0.843503217074346	0.995	0.991	1.09582555541869e-86	DPsel	SP
Ikzf2	8.36519825043266e-90	-1.869400502869	0.346	0.798	2.81873720246579e-85	DPsel	SP
Celf2	9.61924210749629e-90	-1.17523430812099	0.81	0.947	3.24129982054195e-85	DPsel	SP
Rps5	1.39375336449852e-89	0.963042031032425	0.983	0.949	4.69639133701423e-85	DPsel	SP
Rpl30	2.19205524019183e-89	0.747680379631057	0.991	0.993	7.38634933735038e-85	DPsel	SP
Rpl35a	8.45672248771223e-89	0.775710742895551	0.996	0.996	2.84957720945951e-84	DPsel	SP
Rpl10a	8.53253660064963e-89	0.923826781281232	0.975	0.943	2.8751235329549e-84	DPsel	SP
Glcci1	1.22590321170287e-88	-1.82638438925272	0.616	0.848	4.130803462154e-84	DPsel	SP
Sla	6.53321356970185e-88	-1.31487470753562	0.459	0.808	2.20143164444673e-83	DPsel	SP
Cd53	6.82473328719552e-87	1.0242830553518	0.888	0.336	2.2996621284534e-82	DPsel	SP
Arap2	9.24549179308222e-87	-1.26226951649795	0.681	0.9	3.11536091459699e-82	DPsel	SP
Cux1	3.39144307897022e-86	-1.16240639341219	0.765	0.928	1.1427806598898e-81	DPsel	SP
Cd27	7.3711966036339e-85	-0.98997368819258	0.861	0.959	2.48379840756048e-80	DPsel	SP
Nlrc5	1.48995495161715e-83	1.15490101494589	0.535	0.059	5.02055220496914e-79	DPsel	SP
Rps28	2.09263988704926e-83	0.869303324028489	0.988	0.938	7.05135936340118e-79	DPsel	SP
Rps8	4.09980774317846e-83	0.826830353073894	1	0.997	1.38147121714141e-78	DPsel	SP
Ntrk3	1.02989594388e-82	-1.38454013276998	0.249	0.67	3.47033737249806e-78	DPsel	SP
Gm26936	3.85587296615839e-82	-1.56419152744452	0.256	0.667	1.29927495467673e-77	DPsel	SP
Samhd1	4.14190644166886e-82	1.52033472737686	0.457	0.018	1.39565679458474e-77	DPsel	SP
Plxdc2	7.05167309609568e-82	-1.50177151475589	0.281	0.713	2.3761317664604e-77	DPsel	SP
Sgms1	1.55708081818591e-81	1.38584104644606	0.506	0.05	5.24673952495924e-77	DPsel	SP
Rpl9	1.91143917444968e-81	0.702790337040454	0.991	0.993	6.44078544222563e-77	DPsel	SP
Rps2	5.50708365959813e-81	0.823068702790967	0.994	0.965	1.85566690993819e-76	DPsel	SP
Ms4a4b	5.63877305536838e-81	2.38261658953788	0.607	0.177	1.90004096873693e-76	DPsel	SP
