	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H2-Ab1	2.42331297563995e-34	-5.02781614592387	0	0.822	8.16559540271638e-30	Monocyte_Macrophages_Dendritic	Stroma
Cd74	1.6588622604016e-33	-6.24501264882032	0.067	0.877	5.58970227264922e-29	Monocyte_Macrophages_Dendritic	Stroma
H2-Aa	6.15864200523323e-32	-5.28827783074167	0.015	0.795	2.07521601008339e-27	Monocyte_Macrophages_Dendritic	Stroma
Cd3g	5.60883571815935e-29	2.8619320729829	0.963	0.192	1.88995328359097e-24	Monocyte_Macrophages_Dendritic	Stroma
H2-Eb1	1.61970208236538e-28	-5.02509648817591	0.022	0.74	5.45774813673838e-24	Monocyte_Macrophages_Dendritic	Stroma
Cd3e	3.49952903119786e-27	2.19197534596435	0.978	0.205	1.17920130235243e-22	Monocyte_Macrophages_Dendritic	Stroma
Ctsh	7.29197136184081e-27	-2.39868532970081	0	0.671	2.45710267008588e-22	Monocyte_Macrophages_Dendritic	Stroma
Cd3d	8.7442956196392e-27	2.38190414087821	0.948	0.178	2.94647785199363e-22	Monocyte_Macrophages_Dendritic	Stroma
Ms4a4b	1.07568754567276e-26	3.38685736562949	0.889	0.041	3.62463675389893e-22	Monocyte_Macrophages_Dendritic	Stroma
Prkcq	2.03276788467094e-26	2.52340860023858	0.911	0.178	6.84961466418718e-22	Monocyte_Macrophages_Dendritic	Stroma
Skap1	1.15850570064526e-25	2.32435728992161	0.993	0.274	3.90370080889428e-21	Monocyte_Macrophages_Dendritic	Stroma
Prkch	5.27862997021445e-25	2.27534786687917	0.97	0.274	1.77868715476346e-20	Monocyte_Macrophages_Dendritic	Stroma
Ly86	5.91515518852884e-25	-2.32818952731183	0	0.63	1.99317069232668e-20	Monocyte_Macrophages_Dendritic	Stroma
Wdfy4	4.24908901421694e-23	-2.34479465313356	0	0.589	1.43177303423054e-18	Monocyte_Macrophages_Dendritic	Stroma
Apoe	7.04089705036725e-23	-6.05000626651312	0.037	0.644	2.37250067009175e-18	Monocyte_Macrophages_Dendritic	Stroma
Nkg7	1.19690273375978e-22	2.96448263049759	0.77	0	4.03308345167695e-18	Monocyte_Macrophages_Dendritic	Stroma
Tnik	1.76980732064715e-22	1.73853401001218	0.889	0.11	5.96354274765265e-18	Monocyte_Macrophages_Dendritic	Stroma
Tmsb10	1.80008473539104e-22	1.71980239855071	0.993	0.795	6.06556552437366e-18	Monocyte_Macrophages_Dendritic	Stroma
Cybb	3.04573772050879e-22	-2.50352287702914	0.022	0.616	1.02629178230264e-17	Monocyte_Macrophages_Dendritic	Stroma
Syk	8.92435160249449e-22	-1.66133312353395	0.03	0.616	3.00714951597654e-17	Monocyte_Macrophages_Dendritic	Stroma
Lyn	3.4223090572655e-21	-2.48155578093082	0.17	0.767	1.15318125993618e-16	Monocyte_Macrophages_Dendritic	Stroma
Gm2682	4.28888479466668e-21	4.38709086456219	0.733	0	1.44518262041088e-16	Monocyte_Macrophages_Dendritic	Stroma
Trac	4.56832277726127e-21	2.00227300793569	0.859	0.164	1.53934204302596e-16	Monocyte_Macrophages_Dendritic	Stroma
Ctsz	7.4845535067191e-21	-2.80827608717903	0.222	0.822	2.52199514962407e-16	Monocyte_Macrophages_Dendritic	Stroma
Pde7a	1.55516840260035e-20	1.56226050755634	0.941	0.411	5.24029544940214e-16	Monocyte_Macrophages_Dendritic	Stroma
Mpeg1	1.55937434646743e-20	-2.05642271498988	0.007	0.548	5.25446779785667e-16	Monocyte_Macrophages_Dendritic	Stroma
Utrn	2.49117808839315e-20	1.69709466710221	0.956	0.534	8.39427368664956e-16	Monocyte_Macrophages_Dendritic	Stroma
Ctsw	3.18720985380869e-20	1.85212598161701	0.726	0.027	1.07396223233938e-15	Monocyte_Macrophages_Dendritic	Stroma
Pitpnc1	3.23568779293461e-20	1.7546748919769	0.948	0.425	1.09029735870725e-15	Monocyte_Macrophages_Dendritic	Stroma
Marchf1	4.066865449331e-20	-1.99058198978312	0	0.521	1.37037098180657e-15	Monocyte_Macrophages_Dendritic	Stroma
Cd180	4.066865449331e-20	-1.49245796225107	0	0.521	1.37037098180657e-15	Monocyte_Macrophages_Dendritic	Stroma
Il7r	4.9953624587786e-20	3.01608784125558	0.77	0.096	1.68323733411004e-15	Monocyte_Macrophages_Dendritic	Stroma
Ccnd2	9.79189478208184e-20	1.47909487526177	0.889	0.288	3.2994768657703e-15	Monocyte_Macrophages_Dendritic	Stroma
S100a10	1.04810309967758e-19	1.69549729273274	0.956	0.452	3.53168820467357e-15	Monocyte_Macrophages_Dendritic	Stroma
Il2rb	1.07392692997723e-19	1.86171304259859	0.741	0.041	3.61870418325128e-15	Monocyte_Macrophages_Dendritic	Stroma
Itk	1.2553138552122e-19	1.6700725872811	0.844	0.137	4.22990556652304e-15	Monocyte_Macrophages_Dendritic	Stroma
Rassf4	1.54543872964524e-19	-1.43368814614959	0	0.507	5.20751034341261e-15	Monocyte_Macrophages_Dendritic	Stroma
Trbc2	2.67705851532808e-19	1.84873797333249	0.963	0.342	9.0206163732495e-15	Monocyte_Macrophages_Dendritic	Stroma
Unc93b1	4.87214301125162e-19	-1.95453917440499	0.067	0.616	1.64171730907135e-14	Monocyte_Macrophages_Dendritic	Stroma
Sirpa	5.80117748260999e-19	-2.56642454950955	0	0.493	1.95476476454026e-14	Monocyte_Macrophages_Dendritic	Stroma
Mef2c	5.80117748260999e-19	-2.34681248760416	0	0.493	1.95476476454026e-14	Monocyte_Macrophages_Dendritic	Stroma
Ifi30	6.48075114094573e-19	-2.65879905846628	0.252	0.767	2.18375390445307e-14	Monocyte_Macrophages_Dendritic	Stroma
Cst3	7.67661065583224e-19	-4.16005878742446	0.459	0.863	2.58671072658923e-14	Monocyte_Macrophages_Dendritic	Stroma
Hcst	1.00375340075173e-18	1.85473597032061	0.815	0.205	3.38224745917301e-14	Monocyte_Macrophages_Dendritic	Stroma
Ets1	1.61971886055178e-18	1.44026550926355	0.978	0.479	5.45780467251527e-14	Monocyte_Macrophages_Dendritic	Stroma
Spi1	2.15135881771574e-18	-1.56680332974042	0	0.479	7.24921867217496e-14	Monocyte_Macrophages_Dendritic	Stroma
Plbd1	3.50254589128138e-18	-2.28962480246242	0.007	0.493	1.18021786352617e-13	Monocyte_Macrophages_Dendritic	Stroma
Marcks	3.80188158122915e-18	-2.33192424661734	0.2	0.753	1.28108201761098e-13	Monocyte_Macrophages_Dendritic	Stroma
Rinl	4.95099485890992e-18	1.36377412930784	0.8	0.192	1.66828722765829e-13	Monocyte_Macrophages_Dendritic	Stroma
Tyrobp	6.0569670548811e-18	-3.43211715688964	0.067	0.589	2.04095561881273e-13	Monocyte_Macrophages_Dendritic	Stroma
Napsa	7.84287948811461e-18	-1.38924260019487	0.03	0.534	2.6427366723151e-13	Monocyte_Macrophages_Dendritic	Stroma
Psap	8.07410292514677e-18	-3.28248133348318	0.519	0.89	2.72064972165746e-13	Monocyte_Macrophages_Dendritic	Stroma
Aif1	1.01943046241983e-17	-3.11650294467775	0.007	0.479	3.43507288616986e-13	Monocyte_Macrophages_Dendritic	Stroma
Ptprcap	1.71908249522935e-17	1.35986771269153	0.963	0.466	5.79262037592482e-13	Monocyte_Macrophages_Dendritic	Stroma
Lck	2.41911774799764e-17	1.12125885013741	0.941	0.26	8.15145916365286e-13	Monocyte_Macrophages_Dendritic	Stroma
Blnk	2.85459470628446e-17	-1.80012201306502	0	0.452	9.61884232229613e-13	Monocyte_Macrophages_Dendritic	Stroma
Rnase6	2.85459470628446e-17	-1.2150217201113	0	0.452	9.61884232229613e-13	Monocyte_Macrophages_Dendritic	Stroma
Gm15987	4.87280593647864e-17	-2.25840884475217	0.015	0.479	1.64194068835584e-12	Monocyte_Macrophages_Dendritic	Stroma
Lyz2	5.1297124943296e-17	-4.64885828200932	0.022	0.493	1.7285079220893e-12	Monocyte_Macrophages_Dendritic	Stroma
Fcgr2b	5.52484360018134e-17	-1.39649234186969	0.007	0.466	1.8616512995171e-12	Monocyte_Macrophages_Dendritic	Stroma
Septin1	5.66562099189111e-17	1.36829627618105	0.83	0.301	1.90908764942763e-12	Monocyte_Macrophages_Dendritic	Stroma
Il18r1	6.26402773062677e-17	2.1472879816408	0.637	0.014	2.110726784112e-12	Monocyte_Macrophages_Dendritic	Stroma
Ablim1	9.49978977067409e-17	1.40355411845851	0.963	0.438	3.20104916112634e-12	Monocyte_Macrophages_Dendritic	Stroma
Leprotl1	1.05249536823291e-16	1.21842311788889	0.83	0.315	3.54648839279762e-12	Monocyte_Macrophages_Dendritic	Stroma
Mllt3	1.44783369529908e-16	1.48919931981281	0.904	0.397	4.87862041967978e-12	Monocyte_Macrophages_Dendritic	Stroma
Ciita	1.52501503916307e-16	-1.44376301855691	0.007	0.452	5.1386906759639e-12	Monocyte_Macrophages_Dendritic	Stroma
H2-DMb1	1.57362579453753e-16	-1.41842441429257	0.007	0.452	5.30248947727367e-12	Monocyte_Macrophages_Dendritic	Stroma
C1qa	3.61437268401735e-16	-4.227151090265	0	0.425	1.21789901960649e-11	Monocyte_Macrophages_Dendritic	Stroma
Bcl11a	3.61437268401735e-16	-1.66868002662354	0	0.425	1.21789901960649e-11	Monocyte_Macrophages_Dendritic	Stroma
Btk	3.61437268401735e-16	-0.872484209293382	0	0.425	1.21789901960649e-11	Monocyte_Macrophages_Dendritic	Stroma
Rpl12	5.66765578490925e-16	1.07529555259146	0.978	0.89	1.90977329328302e-11	Monocyte_Macrophages_Dendritic	Stroma
Klk8	5.93046522102519e-16	1.18690697326933	0.607	0.014	1.99832956087665e-11	Monocyte_Macrophages_Dendritic	Stroma
Kynu	6.86900234939858e-16	-1.69053565522786	0.007	0.438	2.31457903165335e-11	Monocyte_Macrophages_Dendritic	Stroma
Plcg2	7.2408110677265e-16	-1.09067210020851	0.037	0.521	2.43986369738112e-11	Monocyte_Macrophages_Dendritic	Stroma
Pde3b	1.1213428005006e-15	1.7760549423519	0.763	0.219	3.77847670056682e-11	Monocyte_Macrophages_Dendritic	Stroma
Cd247	1.15404680431963e-15	1.28073611515554	0.867	0.219	3.88867611183543e-11	Monocyte_Macrophages_Dendritic	Stroma
Ccnd3	1.3060442141424e-15	1.25949250723626	0.97	0.575	4.40084658397423e-11	Monocyte_Macrophages_Dendritic	Stroma
Grn	1.66482837886476e-15	-1.79979367801553	0.044	0.507	5.60980570542271e-11	Monocyte_Macrophages_Dendritic	Stroma
Ifngr2	1.74168196625803e-15	-1.07532809174456	0.081	0.562	5.86877155350305e-11	Monocyte_Macrophages_Dendritic	Stroma
Rps15a	1.74412374841396e-15	0.919295500101004	1	0.89	5.87699938265569e-11	Monocyte_Macrophages_Dendritic	Stroma
Cd27	2.82564760934192e-15	1.32019567772324	0.77	0.164	9.52130218443852e-11	Monocyte_Macrophages_Dendritic	Stroma
Shisa5	3.16103540825903e-15	1.3747209831294	0.948	0.575	1.06514249116696e-10	Monocyte_Macrophages_Dendritic	Stroma
Cd68	3.23356864316242e-15	-1.90971994118036	0.015	0.438	1.08958329000001e-10	Monocyte_Macrophages_Dendritic	Stroma
Cd226	3.31808179434807e-15	1.75108463170157	0.63	0.068	1.11806084142352e-10	Monocyte_Macrophages_Dendritic	Stroma
Cd86	3.39487766329759e-15	-1.54015775274688	0.052	0.521	1.14393797742476e-10	Monocyte_Macrophages_Dendritic	Stroma
Cd81	3.67085816686285e-15	-2.23019672663408	0.119	0.603	1.23693236790611e-10	Monocyte_Macrophages_Dendritic	Stroma
Aak1	3.69212959049594e-15	1.08553541953367	0.844	0.356	1.24409998681351e-10	Monocyte_Macrophages_Dendritic	Stroma
Chn2	5.63091524047141e-15	2.59402059629384	0.726	0.219	1.89739319942925e-10	Monocyte_Macrophages_Dendritic	Stroma
Ctss	5.94175691229757e-15	-2.41517411352259	0.541	0.849	2.00213440916779e-10	Monocyte_Macrophages_Dendritic	Stroma
