	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Dek	7.21502522685955e-82	1.9754510151289	0.995	0.655	2.43117490044259e-77	preDP_DPblast	Cluster_9
Rrm2	1.49946808127493e-78	2.37667130481225	0.949	0.167	5.052607646664e-74	preDP_DPblast	Cluster_9
Dut	7.88692315872508e-76	2.19940858844287	0.984	0.595	2.657577627564e-71	preDP_DPblast	Cluster_9
Pclaf	4.41722631189801e-73	2.34214106690871	0.975	0.512	1.48842857805715e-68	preDP_DPblast	Cluster_9
Nsd2	3.83317613723308e-71	1.73160793432	0.979	0.405	1.29162703120206e-66	preDP_DPblast	Cluster_9
Clspn	1.1927315911431e-69	1.66647314114187	0.889	0.089	4.01902836951579e-65	preDP_DPblast	Cluster_9
Fbxo5	8.01744633357927e-68	1.85743806431596	0.898	0.173	2.70155871656287e-63	preDP_DPblast	Cluster_9
Ncapg2	3.71072497295393e-67	1.49266949260694	0.879	0.101	1.25036588688656e-62	preDP_DPblast	Cluster_9
Tyms	3.80468703782599e-67	1.84764364021757	0.903	0.232	1.28202734426584e-62	preDP_DPblast	Cluster_9
Gmfg	7.09107603876299e-67	-1.32223842133207	0.986	1	2.38940898202158e-62	preDP_DPblast	Cluster_9
Atad2	1.11514400463759e-66	1.85845944948027	0.94	0.274	3.75758923802683e-62	preDP_DPblast	Cluster_9
Tmsb4x	1.89009467956618e-66	-1.58066404602126	0.998	1	6.3688630322662e-62	preDP_DPblast	Cluster_9
Tipin	2.64852953990343e-66	1.54700647068618	0.91	0.167	8.9244851376586e-62	preDP_DPblast	Cluster_9
H1f5	2.84782472799104e-66	4.11925997435362	0.97	0.548	9.5960302034386e-62	preDP_DPblast	Cluster_9
Slbp	1.29676350375685e-65	1.93311881277673	0.915	0.208	4.36957430225907e-61	preDP_DPblast	Cluster_9
Btg2	1.8000577760158e-63	-1.4611740999118	0.918	0.994	6.06547468206283e-59	preDP_DPblast	Cluster_9
Anp32b	2.4827193161386e-63	1.14511287285599	1	0.952	8.36577100766064e-59	preDP_DPblast	Cluster_9
Ccr9	1.36278713139282e-62	-1.76921966995269	0.68	0.976	4.59204751794125e-58	preDP_DPblast	Cluster_9
Wdr76	1.99526471513878e-62	1.4080645682225	0.864	0.113	6.72324398413165e-58	preDP_DPblast	Cluster_9
Orc6	7.62589196615948e-62	1.38325329315623	0.893	0.167	2.5696205569171e-57	preDP_DPblast	Cluster_9
Pola1	8.43259304836621e-62	2.07491297659409	0.839	0.089	2.84144655357748e-57	preDP_DPblast	Cluster_9
