	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	8.70030697968073e-172	-3.20324547117117	0.019	0.937	2.93165543987322e-167	preDP_DPblast	DN_Precursors
Il2ra	4.97733238103358e-146	-3.20875220406109	0.046	0.937	1.67716191911308e-141	preDP_DPblast	DN_Precursors
Atp8b4	2.50549966236108e-132	-2.82028053446066	0.058	0.919	8.44253166229189e-128	preDP_DPblast	DN_Precursors
Trgc2	5.60694995162018e-129	-2.60232768275971	0.049	0.874	1.88931785569794e-124	preDP_DPblast	DN_Precursors
Gria3	9.0410482624553e-127	-2.23022404716649	0.051	0.865	3.04647162251694e-122	preDP_DPblast	DN_Precursors
Trgc4	1.39652291194708e-125	-2.12623332338811	0.032	0.793	4.70572360409689e-121	preDP_DPblast	DN_Precursors
Trgc1	1.48042113169532e-123	-2.6431457959642	0.053	0.856	4.98842704536055e-119	preDP_DPblast	DN_Precursors
Hes1	2.89193565835988e-118	-2.07441459125931	0.041	0.793	9.74466639440944e-114	preDP_DPblast	DN_Precursors
Adamts17	4.81121472643487e-105	-1.80414400659849	0.048	0.757	1.62118691421949e-100	preDP_DPblast	DN_Precursors
Zeb2	2.08797627370574e-102	-1.97565888792846	0.04	0.721	7.03564485187887e-98	preDP_DPblast	DN_Precursors
Ccnd2	3.8371855185867e-102	-1.71722999192819	0.063	0.82	1.29297803234297e-97	preDP_DPblast	DN_Precursors
Gm5111	6.28051461275704e-94	-0.714960610314443	0.002	0.486	2.11628220391461e-89	preDP_DPblast	DN_Precursors
Ctla2a	2.48257017944587e-91	-1.02616104368541	0.011	0.532	8.36526847666082e-87	preDP_DPblast	DN_Precursors
Epb41l4b	9.71487716942324e-90	-0.988491358241374	0.021	0.577	3.27352501100885e-85	preDP_DPblast	DN_Precursors
Trgv2	2.89627856216676e-84	-2.1034222176797	0.049	0.658	9.75930024307712e-80	preDP_DPblast	DN_Precursors
Nckap5	2.16518530794103e-83	-1.4540715485914	0.054	0.676	7.29580841363809e-79	preDP_DPblast	DN_Precursors
Plac8	6.24672451947731e-81	-3.2162808575934	0.139	0.838	2.10489629408308e-76	preDP_DPblast	DN_Precursors
Myl10	7.31010654806919e-80	-3.23173312796693	0.269	0.955	2.4632135024374e-75	preDP_DPblast	DN_Precursors
Erg	4.55715657931795e-79	-0.71120691232164	0.002	0.414	1.53557948096698e-74	preDP_DPblast	DN_Precursors
Parp8	3.01602613252605e-77	-1.45273865451454	0.077	0.721	1.01628016561598e-72	preDP_DPblast	DN_Precursors
Il7r	1.83242908449984e-76	-1.25353389932496	0.057	0.667	6.17455304313066e-72	preDP_DPblast	DN_Precursors
Gprin3	4.10552343748058e-76	-1.03394053850198	0.009	0.45	1.38339717749346e-71	preDP_DPblast	DN_Precursors
Ifitm2	8.50314448095389e-74	-0.997259115834275	0.044	0.595	2.86521956430222e-69	preDP_DPblast	DN_Precursors
Wdfy4	6.48248180326865e-73	-0.84015625006608	0.014	0.459	2.18433706842941e-68	preDP_DPblast	DN_Precursors
Gm12503	1.05281125129871e-71	-0.749270161917533	0.001	0.369	3.54755279237612e-67	preDP_DPblast	DN_Precursors
Cdh1	6.58768046340257e-70	-0.602055384330964	0.006	0.396	2.21978480894813e-65	preDP_DPblast	DN_Precursors
Coro2a	2.03000388075642e-69	-0.886510132476502	0.033	0.532	6.84030107659683e-65	preDP_DPblast	DN_Precursors
Tshz2	1.83603531968968e-68	-1.28191963379946	0.007	0.396	6.18670461322635e-64	preDP_DPblast	DN_Precursors
Khdc1a	4.3000549407094e-68	-0.681620956084069	0.001	0.351	1.44894651282144e-63	preDP_DPblast	DN_Precursors
Cdk6	2.54866851487796e-65	-3.00281213848574	0.715	1	8.58799342773278e-61	preDP_DPblast	DN_Precursors
Hmgb2	4.95892148581632e-64	3.60001078669278	1	0.784	1.67095818386067e-59	preDP_DPblast	DN_Precursors
Nkg7	6.75086299376126e-64	-0.740256036721568	0.02	0.459	2.2747707943778e-59	preDP_DPblast	DN_Precursors
Bst1	7.80392395853888e-62	-0.89725305355569	0.036	0.505	2.62961021706926e-57	preDP_DPblast	DN_Precursors
Hmgn2	1.17714221379061e-61	2.64730695039792	0.998	0.667	3.96649840358883e-57	preDP_DPblast	DN_Precursors
Ptma	1.26893836986382e-61	1.75207179982926	1	0.991	4.27581473109314e-57	preDP_DPblast	DN_Precursors
Unc93b1	3.97847735374969e-61	-0.661985824078644	0.015	0.405	1.3405877291195e-56	preDP_DPblast	DN_Precursors
Hmgb1	4.1065966799173e-61	1.95419720184361	1	0.982	1.38375881726493e-56	preDP_DPblast	DN_Precursors
Dek	6.19495344435962e-60	2.26083650417068	0.995	0.514	2.08745151261142e-55	preDP_DPblast	DN_Precursors
Lockd	1.28435912767273e-59	2.64927508086336	0.984	0.162	4.32777651660602e-55	preDP_DPblast	DN_Precursors
Bcl11a	6.0747694627978e-59	-0.431318263424352	0.001	0.306	2.04695431818435e-54	preDP_DPblast	DN_Precursors
Mki67	9.97299558610404e-59	2.96766516196237	0.98	0.171	3.36050059269362e-54	preDP_DPblast	DN_Precursors
Plekha7	1.23914089790952e-58	-1.41989967187487	0.188	0.811	4.17540916959593e-54	preDP_DPblast	DN_Precursors
Lmnb1	1.79007178801213e-58	1.88580820247335	0.995	0.586	6.03182589688567e-54	preDP_DPblast	DN_Precursors
Notch3	2.41912281106151e-58	-2.05929343476711	0.254	0.865	8.15147622415287e-54	preDP_DPblast	DN_Precursors
Frmd4a	5.2821164107613e-58	-0.93255263735454	0.082	0.622	1.77986194577013e-53	preDP_DPblast	DN_Precursors
H2az1	8.19642777714999e-58	2.33448262207782	1	0.883	2.76186830378846e-53	preDP_DPblast	DN_Precursors
Mcub	8.46014760769253e-58	-1.23960071134179	0.117	0.685	2.85073133788807e-53	preDP_DPblast	DN_Precursors
Stmn1	8.8895833202251e-58	2.15623711350575	1	0.865	2.99543399558305e-53	preDP_DPblast	DN_Precursors
Pclaf	1.35152813746604e-57	2.96207364661302	0.975	0.18	4.55410921200558e-53	preDP_DPblast	DN_Precursors
Top2a	2.63438553402382e-57	3.39834627896907	0.977	0.288	8.87682549544667e-53	preDP_DPblast	DN_Precursors
Tmpo	3.17256392721616e-57	1.91445124829601	0.996	0.667	1.06902714091476e-52	preDP_DPblast	DN_Precursors
Cd8b1	5.6207311891196e-57	2.80884207133391	0.973	0.162	1.89396158148574e-52	preDP_DPblast	DN_Precursors
Tuba1b	7.54215260851339e-57	2.56174016742581	0.989	0.532	2.54140374296467e-52	preDP_DPblast	DN_Precursors
Tubb5	8.48732627173998e-57	2.11942510127807	1	0.91	2.8598894605255e-52	preDP_DPblast	DN_Precursors
Gm34004	1.67913582065705e-56	-0.799007639346731	0.013	0.369	5.65801606128599e-52	preDP_DPblast	DN_Precursors
Rrm2	4.81312030660858e-56	2.42860562090591	0.949	0.09	1.62182901851483e-51	preDP_DPblast	DN_Precursors
Scin	1.63668074361837e-55	-0.701151950694791	0.005	0.315	5.51495943369646e-51	preDP_DPblast	DN_Precursors
Epcam	1.66535652371057e-55	-0.840352500468843	0.067	0.568	5.61158534229514e-51	preDP_DPblast	DN_Precursors
Pld4	3.21109519990446e-55	-0.52452381820587	0.002	0.297	1.08201063855981e-50	preDP_DPblast	DN_Precursors
H2az2	4.02728778208805e-55	2.00562720676794	0.996	0.847	1.35703489105239e-50	preDP_DPblast	DN_Precursors
Cd8a	1.03828543607854e-54	2.67799744535218	0.936	0.081	3.49860660541026e-50	preDP_DPblast	DN_Precursors
Rnf220	2.81008476503838e-54	-1.97469894543427	0.355	0.901	9.46886162427334e-50	preDP_DPblast	DN_Precursors
Birc5	1.40952301714103e-53	2.56292819744346	0.931	0.09	4.74952875855843e-49	preDP_DPblast	DN_Precursors
Maml3	1.81880126503899e-53	-2.09381956987728	0.292	0.865	6.12863274267537e-49	preDP_DPblast	DN_Precursors
Gm2629	1.99154659295194e-53	-1.77500303038618	0.231	0.82	6.71071539961087e-49	preDP_DPblast	DN_Precursors
Notch1	2.31711026795839e-53	-1.90955994882669	0.599	0.964	7.8077347589126e-49	preDP_DPblast	DN_Precursors
Ipcef1	2.45425069213082e-53	-1.23898909948631	0.183	0.784	8.269843132204e-49	preDP_DPblast	DN_Precursors
Hdac4	2.92304735229283e-53	-2.48497204420049	0.468	0.937	9.8495003582859e-49	preDP_DPblast	DN_Precursors
H1f5	4.56587835382686e-53	4.16817130687115	0.97	0.36	1.5385183701055e-48	preDP_DPblast	DN_Precursors
Spc24	8.24317397255794e-53	1.80932766321583	0.945	0.18	2.77761990179312e-48	preDP_DPblast	DN_Precursors
Arhgef10l	1.26630989256466e-52	-0.85148492570013	0.013	0.351	4.26695781398588e-48	preDP_DPblast	DN_Precursors
Tsc22d1	2.12212395709502e-52	-1.87121022950338	0.298	0.865	7.15070888582738e-48	preDP_DPblast	DN_Precursors
Esr1	2.78124200663295e-52	-1.21748357884323	0.117	0.658	9.3716730655504e-48	preDP_DPblast	DN_Precursors
E2f2	6.31969590598745e-52	1.67829983761472	0.954	0.225	2.12948473248153e-47	preDP_DPblast	DN_Precursors
Calm1	6.80804159266489e-52	1.54778744992635	0.999	0.793	2.29403769506436e-47	preDP_DPblast	DN_Precursors
Rab38	1.12186348164718e-51	-0.369652197729048	0.002	0.279	3.78023118775833e-47	preDP_DPblast	DN_Precursors
Atp2b4	1.14643571031664e-51	-0.638034868225475	0.027	0.414	3.86302976948296e-47	preDP_DPblast	DN_Precursors
Anp32b	1.9497807494479e-51	1.40744944181043	1	0.91	6.56998121333964e-47	preDP_DPblast	DN_Precursors
Vav3	4.82256654766078e-51	-1.18021528490689	0.167	0.748	1.62501202389978e-46	preDP_DPblast	DN_Precursors
Tpd52	5.60012236053798e-51	-0.916099923356836	0.121	0.658	1.88701723060688e-46	preDP_DPblast	DN_Precursors
Fbxo5	1.20905957059066e-50	1.96902276523215	0.898	0.117	4.0740471290623e-46	preDP_DPblast	DN_Precursors
Cenpp	1.50283513099979e-50	2.02054803903814	0.923	0.126	5.0639532574169e-46	preDP_DPblast	DN_Precursors
Cpa3	3.22318795403221e-50	-1.00961876350841	0	0.252	1.08608541299069e-45	preDP_DPblast	DN_Precursors
Ahr	3.56691381188198e-50	-0.809275227164662	0.047	0.477	1.20190727805175e-45	preDP_DPblast	DN_Precursors
Kif11	3.66968920226079e-50	2.39451916945911	0.896	0.117	1.2365384735938e-45	preDP_DPblast	DN_Precursors
2700054A10Rik	5.04090352676945e-50	-0.538294192049906	0.002	0.27	1.69858285238024e-45	preDP_DPblast	DN_Precursors
S100a11	6.09159345317607e-50	-1.25271615125905	0.229	0.793	2.05262332998221e-45	preDP_DPblast	DN_Precursors
Gm11342	1.01864404968417e-49	-1.57726133976742	0.137	0.685	3.43242298981577e-45	preDP_DPblast	DN_Precursors
5830418P13Rik	2.65417335500487e-49	-1.69437066721358	0.447	0.928	8.9435025370244e-45	preDP_DPblast	DN_Precursors
Ezh2	2.71736695194015e-49	1.51256491791133	0.996	0.856	9.15643968125752e-45	preDP_DPblast	DN_Precursors
Gmnn	4.12614504710272e-49	1.53783061595841	0.937	0.288	1.39034583507173e-44	preDP_DPblast	DN_Precursors
Ppt1	4.39902304832406e-49	-1.74837273065148	0.547	0.955	1.48229480636328e-44	preDP_DPblast	DN_Precursors
H3c3	5.91026061482075e-49	3.41025266899038	0.883	0.108	1.99152141677e-44	preDP_DPblast	DN_Precursors
H2ac22	1.0764974323772e-48	2.75258509830219	0.893	0.117	3.6273657481382e-44	preDP_DPblast	DN_Precursors
Cdk1	1.16170836048353e-48	1.94632735577231	0.88	0.054	3.91449249148529e-44	preDP_DPblast	DN_Precursors
H2ac24	1.31510176732237e-48	3.35688828021545	0.924	0.297	4.43136691516945e-44	preDP_DPblast	DN_Precursors
Pgpep1l	1.3263664683202e-48	-1.39810433941543	0.139	0.667	4.46932445165174e-44	preDP_DPblast	DN_Precursors
Sema4a	2.52347472730519e-48	-0.465696273684827	0.026	0.396	8.50310044112757e-44	preDP_DPblast	DN_Precursors
Hnrnpa3	2.67316722190958e-48	1.12910841951274	1	0.973	9.00750427094652e-44	preDP_DPblast	DN_Precursors
Cdca8	2.73390608068435e-48	1.91830382480022	0.904	0.135	9.21216992947399e-44	preDP_DPblast	DN_Precursors
H2ac4	7.02347738615842e-48	3.19910878124936	0.889	0.117	2.36663094003994e-43	preDP_DPblast	DN_Precursors
Angpt1	7.88904632534777e-48	-1.63663404091669	0.204	0.784	2.65829304978918e-43	preDP_DPblast	DN_Precursors
Knl1	7.97048967915262e-48	2.13158989333972	0.883	0.099	2.68573620228727e-43	preDP_DPblast	DN_Precursors
Smc2	1.2532577181341e-47	1.67204417249416	0.966	0.378	4.22297720702468e-43	preDP_DPblast	DN_Precursors
H2ac8	1.74966523756637e-47	3.63229936790295	0.945	0.36	5.89567198450365e-43	preDP_DPblast	DN_Precursors
Ppia	2.88663398914729e-47	1.19651525441689	1	0.982	9.72680188983071e-43	preDP_DPblast	DN_Precursors
Fam169b	3.51265414474821e-47	-1.74014937793146	0.752	0.982	1.18362394061436e-42	preDP_DPblast	DN_Precursors
H2-K1	4.57773037812878e-47	-1.57023979105073	0.396	0.901	1.54251202821427e-42	preDP_DPblast	DN_Precursors
Tnr	1.15885607107589e-46	-0.522704130961418	0.005	0.27	3.90488141709731e-42	preDP_DPblast	DN_Precursors
Atp8a1	1.68723795382475e-46	-1.83601982563914	0.62	0.955	5.68531700920787e-42	preDP_DPblast	DN_Precursors
Wwox	2.67341378424927e-46	-2.96788041312524	0.625	0.991	9.00833508740635e-42	preDP_DPblast	DN_Precursors
Dut	3.30544383631756e-46	1.85913926151234	0.984	0.685	1.11380235508556e-41	preDP_DPblast	DN_Precursors
Camk4	5.89634763325452e-46	1.95156923016796	0.98	0.297	1.98683329850144e-41	preDP_DPblast	DN_Precursors
Kdm5b	7.1459237754009e-46	-1.26857202370222	0.298	0.838	2.40789047535909e-41	preDP_DPblast	DN_Precursors
ENSMUSG00000121501	8.03171778828284e-46	-0.865933323049201	0.078	0.541	2.70636762593979e-41	preDP_DPblast	DN_Precursors
Cenpe	9.71015652234762e-46	2.09049995142337	0.859	0.09	3.27193434177025e-41	preDP_DPblast	DN_Precursors
Pik3ip1	1.23079359417084e-45	-1.33406383951883	0.324	0.847	4.14728209491807e-41	preDP_DPblast	DN_Precursors
Arhgap26	1.48022316830871e-45	-1.48730013318999	0.386	0.874	4.98775998793302e-41	preDP_DPblast	DN_Precursors
Kif15	2.1204116143921e-45	1.7066356449626	0.888	0.144	7.14493897585563e-41	preDP_DPblast	DN_Precursors
Cdca3	2.46681460870686e-45	1.89703234218199	0.852	0.081	8.31217850549863e-41	preDP_DPblast	DN_Precursors
Clspn	4.09891696406192e-45	1.55648335701899	0.889	0.126	1.3811710602103e-40	preDP_DPblast	DN_Precursors
Glcci1	4.54338305788519e-45	2.06716535857836	0.972	0.559	1.53093835518499e-40	preDP_DPblast	DN_Precursors
