	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cenpe	2.33958515478574e-238	-2.34677065188971	0.006	0.823	7.88346613756602e-234	Cluster_2_6	Cluster_9
Hmgn2	1.28071318433431e-225	-3.25210028983882	0.067	0.99	4.3154911459329e-221	Cluster_2_6	Cluster_9
Ccnb2	2.31985684187384e-225	-2.72462353464455	0.019	0.852	7.81698961437808e-221	Cluster_2_6	Cluster_9
Cenpa	4.4999593353973e-224	-3.06392714562223	0.031	0.885	1.51630629765547e-219	Cluster_2_6	Cluster_9
Cenpf	2.74696392926677e-219	-3.31477042227252	0.01	0.785	9.25616965605732e-215	Cluster_2_6	Cluster_9
Cdca8	1.53366573779619e-217	-2.08941420551374	0.011	0.789	5.16784007007804e-213	Cluster_2_6	Cluster_9
Cks1b	1.42056115265439e-213	-2.25971738241836	0.012	0.785	4.78672285998425e-209	Cluster_2_6	Cluster_9
Tpx2	9.91304700683588e-210	-2.24998672454745	0.007	0.742	3.34030031942342e-205	Cluster_2_6	Cluster_9
Birc5	1.67852732212824e-209	-2.68145689130795	0.022	0.818	5.65596566464331e-205	Cluster_2_6	Cluster_9
Lgals1	1.77852743864083e-207	-3.26908537547728	0.083	0.976	5.99292605724414e-203	Cluster_2_6	Cluster_9
Cks2	4.92170768390641e-204	-2.85198692186342	0.035	0.847	1.65841862116911e-199	Cluster_2_6	Cluster_9
Knstrn	4.28704353365951e-203	-1.71611137027695	0.015	0.78	1.44456218910191e-198	Cluster_2_6	Cluster_9
Mki67	3.14665376511729e-200	-2.97173917713062	0.029	0.813	1.06029645269392e-195	Cluster_2_6	Cluster_9
Hmmr	1.04500155380987e-197	-1.94020676487191	0.002	0.679	3.52123723571774e-193	Cluster_2_6	Cluster_9
Ube2c	6.96378849091358e-196	-3.68243419446047	0.032	0.813	2.34651816989824e-191	Cluster_2_6	Cluster_9
Cdc20	9.19736710317306e-195	-2.51300957483365	0.011	0.718	3.0991448190852e-190	Cluster_2_6	Cluster_9
Ccnb1	3.98143216998605e-191	-2.09859734099136	0.005	0.675	1.3415833839985e-186	Cluster_2_6	Cluster_9
Hint1	5.9281135122758e-190	-1.73665981691307	0.037	0.847	1.99753712909645e-185	Cluster_2_6	Cluster_9
Lockd	1.29742791326366e-189	-2.75116620150373	0.065	0.909	4.37181309653322e-185	Cluster_2_6	Cluster_9
Dlgap5	1.38796004568904e-188	-1.78362593568191	0.006	0.675	4.67687016995379e-184	Cluster_2_6	Cluster_9
Cdca3	9.23657996441491e-188	-1.53215060334264	0.007	0.684	3.11235798480925e-183	Cluster_2_6	Cluster_9
Selenoh	1.97171715379343e-187	-1.5367917000979	0.028	0.799	6.64389812142235e-183	Cluster_2_6	Cluster_9
Crip1	1.53787468995802e-182	-2.65719029758088	0.108	0.976	5.18202255528255e-178	Cluster_2_6	Cluster_9
Ran	3.07199563806686e-182	-2.28830246631878	0.089	0.962	1.03513965020301e-177	Cluster_2_6	Cluster_9
Knl1	1.31659863974129e-178	-1.98875091341199	0.018	0.708	4.43641077647225e-174	Cluster_2_6	Cluster_9
Gm43305	6.4537808094289e-176	-1.80994868874215	0.031	0.77	2.17466598154516e-171	Cluster_2_6	Cluster_9
Stmn1	7.69265922385598e-176	-3.52846060927348	0.159	0.99	2.59211845207051e-171	Cluster_2_6	Cluster_9
Lsm5	4.16048783111237e-175	-1.91197269615463	0.062	0.885	1.40191797957162e-170	Cluster_2_6	Cluster_9
Gm10076	6.41230103197711e-175	-1.93548531529022	0.072	0.923	2.16068895573501e-170	Cluster_2_6	Cluster_9
Cip2a	1.36807119998892e-170	-1.21542220357455	0.009	0.641	4.60985271548266e-166	Cluster_2_6	Cluster_9
Aspm	4.86507135145978e-167	-1.58083951033169	0.002	0.584	1.63933444258789e-162	Cluster_2_6	Cluster_9
Cox7a2	6.39502193031761e-167	-2.18085798462377	0.114	0.967	2.15486658963982e-162	Cluster_2_6	Cluster_9
Vim	4.35759292368282e-166	-1.69110290900357	0.023	0.699	1.46833451156416e-161	Cluster_2_6	Cluster_9
Atp5k	2.0223512556577e-163	-1.62445287977782	0.075	0.914	6.8145147910642e-159	Cluster_2_6	Cluster_9
Hmgn5	1.62407059071075e-162	-1.36466210198946	0.032	0.742	5.47246826245896e-158	Cluster_2_6	Cluster_9
Rps27l	1.00063727119802e-160	-1.67552049032941	0.072	0.89	3.37174734902885e-156	Cluster_2_6	Cluster_9
Ndufc2	2.24607427971587e-160	-1.51967258054441	0.066	0.871	7.56837189293061e-156	Cluster_2_6	Cluster_9
Atp5mpl	2.97592003071622e-160	-1.7076391443194	0.083	0.919	1.00276601355014e-155	Cluster_2_6	Cluster_9
Tacc3	3.13987780012481e-160	-1.35989408508232	0.01	0.612	1.05801322353005e-155	Cluster_2_6	Cluster_9
H2az1	4.27057104981572e-160	-3.41575560315934	0.222	1	1.43901162094591e-155	Cluster_2_6	Cluster_9
Depdc1a	5.38593074612323e-160	-1.28183430912932	0.001	0.55	1.81484322421368e-155	Cluster_2_6	Cluster_9
Hmgb3	1.31519984805623e-159	-1.14863206073702	0.012	0.627	4.43169740801028e-155	Cluster_2_6	Cluster_9
Cdkn3	1.33217889741842e-159	-1.18820106139051	0.005	0.579	4.48891001274111e-155	Cluster_2_6	Cluster_9
Banf1	1.92424570113599e-159	-1.72590247488601	0.085	0.909	6.48393831454785e-155	Cluster_2_6	Cluster_9
Fkbp2	2.45698258124539e-159	-1.26405246798094	0.019	0.67	8.27904850576447e-155	Cluster_2_6	Cluster_9
Kif11	7.90224065048932e-159	-1.89381475668112	0.013	0.622	2.66273900958888e-154	Cluster_2_6	Cluster_9
Atpif1	2.35055944880974e-156	-1.89562126542658	0.104	0.947	7.92044511870931e-152	Cluster_2_6	Cluster_9
Nucks1	5.30234075506559e-156	-2.48241306732904	0.114	0.914	1.7866767408269e-151	Cluster_2_6	Cluster_9
Tomm6	1.22214996008949e-155	-1.37673173784727	0.05	0.799	4.11815650551756e-151	Cluster_2_6	Cluster_9
Ndufc1	6.94513826303863e-154	-1.36335464171453	0.057	0.823	2.3402337891135e-149	Cluster_2_6	Cluster_9
Lsm6	4.85537152461536e-153	-1.26063881523096	0.041	0.761	1.63606598893439e-148	Cluster_2_6	Cluster_9
Rpl3	5.39720289571697e-153	-2.42391578996356	0.163	0.99	1.81864148774079e-148	Cluster_2_6	Cluster_9
Anp32e	2.32852875407568e-152	-2.55852897276594	0.179	0.995	7.84621048973342e-148	Cluster_2_6	Cluster_9
Ndufb11	1.06125788860521e-151	-1.73359244548228	0.093	0.914	3.5760145814441e-147	Cluster_2_6	Cluster_9
Cdk1	1.49445636707112e-151	-1.86874039648467	0.005	0.55	5.03572017448284e-147	Cluster_2_6	Cluster_9
Atp5e	3.20513022951632e-151	-1.89387965572786	0.121	0.967	1.08000068213782e-146	Cluster_2_6	Cluster_9
Cox8a	5.66120307410623e-151	-1.88555567188875	0.122	0.976	1.90759898785083e-146	Cluster_2_6	Cluster_9
Ndufa4	7.95743398078215e-151	-2.123192240672	0.139	0.967	2.68133695416435e-146	Cluster_2_6	Cluster_9
Sec61g	1.26720987157012e-150	-1.71013265906958	0.1	0.938	4.26999038324267e-146	Cluster_2_6	Cluster_9
Hdgf	1.74970267756446e-150	-1.77911147605153	0.079	0.866	5.89579814232122e-146	Cluster_2_6	Cluster_9
Tubb4b	2.10212579320698e-150	-2.66021016083279	0.049	0.732	7.08332307279023e-146	Cluster_2_6	Cluster_9
Uba52	2.56877434435395e-150	-1.73508743791058	0.103	0.938	8.65574203073507e-146	Cluster_2_6	Cluster_9
Rps5	2.61050546052181e-150	-2.63757854511125	0.207	0.995	8.7963591997743e-146	Cluster_2_6	Cluster_9
Cox5b	4.11354606273046e-150	-1.71358043194662	0.096	0.919	1.38610048129765e-145	Cluster_2_6	Cluster_9
Hmgn1	8.00650164146048e-150	-1.40042887103955	0.056	0.804	2.69787079310652e-145	Cluster_2_6	Cluster_9
Aurka	1.18863624852831e-149	-1.26103293604205	0.008	0.569	4.00522870304099e-145	Cluster_2_6	Cluster_9
Ndufb5	1.57294659517761e-149	-1.4097571544832	0.062	0.828	5.30020084711047e-145	Cluster_2_6	Cluster_9
Top2a	2.5694896676632e-149	-2.99451156164179	0.046	0.718	8.65815238415792e-145	Cluster_2_6	Cluster_9
Txn1	2.65183212000874e-149	-2.59133604836711	0.204	0.986	8.93561351158145e-145	Cluster_2_6	Cluster_9
S100a13	6.23428886008981e-149	-1.49167060241891	0.074	0.861	2.10070597429586e-144	Cluster_2_6	Cluster_9
Rpl10	9.46312099193516e-149	-2.40595894965352	0.178	0.976	3.18869324944247e-144	Cluster_2_6	Cluster_9
Lamtor2	1.0438897463607e-148	-1.20340341880764	0.052	0.794	3.51749088933702e-144	Cluster_2_6	Cluster_9
Ckap2	4.59608018701887e-148	-1.25889859492714	0.012	0.589	1.54869517981788e-143	Cluster_2_6	Cluster_9
Sec61b	7.00666384332222e-148	-1.87673554368576	0.132	0.976	2.36096544864585e-143	Cluster_2_6	Cluster_9
Ndufa1	1.58590621327995e-147	-1.48378480025926	0.071	0.847	5.34386957626812e-143	Cluster_2_6	Cluster_9
Mrps14	1.96579486029417e-147	-1.52441795211785	0.084	0.885	6.62394236124725e-143	Cluster_2_6	Cluster_9
Snrpg	2.91143288085157e-147	-2.09451408312178	0.144	0.967	9.81036423531746e-143	Cluster_2_6	Cluster_9
H2bc4	2.17609912924207e-146	-1.60990780694334	0.022	0.636	7.33258362589408e-142	Cluster_2_6	Cluster_9
Dbi	5.70148535130719e-146	-1.60059752332742	0.081	0.871	1.92117250397647e-141	Cluster_2_6	Cluster_9
Ccna2	1.18870724584688e-145	-1.37411565702466	0.008	0.555	4.00546793560563e-141	Cluster_2_6	Cluster_9
Tomm7	3.10502859367742e-145	-1.94059374891613	0.134	0.962	1.04627043492554e-140	Cluster_2_6	Cluster_9
Rbm3	4.39746556987582e-145	-2.49636975427873	0.219	0.99	1.48176999842536e-140	Cluster_2_6	Cluster_9
Atp5g2	6.46462546253812e-145	-1.69213753278066	0.09	0.885	2.17832019585685e-140	Cluster_2_6	Cluster_9
Rpl29	2.45357909240849e-144	-2.34734725669631	0.188	0.976	8.26758010977964e-140	Cluster_2_6	Cluster_9
Cox6c	3.31779501176698e-144	-2.19111904732598	0.17	0.981	1.117964207165e-139	Cluster_2_6	Cluster_9
Kif4	3.75280227979677e-144	-1.12745338007298	0.002	0.512	1.26454425620032e-139	Cluster_2_6	Cluster_9
Bub1b	2.59823920379289e-143	-1.16195795076617	0.014	0.584	8.75502682110053e-139	Cluster_2_6	Cluster_9
Uqcr10	8.19192310055911e-143	-1.4912841141994	0.08	0.856	2.7603504079644e-138	Cluster_2_6	Cluster_9
Ppp1r14b	1.30679469613959e-142	-2.50946327557841	0.197	0.971	4.40337540811196e-138	Cluster_2_6	Cluster_9
Btf3	1.85541606591965e-142	-2.21167035849977	0.199	0.99	6.25200997572284e-138	Cluster_2_6	Cluster_9
Sgo1	1.47395256399008e-141	-1.14823021938396	0.006	0.526	4.96663055962096e-137	Cluster_2_6	Cluster_9
Eif3k	2.55377078573803e-141	-1.5394883994559	0.1	0.919	8.60518603962286e-137	Cluster_2_6	Cluster_9
Tmem256	4.04690801576822e-141	-1.06851549213814	0.022	0.622	1.36364612499326e-136	Cluster_2_6	Cluster_9
Anxa2	7.30565521733026e-141	-2.38295467825576	0.209	0.986	2.46171358203161e-136	Cluster_2_6	Cluster_9
Ckap2l	1.36974658298002e-140	-1.12240702678477	0.004	0.512	4.61549808600947e-136	Cluster_2_6	Cluster_9
Nusap1	1.46505966468419e-140	-2.16153905289801	0.013	0.56	4.93666504611984e-136	Cluster_2_6	Cluster_9
Prdx1	3.05330692211389e-140	-1.65631405757542	0.105	0.919	1.0288423004755e-135	Cluster_2_6	Cluster_9
Snrpe	7.4179137648837e-140	-1.89520212168291	0.141	0.952	2.49954022221521e-135	Cluster_2_6	Cluster_9
Txndc17	8.5609560052209e-140	-0.992154027006703	0.034	0.684	2.88469973551923e-135	Cluster_2_6	Cluster_9
Ndufs6	8.5813752074048e-140	-1.29582003561171	0.059	0.785	2.89158018988712e-135	Cluster_2_6	Cluster_9
Atp5o	9.90921192379034e-140	-1.46369292889443	0.093	0.89	3.33900804984039e-135	Cluster_2_6	Cluster_9
Rpl21	1.01868847471224e-139	-2.55067282098388	0.269	1	3.43257268439038e-135	Cluster_2_6	Cluster_9
Hmgb2	1.20298917729842e-139	-4.35182001151191	0.248	0.976	4.05359233182477e-135	Cluster_2_6	Cluster_9
Snrpf	1.67814005698583e-139	-1.88500418007999	0.142	0.962	5.65466073601945e-135	Cluster_2_6	Cluster_9
H2az2	2.62179138603316e-139	-2.59517613645484	0.231	0.99	8.83438825437735e-135	Cluster_2_6	Cluster_9
Racgap1	3.09884451574996e-139	-1.12567742707685	0.019	0.598	1.04418664802711e-134	Cluster_2_6	Cluster_9
Mrpl30	1.44857944239915e-138	-1.10948885579512	0.048	0.737	4.88113328910818e-134	Cluster_2_6	Cluster_9
AI662270	2.89303008368397e-138	-1.31242192576424	0.06	0.785	9.74835416998149e-134	Cluster_2_6	Cluster_9
Cox7a2l	5.85585479979131e-138	-1.69069457985605	0.124	0.947	1.97318883333768e-133	Cluster_2_6	Cluster_9
Diaph3	1.5452217281277e-137	-1.56332604701944	0.015	0.565	5.20677913509911e-133	Cluster_2_6	Cluster_9
Nudcd2	5.00252927723965e-137	-1.31226749508621	0.026	0.622	1.68565226525867e-132	Cluster_2_6	Cluster_9
Ndufa3	6.39943827336282e-137	-1.23421385775932	0.075	0.847	2.15635472059234e-132	Cluster_2_6	Cluster_9
Kif20b	1.24352238426631e-136	-1.41492154583366	0.028	0.636	4.19017302602374e-132	Cluster_2_6	Cluster_9
Rpl4	1.38623354197788e-136	-2.01179702051669	0.166	0.971	4.67105254304866e-132	Cluster_2_6	Cluster_9
Spcs1	1.91582994215033e-136	-1.25274836609156	0.054	0.751	6.45558057306977e-132	Cluster_2_6	Cluster_9
Psmb6	4.36612454944415e-136	-1.28029013619582	0.078	0.847	1.4712093281807e-131	Cluster_2_6	Cluster_9
Tuba1c	4.78575875850329e-136	-1.69309565635924	0.008	0.522	1.61260927126527e-131	Cluster_2_6	Cluster_9
Cox7b	1.14910391025184e-135	-1.58425363364236	0.113	0.928	3.87202053598461e-131	Cluster_2_6	Cluster_9
Rtraf	1.50144915056603e-135	-1.28230576936415	0.075	0.833	5.05928305774728e-131	Cluster_2_6	Cluster_9
Swi5	1.70596467219268e-135	-1.5903884001077	0.11	0.909	5.74841855942046e-131	Cluster_2_6	Cluster_9
Kif2c	2.18606193663182e-135	-0.917798695082996	0.002	0.483	7.36615430167458e-131	Cluster_2_6	Cluster_9
Cops9	3.81760351409029e-135	-1.14730260066374	0.051	0.742	1.28637968010786e-130	Cluster_2_6	Cluster_9
Cox6b1	4.96066763563452e-135	-1.8843667160858	0.16	0.967	1.67154656650341e-130	Cluster_2_6	Cluster_9
Rpl22l1	5.73889691800615e-135	-1.48373840237813	0.086	0.852	1.93377870549135e-130	Cluster_2_6	Cluster_9
Lsm4	6.47923681140409e-135	-1.36082368446408	0.075	0.833	2.18324363597072e-130	Cluster_2_6	Cluster_9
Rpl39	7.03216393383229e-135	-2.70339261714064	0.277	0.995	2.36955795914413e-130	Cluster_2_6	Cluster_9
Spc24	7.3598834314439e-135	-0.984174949972771	0.009	0.526	2.47998632105934e-130	Cluster_2_6	Cluster_9
Rplp0	2.08309926345793e-134	-2.71098414453333	0.312	1	7.01921127814783e-130	Cluster_2_6	Cluster_9
Tubb2a	4.29832715232388e-134	-1.57329634316485	0.084	0.833	1.44836431724706e-129	Cluster_2_6	Cluster_9
Elob	5.5380505426303e-134	-1.99953935848219	0.166	0.962	1.86610151084471e-129	Cluster_2_6	Cluster_9
Psmb5	6.85530324935833e-134	-1.21344250512755	0.058	0.77	2.30996298290378e-129	Cluster_2_6	Cluster_9
Tspo	9.0229934556333e-134	-1.6889135366867	0.119	0.933	3.0403878748102e-129	Cluster_2_6	Cluster_9
Psmb8	1.35141471103578e-133	-1.7470040805783	0.116	0.9	4.55372701030615e-129	Cluster_2_6	Cluster_9
Ndufa11	1.76229610742295e-133	-1.16285410381876	0.064	0.789	5.93823296357239e-129	Cluster_2_6	Cluster_9
Ppia	1.94722241086152e-133	-3.24534251118016	0.419	1	6.56136063563898e-129	Cluster_2_6	Cluster_9
Ndufa2	3.42793370344978e-133	-1.41451336402354	0.094	0.876	1.15507654071444e-128	Cluster_2_6	Cluster_9
Rps7	2.58998367097245e-132	-2.61909228430595	0.3	0.995	8.72720897770875e-128	Cluster_2_6	Cluster_9
Atp5l	3.05783438866841e-132	-1.76221496581329	0.141	0.962	1.03036787560571e-127	Cluster_2_6	Cluster_9
Prr11	4.18521259496937e-132	-0.817554451847686	0	0.455	1.41024923600088e-127	Cluster_2_6	Cluster_9
Prelid1	4.36851553513319e-132	-1.33064357257882	0.078	0.828	1.47201499471848e-127	Cluster_2_6	Cluster_9
Fundc2	4.88344626750453e-132	-1.17943802679566	0.046	0.703	1.64552605429833e-127	Cluster_2_6	Cluster_9
Nme1	9.81187446056981e-132	-1.10951413871938	0.056	0.751	3.3062092182336e-127	Cluster_2_6	Cluster_9
Alyref	1.55791142120983e-131	-1.11235748248207	0.053	0.742	5.24953832490864e-127	Cluster_2_6	Cluster_9
Nek2	3.32096857369441e-131	-0.879106082532638	0.002	0.464	1.11903357059207e-126	Cluster_2_6	Cluster_9
Atp5j	6.70378048788032e-131	-1.79421649581769	0.143	0.943	2.25890587319615e-126	Cluster_2_6	Cluster_9
Atp5g3	6.844424831409e-131	-1.45047588617168	0.114	0.919	2.30629739119158e-126	Cluster_2_6	Cluster_9
Eef1b2	6.96244901955549e-131	-1.97084673086706	0.142	0.923	2.34606682162942e-126	Cluster_2_6	Cluster_9
Pomp	8.26131341030685e-131	-1.36271257405887	0.098	0.89	2.783732166737e-126	Cluster_2_6	Cluster_9
Rps26	1.52154036385673e-130	-2.57549717753708	0.292	0.995	5.12698241005165e-126	Cluster_2_6	Cluster_9
Emp3	4.72872813037251e-130	-1.4270885542954	0.058	0.737	1.59339223081032e-125	Cluster_2_6	Cluster_9
Prc1	5.00783578927968e-130	-1.68272420275358	0.026	0.598	1.68744034755568e-125	Cluster_2_6	Cluster_9
Cox5a	6.14516617152955e-130	-1.54415516922519	0.119	0.928	2.0706751931586e-125	Cluster_2_6	Cluster_9
Eif1	8.74054292805503e-130	-2.60652267119388	0.356	1	2.94521334503742e-125	Cluster_2_6	Cluster_9
Tmem258	8.81690485849697e-130	-1.61570267925985	0.113	0.89	2.97094426111914e-125	Cluster_2_6	Cluster_9
Rps4x	9.59391093033007e-130	-2.55163910320261	0.304	1	3.23276422708402e-125	Cluster_2_6	Cluster_9
Rpl9	1.0260865079299e-129	-2.51759452287489	0.328	0.995	3.45750109712058e-125	Cluster_2_6	Cluster_9
Rpl15	1.69112968824199e-129	-2.40057160711314	0.295	1	5.6984305975002e-125	Cluster_2_6	Cluster_9
Rps3	2.09924970828579e-129	-2.36001842473513	0.287	1	7.0736318170398e-125	Cluster_2_6	Cluster_9
Cep55	2.17591425055891e-129	-0.89454304443504	0.002	0.464	7.33196065868329e-125	Cluster_2_6	Cluster_9
Rpl28	5.88905271109087e-129	-2.63125654142034	0.356	1	1.98437520152918e-124	Cluster_2_6	Cluster_9
Cenpw	1.20556839082946e-128	-0.855532681240142	0.006	0.483	4.06228324973893e-124	Cluster_2_6	Cluster_9
Ect2	1.88196034809037e-128	-1.41644342767426	0.032	0.622	6.34145358892533e-124	Cluster_2_6	Cluster_9
Ppib	2.27311177954014e-128	-1.29607887567271	0.093	0.866	7.65947745233845e-124	Cluster_2_6	Cluster_9
Rpl32	2.80421085322534e-128	-2.56813221485913	0.377	1	9.44906889102812e-124	Cluster_2_6	Cluster_9
Rpl34	7.3317118443502e-128	-2.48386259757763	0.323	0.995	2.47049362307224e-123	Cluster_2_6	Cluster_9
Snrpc	7.71206309222147e-128	-1.22149319521927	0.09	0.861	2.59865677955495e-123	Cluster_2_6	Cluster_9
Mrpl58	1.06900939800666e-127	-1.24956540118278	0.072	0.794	3.60213406752326e-123	Cluster_2_6	Cluster_9
Cep89	1.26091820261204e-127	-0.959995516536024	0.009	0.502	4.24878997552152e-123	Cluster_2_6	Cluster_9
Eif5a	1.73749971716947e-127	-1.61445658794445	0.118	0.9	5.85467904697425e-123	Cluster_2_6	Cluster_9
Rps13	1.8341309724777e-127	-2.45964587960364	0.343	0.995	6.18028772486085e-123	Cluster_2_6	Cluster_9
Rpl30	2.16268093214576e-127	-2.38754944988109	0.34	1	7.28736966895834e-123	Cluster_2_6	Cluster_9
Rpl24	3.22577219316595e-127	-2.39860178652679	0.301	0.995	1.0869561982092e-122	Cluster_2_6	Cluster_9
Rpsa	6.03937725482726e-127	-2.50012312035845	0.276	0.99	2.03502855978659e-122	Cluster_2_6	Cluster_9
Lsm2	6.30702659669522e-127	-0.862725701170164	0.035	0.646	2.12521568202242e-122	Cluster_2_6	Cluster_9
Snu13	9.76489344137271e-127	-1.37185094562164	0.099	0.876	3.29037849400495e-122	Cluster_2_6	Cluster_9
Rpl35	1.3781900013015e-126	-2.0635092712049	0.197	0.971	4.64394902838552e-122	Cluster_2_6	Cluster_9
Rnf7	1.63534696477014e-126	-1.07282964711224	0.055	0.732	5.51046513248948e-122	Cluster_2_6	Cluster_9
Uqcrh	1.8218750675568e-126	-1.96099175685573	0.193	0.971	6.13899022763938e-122	Cluster_2_6	Cluster_9
Coa3	1.97284108108227e-126	-0.956519436797734	0.034	0.636	6.64768530681483e-122	Cluster_2_6	Cluster_9
Lsm3	2.11022813979112e-126	-1.16930202924767	0.061	0.746	7.11062473984015e-122	Cluster_2_6	Cluster_9
Actg1	2.18002670937528e-126	-2.33193291299557	0.224	0.976	7.34581799991096e-122	Cluster_2_6	Cluster_9
Rpl10a	3.87403879888918e-126	-2.12518158321893	0.206	0.976	1.3053961136737e-121	Cluster_2_6	Cluster_9
