	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Clnk	8.07325504403664e-49	-4.27927958187379	0	1	2.72036401963859e-44	Cluster_9	Cluster_14
Il23r	8.07325504403664e-49	-4.14067458634712	0	1	2.72036401963859e-44	Cluster_9	Cluster_14
Il1r1	8.07325504403664e-49	-4.04862316288401	0	1	2.72036401963859e-44	Cluster_9	Cluster_14
Cdh10	8.07325504403664e-49	-3.79142525928878	0	1	2.72036401963859e-44	Cluster_9	Cluster_14
Il18r1	8.07325504403664e-49	-3.69972866548178	0	1	2.72036401963859e-44	Cluster_9	Cluster_14
Zbtb16	8.07325504403664e-49	-2.91952662507426	0	1	2.72036401963859e-44	Cluster_9	Cluster_14
Ppp1r14c	8.07325504403664e-49	-1.53024503848888	0	1	2.72036401963859e-44	Cluster_9	Cluster_14
Sntb1	8.69957046899734e-44	-2.75659615529197	0.005	1	2.93140726523334e-39	Cluster_9	Cluster_14
Pik3ap1	9.71796480099768e-43	-2.26547418244797	0	0.875	3.27456541934418e-38	Cluster_9	Cluster_14
Ccr6	9.71796480099768e-43	-1.80469593713117	0	0.875	3.27456541934418e-38	Cluster_9	Cluster_14
Kcnk1	9.71796480099768e-43	-1.63420871553511	0	0.875	3.27456541934418e-38	Cluster_9	Cluster_14
Colgalt2	9.71796480099768e-43	-1.56194392382299	0	0.875	3.27456541934418e-38	Cluster_9	Cluster_14
Or13a27	9.71796480099768e-43	-1.53047247780245	0	0.875	3.27456541934418e-38	Cluster_9	Cluster_14
Pxdc1	9.71796480099768e-43	-1.1940882884179	0	0.875	3.27456541934418e-38	Cluster_9	Cluster_14
Il7r	9.25846297956678e-40	-4.43295752158028	0.01	1	3.11973168559482e-35	Cluster_9	Cluster_14
Blk	9.25846297956678e-40	-3.74466785323346	0.01	1	3.11973168559482e-35	Cluster_9	Cluster_14
Coro2b	1.4072807619038e-39	-2.24856380848556	0.01	1	4.74197325531105e-35	Cluster_9	Cluster_14
Rnf150	1.23963998938051e-37	-2.97514227595929	0.005	0.875	4.17709090821656e-33	Cluster_9	Cluster_14
Trgv2	1.55484545898828e-37	-2.5779159789407	0.005	0.875	5.23920725860691e-33	Cluster_9	Cluster_14
Serpinb1a	1.03987576031627e-36	-2.61224857102799	0	0.75	3.50396536196171e-32	Cluster_9	Cluster_14
Apol7b	1.03987576031627e-36	-2.50607420336813	0	0.75	3.50396536196171e-32	Cluster_9	Cluster_14
Trpm6	1.03987576031627e-36	-2.00347097223493	0	0.75	3.50396536196171e-32	Cluster_9	Cluster_14
Tns4	1.03987576031627e-36	-1.68016417656255	0	0.75	3.50396536196171e-32	Cluster_9	Cluster_14
Fam83a	1.03987576031627e-36	-1.28895286927577	0	0.75	3.50396536196171e-32	Cluster_9	Cluster_14
Tdrd9	1.03987576031627e-36	-1.21033502789156	0	0.75	3.50396536196171e-32	Cluster_9	Cluster_14
Ryk	1.03987576031627e-36	-0.913570592311529	0	0.75	3.50396536196171e-32	Cluster_9	Cluster_14
Stk39	3.24535138773739e-36	-2.02607433624741	0.014	1	1.09355360361199e-31	Cluster_9	Cluster_14
Bcl2a1b	7.7895470399487e-34	-2.06359903543705	0.01	0.875	2.62476577058111e-29	Cluster_9	Cluster_14
Il2rb	7.7895470399487e-34	-1.61362618830083	0.01	0.875	2.62476577058111e-29	Cluster_9	Cluster_14
Cxcr6	1.73204125315282e-33	-3.03808817652184	0.019	1	5.83628620662375e-29	Cluster_9	Cluster_14
Smad7	2.13930527324292e-33	-1.34066625432038	0.01	0.875	7.20860304871934e-29	Cluster_9	Cluster_14
Niban1	2.61618114401772e-33	-1.82665286445976	0.01	0.875	8.81548398288212e-29	Cluster_9	Cluster_14
Cd226	2.93286685164854e-33	-2.48717950266484	0.019	1	9.88258814331493e-29	Cluster_9	Cluster_14
