	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
B630019A10Rik	1.24104496520611e-182	-2.27535223419611	0.013	0.423	4.18182511475851e-178	DPre	CD8_exhausted_naive
Bach2	1.4191946817726e-178	-4.15386756601164	0.075	0.709	4.78211839970095e-174	DPre	CD8_exhausted_naive
A430093F15Rik	4.67292848733568e-146	-2.0559692630102	0.016	0.386	1.57458998309263e-141	DPre	CD8_exhausted_naive
Chl1	2.61419076832554e-131	-2.05639971515021	0.001	0.228	8.80877721294972e-127	DPre	CD8_exhausted_naive
Bcl2	2.67624310396221e-114	-3.1127706137988	0.069	0.55	9.01786876311107e-110	DPre	CD8_exhausted_naive
Rps14	1.05495175886025e-109	2.7320524362713	0.999	0.45	3.5547654466555e-105	DPre	CD8_exhausted_naive
Tpt1	4.59255466441256e-108	2.57161398087243	1	0.656	1.54750721972045e-103	DPre	CD8_exhausted_naive
Fau	9.91292672648289e-108	2.72616795930065	0.998	0.413	3.34025978975567e-103	DPre	CD8_exhausted_naive
Cd8b1	7.83023827380358e-107	2.63290143818881	0.999	0.333	2.63847708874085e-102	DPre	CD8_exhausted_naive
Rps9	7.97344390473533e-106	2.58291039174063	0.995	0.413	2.68673165813962e-101	DPre	CD8_exhausted_naive
Btla	1.08218760320837e-105	-1.49604579993042	0.002	0.196	3.64653934777094e-101	DPre	CD8_exhausted_naive
H3f3a	3.65915258200444e-104	2.17618109154169	0.998	0.55	1.23298805403222e-99	DPre	CD8_exhausted_naive
Rag1	2.32560320332822e-103	3.03714793897287	0.989	0.222	7.83635255393475e-99	DPre	CD8_exhausted_naive
Rpl34	4.74581020560362e-103	2.64841335980022	0.991	0.339	1.5991482068802e-98	DPre	CD8_exhausted_naive
Rps3a1	2.15627119456069e-101	2.40411949267888	0.996	0.45	7.2657714171917e-97	DPre	CD8_exhausted_naive
Rpl9	3.48303276134435e-101	2.56580939809545	0.99	0.339	1.17364271926259e-96	DPre	CD8_exhausted_naive
Tox	5.50401721309787e-101	-3.5333484562939	0.608	0.968	1.85463364012546e-96	DPre	CD8_exhausted_naive
Rps24	6.54043951879773e-101	2.57663147935072	0.997	0.402	2.20386650025408e-96	DPre	CD8_exhausted_naive
Rps7	8.77968937299134e-101	2.634806737316	0.988	0.286	2.95840413112316e-96	DPre	CD8_exhausted_naive
Rps16	7.92196304407311e-100	2.31098181767984	0.994	0.423	2.66938466733088e-95	DPre	CD8_exhausted_naive
Rpl23	1.43545909293182e-99	2.37602393453484	0.994	0.397	4.83692295954305e-95	DPre	CD8_exhausted_naive
Rps10	4.09620956243365e-99	2.25532351217457	0.996	0.492	1.38025877415764e-94	DPre	CD8_exhausted_naive
Rps27	6.46435307818136e-99	2.41527146277118	0.998	0.407	2.17822841322399e-94	DPre	CD8_exhausted_naive
Rps15a	7.7335525433393e-99	2.25403571448388	0.998	0.466	2.60589786500361e-94	DPre	CD8_exhausted_naive
Rpl18a	1.74989940268793e-97	2.57667914045916	0.986	0.323	5.89646102729724e-93	DPre	CD8_exhausted_naive
Rps29	1.86693158927123e-97	2.22272935960083	0.997	0.471	6.29081268320833e-93	DPre	CD8_exhausted_naive
Rps23	8.00969111503649e-97	2.39867048988679	0.992	0.312	2.6989455181227e-92	DPre	CD8_exhausted_naive
Rpl7	9.88786577426506e-97	2.41857420796128	0.984	0.349	3.33181525129635e-92	DPre	CD8_exhausted_naive
Rpl30	1.05911148850398e-96	2.42678226697323	0.983	0.36	3.568782071663e-92	DPre	CD8_exhausted_naive
Rpl19	3.67852831387668e-96	2.35447238089865	0.994	0.354	1.23951690064389e-91	DPre	CD8_exhausted_naive
Rps13	6.65539328000569e-96	2.30268600434193	0.99	0.36	2.24260131963072e-91	DPre	CD8_exhausted_naive
Rplp0	1.35222356911118e-95	2.43428401385252	0.989	0.344	4.55645253847702e-91	DPre	CD8_exhausted_naive
Tmsb4x	4.55191184293426e-95	2.1968092632217	0.999	0.614	1.53381221459513e-90	DPre	CD8_exhausted_naive
Rplp1	5.6457679983775e-95	2.10720860366839	0.995	0.471	1.90239798473328e-90	DPre	CD8_exhausted_naive
Rpl13a	1.00487447950422e-94	2.16492870030935	0.992	0.423	3.38602504613741e-90	DPre	CD8_exhausted_naive
Rpl35a	5.47574413793496e-94	2.23988856759667	0.992	0.392	1.84510674471856e-89	DPre	CD8_exhausted_naive
Rps4x	6.19691705993414e-94	2.44551635956619	0.977	0.291	2.08811317251541e-89	DPre	CD8_exhausted_naive
Rpl17	7.65674040869348e-94	2.29009987673719	0.992	0.354	2.58001524811336e-89	DPre	CD8_exhausted_naive
Rpl11	2.81720544361751e-93	2.20153175664368	0.997	0.444	9.49285546281355e-89	DPre	CD8_exhausted_naive
Rps11	3.95527729778744e-93	2.22186547578137	0.996	0.439	1.33277023826246e-88	DPre	CD8_exhausted_naive
Rpl28	1.39500005222721e-92	2.33455190987766	0.993	0.392	4.70059217598482e-88	DPre	CD8_exhausted_naive
Rpl27	2.2818034244112e-92	2.17642565322634	0.992	0.376	7.68876481889599e-88	DPre	CD8_exhausted_naive
Rpl18	2.68335938411204e-92	2.29572245193755	0.983	0.312	9.04184778070392e-88	DPre	CD8_exhausted_naive
Rpl26	3.95561646632458e-92	2.32782442358124	0.979	0.302	1.33288452449273e-87	DPre	CD8_exhausted_naive
Hmgb1	1.11426003274609e-91	2.01761226081001	0.998	0.624	3.75461060634124e-87	DPre	CD8_exhausted_naive
Rpl27a	4.74490157277467e-91	2.06828705114772	0.993	0.444	1.59884203396215e-86	DPre	CD8_exhausted_naive
Rpl37a	1.14784311983148e-90	2.13370953931455	0.993	0.434	3.86777217658415e-86	DPre	CD8_exhausted_naive
Maml2	1.49555039750054e-90	-3.25929507660686	0.329	0.857	5.03940661941782e-86	DPre	CD8_exhausted_naive
Rpl39	2.86095809021915e-90	2.47843883368987	0.965	0.217	9.64028438080244e-86	DPre	CD8_exhausted_naive
Rpl41	3.22116717319712e-90	2.33890235073111	0.973	0.302	1.0854044906805e-85	DPre	CD8_exhausted_naive
Rps27a	5.89280399004508e-90	2.15670569224263	0.992	0.386	1.98563923248559e-85	DPre	CD8_exhausted_naive
Rps26	6.59720284018325e-88	2.3463006242944	0.973	0.307	2.22299346902815e-83	DPre	CD8_exhausted_naive
Oaz1	1.12410501344131e-87	2.09109669382073	0.974	0.323	3.78778425329184e-83	DPre	CD8_exhausted_naive
Rpl32	4.04175429985809e-87	2.12416130304122	0.99	0.407	1.36190952888018e-82	DPre	CD8_exhausted_naive
Rps8	8.13205262142251e-87	2.03545804113937	0.993	0.444	2.74017645131453e-82	DPre	CD8_exhausted_naive
Rpl13	8.22761192135251e-87	2.07931823171584	0.989	0.45	2.77237611301894e-82	DPre	CD8_exhausted_naive
Rpl15	1.60811589433326e-86	2.10907860360581	0.979	0.354	5.41870731754536e-82	DPre	CD8_exhausted_naive
Ubb	9.71325226587097e-86	2.05267865071062	0.987	0.46	3.27297748350788e-81	DPre	CD8_exhausted_naive
Rps3	7.821891960688e-85	2.06843581953991	0.973	0.344	2.63566471507343e-80	DPre	CD8_exhausted_naive
Eif1	1.07526165709494e-84	1.93422393827635	0.982	0.423	3.6232016797471e-80	DPre	CD8_exhausted_naive
Fth1	1.19239304671616e-84	2.13817809314121	0.969	0.233	4.01788761021476e-80	DPre	CD8_exhausted_naive
Dntt	3.63809601593453e-84	2.2229575895588	0.977	0.28	1.2258928335293e-79	DPre	CD8_exhausted_naive
Cd5	8.19623868425509e-84	-2.65643577891567	0.15	0.635	2.76180458704659e-79	DPre	CD8_exhausted_naive
Stk39	3.57846843116948e-83	-1.53736111462646	0.013	0.249	1.20580072256687e-78	DPre	CD8_exhausted_naive
Rack1	1.83536946745872e-82	2.10260881814201	0.957	0.28	6.18446095754891e-78	DPre	CD8_exhausted_naive
Rpl24	1.09444226429039e-81	2.10634529163069	0.971	0.296	3.6878326537529e-77	DPre	CD8_exhausted_naive
Trbc2	1.76836239758586e-80	2.02531696179759	0.996	0.741	5.95867393490531e-76	DPre	CD8_exhausted_naive
