	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	0	-3.44195381413791	0.012	0.942	0	DPre	DN_Precursors
Plac8	0	-3.21332646951653	0.007	0.865	0	DPre	DN_Precursors
Trgc2	0	-2.93577341273582	0.006	0.885	0	DPre	DN_Precursors
Atp8b4	0	-2.64570261542462	0.01	0.904	0	DPre	DN_Precursors
Trgc1	0	-2.59235781144968	0.005	0.904	0	DPre	DN_Precursors
Trgv2	0	-2.52056663742875	0.001	0.731	0	DPre	DN_Precursors
Hes1	0	-2.05911966248742	0.001	0.74	0	DPre	DN_Precursors
Trgc4	0	-1.93579071104046	0.002	0.74	0	DPre	DN_Precursors
Ccnd2	0	-1.86622094030101	0.006	0.856	0	DPre	DN_Precursors
Zeb2	0	-1.84653515615571	0.006	0.692	0	DPre	DN_Precursors
Nckap5	0	-1.55285160992438	0.006	0.731	0	DPre	DN_Precursors
Il7r	0	-1.54763790844621	0.006	0.76	0	DPre	DN_Precursors
1500009L16Rik	0	-1.38840002727911	0.008	0.788	0	DPre	DN_Precursors
Ldlr	0	-1.25196083471416	0.008	0.663	0	DPre	DN_Precursors
Epb41l4b	0	-1.14716186268133	0	0.654	0	DPre	DN_Precursors
Ifitm2	0	-1.05941655154916	0.003	0.635	0	DPre	DN_Precursors
Coro2a	0	-1.04054107440233	0.002	0.654	0	DPre	DN_Precursors
Ctla2a	0	-1.00567964893543	0.001	0.567	0	DPre	DN_Precursors
Wdfy4	0	-0.737357658815122	0	0.5	0	DPre	DN_Precursors
Fads2	8.60198701108754e-305	-0.734461049393125	0.002	0.529	2.89852554325606e-300	DPre	DN_Precursors
Tmem121	1.52567993240201e-281	-1.25593502920661	0.011	0.654	5.1409311002218e-277	DPre	DN_Precursors
Gria3	5.60959555723898e-277	-2.06459988309115	0.031	0.885	1.89020931896725e-272	DPre	DN_Precursors
Nkg7	1.81273464972857e-273	-0.749493624915397	0.004	0.519	6.1081906757254e-269	DPre	DN_Precursors
Cdkn1a	9.29922830243552e-262	-0.880183972763376	0.001	0.452	3.13346796878867e-257	DPre	DN_Precursors
Erg	1.01736436940458e-261	-0.764595278539883	0.001	0.452	3.42811097914568e-257	DPre	DN_Precursors
Khdc1a	6.87725161574832e-249	-0.714006539878213	0	0.394	2.31735870444255e-244	DPre	DN_Precursors
Gm5111	6.87725161574832e-249	-0.690543469613138	0	0.394	2.31735870444255e-244	DPre	DN_Precursors
Gm34004	3.3654222466522e-246	-1.01905954102886	0.004	0.481	1.13401268023193e-241	DPre	DN_Precursors
Il2ra	1.55357365267276e-240	-3.18955499662496	0.054	0.942	5.23492178004614e-236	DPre	DN_Precursors
Mpzl2	8.66138177524656e-237	-1.03555789964454	0.001	0.394	2.91853920298708e-232	DPre	DN_Precursors
Arhgef10l	6.25735635735382e-236	-0.953999918711338	0.003	0.442	2.10847879817394e-231	DPre	DN_Precursors
Gprin3	8.20555227539892e-233	-0.73378651245498	0.002	0.423	2.76494289471842e-228	DPre	DN_Precursors
Pgpep1l	7.00642921900447e-230	-1.55925371924223	0.026	0.74	2.36088638963575e-225	DPre	DN_Precursors
Ahr	1.19415137588844e-228	-0.850402061670637	0.012	0.587	4.0238124761937e-224	DPre	DN_Precursors
Bst1	1.04255795048798e-223	-0.895270255259754	0.009	0.529	3.5130032699643e-219	DPre	DN_Precursors
Apex1	4.36667685433848e-219	-0.952813482839808	0.022	0.692	1.47139543283789e-214	DPre	DN_Precursors
Myl10	1.09586091978566e-214	-3.26606202665632	0.07	0.952	3.69261295530975e-210	DPre	DN_Precursors
Adamts17	3.85524390824921e-212	-1.87086302138623	0.036	0.788	1.29906298732365e-207	DPre	DN_Precursors
Myc	3.19598874113696e-210	-1.24926339363608	0.027	0.721	1.07692036621351e-205	DPre	DN_Precursors
Rab44	1.82257887498455e-208	-0.539683375101732	0.004	0.413	6.14136177714795e-204	DPre	DN_Precursors
H2-Q7	2.39810684832207e-206	-0.733735463515689	0.005	0.442	8.08066083610605e-202	DPre	DN_Precursors
A430034D21Rik	3.42206238719036e-206	-0.542011052584059	0	0.337	1.15309814198767e-201	DPre	DN_Precursors
Smad7	4.48552228081035e-206	-0.456339494053586	0.001	0.346	1.51144158774186e-201	DPre	DN_Precursors
Gm12503	1.95603650070338e-204	-0.784974868079023	0.004	0.413	6.59106059277012e-200	DPre	DN_Precursors
Pld4	2.25865655030301e-204	-0.569171158016306	0.002	0.385	7.61076911190101e-200	DPre	DN_Precursors
Tshz2	6.49040154813148e-203	-1.83531462764893	0.01	0.51	2.18700570565838e-198	DPre	DN_Precursors
Arhgap5	5.64109939105816e-201	-0.672090610162092	0.009	0.49	1.90082485081096e-196	DPre	DN_Precursors
Cpne2	4.42231644298535e-198	-0.581177627931749	0.005	0.423	1.49014374862834e-193	DPre	DN_Precursors
Trgv4	6.6272008744065e-194	-0.591987982659755	0	0.317	2.23310160664001e-189	DPre	DN_Precursors
Gm17590	2.18879915426411e-192	-1.07289092307904	0.006	0.423	7.37537763020835e-188	DPre	DN_Precursors
Sema4a	3.26882437300532e-192	-0.555144084852381	0.002	0.365	1.10146306072787e-187	DPre	DN_Precursors
Mcub	1.00813089433496e-190	-1.22821029307232	0.019	0.587	3.39699786155107e-186	DPre	DN_Precursors
ENSMUSG00000121501	2.51311199593396e-187	-0.798812575340095	0.007	0.433	8.46818218149906e-183	DPre	DN_Precursors
Capg	6.22726505040689e-187	-0.663953814354736	0.004	0.385	2.0983392313851e-182	DPre	DN_Precursors
Mettl1	1.9825366352492e-186	-0.412339401121989	0.002	0.356	6.68035544613572e-182	DPre	DN_Precursors
Paqr5	3.50558637093551e-186	-0.504753058621037	0.002	0.356	1.18124238355043e-181	DPre	DN_Precursors
Scin	2.57279720965573e-183	-0.837959627591587	0.001	0.327	8.66929747765596e-179	DPre	DN_Precursors
Ndrg1	1.42787285013862e-182	-0.684215522582148	0.008	0.452	4.8113603558271e-178	DPre	DN_Precursors
Rab38	5.32408751003755e-182	-0.352824544713579	0	0.288	1.79400452738225e-177	DPre	DN_Precursors
Ybx3	5.45963776404092e-182	-1.00976835423278	0.026	0.644	1.83967954097123e-177	DPre	DN_Precursors
Frmd4a	3.36442549175762e-181	-0.961393199804382	0.022	0.606	1.13367681370265e-176	DPre	DN_Precursors
Ccdc18	7.46161137752389e-179	-1.55859912136446	0.041	0.75	2.51426456977045e-174	DPre	DN_Precursors
H2-K1	2.27362143947752e-174	-2.12528420014246	0.078	0.923	7.66119480246346e-170	DPre	DN_Precursors
Bcl11a	6.86987637437983e-170	-0.384566208302834	0	0.269	2.31487354311103e-165	DPre	DN_Precursors
Gm33332	6.86987637437983e-170	-0.292859408201858	0	0.269	2.31487354311103e-165	DPre	DN_Precursors
5830468F06Rik	7.83055007231282e-170	-0.329158667561895	0.001	0.288	2.63858215236653e-165	DPre	DN_Precursors
Bri3bp	2.06675788896125e-168	-0.594598706709785	0.021	0.577	6.96414738264382e-164	DPre	DN_Precursors
Vars	2.09344704347938e-166	-0.657190044994901	0.014	0.5	7.05407915770811e-162	DPre	DN_Precursors
Uaca	5.3731357282288e-164	-0.604871099820362	0.007	0.404	1.81053181498397e-159	DPre	DN_Precursors
Adk	8.41350504677515e-164	-1.08832437264463	0.038	0.702	2.83501466056136e-159	DPre	DN_Precursors
Unc93b1	3.45301600388377e-162	-0.528587526810482	0.005	0.356	1.16352827266868e-157	DPre	DN_Precursors
Adgrg1	1.72638393243401e-161	-0.818292932668924	0.027	0.615	5.81722329872963e-157	DPre	DN_Precursors
Capn5	5.33957030349166e-160	-0.645761048997158	0.018	0.529	1.79922160946455e-155	DPre	DN_Precursors
Serpinb1a	2.82473398978215e-159	-0.443581671417451	0.001	0.288	9.51822365196994e-155	DPre	DN_Precursors
Gm12216	5.70891606147174e-156	-0.572459107977797	0.01	0.423	1.92367635607352e-151	DPre	DN_Precursors
Gm47754	1.98892574060873e-155	-0.403648680676016	0.002	0.298	6.70188417555518e-151	DPre	DN_Precursors
Acot5	9.42657723102426e-152	-0.290567519135208	0	0.24	3.17637946376593e-147	DPre	DN_Precursors
Pus7	7.45066597112136e-151	-0.545249928447643	0.01	0.413	2.51057640562905e-146	DPre	DN_Precursors
Hdac4	1.04815022425179e-146	-2.49539082310445	0.1	0.913	3.53184699563882e-142	DPre	DN_Precursors
Epcam	1.51726825087742e-146	-0.986654963882766	0.034	0.635	5.11258709815655e-142	DPre	DN_Precursors
Gm31887	5.02904944194008e-146	-0.454685801433545	0.006	0.356	1.69458849995613e-141	DPre	DN_Precursors
Itgb4	3.30478763615114e-143	-0.553981003156405	0.007	0.356	1.11358124187749e-138	DPre	DN_Precursors
Uhrf1	1.08371985153625e-142	-1.32158739386405	0.045	0.683	3.65170241173654e-138	DPre	DN_Precursors
Gsto1	6.37347275488704e-142	-0.570633384943975	0.014	0.442	2.14760537948674e-137	DPre	DN_Precursors
Prelid2	2.55375663273053e-141	-0.365851014450614	0.001	0.26	8.60513834964878e-137	DPre	DN_Precursors
Mycn	2.97153632981206e-141	-0.394601299108804	0.001	0.26	1.00128888169347e-136	DPre	DN_Precursors
Smyd2	5.27129753375314e-141	-0.410999922420749	0.004	0.308	1.77621641697346e-136	DPre	DN_Precursors
Notch3	3.68103284916728e-140	-2.07248668453321	0.083	0.856	1.24036082885541e-135	DPre	DN_Precursors
Gm37552	1.33723717803577e-139	-0.316416961428714	0	0.231	4.50595439510932e-135	DPre	DN_Precursors
Plekha7	1.00165438993936e-137	-1.41835134216304	0.074	0.846	3.37517463233966e-133	DPre	DN_Precursors
Cdh1	1.14317861786177e-136	-0.454129714598362	0.002	0.26	3.85205467074702e-132	DPre	DN_Precursors
Gfra1	5.28795191135814e-136	-1.88335767815357	0.057	0.731	1.78182827605124e-131	DPre	DN_Precursors
H19	1.19681288394562e-133	-0.586713009326175	0	0.212	4.03278069374318e-129	DPre	DN_Precursors
Mboat1	4.09996314559804e-133	-0.375516659290278	0.005	0.317	1.38152358154071e-128	DPre	DN_Precursors
Tedc1	2.06403860305803e-132	-0.448744530142026	0.012	0.404	6.95498447686434e-128	DPre	DN_Precursors
Gm19696	2.55046313279294e-132	-0.649254941383355	0.002	0.26	8.59404057225908e-128	DPre	DN_Precursors
Acot7	3.21001610335457e-132	-0.646190720457467	0.029	0.558	1.08164702618636e-127	DPre	DN_Precursors
AW011738	2.98608140845889e-130	-0.824793269276999	0.031	0.567	1.00618999139431e-125	DPre	DN_Precursors
Abcc1	1.33074811346697e-129	-0.417984457166728	0.008	0.346	4.48408884313829e-125	DPre	DN_Precursors
AI506816	1.33375146887526e-129	-0.51108416660608	0.013	0.413	4.49420894952206e-125	DPre	DN_Precursors
Lair1	1.65196023722585e-129	-0.310528957342652	0.003	0.269	5.56644521535621e-125	DPre	DN_Precursors
Prss57	4.81129746223341e-129	-0.763629345961548	0.036	0.606	1.62121479287417e-124	DPre	DN_Precursors
Clec12a	5.82438186212162e-128	-0.328291209495865	0.002	0.26	1.9625837122605e-123	DPre	DN_Precursors
Mzb1	3.06252462644319e-126	-0.328111965416254	0.002	0.25	1.0319482981263e-121	DPre	DN_Precursors
Alcam	4.84589165552677e-126	-0.709149737192958	0.003	0.269	1.6328716522463e-121	DPre	DN_Precursors
Gm15657	7.37647297873637e-125	-0.377832983670081	0.002	0.24	2.48557633491501e-120	DPre	DN_Precursors
Tfap4	1.19658640752464e-124	-0.387744919795204	0.008	0.346	4.03201755879504e-120	DPre	DN_Precursors
Kit	1.29589404742636e-122	-0.382012315548724	0.005	0.298	4.36664458220785e-118	DPre	DN_Precursors
Gm56577	2.17507195459197e-122	-0.466856545304281	0.011	0.375	7.32912245819309e-118	DPre	DN_Precursors
Snx30	1.87105975492918e-120	-1.09622509510368	0.061	0.721	6.30472295020937e-116	DPre	DN_Precursors
Strip2	8.04972682049356e-120	-0.581730366094888	0.013	0.385	2.71243594943351e-115	DPre	DN_Precursors
Bcl2	2.34311096510399e-119	-1.93396641381783	0.069	0.74	7.8953467080144e-115	DPre	DN_Precursors
Cacnb2	1.13471039199014e-118	-0.635598337865392	0.003	0.25	3.82352013684999e-114	DPre	DN_Precursors
F730043M19Rik	6.68908154117232e-117	-0.477955142826475	0.007	0.308	2.25395291611342e-112	DPre	DN_Precursors
Eef2k	1.95595987413496e-116	-1.14318414855039	0.081	0.808	6.59080239188515e-112	DPre	DN_Precursors
Rnf144a	2.85850913855029e-116	-0.463111010914864	0.01	0.346	9.63203239325907e-112	DPre	DN_Precursors
Rhobtb3	7.10029958177491e-116	-0.305036119202323	0.001	0.202	2.39251694707488e-111	DPre	DN_Precursors
Notch1	1.80320317721105e-115	-2.1348319840439	0.154	0.962	6.07607342593035e-111	DPre	DN_Precursors
Atp2b4	1.16880116431593e-114	-0.392279221877472	0.008	0.317	3.93839240327895e-110	DPre	DN_Precursors
Adssl1	2.77851203872522e-114	-0.310380092013603	0.006	0.288	9.36247416568849e-110	DPre	DN_Precursors
Dtx1	3.4820175570975e-114	-0.779293088723936	0.021	0.452	1.17330063603957e-109	DPre	DN_Precursors
Cdca7l	6.40575271678082e-114	-0.57139165525053	0.016	0.404	2.15848243544647e-109	DPre	DN_Precursors
2700054A10Rik	1.10518880779848e-112	-0.402226024011809	0.003	0.24	3.72404420675776e-108	DPre	DN_Precursors
Aldh1b1	3.23059596406038e-112	-0.481112590472564	0.016	0.404	1.08858161604979e-107	DPre	DN_Precursors
AW112010	1.17424252958563e-111	-0.86327539624811	0.05	0.644	3.95672762769173e-107	DPre	DN_Precursors
Sox13	1.09989918173951e-110	-0.269544792892829	0.001	0.202	3.70622028278944e-106	DPre	DN_Precursors
Rrp1b	5.98651736321761e-110	-0.52382575327435	0.015	0.385	2.01721689070981e-105	DPre	DN_Precursors
Tmem97	2.19137533261256e-109	-0.289159756394509	0.005	0.269	7.3840583207713e-105	DPre	DN_Precursors
Kcnk5	4.36999313884431e-109	-0.351221466751881	0.006	0.288	1.47251288806498e-104	DPre	DN_Precursors
Srm	1.90056995945121e-107	-0.373842862623705	0.011	0.337	6.40416053536678e-103	DPre	DN_Precursors
Smim5	5.18734131808148e-106	-0.536428955373821	0.031	0.51	1.74792653054074e-101	DPre	DN_Precursors
Akap6	6.43417770606329e-106	-0.668977301037267	0.02	0.423	2.16806051983509e-101	DPre	DN_Precursors
Snx10	6.68443371922995e-106	-0.453436023393563	0.013	0.356	2.25238678603172e-101	DPre	DN_Precursors
Slc39a11	4.03765104235254e-105	-0.967402401671214	0.06	0.673	1.36052689523111e-100	DPre	DN_Precursors
Dnmt3b	4.30919542907766e-104	-0.378613591924875	0.006	0.279	1.45202649178201e-99	DPre	DN_Precursors
Synj2	4.85799194687703e-104	-0.482442338913438	0.014	0.365	1.63694896641968e-99	DPre	DN_Precursors
Gcsh	2.77651363243908e-103	-0.418443565757865	0.012	0.346	9.35574033586673e-99	DPre	DN_Precursors
Lap3	1.13803051439114e-102	-0.449385389330417	0.008	0.298	3.8347076212924e-98	DPre	DN_Precursors
0610043K17Rik	1.93483605005337e-102	-0.341265340211061	0.004	0.24	6.51962355425985e-98	DPre	DN_Precursors
Cntln	1.45740646608088e-101	-0.463212766484155	0.006	0.269	4.91087682810614e-97	DPre	DN_Precursors
Renbp	2.01641807311787e-101	-0.270702537218133	0.007	0.279	6.79452233917797e-97	DPre	DN_Precursors
Idi1	2.17123664563949e-100	-0.876727243409124	0.041	0.548	7.31619900114682e-96	DPre	DN_Precursors
Blk	3.0711086801528e-100	-0.225745311140366	0.001	0.192	1.03484078086429e-95	DPre	DN_Precursors
Ppa1	3.21825901516467e-100	-0.532645025379099	0.018	0.394	1.08442455774989e-95	DPre	DN_Precursors
Nme4	8.8603579594232e-100	-0.296730140076151	0.008	0.288	2.98558621800724e-95	DPre	DN_Precursors
Tsc22d1	1.09449604281104e-99	-1.64379985540271	0.118	0.856	3.68801386585607e-95	DPre	DN_Precursors
Snx9	2.20124968072815e-99	-0.312808232469036	0.004	0.24	7.41733092418156e-95	DPre	DN_Precursors
Entpd1	7.36773015680386e-99	-0.235623206167593	0.001	0.183	2.48263035363663e-94	DPre	DN_Precursors
Muc13	1.54388994230575e-97	-0.207143212753069	0	0.154	5.20229154959345e-93	DPre	DN_Precursors
Adgrd1	1.67477698977523e-97	-0.264546850117979	0	0.163	5.6433285447466e-93	DPre	DN_Precursors
Mdn1	5.05865450109106e-96	-0.645064035075123	0.043	0.558	1.70456422068764e-91	DPre	DN_Precursors
Slc22a3	9.0358965550491e-96	-0.241243103646184	0.002	0.192	3.04473570318935e-91	DPre	DN_Precursors
Cdk6	1.09618151318769e-94	-3.10659310382959	0.285	1	3.69369322683724e-90	DPre	DN_Precursors
Plcg2	5.28203378991508e-94	-0.277434192012688	0.004	0.231	1.77983410584979e-89	DPre	DN_Precursors
Tubb3	8.4994989516345e-94	-0.253477334755933	0.002	0.202	2.86399116674276e-89	DPre	DN_Precursors
Tmem176b	2.08604271938894e-93	-0.589626325609098	0.036	0.51	7.02912954725297e-89	DPre	DN_Precursors
Fam111a	2.50940157159641e-93	-0.592040907170319	0.025	0.433	8.45567953565127e-89	DPre	DN_Precursors
Prag1	2.97438252223545e-93	-0.398680523678769	0.012	0.317	1.00224793469246e-88	DPre	DN_Precursors
3110082I17Rik	8.15423696934776e-93	-0.274528189436439	0.008	0.279	2.74765168919142e-88	DPre	DN_Precursors
Pla2g4a	3.04092552790545e-92	-0.398823646756245	0.007	0.269	1.02467026588302e-87	DPre	DN_Precursors
D630045J12Rik	5.10386686688596e-92	-0.27890802162843	0.001	0.163	1.71979897946589e-87	DPre	DN_Precursors
Cd53	5.22946168455407e-92	-0.537419412234825	0.031	0.471	1.76211940922734e-87	DPre	DN_Precursors
