	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H1f5	0	-4.63426271221272	0.314	0.963	0	DPre	preDP_DPblast
Hmgb2	0	-4.41403859446141	0.578	1	0	DPre	preDP_DPblast
Top2a	0	-4.14882804202003	0.057	0.977	0	DPre	preDP_DPblast
H2ac24	0	-4.11386510137019	0.129	0.939	0	DPre	preDP_DPblast
H2ac8	0	-4.00096614082462	0.164	0.922	0	DPre	preDP_DPblast
H3c3	0	-3.55825066125905	0.025	0.873	0	DPre	preDP_DPblast
Pclaf	0	-3.55369226513608	0.039	0.987	0	DPre	preDP_DPblast
Tuba1b	0	-3.44380489349663	0.098	0.993	0	DPre	preDP_DPblast
Mki67	0	-3.40466795687039	0.036	0.982	0	DPre	preDP_DPblast
Ube2c	0	-3.26403057978164	0.045	0.845	0	DPre	preDP_DPblast
H2ac4	0	-3.23290221242023	0.058	0.86	0	DPre	preDP_DPblast
Hmgn2	0	-3.18490858268597	0.307	0.999	0	DPre	preDP_DPblast
H2az1	0	-3.10282073022814	0.737	1	0	DPre	preDP_DPblast
Stmn1	0	-3.06724881779817	0.54	1	0	DPre	preDP_DPblast
Nusap1	0	-3.00756580107275	0.021	0.821	0	DPre	preDP_DPblast
H2ac22	0	-2.97990349947944	0.05	0.899	0	DPre	preDP_DPblast
Birc5	0	-2.86202303523121	0.018	0.944	0	DPre	preDP_DPblast
Cks2	0	-2.66863984639248	0.08	0.92	0	DPre	preDP_DPblast
Cenpf	0	-2.6660961791424	0.023	0.819	0	DPre	preDP_DPblast
Rrm2	0	-2.64892282335366	0.023	0.958	0	DPre	preDP_DPblast
Dut	0	-2.53880826142139	0.352	0.984	0	DPre	preDP_DPblast
Lockd	0	-2.53844158526565	0.166	0.983	0	DPre	preDP_DPblast
Kif11	0	-2.52418904766548	0.026	0.897	0	DPre	preDP_DPblast
Ptma	0	-2.49355832372099	0.994	1	0	DPre	preDP_DPblast
H2ac20	0	-2.46839578476209	0.11	0.838	0	DPre	preDP_DPblast
Prc1	0	-2.37519506093279	0.043	0.845	0	DPre	preDP_DPblast
H2ax	0	-2.35726209079482	0.225	0.902	0	DPre	preDP_DPblast
H1f1	0	-2.34198877674486	0.093	0.818	0	DPre	preDP_DPblast
Nucks1	0	-2.26157194545119	0.259	0.992	0	DPre	preDP_DPblast
Knl1	0	-2.25394335051723	0.023	0.894	0	DPre	preDP_DPblast
Tpx2	0	-2.236155387867	0.007	0.822	0	DPre	preDP_DPblast
Diaph3	0	-2.22371208659915	0.016	0.929	0	DPre	preDP_DPblast
Ran	0	-2.21116905904868	0.446	0.993	0	DPre	preDP_DPblast
Cdca8	0	-2.20774100368915	0.015	0.898	0	DPre	preDP_DPblast
Rag1	0	2.19732220579243	0.989	0.9	0	DPre	preDP_DPblast
Cenpe	0	-2.19511950065321	0.025	0.839	0	DPre	preDP_DPblast
Cdk1	0	-2.18198805244051	0.01	0.908	0	DPre	preDP_DPblast
Dek	0	-2.17049795877167	0.356	0.99	0	DPre	preDP_DPblast
Pcna	0	-2.16691954657697	0.199	0.909	0	DPre	preDP_DPblast
Tmpo	0	-2.16457931844917	0.328	0.998	0	DPre	preDP_DPblast
Malat1	0	2.1245052426541	1	0.998	0	DPre	preDP_DPblast
Fbxo5	0	-2.08795677244312	0.034	0.917	0	DPre	preDP_DPblast
Kif15	0	-2.06689046427938	0.014	0.909	0	DPre	preDP_DPblast
H2ac10	0	-2.06461196738674	0.007	0.782	0	DPre	preDP_DPblast
Tubb4b	0	-2.05179178977852	0.174	0.91	0	DPre	preDP_DPblast
Tubb5	0	-2.03623727495229	0.729	1	0	DPre	preDP_DPblast
Ccnb2	0	-2.03486218740839	0.02	0.875	0	DPre	preDP_DPblast
Spc24	0	-2.03427554708224	0.01	0.947	0	DPre	preDP_DPblast
Neil3	0	-2.02402444867006	0.005	0.843	0	DPre	preDP_DPblast
Cdca3	0	-2.01445848611514	0.015	0.852	0	DPre	preDP_DPblast
Smc2	0	-2.01363436743239	0.106	0.962	0	DPre	preDP_DPblast
Slbp	0	-1.99981725173904	0.16	0.921	0	DPre	preDP_DPblast
Cks1b	0	-1.98973177526536	0.045	0.932	0	DPre	preDP_DPblast
Pola1	0	-1.98890034618443	0.042	0.846	0	DPre	preDP_DPblast
Tyms	0	-1.98252556135006	0.032	0.912	0	DPre	preDP_DPblast
Anp32b	0	-1.97524366034677	0.634	1	0	DPre	preDP_DPblast
Cenpa	0	-1.95893285910327	0.082	0.827	0	DPre	preDP_DPblast
Cenpp	0	-1.95670318658833	0.052	0.909	0	DPre	preDP_DPblast
Ranbp1	0	-1.92062183124191	0.285	0.982	0	DPre	preDP_DPblast
Atad2	0	-1.90180818801681	0.131	0.947	0	DPre	preDP_DPblast
Hmmr	0	-1.89619897787709	0.006	0.731	0	DPre	preDP_DPblast
Ppia	0	-1.89497728324072	0.986	1	0	DPre	preDP_DPblast
Anp32e	0	-1.87498252228289	0.56	0.998	0	DPre	preDP_DPblast
Ccna2	0	-1.84320922009898	0.011	0.852	0	DPre	preDP_DPblast
Crip1	0	-1.81919779951183	0.489	0.999	0	DPre	preDP_DPblast
Clspn	0	-1.79013907380547	0.007	0.89	0	DPre	preDP_DPblast
Spc25	0	-1.7757715188293	0.007	0.796	0	DPre	preDP_DPblast
Hint1	0	-1.7657809662252	0.263	0.982	0	DPre	preDP_DPblast
Hells	0	-1.75578056181898	0.026	0.759	0	DPre	preDP_DPblast
Uhrf1	0	-1.74427561681459	0.045	0.939	0	DPre	preDP_DPblast
H2az2	0	-1.74089451295054	0.794	0.999	0	DPre	preDP_DPblast
Gm43305	0	-1.7383363994577	0.122	0.935	0	DPre	preDP_DPblast
Gmnn	0	-1.73106885631748	0.075	0.956	0	DPre	preDP_DPblast
