	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Tmsb10	0	4.63316069855875	1	0.291	0	DPsel	Cluster_2_6
Rplp1	0	3.48486613538692	0.997	0.42	0	DPsel	Cluster_2_6
Rps7	0	3.43071096330713	0.992	0.3	0	DPsel	Cluster_2_6
Rps4x	0	3.38383952147266	0.994	0.304	0	DPsel	Cluster_2_6
Rps15a	0	3.34465188148989	1	0.425	0	DPsel	Cluster_2_6
Rps20	0	3.32438055331506	0.999	0.362	0	DPsel	Cluster_2_6
Rpl39	0	3.31819292559163	1	0.277	0	DPsel	Cluster_2_6
Bach2	0	3.30784495474269	0.977	0.081	0	DPsel	Cluster_2_6
Rpsa	0	3.23449181481312	0.995	0.276	0	DPsel	Cluster_2_6
Rps18	0	3.2336237027532	0.995	0.314	0	DPsel	Cluster_2_6
Tmsb4x	0	3.23057264867847	1	0.567	0	DPsel	Cluster_2_6
Rpl12	0	3.20645647063691	0.996	0.29	0	DPsel	Cluster_2_6
Rplp0	0	3.20199388452643	0.999	0.312	0	DPsel	Cluster_2_6
Rps26	0	3.18192163113568	0.992	0.292	0	DPsel	Cluster_2_6
Rpl21	0	3.16460110970678	0.997	0.269	0	DPsel	Cluster_2_6
Rpl9	0	3.16436959367056	0.991	0.328	0	DPsel	Cluster_2_6
Rps27a	0	3.06682587898344	0.996	0.34	0	DPsel	Cluster_2_6
Rpl3	0	3.06615822017306	0.987	0.163	0	DPsel	Cluster_2_6
Rpl30	0	3.05785459872848	0.991	0.34	0	DPsel	Cluster_2_6
Rps12	0	3.05176580443757	0.997	0.319	0	DPsel	Cluster_2_6
Rpl41	0	3.05021715663338	0.997	0.302	0	DPsel	Cluster_2_6
Rps29	0	3.04688839132304	1	0.457	0	DPsel	Cluster_2_6
Rps19	0	3.04607495050606	0.995	0.271	0	DPsel	Cluster_2_6
Rps13	0	2.99470849262569	0.997	0.343	0	DPsel	Cluster_2_6
Rps5	0	2.97524520483181	0.991	0.207	0	DPsel	Cluster_2_6
Rps23	0	2.96682389676118	1	0.36	0	DPsel	Cluster_2_6
Rplp2	0	2.96549606793816	0.997	0.347	0	DPsel	Cluster_2_6
Rpl10	0	2.91947282439207	0.988	0.178	0	DPsel	Cluster_2_6
Rpl10a	0	2.80844186520532	0.99	0.206	0	DPsel	Cluster_2_6
Rpl36a	0	2.7983239040022	0.986	0.179	0	DPsel	Cluster_2_6
Rpl15	0	2.79340321404439	0.999	0.295	0	DPsel	Cluster_2_6
Eef1b2	0	2.77824887606922	0.975	0.142	0	DPsel	Cluster_2_6
