	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	6.68684895091589e-167	-3.45882504571807	0.01	0.942	2.25320062250062e-162	DPsel	DN_Precursors
Trgc1	5.04106178516775e-158	-2.58354168795805	0.01	0.904	1.69863617913012e-153	DPsel	DN_Precursors
Trgc2	9.18509079218517e-157	-2.91467852160264	0.008	0.885	3.09500819333472e-152	DPsel	DN_Precursors
Il2ra	4.71018422799738e-145	-3.20362045960088	0.03	0.942	1.587143677466e-140	DPsel	DN_Precursors
1500009L16Rik	4.20667830353398e-137	-1.39951637959131	0.008	0.788	1.41748232115881e-132	DPsel	DN_Precursors
Notch3	2.62627324067244e-134	-2.33439151659018	0.023	0.856	8.84949031176985e-130	DPsel	DN_Precursors
Hes1	3.3150489906717e-132	-2.05154543812148	0.004	0.74	1.11703890789674e-127	DPsel	DN_Precursors
Trgc4	2.36385131815799e-127	-1.92157419887628	0.008	0.74	7.96523340166517e-123	DPsel	DN_Precursors
Gfra1	5.22647414467887e-126	-2.14143683046804	0.008	0.731	1.76111272779099e-121	DPsel	DN_Precursors
Trgv2	1.18614059925435e-125	-2.49475754369099	0.008	0.731	3.99681936324744e-121	DPsel	DN_Precursors
Adamts17	1.94599916774513e-125	-1.97237143473345	0.017	0.788	6.55723879563399e-121	DPsel	DN_Precursors
Zeb2	1.68974956943889e-124	-1.8736876859048	0.003	0.692	5.69378014918127e-120	DPsel	DN_Precursors
Nckap5	4.12335005670641e-123	-1.5503302590043	0.009	0.731	1.38940403510779e-118	DPsel	DN_Precursors
Ptcra	2.66233857528964e-121	-1.6909697491002	0.013	0.74	8.97101606329596e-117	DPsel	DN_Precursors
Epb41l4b	8.99409755388664e-121	-1.14878490972584	0	0.654	3.03065111175764e-116	DPsel	DN_Precursors
Cbfa2t3	1.42458443126821e-119	-1.36498762561274	0.034	0.846	4.80027969960135e-115	DPsel	DN_Precursors
Tmem121	3.35980457579415e-117	-1.28820181479302	0.003	0.654	1.1321197498596e-112	DPsel	DN_Precursors
Ccdc18	1.16208573049017e-116	-1.66852478783819	0.018	0.75	3.91576407745966e-112	DPsel	DN_Precursors
Plac8	9.48725751053274e-115	-3.05549868482185	0.049	0.865	3.19682629074911e-110	DPsel	DN_Precursors
Myl10	1.06420903623095e-111	-3.2676007291429	0.097	0.952	3.5859587684838e-107	DPsel	DN_Precursors
5830418P13Rik	4.14239170798698e-107	-1.91384718344507	0.066	0.885	1.39582030992329e-102	DPsel	DN_Precursors
Prss57	1.33363201351653e-103	-0.861659446014499	0.005	0.606	4.4938064327453e-99	DPsel	DN_Precursors
Ldlr	1.07239086472569e-101	-1.24992447227773	0.016	0.663	3.61352825777969e-97	DPsel	DN_Precursors
Ifitm2	4.09012190552612e-101	-1.04989082043765	0.012	0.635	1.37820747728608e-96	DPsel	DN_Precursors
Adgrg1	1.38276762240369e-99	-0.889402083781236	0.009	0.615	4.65937378045146e-95	DPsel	DN_Precursors
Aqp11	1.28084045891347e-98	-2.25709752542753	0.114	0.962	4.31592001035484e-94	DPsel	DN_Precursors
Bst1	1.31004906937481e-96	-0.923582966766519	0	0.529	4.41434134416537e-92	DPsel	DN_Precursors
Fads2	1.31004906937481e-96	-0.740226847164343	0	0.529	4.41434134416537e-92	DPsel	DN_Precursors
Ly6d	2.36084533279028e-96	-3.62371524695706	0.119	0.942	7.95510443337013e-92	DPsel	DN_Precursors
Coro2a	3.07962100830534e-96	-0.965506905793139	0.017	0.654	1.03770909495857e-91	DPsel	DN_Precursors
Angpt1	1.57112951924964e-93	-1.79748556262959	0.039	0.75	5.2940780280636e-89	DPsel	DN_Precursors
Wdfy4	3.92812320643511e-91	-0.738433587324182	0	0.5	1.32362039564037e-86	DPsel	DN_Precursors
Tshz2	5.52985686562297e-91	-1.88337627876272	0.001	0.51	1.86334056944032e-86	DPsel	DN_Precursors
Smim5	1.00921177292546e-90	-0.628222908656236	0.001	0.51	3.40063999004964e-86	DPsel	DN_Precursors
Rapgef3	9.89034374215574e-90	-1.01230660214553	0.036	0.702	3.3326502273568e-85	DPsel	DN_Precursors
Gm2629	3.46129195107218e-89	-1.66885901021433	0.063	0.798	1.16631693583328e-84	DPsel	DN_Precursors
