	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Pclaf	3.40455776384514e-286	-3.62932253313308	0.027	0.987	1.14719978410526e-281	DPsel	preDP_DPblast
Mki67	1.23316469701893e-281	-3.43781665796748	0.032	0.982	4.15527176307498e-277	DPsel	preDP_DPblast
Lockd	1.40172987000591e-276	-3.03937902386579	0.05	0.983	4.72326896997193e-272	DPsel	preDP_DPblast
Top2a	1.06241139914787e-274	-4.20525186456089	0.063	0.977	3.57990145056868e-270	DPsel	preDP_DPblast
Rrm2	3.44477014377512e-272	-2.68493920166665	0.021	0.958	1.16074974764646e-267	DPsel	preDP_DPblast
Bach2	4.68056168759385e-270	3.62709538825356	0.977	0.114	1.57716206625162e-265	DPsel	preDP_DPblast
Spc24	1.86995917574568e-268	-2.04534692752795	0.012	0.947	6.30101443859264e-264	DPsel	preDP_DPblast
Birc5	2.22685196151197e-266	-2.88597894783024	0.017	0.944	7.50360036951074e-262	DPsel	preDP_DPblast
Hmgb2	1.00233999429905e-265	-4.85724606103003	0.568	1	3.37748484479009e-261	DPsel	preDP_DPblast
Inpp4b	1.04078857466052e-263	3.93272719196311	0.977	0.178	3.50704118117608e-259	DPsel	preDP_DPblast
Hmgb1	1.15231908396358e-261	-2.62639442407548	0.986	1	3.88285438532369e-257	DPsel	preDP_DPblast
H1f5	4.89323626833132e-261	-5.56985020603163	0.092	0.963	1.64882489297692e-256	DPsel	preDP_DPblast
Ptma	1.23305001974126e-260	-2.14904297300094	0.997	1	4.15488534652016e-256	DPsel	preDP_DPblast
H2az1	8.07786456688979e-260	-3.20887071294361	0.819	1	2.72191724445918e-255	DPsel	preDP_DPblast
Stmn1	2.45567398872834e-259	-3.01365086614783	0.679	1	8.27463907241903e-255	DPsel	preDP_DPblast
Nsd2	6.0990990353998e-257	-2.26682990531657	0.135	0.98	2.05515241096832e-252	DPsel	preDP_DPblast
Tmsb10	1.90783653647861e-251	3.80969573955878	1	0.944	6.42864599331833e-247	DPsel	preDP_DPblast
Cdk1	2.42796755914791e-251	-2.20398222168885	0.01	0.908	8.1812794873048e-247	DPsel	preDP_DPblast
H2ac24	4.92898248263517e-251	-4.38906875049736	0.065	0.939	1.66086993734875e-246	DPsel	preDP_DPblast
Uhrf1	1.29380062108877e-250	-1.79624896396155	0.048	0.939	4.35959057282071e-246	DPsel	preDP_DPblast
Cd52	5.0955703937663e-249	3.44353437966228	1	0.591	1.71700339988349e-244	DPsel	preDP_DPblast
Hmgn2	4.44281710294518e-248	-2.44348415890137	0.719	0.999	1.49705165100841e-243	DPsel	preDP_DPblast
Dut	2.73600080080644e-247	-2.88487136469927	0.351	0.984	9.21922829839737e-243	DPsel	preDP_DPblast
Kif15	7.83302909249559e-247	-2.06562214392504	0.027	0.909	2.63941748300731e-242	DPsel	preDP_DPblast
Anxa2	8.42119961530897e-247	-2.3191097160484	0.159	0.975	2.83760742237451e-242	DPsel	preDP_DPblast
Gmnn	3.29495790704947e-246	-1.78844193735326	0.089	0.956	1.11026901635939e-241	DPsel	preDP_DPblast
Diaph3	1.05488797720708e-244	-2.16105234621042	0.057	0.929	3.55455052799699e-240	DPsel	preDP_DPblast
Anp32e	7.82866863819114e-244	-2.32451954867738	0.555	0.998	2.63794818432489e-239	DPsel	preDP_DPblast
Knl1	1.83472826181096e-243	-2.29694413030024	0.019	0.894	6.18230035099819e-239	DPsel	preDP_DPblast
Cdca8	2.94063327204324e-243	-2.21136449448948	0.022	0.898	9.90875787347689e-239	DPsel	preDP_DPblast
Tmpo	1.2444886635461e-242	-2.13086367873667	0.484	0.998	4.19342900068493e-238	DPsel	preDP_DPblast
H2ac22	2.93784396740351e-242	-3.07539999393113	0.03	0.899	9.89935903256286e-238	DPsel	preDP_DPblast
Tuba1b	6.79898994358904e-242	-2.61737868174079	0.512	0.993	2.29098765139176e-237	DPsel	preDP_DPblast
Dntt	1.76083344023973e-241	-2.52559499214568	0.223	0.98	5.93330436023181e-237	DPsel	preDP_DPblast
E2f2	2.2386618499993e-241	-1.86659053197041	0.091	0.946	7.54339496975765e-237	DPsel	preDP_DPblast
H2ac8	1.1857782280863e-240	-4.36816295094799	0.075	0.922	3.99559831735958e-236	DPsel	preDP_DPblast
Fbxo5	2.02423116770924e-240	-2.07511067654805	0.06	0.917	6.82084934271305e-236	DPsel	preDP_DPblast
Tyms	3.35134674858629e-240	-2.00104340715328	0.047	0.912	1.12926980040364e-235	DPsel	preDP_DPblast
Ezh2	3.38475999021233e-240	-2.17841561443357	0.477	0.998	1.14052872630195e-235	DPsel	preDP_DPblast
Lmnb1	9.51392073001461e-240	-2.07565375419591	0.327	0.989	3.20581072918572e-235	DPsel	preDP_DPblast
Clspn	1.7881400353114e-239	-1.77660894867401	0.021	0.89	6.02531666298528e-235	DPsel	preDP_DPblast
Kif11	1.03972524015618e-238	-2.53084990309703	0.035	0.897	3.50345816923026e-234	DPsel	preDP_DPblast
Endou	3.38182064747707e-238	-1.97179014167562	0.088	0.95	1.13953828537387e-233	DPsel	preDP_DPblast
Ncapg2	4.85866850019663e-238	-1.63197048933178	0.017	0.888	1.63717693782626e-233	DPsel	preDP_DPblast
H2az2	8.61353594755872e-238	-2.22972781085125	0.784	0.999	2.90241707288939e-233	DPsel	preDP_DPblast
Cks2	5.53513222199897e-236	-2.74540706152875	0.088	0.92	1.86511815352477e-231	DPsel	preDP_DPblast
Cenpp	3.18124217160896e-235	-2.04874596278319	0.043	0.909	1.07195136214536e-230	DPsel	preDP_DPblast
Rrm1	6.48752992525462e-235	-1.64958362339165	0.091	0.939	2.1860380836138e-230	DPsel	preDP_DPblast
Txn1	1.45566859698924e-234	-1.85691781911633	0.739	1	4.90502090441496e-230	DPsel	preDP_DPblast
Dek	1.55109243240319e-233	-2.13148358864604	0.547	0.99	5.2265610602258e-229	DPsel	preDP_DPblast
Cd53	1.60920523484399e-233	2.14546586272431	0.881	0.056	5.4223779593303e-229	DPsel	preDP_DPblast
H3c3	1.83025570065687e-232	-3.593675029155	0.026	0.873	6.1672296089334e-228	DPsel	preDP_DPblast
Malat1	3.73384438829185e-232	1.81517994565943	1	0.998	1.25815620507882e-227	DPsel	preDP_DPblast
Ccnb2	1.00201189834266e-231	-2.05117037312055	0.022	0.875	3.37637929265542e-227	DPsel	preDP_DPblast
Arpp21	2.55885849227798e-231	-2.86386800708407	0.195	0.978	8.62232957557989e-227	DPsel	preDP_DPblast
Ppia	5.61544592423737e-231	-1.3956208620371	0.994	1	1.89218065863103e-226	DPsel	preDP_DPblast
Ccna2	4.64756201144164e-230	-1.87640461748198	0.004	0.852	1.56604249537538e-225	DPsel	preDP_DPblast
Tmsb4x	8.86031765380828e-229	1.90906491130636	1	0.998	2.98557263662724e-224	DPsel	preDP_DPblast
H2ac4	4.0004564637185e-228	-3.38114580566166	0.022	0.86	1.34799381001459e-223	DPsel	preDP_DPblast
Cdca3	7.60827749804092e-228	-2.04589106659393	0.01	0.852	2.56368518573987e-223	DPsel	preDP_DPblast
Mns1	7.86966099410686e-227	-1.91253994418984	0.142	0.959	2.65176096857425e-222	DPsel	preDP_DPblast
Neil3	1.78494627180345e-225	-2.02872144213511	0.006	0.843	6.01455495746892e-221	DPsel	preDP_DPblast
St6gal1	3.58657575763444e-225	2.42552650143062	0.875	0.092	1.2085325672925e-220	DPsel	preDP_DPblast
Anp32b	1.57130540428519e-224	-1.63926791843718	0.86	1	5.29467069027936e-220	DPsel	preDP_DPblast
Cenpe	1.8438745458422e-223	-2.27986540688635	0.008	0.839	6.21311966966989e-219	DPsel	preDP_DPblast
D17H6S56E-5	2.0539742142638e-222	-1.44557966297981	0.031	0.874	6.9210715123833e-218	DPsel	preDP_DPblast
Ly6d	2.73287243170673e-222	-3.11245954205951	0.119	0.918	9.20868694587901e-218	DPsel	preDP_DPblast
Pbk	1.28339292439471e-221	-1.62483761267448	0.004	0.832	4.32452079804042e-217	DPsel	preDP_DPblast
Kif4	9.01349771834892e-220	-1.67537971334229	0.001	0.824	3.03718819117485e-215	DPsel	preDP_DPblast
Prc1	2.57996750639107e-218	-2.46150895187768	0.03	0.845	8.69345850953534e-214	DPsel	preDP_DPblast
Ube2c	6.72806285636721e-218	-3.34734153535102	0.031	0.845	2.2670880600815e-213	DPsel	preDP_DPblast
Cenpk	8.63906410010218e-218	-1.28471263407658	0.014	0.839	2.91101903917043e-213	DPsel	preDP_DPblast
E2f8	1.3280843154513e-215	-1.45620371892911	0.004	0.818	4.47511290934471e-211	DPsel	preDP_DPblast
Nucks1	9.00968878348602e-215	-1.83494339848811	0.585	0.992	3.03590473248345e-210	DPsel	preDP_DPblast
Cd2	2.40300672716088e-214	2.23158728329574	0.951	0.441	8.09717146784131e-210	DPsel	preDP_DPblast
Tpx2	2.75310964486726e-214	-2.21979589011626	0.016	0.822	9.27687825934473e-210	DPsel	preDP_DPblast
Cenpf	2.97627493172647e-214	-2.72301911662427	0.012	0.819	1.00288560099455e-209	DPsel	preDP_DPblast
Nusap1	1.07071902896961e-213	-3.04606716907869	0.019	0.821	3.60789484001599e-209	DPsel	preDP_DPblast
H2bc11	4.49397416493174e-212	-1.64167471822787	0.016	0.825	1.5142895346154e-207	DPsel	preDP_DPblast
Ncapd2	9.16111116713668e-212	-1.55504320268712	0.102	0.909	3.08692801887838e-207	DPsel	preDP_DPblast
Sgo1	1.47435490390979e-211	-1.47193133402627	0.01	0.812	4.96798628421444e-207	DPsel	preDP_DPblast
Shisa5	3.55654925757041e-211	2.50386654489215	0.891	0.217	1.19841483783092e-206	DPsel	preDP_DPblast
Bub1b	5.15278734163501e-211	-1.55865969727057	0.018	0.82	1.73628322263733e-206	DPsel	preDP_DPblast
Ly6e	2.79960607621501e-210	-1.75159486608964	0.684	0.996	9.43355263441411e-206	DPsel	preDP_DPblast
Ect2	1.1009067140671e-209	-1.78290205180682	0.026	0.828	3.7096152637205e-205	DPsel	preDP_DPblast
Rad51ap1	1.37188646183649e-209	-1.16141966560661	0.01	0.814	4.62270862180424e-205	DPsel	preDP_DPblast
Smc2	3.10266747952961e-209	-1.82746507523147	0.229	0.962	1.0454748339023e-204	DPsel	preDP_DPblast
H1f3	9.31097542727968e-209	-2.43802407703236	0.093	0.869	3.13742627997616e-204	DPsel	preDP_DPblast
Ccdc34	2.14475868854629e-208	-1.46645618791981	0.096	0.921	7.22697887692558e-204	DPsel	preDP_DPblast
Cdca7	2.30434191618411e-208	-1.59982188559283	0.137	0.924	7.76471052077398e-204	DPsel	preDP_DPblast
Ndc80	4.65251628103143e-208	-1.50476814189089	0.045	0.852	1.56771188605635e-203	DPsel	preDP_DPblast
H2ax	2.10376797406743e-207	-2.72813552713743	0.158	0.902	7.08885656541761e-203	DPsel	preDP_DPblast
H1f1	2.70859415700277e-207	-2.55876672715331	0.032	0.818	9.12687887143653e-203	DPsel	preDP_DPblast
Cdkn2c	7.88368869539489e-207	-1.60761918688087	0.061	0.857	2.65648774280026e-202	DPsel	preDP_DPblast
Spc25	3.37376255462045e-206	-1.78544309890973	0.008	0.796	1.13682303040491e-201	DPsel	preDP_DPblast
Crip1	4.5591234260179e-206	-1.85313961830559	0.511	0.999	1.53624222963099e-201	DPsel	preDP_DPblast
Tipin	4.61680268856027e-206	-1.5767487263011	0.149	0.922	1.55567783393727e-201	DPsel	preDP_DPblast
Atad2	1.03704366591278e-205	-1.8932497643143	0.188	0.947	3.49442233665969e-201	DPsel	preDP_DPblast
Ran	1.32130763360885e-205	-1.70030656529563	0.765	0.993	4.45227820220837e-201	DPsel	preDP_DPblast
Tacc3	1.756087340092e-205	-1.54252832384916	0.034	0.83	5.91731190117401e-201	DPsel	preDP_DPblast
Snrpd1	8.64833912164697e-205	-1.50995351918919	0.636	0.998	2.91414435043016e-200	DPsel	preDP_DPblast
Asf1b	1.18073686318816e-203	-1.33197882896064	0.048	0.845	3.97861093419882e-199	DPsel	preDP_DPblast
Lig1	2.25319674976827e-203	-1.69249493848351	0.048	0.831	7.59237176801916e-199	DPsel	preDP_DPblast
Gm43305	3.20911915518195e-203	-1.74851374171299	0.166	0.935	1.08134479053011e-198	DPsel	preDP_DPblast
Selenoh	6.87963927685258e-203	-1.41636955388397	0.235	0.96	2.31816325072825e-198	DPsel	preDP_DPblast
