	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
AW112010	2.49305540685024e-55	3.42011212148717	0.89	0.005	8.40059949892255e-51	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl39	6.401097973173e-55	4.17959857422812	0.978	0.217	2.15691397304037e-50	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps5	1.08144976868775e-53	3.54069922325442	0.978	0.243	3.64405314057024e-49	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl18a	3.00154033912576e-53	3.46076391261417	0.985	0.323	1.01139903267182e-48	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps7	3.23608686398372e-53	3.9079175532808	0.978	0.286	1.09043182968796e-48	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl9	4.08379262772249e-53	3.57166937976666	0.985	0.339	1.37607476383737e-48	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl29	5.41052948399592e-53	2.87510132275502	0.963	0.169	1.82313201492726e-48	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps18	6.76473242771986e-53	3.59971559096982	0.993	0.365	2.27944423884448e-48	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps23	1.30028938501125e-52	3.72880071844992	0.978	0.312	4.38145511173392e-48	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Eef1b2	1.67884084659424e-52	3.07164772045826	0.956	0.159	5.65702211668397e-48	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpsa	2.25384274581398e-52	3.48111832769107	0.978	0.349	7.59454851629478e-48	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps24	2.85845530332281e-52	3.94307228668786	0.993	0.402	9.63185099007655e-48	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl41	3.09713105420058e-52	3.30346501700759	0.985	0.302	1.04360928002343e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Fau	4.68530458444179e-52	3.41537614372201	0.993	0.413	1.5787602327735e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps8	4.88929191970026e-52	3.22890824646654	0.993	0.444	1.6474958052622e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rplp2	5.72485134799048e-52	3.08547430149772	1	0.439	1.92904591021887e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl36	6.67264198615418e-52	3.00249653891238	0.978	0.296	2.24841344365451e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl34	7.59758564387869e-52	3.40378909385296	0.978	0.339	2.56008245856136e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl36a	8.95267395045832e-52	3.05319853794984	0.956	0.175	3.01669301434644e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps21	9.48823722927719e-52	3.40699926440079	0.985	0.455	3.19715641677724e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps14	1.15748205036153e-51	3.37941849690201	0.985	0.45	3.90025151689821e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl38	1.35790055406069e-51	3.21682122678776	0.985	0.312	4.57558170696289e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps4x	1.65124363473171e-51	3.56157269017272	0.963	0.291	5.56403055159198e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl37	1.79324030833475e-51	3.1896108617224	0.978	0.381	6.04250254296478e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl18	1.86197662144784e-51	3.1064392755955	0.971	0.312	6.27411642363062e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl17	2.37224127950145e-51	3.26872508930405	0.978	0.354	7.9935042154081e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl23	2.5024268646853e-51	3.74087118309521	0.985	0.397	8.43217756324358e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rplp0	2.55579970836201e-51	3.24452925064246	0.978	0.344	8.61202269729664e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps29	2.67951174960349e-51	3.21529211072722	0.993	0.471	9.02888279146393e-47	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl12	3.0464685586632e-51	3.23162430216812	0.985	0.328	1.02653804552715e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl35a	3.06815740360509e-51	3.03871352121214	0.993	0.392	1.03384631871877e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps20	3.15546039101008e-51	3.15118440696747	1	0.45	1.06326393335476e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl13	3.70139696734848e-51	3.57324697952201	0.985	0.45	1.24722272211774e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl3	4.32642832337733e-51	3.15007623488708	0.963	0.249	1.45783328784523e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl37a	5.31068099565052e-51	3.22330794294486	0.985	0.434	1.7894870682944e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl27a	5.82587872487454e-51	3.24323414686006	0.985	0.444	1.96308809513372e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps12	6.55633182050666e-51	3.5253696558938	0.978	0.349	2.20922157023793e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl5	7.76793537394124e-51	2.96070341594846	0.971	0.296	2.61748350360324e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl13a	8.25464876995043e-51	3.03714043503802	0.985	0.423	2.7814864495225e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps3a1	9.05186046567335e-51	3.07914767795747	0.978	0.45	3.05011490251329e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rplp1	9.11724328617762e-51	3.52334097573255	0.985	0.471	3.07214629771041e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps27	9.26527313185623e-51	3.40309697599985	0.985	0.407	3.12202643451028e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps16	9.65118338090298e-51	3.43388973528112	0.985	0.423	3.25206275202907e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl26	1.12445118787566e-50	3.15123909340248	0.956	0.302	3.78895072266584e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Eef1a1	1.19620792114398e-50	2.80948450252769	1	0.651	4.03074221108677e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl7	1.26712086252379e-50	2.74865509984913	0.978	0.349	4.26969045836018e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps3	1.36438638841154e-50	3.17636022925162	0.978	0.344	4.59743637439152e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps13	1.39209444966453e-50	3.29261311766612	0.978	0.36	4.69080145758961e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps28	1.64399801197584e-50	3.03595736084066	0.971	0.302	5.53961570115379e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps26	1.8182537830409e-50	3.12714107736057	0.971	0.307	6.1267879473346e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rps19	1.85417089215755e-50	3.23560185633098	0.971	0.339	6.24781423821407e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
B2m	2.25675154861447e-50	2.88302701542504	0.963	0.222	7.60435001821131e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl30	2.45969491584769e-50	3.4620813808961	0.971	0.36	8.28818798844038e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl10a	2.53412255317518e-50	2.89210892857247	0.963	0.217	8.53897935517909e-46	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
Rpl21	3.01104960794189e-50	3.08667804950525	0.978	0.386	1.0146032758921e-45	Monocyte_Macrophages_Dendritic	CD8_exhausted_naive
