	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Knl1	2.13514380941829e-32	-3.48501312130779	0.007	0.872	7.19458058021588e-28	Monocyte_Macrophages_Dendritic	Cluster_13
Mki67	3.26848154374851e-32	-3.73620251851594	0.066	0.974	1.1013475409815e-27	Monocyte_Macrophages_Dendritic	Cluster_13
Kif11	1.98642533969791e-31	-3.32070859132481	0.029	0.897	6.69345882464609e-27	Monocyte_Macrophages_Dendritic	Cluster_13
Top2a	3.48478470677487e-29	-4.50267744506943	0.096	0.949	1.17423305479486e-24	Monocyte_Macrophages_Dendritic	Cluster_13
Cenpf	2.74059627877324e-25	-3.33715514633254	0.022	0.744	9.23471322095432e-21	Monocyte_Macrophages_Dendritic	Cluster_13
Prc1	1.68848025224993e-24	-2.70334001185828	0.029	0.744	5.68950305798135e-20	Monocyte_Macrophages_Dendritic	Cluster_13
Neil3	2.79705301473649e-24	-2.60679426488669	0.022	0.718	9.42494983845609e-20	Monocyte_Macrophages_Dendritic	Cluster_13
Kif15	2.69955307925528e-22	-2.421513981667	0.029	0.692	9.09641405585861e-18	Monocyte_Macrophages_Dendritic	Cluster_13
Kif4	3.72617838654654e-22	-2.237420441462	0.022	0.667	1.25557306913072e-17	Monocyte_Macrophages_Dendritic	Cluster_13
Depdc1a	1.08109335550756e-21	-2.36988521437082	0.007	0.615	3.64285217071826e-17	Monocyte_Macrophages_Dendritic	Cluster_13
Cenpp	1.60500762528448e-21	-2.58940192915567	0.074	0.769	5.40823369415857e-17	Monocyte_Macrophages_Dendritic	Cluster_13
Diaph3	1.96763286872159e-21	-2.97835184114895	0.154	0.846	6.63013571444426e-17	Monocyte_Macrophages_Dendritic	Cluster_13
Tmsb10	2.91859176844153e-21	5.26763552723612	0.993	0.128	9.83448682294057e-17	Monocyte_Macrophages_Dendritic	Cluster_13
Cenpe	4.35641587694061e-21	-2.74977107405698	0.059	0.718	1.46793789389391e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Tpx2	4.58053546263327e-21	-2.54536171524052	0.022	0.641	1.54345722948891e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Arpp21	4.87017074962319e-21	-3.58105965690819	0.294	0.949	1.64105273579303e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Gm26936	6.28227643539489e-21	-3.30125232485774	0.147	0.846	2.11687586767066e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Mis18bp1	7.41291416229731e-21	-2.07576896475745	0.015	0.615	2.4978555561277e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Anln	7.41291416229731e-21	-2.01464676749813	0.015	0.615	2.4978555561277e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Hmmr	1.09629789184703e-20	-2.36740506752967	0.007	0.59	3.69408537636774e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Tmsb4x	1.22273255659133e-20	4.58534687358127	0.993	0.615	4.12011962269014e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Eef1a1	1.73115925474981e-20	2.68423932040527	1	0.769	5.83331422480496e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Rps29	2.02677601917664e-20	3.39387012492974	0.993	0.615	6.82942447421761e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Rplp1	2.20849716942427e-20	4.20959715536001	0.985	0.462	7.44175206209202e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Rplp2	2.38306825757241e-20	2.92791102225428	1	0.641	8.02998680071598e-16	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl27	3.32360061803538e-20	3.46003429243517	0.985	0.359	1.1199204642532e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl12	3.4366539077781e-20	3.71948010809777	0.985	0.359	1.15801490076491e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl38	3.49520499511362e-20	3.51682120611025	0.985	0.385	1.17774427515349e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rps18	3.75667110834693e-20	3.44347805817641	0.993	0.462	1.26584789666858e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rps20	3.91523655136688e-20	3.12063863141171	1	0.615	1.31927810834858e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rps24	4.09242701466175e-20	3.97844511914851	0.993	0.615	1.37898420686042e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl39	4.57704532821427e-20	4.35360638613531	0.978	0.282	1.54228119379508e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rps23	4.60273154925257e-20	4.15026056411489	0.978	0.308	1.55093642283615e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rps5	4.75881152109698e-20	3.72565564841875	0.978	0.308	1.60352913014884e-15	Monocyte_Macrophages_Dendritic	Cluster_13
B2m	4.87375340090743e-20	3.75870501313931	0.963	0.051	1.64225994596977e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl35a	5.21883163155467e-20	2.99193446841799	0.993	0.59	1.75853750656866e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl36	5.43718929446082e-20	3.39748158567317	0.978	0.308	1.83211530466152e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl37a	5.44285911029863e-20	3.51000781169606	0.985	0.538	1.83402580580623e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Fau	5.58037241591104e-20	3.11291109808457	0.993	0.667	1.88036228926539e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl37	5.66114676232448e-20	3.44370263632419	0.978	0.436	1.90758001303286e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rps27	5.81674621934043e-20	3.85562416035417	0.985	0.538	1.96001080606895e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rps14	5.91722418687725e-20	3.16029819967624	0.985	0.59	1.99386786201016e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Tpt1	6.11186759236556e-20	3.87293328326346	0.985	0.744	2.0594549039235e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl17	6.25441703036717e-20	3.70425187851543	0.978	0.436	2.10748836255252e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Actb	6.38705026865214e-20	2.54769534161199	0.993	0.846	2.15218045852503e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl21	6.66466647381018e-20	3.58481799149695	0.978	0.333	2.24572601501508e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Ncapd2	7.63943347011756e-20	-2.19939972676435	0.14	0.795	2.57418350209081e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Aspm	7.6457552174052e-20	-2.01464638394142	0.015	0.59	2.57631367805686e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpsa	8.90964205519371e-20	3.21890050182675	0.978	0.513	3.00219298691807e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Cux1	9.31031942915347e-20	-2.78569121079318	0.654	1	3.13720523484755e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl9	9.96724672821991e-20	3.09204432813116	0.985	0.564	3.35856345754098e-15	Monocyte_Macrophages_Dendritic	Cluster_13
Rpl18a	1.01103306450422e-19	3.04069643186535	0.985	0.513	3.40677701415343e-15	Monocyte_Macrophages_Dendritic	Cluster_13
