	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il2rb	1.17221271576092e-148	1.99086756624895	0.779	0.01	3.94988796702799e-144	Monocyte_Macrophages_Dendritic	preDP_DPblast
Gimap3	4.34311830359694e-132	1.94953513520056	0.779	0.026	1.46345714358003e-127	Monocyte_Macrophages_Dendritic	preDP_DPblast
Cd53	2.05345873127647e-131	1.88972828928972	0.882	0.056	6.9193345409092e-127	Monocyte_Macrophages_Dendritic	preDP_DPblast
Ahnak	1.24281049133767e-128	1.86530392758436	0.684	0.008	4.1877742316114e-124	Monocyte_Macrophages_Dendritic	preDP_DPblast
Ms4a4b	9.66989667525662e-124	3.37812069939806	0.89	0.077	3.25836838369447e-119	Monocyte_Macrophages_Dendritic	preDP_DPblast
Chn2	5.48442713967989e-122	2.73047409440727	0.721	0.023	1.84803256898654e-117	Monocyte_Macrophages_Dendritic	preDP_DPblast
Gm2682	9.37004224961754e-122	4.12303297225219	0.721	0.023	3.15732943643113e-117	Monocyte_Macrophages_Dendritic	preDP_DPblast
S100a6	1.67689740298455e-120	3.48961005045897	0.669	0.013	5.65047348909673e-116	Monocyte_Macrophages_Dendritic	preDP_DPblast
Il18r1	4.51284319092294e-118	2.01691341040371	0.61	0.004	1.52064764161339e-113	Monocyte_Macrophages_Dendritic	preDP_DPblast
Arid5b	5.67805569013409e-117	2.03188271646771	0.824	0.061	1.91327764534758e-112	Monocyte_Macrophages_Dendritic	preDP_DPblast
Ccnd2	2.59897902342156e-116	2.28050942542513	0.868	0.08	8.75751971732129e-112	Monocyte_Macrophages_Dendritic	preDP_DPblast
Ctsw	3.43496443454534e-115	1.82453433641816	0.699	0.025	1.1574456158644e-110	Monocyte_Macrophages_Dendritic	preDP_DPblast
Nkg7	8.15225837641098e-114	2.56352190230941	0.669	0.019	2.74698498251545e-109	Monocyte_Macrophages_Dendritic	preDP_DPblast
Gimap4	2.82520145484418e-112	2.03518387702817	0.713	0.032	9.51979882224293e-108	Monocyte_Macrophages_Dendritic	preDP_DPblast
Il7r	2.08378903061785e-111	3.21566468709142	0.801	0.066	7.02153551756989e-107	Monocyte_Macrophages_Dendritic	preDP_DPblast
Gng2	4.20995848867959e-109	1.52189909450936	0.728	0.041	1.41858761234547e-104	Monocyte_Macrophages_Dendritic	preDP_DPblast
Hopx	1.6321866676153e-108	1.39601775583143	0.559	0.002	5.49981619519651e-104	Monocyte_Macrophages_Dendritic	preDP_DPblast
S100a4	2.1252762959789e-108	2.26047250722707	0.559	0.002	7.16133100693051e-104	Monocyte_Macrophages_Dendritic	preDP_DPblast
Coro2a	3.87163436620334e-106	1.48898383026568	0.632	0.019	1.30458591603588e-101	Monocyte_Macrophages_Dendritic	preDP_DPblast
H2-Q7	3.13689916132498e-103	2.13903807198772	0.801	0.08	1.05700954140007e-98	Monocyte_Macrophages_Dendritic	preDP_DPblast
Itgb7	4.10394222759662e-102	1.42849535209712	0.706	0.043	1.38286437301096e-97	Monocyte_Macrophages_Dendritic	preDP_DPblast
St6gal1	1.22079794301321e-99	1.99392084812533	0.816	0.092	4.1136007487773e-95	Monocyte_Macrophages_Dendritic	preDP_DPblast
