	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	2.13858428171907e-162	-3.472317148395	0.004	0.942	7.20617359568056e-158	SP	DN_Precursors
Trgc1	1.20101080009471e-154	-2.60241983634918	0.004	0.904	4.04692599199915e-150	SP	DN_Precursors
Trgc2	3.91508444128842e-154	-2.95472215020039	0.001	0.885	1.31922685333655e-149	SP	DN_Precursors
Plac8	7.46199022086715e-137	-3.18913995668897	0.014	0.865	2.51439222482339e-132	SP	DN_Precursors
Il2ra	2.36819444161137e-136	-3.28280538530628	0.032	0.942	7.97986799045369e-132	SP	DN_Precursors
Notch3	3.95023778498857e-136	-2.35009337869269	0.013	0.856	1.33107212402975e-131	SP	DN_Precursors
Atp8b4	7.49819685139729e-134	-2.59594201875197	0.025	0.904	2.52659241104683e-129	SP	DN_Precursors
Gria3	2.18565517945446e-133	-2.14981591330652	0.02	0.885	7.36478369268973e-129	SP	DN_Precursors
Adamts17	2.48305767553613e-130	-2.00532136615844	0.006	0.788	8.36691114348656e-126	SP	DN_Precursors
Hes1	3.40503809248648e-128	-2.06242285925065	0	0.74	1.14736163564424e-123	SP	DN_Precursors
1500009L16Rik	4.53502175223594e-126	-1.3857999323661	0.008	0.788	1.52812092963342e-121	SP	DN_Precursors
Trgv2	8.95989465128429e-125	-2.52119888564157	0.001	0.731	3.01912610169675e-120	SP	DN_Precursors
Trgc4	1.29608576169264e-121	-1.93024075775685	0.006	0.74	4.36729058259953e-117	SP	DN_Precursors
Nckap5	1.94723327398019e-117	-1.55389639320474	0.007	0.731	6.56139724000365e-113	SP	DN_Precursors
Myl10	1.08794695570299e-116	-3.31776485619842	0.074	0.952	3.6659460619368e-112	SP	DN_Precursors
Ptcra	6.57635578285471e-115	-1.68541641374344	0.011	0.74	2.21596884459072e-110	SP	DN_Precursors
Ccdc18	1.46272848845954e-110	-1.66472138474408	0.017	0.75	4.92880991471327e-106	SP	DN_Precursors
Coro2a	2.60341136957246e-110	-1.04614913753894	0.001	0.654	8.77245495091135e-106	SP	DN_Precursors
Ifitm2	1.13039942594513e-108	-1.07196158753844	0	0.635	3.8089939056647e-104	SP	DN_Precursors
Ccnd2	2.64475999692532e-108	-1.66613762379882	0.036	0.856	8.91178328563955e-104	SP	DN_Precursors
Epb41l4b	2.14062421852486e-104	-1.13217528634347	0.006	0.654	7.21304736674136e-100	SP	DN_Precursors
Il7r	7.83603849320838e-103	-1.50219653394036	0.027	0.76	2.64043153067149e-98	SP	DN_Precursors
Ldlr	2.1671526083811e-101	-1.24880285424403	0.01	0.663	7.30243742920096e-97	SP	DN_Precursors
Notch1	3.42293787305247e-96	-2.36418189895096	0.121	0.962	1.15339314570376e-91	SP	DN_Precursors
Prss57	1.05738471794388e-95	-0.854041520585442	0.006	0.606	3.56296354558369e-91	SP	DN_Precursors
Tmem121	7.1317211112485e-94	-1.25154633989452	0.015	0.654	2.4031047456463e-89	SP	DN_Precursors
Ahr	1.63466298528287e-92	-0.887949209265907	0.006	0.587	5.50816039520916e-88	SP	DN_Precursors
Adgrg1	2.76350172580984e-92	-0.886610266947729	0.01	0.615	9.31189541528882e-88	SP	DN_Precursors
Gbp6	1.02508205711479e-85	-1.16659950754309	0.038	0.721	3.454116499654e-81	SP	DN_Precursors
Wdfy4	1.44724016957116e-84	-0.738433587324182	0	0.5	4.87662047538697e-80	SP	DN_Precursors
Epcam	4.72645459480753e-83	-1.04754767142429	0.022	0.635	1.59262614026634e-78	SP	DN_Precursors
Gfra1	9.29553261711648e-83	-1.9368470317731	0.046	0.731	3.13222267066357e-78	SP	DN_Precursors
Bst1	3.00647501421156e-82	-0.910750092263916	0.006	0.529	1.01306182078873e-77	SP	DN_Precursors
