	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Pclaf	2.46026432251136e-268	-3.5718096985308	0.038	0.987	8.29010666113427e-264	SP	preDP_DPblast
Mki67	1.69231379231714e-264	-3.40154536652693	0.036	0.982	5.70242055459184e-260	SP	preDP_DPblast
Top2a	6.35051107127707e-260	-4.18785167228642	0.06	0.977	2.13986821057752e-255	SP	preDP_DPblast
Rrm2	1.8909975720321e-255	-2.66594818450391	0.024	0.958	6.37190541871938e-251	SP	preDP_DPblast
Hmgb2	4.19828785956477e-254	-4.58858928215654	0.588	1	1.41465507715894e-249	SP	preDP_DPblast
Lockd	5.5862729418175e-253	-2.92000425876261	0.08	0.983	1.88235053047482e-248	SP	preDP_DPblast
Spc24	7.62695748230798e-252	-2.03537766275623	0.01	0.947	2.5699795932385e-247	SP	preDP_DPblast
Birc5	5.57480292152416e-248	-2.84615263838988	0.027	0.944	1.87848559243678e-243	SP	preDP_DPblast
Ptma	1.42911768962558e-247	-1.93116609092197	1	1	4.81555496696235e-243	SP	preDP_DPblast
H2az1	3.23502050448e-246	-2.94167657686418	0.83	1	1.09007250918958e-241	SP	preDP_DPblast
Tuba1b	6.71887447837822e-245	-2.96976103592964	0.278	0.993	2.26399194423433e-240	SP	preDP_DPblast
Hmgn2	1.58688298190196e-243	-2.69224703695023	0.525	0.999	5.34716089581685e-239	SP	preDP_DPblast
Hmgb1	1.85481712984648e-243	-1.97585046919926	0.979	1	6.24999180073071e-239	SP	preDP_DPblast
Stmn1	1.47899786578288e-242	-2.62188383814095	0.742	1	4.983631208542e-238	SP	preDP_DPblast
Malat1	2.17155114483399e-238	2.10336786090833	0.999	0.998	7.31725873763262e-234	SP	preDP_DPblast
Diaph3	5.14229391632919e-238	-2.20485512883957	0.024	0.929	1.73274735804628e-233	SP	preDP_DPblast
Cdk1	6.67537511723442e-234	-2.17991980728893	0.015	0.908	2.24933439950331e-229	SP	preDP_DPblast
Knl1	5.86689825931692e-232	-2.30979612776037	0.008	0.894	1.97691003745943e-227	SP	preDP_DPblast
