	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Hmgb2	1.2683115773708e-102	4.87901155271854	1	0.28	4.27370269110865e-98	preDP_DPblast	CD8_exhausted_naive
Ppia	2.84149245990895e-102	3.5545327906044	1	0.481	9.57469299290918e-98	preDP_DPblast	CD8_exhausted_naive
Ptma	3.43055768591031e-102	3.50634233561722	1	0.735	1.15596071784434e-97	preDP_DPblast	CD8_exhausted_naive
H2az1	5.43106586042452e-102	4.20247795290514	1	0.196	1.83005195232864e-97	preDP_DPblast	CD8_exhausted_naive
Hmgb1	7.63801374067347e-102	3.21215382938671	1	0.624	2.57370511005733e-97	preDP_DPblast	CD8_exhausted_naive
Stmn1	1.97433022151839e-101	3.69108424661958	1	0.212	6.65270311442837e-97	preDP_DPblast	CD8_exhausted_naive
Rpl28	2.26740746882723e-100	3.06220676088607	1	0.392	7.64025620696025e-96	preDP_DPblast	CD8_exhausted_naive
H3f3a	5.16546587670874e-100	2.63658237007758	1	0.55	1.74055538181578e-95	preDP_DPblast	CD8_exhausted_naive
Rps16	5.99682000362812e-100	3.0950558803112	1	0.423	2.02068846842253e-95	preDP_DPblast	CD8_exhausted_naive
Fau	7.00906726828749e-100	2.81113853989528	1	0.413	2.36177530672215e-95	preDP_DPblast	CD8_exhausted_naive
Rpl39	1.02967138721466e-99	3.50453796273008	1	0.217	3.46958070635851e-95	preDP_DPblast	CD8_exhausted_naive
Hmgn2	1.31194000217605e-99	3.40420564082336	0.999	0.148	4.42071303133242e-95	preDP_DPblast	CD8_exhausted_naive
Rps29	2.12043818393251e-99	2.91885015959879	1	0.471	7.14502850457897e-95	preDP_DPblast	CD8_exhausted_naive
Tpt1	4.08549784417522e-99	2.72478115794256	1	0.656	1.37664935357328e-94	preDP_DPblast	CD8_exhausted_naive
Rpl34	5.85123759159963e-99	2.87373550346712	1	0.339	1.97163301886541e-94	preDP_DPblast	CD8_exhausted_naive
St6gal1	6.24698476312874e-99	-3.3135962542145	0.092	0.725	2.10498398578386e-94	preDP_DPblast	CD8_exhausted_naive
Malat1	6.90986358406311e-99	-2.64752406242656	0.998	1	2.32834763328591e-94	preDP_DPblast	CD8_exhausted_naive
Txn1	7.49863243006542e-99	2.94114623283281	1	0.116	2.52673918363484e-94	preDP_DPblast	CD8_exhausted_naive
Pclaf	8.79283464023445e-99	3.49644283886063	0.987	0.032	2.9628335603734e-94	preDP_DPblast	CD8_exhausted_naive
Rps14	1.69280152393449e-98	2.96814637292836	1	0.45	5.70406401504966e-94	preDP_DPblast	CD8_exhausted_naive
Rps24	7.36902610408318e-98	3.08331512954166	1	0.402	2.48306703603187e-93	preDP_DPblast	CD8_exhausted_naive
Anp32b	5.33405621685004e-97	2.79906788176791	1	0.185	1.79736358282979e-92	preDP_DPblast	CD8_exhausted_naive
Tuba1b	5.40025128539924e-97	3.26287467154987	0.993	0.079	1.81966867312813e-92	preDP_DPblast	CD8_exhausted_naive
Crip1	6.69577014291809e-97	2.85635166330212	0.999	0.09	2.25620670735768e-92	preDP_DPblast	CD8_exhausted_naive
Rps23	8.51527966812185e-97	3.0695354959445	1	0.312	2.86930863697034e-92	preDP_DPblast	CD8_exhausted_naive
Rpl35a	9.97830268524058e-97	2.74825700541515	1	0.392	3.36228887281866e-92	preDP_DPblast	CD8_exhausted_naive
Hint1	1.78179911155036e-96	2.42017937476093	0.982	0.026	6.0039502862801e-92	preDP_DPblast	CD8_exhausted_naive
Top2a	1.87598659507058e-96	4.11962021121936	0.977	0.048	6.32132443074983e-92	preDP_DPblast	CD8_exhausted_naive
Rpl41	3.28567899770902e-96	3.14120826423675	0.998	0.302	1.10714239506803e-91	preDP_DPblast	CD8_exhausted_naive
Rps8	3.29742091206981e-96	2.99961827202566	1	0.444	1.11109895053104e-91	preDP_DPblast	CD8_exhausted_naive
Rplp0	3.4361444337089e-96	3.18606992729741	1	0.344	1.15784322838255e-91	preDP_DPblast	CD8_exhausted_naive
Dut	3.82612496097331e-96	3.19078113856523	0.984	0.095	1.28925106684957e-91	preDP_DPblast	CD8_exhausted_naive
Rpl18a	6.97882545287387e-96	2.91237162139918	0.999	0.323	2.35158502460038e-91	preDP_DPblast	CD8_exhausted_naive
Rpl19	7.945539953991e-96	2.77509701606632	1	0.354	2.67732914289681e-91	preDP_DPblast	CD8_exhausted_naive
Rpl23	8.89868034819725e-96	2.98601909455057	1	0.397	2.99849933012854e-91	preDP_DPblast	CD8_exhausted_naive
Mki67	1.08765816090234e-95	3.24864743711239	0.982	0.032	3.66497293897652e-91	preDP_DPblast	CD8_exhausted_naive
Rps4x	1.65425317435626e-95	3.17745034462198	0.999	0.291	5.57417149631087e-91	preDP_DPblast	CD8_exhausted_naive
Cox8a	1.85842719686474e-95	2.6367177346386	0.996	0.111	6.26215628255543e-91	preDP_DPblast	CD8_exhausted_naive
Rps3a1	2.07646826038863e-95	2.84625769769759	1	0.45	6.99686745020551e-91	preDP_DPblast	CD8_exhausted_naive
H2az2	2.53260407100393e-95	2.93826511513494	0.999	0.206	8.53386267765484e-91	preDP_DPblast	CD8_exhausted_naive
Rplp2	3.13495351882423e-95	2.79881608230175	1	0.439	1.05635393770301e-90	preDP_DPblast	CD8_exhausted_naive
Rps15a	4.10574288734821e-95	2.82482863234618	0.999	0.466	1.38347112332085e-90	preDP_DPblast	CD8_exhausted_naive
Rpl29	6.42051673013546e-95	2.7638810810879	0.995	0.169	2.16345731738644e-90	preDP_DPblast	CD8_exhausted_naive
