	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	2.42326059323615e-160	-3.42231188995057	0.025	0.942	8.16541889496854e-156	preDP_DPblast	DN_Precursors
Il2ra	2.07236539264116e-145	-3.33762345865365	0.042	0.942	6.98304242704366e-141	preDP_DPblast	DN_Precursors
Trgc1	5.26000800527441e-128	-2.47372213123962	0.052	0.904	1.77241229745727e-123	preDP_DPblast	DN_Precursors
Atp8b4	1.38294174379903e-127	-2.59628382336746	0.054	0.904	4.65996049990522e-123	preDP_DPblast	DN_Precursors
Trgc2	1.22476415359454e-116	-2.80788141137231	0.064	0.885	4.12696529195216e-112	preDP_DPblast	DN_Precursors
Gria3	1.89348351312428e-112	-2.12572860578942	0.071	0.885	6.38028204582359e-108	preDP_DPblast	DN_Precursors
Trgc4	1.54662695650187e-110	-1.8844839869113	0.03	0.74	5.21151419262871e-106	preDP_DPblast	DN_Precursors
Hes1	1.79847802331739e-107	-2.03207269044734	0.035	0.74	6.06015154737027e-103	preDP_DPblast	DN_Precursors
Adamts17	2.98516982311888e-105	-1.96731639279248	0.05	0.788	1.00588282359814e-100	preDP_DPblast	DN_Precursors
Epb41l4b	6.04092428775807e-103	-1.13322785736809	0.02	0.654	2.03554984800296e-98	preDP_DPblast	DN_Precursors
Coro2a	6.73327749785192e-103	-1.02390980333695	0.019	0.654	2.26884518567618e-98	preDP_DPblast	DN_Precursors
Ccnd2	5.5046624130908e-97	-1.7030507678241	0.08	0.856	1.85485104671508e-92	preDP_DPblast	DN_Precursors
Trgv2	7.31147273423364e-97	-2.4571691841273	0.047	0.731	2.46367385252737e-92	preDP_DPblast	DN_Precursors
Nckap5	1.0099110827721e-90	-1.5243914059669	0.055	0.731	3.40299638450886e-86	preDP_DPblast	DN_Precursors
Ctla2a	1.18031308840476e-90	-0.990178845617474	0.014	0.567	3.97718298268869e-86	preDP_DPblast	DN_Precursors
Wdfy4	2.76020741811515e-90	-0.734965831292741	0.005	0.5	9.30079491608082e-86	preDP_DPblast	DN_Precursors
Il7r	3.36229270109853e-86	-1.44674832751945	0.066	0.76	1.13295814856216e-81	preDP_DPblast	DN_Precursors
Erg	4.78898963501725e-84	-0.767457223338883	0.002	0.452	1.61369794741541e-79	preDP_DPblast	DN_Precursors
Tshz2	5.85981708754719e-84	-1.87135539908655	0.011	0.51	1.9745239658199e-79	preDP_DPblast	DN_Precursors
Plac8	1.95498654387974e-79	-2.90306639560696	0.139	0.865	6.58752265825717e-75	preDP_DPblast	DN_Precursors
Zeb2	1.04102357441873e-78	-1.79434663307514	0.06	0.692	3.50783303636136e-74	preDP_DPblast	DN_Precursors
Gm12503	1.38480148197175e-74	-0.795587960181232	0.004	0.413	4.66622707365202e-70	preDP_DPblast	DN_Precursors
Nkg7	2.13548015941513e-74	-0.699723797530944	0.019	0.519	7.19571394516523e-70	preDP_DPblast	DN_Precursors
Gm34004	1.46976483744023e-72	-1.01526988506834	0.016	0.481	4.9525195962386e-68	preDP_DPblast	DN_Precursors
Ifitm2	1.98587002917982e-71	-1.01544829619985	0.055	0.635	6.69158765032431e-67	preDP_DPblast	DN_Precursors
Gm5111	8.43282999111699e-71	-0.687695174050484	0.004	0.394	2.84152639380678e-66	preDP_DPblast	DN_Precursors
Pld4	9.79289267949345e-71	-0.574019964430667	0.002	0.385	3.29981311728211e-66	preDP_DPblast	DN_Precursors
Khdc1a	1.05545905264036e-70	-0.710426853740338	0.004	0.394	3.55647482377694e-66	preDP_DPblast	DN_Precursors
Ahr	5.29090272896801e-69	-0.859001595158954	0.044	0.587	1.78282258355306e-64	preDP_DPblast	DN_Precursors
Plekha7	1.18696744476514e-67	-1.51647498519244	0.163	0.846	3.99960550188063e-63	preDP_DPblast	DN_Precursors
Myl10	4.0454067287475e-67	-3.08541063541592	0.346	0.952	1.36314025131876e-62	preDP_DPblast	DN_Precursors
Parp8	3.05641977143488e-66	-1.28867343489462	0.1	0.731	1.0298912061827e-61	preDP_DPblast	DN_Precursors
Epcam	2.71613338453757e-61	-1.04550320370538	0.076	0.635	9.15228305253781e-57	preDP_DPblast	DN_Precursors
Ptma	8.99598524292817e-60	1.76214013312655	1	0.99	3.03128718745707e-55	preDP_DPblast	DN_Precursors
Arhgef10l	2.3149770102998e-59	-0.935237484908104	0.022	0.442	7.80054653390621e-55	preDP_DPblast	DN_Precursors
Gprin3	8.61974385099621e-59	-0.715225424133636	0.018	0.423	2.90450888803168e-54	preDP_DPblast	DN_Precursors
Bst1	1.08775529468841e-58	-0.885603224691492	0.044	0.529	3.66530024098207e-54	preDP_DPblast	DN_Precursors
Cdk6	1.49951871633236e-58	-2.76573987446656	0.693	1	5.05277826655352e-54	preDP_DPblast	DN_Precursors
Hmgn2	2.95417593922742e-58	2.59466178180252	0.999	0.721	9.95439124482071e-54	preDP_DPblast	DN_Precursors
Hmgb2	5.36220910393105e-58	3.30780455287567	1	0.894	1.80684997966061e-53	preDP_DPblast	DN_Precursors
