gene	etapa	big_etapa
Ly6d	DN	DN
Notch1	DN	DN
Ptcra	DN	DN
Il2ra	DN	DN
Sell	DN	DN
Hells	preDP (ISP)	preDP (ISP)
Gzma	preDP (ISP)	preDP (ISP)
Tcf19	DPbla1	DPbla
Tyms	DPbla1	DPbla
Ung	DPbla1	DPbla
Hells	DPbla1	DPbla
Top2a	DPbla2	DPbla
Tcf19	DPbla2	DPbla
Tyms	DPbla2	DPbla
Esco2	DPbla2	DPbla
Hmmr	DPbla3	DPbla
Cenpa	DPbla3	DPbla
Esco2	DPbla3	DPbla
Cd8a	DPbla3	DPbla
Top2a	DPbla3	DPbla
Cdc20	DPbla3	DPbla
Cdc20	DPbla4	DPbla
Cenpa	DPbla4	DPbla
Cd8a	DPbla4	DPbla
Hmmr	DPbla4	DPbla
Top2a	DPbla4	DPbla
Knstrn	DPbla4	DPbla
Cd8a	DPre1	DPre
Cdc20	DPre1	DPre
Cenpa	DPre1	DPre
Knstrn	DPre1	DPre
Ly6d	DPre1	DPre
Ly6d	DPre2	DPre
Cd8a	DPre2	DPre
Cd4	DPre2	DPre
Rag1	DPre2	DPre
Cd4	DPre3	DPre
Rag1	DPre3	DPre
Ly6d	DPre3	DPre
Cd8a	DPre3	DPre
Cd2	DPsel1	DPsel
Itm2a	DPsel1	DPsel
Trac	DPsel1	DPsel
Cd28	DPsel1	DPsel
Cd53	DPsel2	DPsel
Chd3	DPsel2	DPsel
Itm2a	DPsel2	DPsel
Trac	DPsel2	DPsel
Cd28	DPsel2	DPsel
Cd2	DPsel2	DPsel
Cd53	CD4sp	CD4sp
Cd2	CD4sp	CD4sp
Ccr7	CD4sp	CD4sp
Trac	CD4sp	CD4sp
Chd3	CD4sp	CD4sp
Ms4a4b	CD4sp	CD4sp
Nkg7	CD8sp	CD8sp
Cd7	CD8sp	CD8sp
Runx3	CD8sp	CD8sp
Ms4a4b	CD8sp	CD8sp
Ccr7	CD8sp	CD8sp
Sell	CD8sp	CD8sp
Nkg7	NCL	NCL
Cd7	NCL	NCL
Ms4a4b	NCL	NCL
Runx3	NCL	NCL
H2-Eb1	APC	APC
H2-Ab1	APC	APC
