.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Kmer Content
PX_Cd0_Rep1_R1	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
PX_Cd0_Rep1_R2	1	1	1	0.5	1	1	1	0.25	0.5	1	0.25
PX_Cd0_Rep2_R1	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
PX_Cd0_Rep2_R2	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
PX_Cd0_Rep3_R1	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
PX_Cd0_Rep3_R2	1	1	1	0.5	1	1	1	0.25	0.5	1	0.25
WT_Cd0_Rep1_R1	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
WT_Cd0_Rep1_R2	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
WT_Cd0_Rep2_R1	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
WT_Cd0_Rep2_R2	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
WT_Cd0_Rep3_R1	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
WT_Cd0_Rep3_R2	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
