Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
PX_Cd0_Rep1_R1 - illumina_universal_adapter	(1, 3.1822718382693076e-05)	(2, 4.354687778684316e-05)	(3, 6.029567693562899e-05)	(4, 0.00010216767480759357)	(5, 0.00011389183421174364)	(6, 0.00014403967267955813)	(7, 0.00016413823165810113)	(8, 0.0002579315068913018)	(9, 0.0002964537449335092)	(10, 0.0004220697385494029)	(12, 0.00046812893620856396)	(14, 0.0005351241328037073)	(16, 0.0005778335706331111)	(18, 0.0006506908469303295)	(20, 0.0008977356343749205)	(22, 0.0011833026598617189)	(24, 0.0012879826545416303)	(26, 0.0013583276109665307)	(28, 0.0014244853676042349)	(30, 0.0015710373601561108)	(32, 0.0017100523930910333)	(34, 0.0017971461486647195)	(36, 0.0018432053463238807)	(38, 0.0018607915854301057)	(40, 0.0018892645439830416)	(42, 0.0019286242219826884)	(44, 0.0019663090200674567)	(46, 0.0020182302974286925)	(48, 0.0020894126938110326)	(50, 0.0021681320498103257)	(52, 0.0022878859637241447)	(54, 0.0024143393972974776)	(56, 0.002560053949891914)	(58, 0.0027334040210818477)	(60, 0.002961187689505335)	(62, 0.0032710404737578726)	(64, 0.003585917897755046)	(66, 0.003998775796772617)	(68, 0.004564047768044139)	(70, 0.005274196851952658)	(72, 0.006248139522454553)	(74, 0.00738705786457199)	(76, 0.008891100028132957)	(78, 0.010800463131094543)	(80, 0.013252487326476789)	(82, 0.016308305731172763)	(84, 0.020132056576840567)	(86, 0.02496408513126528)	(88, 0.031008726744062087)	(90, 0.03805243422608397)	(92, 0.04694437169417437)	(94, 0.05756813499424922)	(96, 0.06994549756520194)	(98, 0.08470872657489921)	(100, 0.10157058011793935)	(102, 0.12116332536218902)	(104, 0.14390735716628272)	(106, 0.16975410401268903)	(108, 0.1997587402477814)	(110, 0.2336725462042004)	(112, 0.27157005403815804)	(114, 0.3141178659557762)	(116, 0.36254031917483087)	(118, 0.41586849566456496)	(120, 0.4751223972931395)	(122, 0.542218924123133)	(124, 0.6148467418720129)	(126, 0.6938575269764953)	(128, 0.7799262560422758)	(130, 0.8742152957302806)	(132, 0.9775654357577784)	(134, 1.0896073651035385)	(136, 1.210363694646412)	(138, 1.308417864383064)
PX_Cd0_Rep1_R2 - illumina_universal_adapter	(1, 5.1921277361236076e-05)	(2, 0.0001859116705515227)	(3, 0.0003266015834013237)	(4, 0.0008726124356517417)	(5, 0.0009329081125873707)	(6, 0.0013080812135201733)	(7, 0.001694978473857126)	(8, 0.0030533060848236568)	(9, 0.0031638481592056434)	(10, 0.003307050391927762)	(12, 0.0034150801464374308)	(14, 0.003789415807412794)	(16, 0.0042818305023870976)	(18, 0.004871388232424358)	(20, 0.005397300525696234)	(22, 0.005831931863607226)	(24, 0.006404740794495702)	(26, 0.00691474172857623)	(28, 0.007959029355503026)	(30, 0.011109478475389642)	(32, 0.014236479276467956)	(34, 0.016010177106324373)	(36, 0.016268108613215676)	(38, 0.016539439159426007)	(40, 0.016883626981933554)	(42, 0.016989144416570907)	(44, 0.017154120088186446)	(46, 0.01730485928052552)	(48, 0.0175602784675445)	(50, 0.017912840689626446)	(52, 0.018315649309154747)	(54, 0.018514960019025296)	(56, 0.018738556487661588)	(58, 0.01897136479582971)	(60, 0.019251069741614432)	(62, 0.019627917722462113)	(64, 0.019982154824458934)	(66, 0.020469544879688602)	(68, 0.021046541010364274)	(70, 0.021742453614996327)	(72, 0.022725608125030054)	(74, 0.02389718662548762)	(76, 0.02543221406747384)	(78, 0.027379261968520197)	(80, 0.029840498003434274)	(82, 0.032911390327364155)	(84, 0.0367317914132022)	(86, 0.04152613516954215)	(88, 0.04756575214259432)	(90, 0.05461029706457364)	(92, 0.06347459901406854)	(94, 0.07411092391350498)	(96, 0.08647237512526637)	(98, 0.10121885533581484)	(100, 0.11806814727949339)	(102, 0.13771030148123198)	(104, 0.16045098352549594)	(106, 0.1863287156503275)	(108, 0.216379411083079)	(110, 0.2503242023179233)	(112, 0.2881270794366903)	(114, 0.3306120833575005)	(116, 0.37893153146179015)	(118, 0.432297392749609)	(120, 0.4913955305460998)	(122, 0.5578899380466944)	(124, 0.6302196271707261)	(126, 0.7091232199606561)	(128, 0.7950294856746936)	(130, 0.8890538943361473)	(132, 0.9920841322999034)	(134, 1.1036503957498383)	(136, 1.224037414271481)	(138, 1.3217968051431142)
PX_Cd0_Rep2_R1 - illumina_universal_adapter	(1, 6.419801131894398e-05)	(2, 7.382771301678557e-05)	(3, 0.00010432176839328396)	(4, 0.0001925940339568319)	(5, 0.0002246930396163039)	(6, 0.00027926134923740624)	(7, 0.00033382965885850866)	(8, 0.00042852172555395097)	(9, 0.0004991395380047894)	(10, 0.0006901286216786477)	(12, 0.0007655612849784069)	(14, 0.0008682781030887171)	(16, 0.0009485256172373972)	(18, 0.0010721067890263644)	(20, 0.001269515673832117)	(22, 0.0014605047575059753)	(24, 0.001530320094815327)	(26, 0.001581678503870482)	(28, 0.001642666614623479)	(30, 0.0017774824383932613)	(32, 0.0018850141073524923)	(34, 0.0019756937983405006)	(36, 0.0020230398316882217)	(38, 0.002067175964469996)	(40, 0.0021161269481006903)	(42, 0.0021554482300335438)	(44, 0.0022124239650791067)	(46, 0.002265387324417235)	(48, 0.002335202661726587)	(50, 0.0024403269052613577)	(52, 0.0025767476793141135)	(54, 0.002734835282187013)	(56, 0.0029049600121822147)	(58, 0.0031280481015155447)	(60, 0.0033824327213668607)	(62, 0.0037274970322061845)	(64, 0.004159228658326082)	(66, 0.004732998384489144)	(68, 0.005484917592062276)	(70, 0.006453505087836842)	(72, 0.007713391059971118)	(74, 0.009275810160445916)	(76, 0.011253911384210877)	(78, 0.013646892256124515)	(80, 0.016783767584196415)	(82, 0.020634845788191566)	(84, 0.025411177830321)	(86, 0.03131659239652236)	(88, 0.03853646124447909)	(90, 0.04721282247423437)	(92, 0.05743635577677619)	(94, 0.06965082990534677)	(96, 0.08397420870574465)	(98, 0.10061353076447345)	(100, 0.11989620593925976)	(102, 0.14194019807590214)	(104, 0.16730081997230947)	(106, 0.19554634000236185)	(108, 0.22772398822569956)	(110, 0.26362191120497)	(112, 0.3032064049842309)	(114, 0.34753753922538616)	(116, 0.3972621088924742)	(118, 0.45210406253682356)	(120, 0.5116798170408036)	(122, 0.578133585982467)	(124, 0.6495964047572909)	(126, 0.7260754956415489)	(128, 0.8099509999048906)	(130, 0.9005488384284674)	(132, 0.9999177302484947)	(134, 1.1065755037786467)	(136, 1.2205526530742998)	(138, 1.3127032809966537)
PX_Cd0_Rep2_R2 - illumina_universal_adapter	(1, 0.00010111186782733675)	(2, 0.0002230880893333303)	(3, 0.0003627187639520334)	(4, 0.0009035870093141363)	(5, 0.0009437107663884764)	(6, 0.0012021077619472258)	(7, 0.0016193948355203616)	(8, 0.0027540946855826964)	(9, 0.002863231304824901)	(10, 0.0030566278139232197)	(12, 0.003201073339390844)	(14, 0.0035718168547577453)	(16, 0.0040139806577169715)	(18, 0.004619849389539505)	(20, 0.0051061493252805065)	(22, 0.005498559669467551)	(24, 0.00597763732893517)	(26, 0.006379677374820057)	(28, 0.007259992605031076)	(30, 0.010067050649951902)	(32, 0.012724848318556182)	(34, 0.014145229318987818)	(36, 0.014314551573841532)	(38, 0.01454325698916527)	(40, 0.01481369111184632)	(42, 0.014909988128824736)	(44, 0.015073693057688044)	(46, 0.01519727422947701)	(48, 0.015386658362867896)	(50, 0.015705240994038153)	(52, 0.01602542857549139)	(54, 0.01626055379194702)	(56, 0.01652135821293023)	(58, 0.016802224512450607)	(60, 0.017129634370177227)	(62, 0.01753408184148657)	(64, 0.01799309762241702)	(66, 0.01863507773560646)	(68, 0.01940224397086784)	(70, 0.02036120176494457)	(72, 0.021631519913918172)	(74, 0.02320597614151527)	(76, 0.025190497166412126)	(78, 0.027593910215165093)	(80, 0.030740415244934833)	(82, 0.03460192562576931)	(84, 0.03937906014304023)	(86, 0.04523632620075238)	(88, 0.052419281192200726)	(90, 0.061096444897097486)	(92, 0.07131837324935635)	(94, 0.08351840282538016)	(96, 0.09787147320601305)	(98, 0.1145075853641759)	(100, 0.13376056895872718)	(102, 0.15586073435527364)	(104, 0.1812438255556426)	(106, 0.2093778015410283)	(108, 0.24145193047111424)	(110, 0.27725756880911373)	(112, 0.31677706210191414)	(114, 0.3609653557678848)	(116, 0.4105318378320999)	(118, 0.46520607417187854)	(120, 0.5246823217583142)	(122, 0.5906401610625387)	(124, 0.6616624209846864)	(126, 0.7378205218123497)	(128, 0.821326085035466)	(130, 0.9113629934351435)	(132, 1.0102495976951373)	(134, 1.1161450198408769)	(136, 1.2292049400498106)	(138, 1.3206750690521833)
PX_Cd0_Rep3_R1 - illumina_universal_adapter	(1, 0.0009727146005129371)	(2, 0.0010017508572446666)	(3, 0.0010409498038325014)	(4, 0.0011222513226813438)	(5, 0.0011425767023935545)	(6, 0.0012064564672033592)	(7, 0.0012863061732156153)	(8, 0.0014053548258157061)	(9, 0.0014648791521157515)	(10, 0.0016361930668329554)	(12, 0.0017320127140476626)	(14, 0.0018517872730660467)	(16, 0.0019998721823978665)	(18, 0.0021719120035333644)	(20, 0.0024586450387591927)	(22, 0.002749007606076487)	(24, 0.003005978478152293)	(26, 0.003389257067011122)	(28, 0.004513686108947345)	(30, 0.005622145209681118)	(32, 0.006737137468179529)	(34, 0.008066272120074446)	(36, 0.00970682062541716)	(38, 0.01014889763415774)	(40, 0.010318759736038359)	(42, 0.010544516632127555)	(44, 0.010962638729064458)	(46, 0.011099835042121881)	(48, 0.01133502872164889)	(50, 0.011520134858313665)	(52, 0.011681286083174765)	(54, 0.011864940407002953)	(56, 0.012092149115928735)	(58, 0.012332424140383796)	(60, 0.012601009515152296)	(62, 0.012921134245619612)	(64, 0.013371922131379712)	(66, 0.013895300658969136)	(68, 0.014566038189472087)	(70, 0.015314447706732414)	(72, 0.01624651154782093)	(74, 0.017365133338410804)	(76, 0.018774843602736273)	(78, 0.020473464621542446)	(80, 0.02255754194846233)	(82, 0.02525138066674853)	(84, 0.028503441420702227)	(86, 0.032457453681145484)	(88, 0.037371840132990705)	(90, 0.04309851586690605)	(92, 0.04985670462121608)	(94, 0.05805872124151136)	(96, 0.06761092379983205)	(98, 0.07871729199971858)	(100, 0.091509214902882)	(102, 0.10665162278847892)	(104, 0.12432671816750093)	(106, 0.14415920742169047)	(108, 0.16701291918881642)	(110, 0.19303448656537409)	(112, 0.2218166760507009)	(114, 0.2545666700184186)	(116, 0.29146667097951867)	(118, 0.3316347026357749)	(120, 0.3761668836788101)	(122, 0.42583485263126997)	(124, 0.47974937413074525)	(126, 0.5384810106220144)	(128, 0.6023694863088387)	(130, 0.6721370780774201)	(132, 0.7482026339311134)	(134, 0.8303977435808749)	(136, 0.9199441075286919)	(138, 0.9917652885546248)
PX_Cd0_Rep3_R2 - illumina_universal_adapter	(1, 0.0001292113424561961)	(2, 0.00027439262611484344)	(3, 0.0004021521557344531)	(4, 0.0009683591620031777)	(5, 0.0010394979909959148)	(6, 0.001355993189371766)	(7, 0.001816217858569678)	(8, 0.003034288828465729)	(9, 0.003163500170921925)	(10, 0.0033711094065537912)	(12, 0.003556215543218566)	(14, 0.0040149883995798915)	(16, 0.00457974359301203)	(18, 0.005259917906952793)	(20, 0.005916137309089879)	(22, 0.006412657299202452)	(24, 0.0070732321398492976)	(26, 0.007647424116719248)	(28, 0.008668774447257832)	(30, 0.011753876725004088)	(32, 0.014732270759261238)	(34, 0.01637935242236859)	(36, 0.016637775107280983)	(38, 0.0169259599553434)	(40, 0.017300527667182708)	(42, 0.017580001638225606)	(44, 0.01809466928879551)	(46, 0.0182783236126237)	(48, 0.01864853588595325)	(50, 0.019073917047073084)	(52, 0.019463002887278258)	(54, 0.019713440601589426)	(56, 0.020019047203690882)	(58, 0.020315942928772812)	(60, 0.020652763506860877)	(62, 0.02103967162781117)	(64, 0.02153111027299569)	(66, 0.022130708974505905)	(68, 0.022834112293832053)	(70, 0.023594862220203364)	(72, 0.024566850914298007)	(74, 0.025727575277148893)	(76, 0.027192454429264643)	(78, 0.02892737076898548)	(80, 0.031035403007709038)	(82, 0.03374085622868793)	(84, 0.03698493201204041)	(86, 0.040952736494431236)	(88, 0.04589543329658989)	(90, 0.051644612129472314)	(92, 0.05842530398274944)	(94, 0.0666411128249923)	(96, 0.07625501742886792)	(98, 0.08740494001385203)	(100, 0.1002128328582179)	(102, 0.11536104799516117)	(104, 0.13310800810959422)	(106, 0.1530268802275606)	(108, 0.1759357608824769)	(110, 0.2020458888420663)	(112, 0.23080194569633458)	(114, 0.2634256319472692)	(116, 0.3002973225580559)	(118, 0.3404188962035414)	(120, 0.3848167845591923)	(122, 0.4342401230486873)	(124, 0.4881372227941235)	(126, 0.5467657805739952)	(128, 0.6105054454450694)	(130, 0.680249082301847)	(132, 0.7561433242408231)	(134, 0.8380952552404564)	(136, 0.927425299075622)	(138, 0.9991259796361183)
WT_Cd0_Rep1_R1 - illumina_universal_adapter	(1, 0.0010168102562099295)	(2, 0.0010517156829156437)	(3, 0.0010972445003578793)	(4, 0.001215619425707692)	(5, 0.0012687363793903003)	(6, 0.0013688997777632187)	(7, 0.0014690631761361372)	(8, 0.0016208259009435893)	(9, 0.0017118835358280605)	(10, 0.0020070620355785553)	(12, 0.00217475984649079)	(14, 0.002366739693372217)	(16, 0.00252381411354793)	(18, 0.002717311587677431)	(20, 0.003019319410044261)	(22, 0.0033926557130705935)	(24, 0.003687834212821088)	(26, 0.0041863747638135685)	(28, 0.00546042283857213)	(30, 0.006774688035404665)	(32, 0.007956919661654717)	(34, 0.009434329787655266)	(36, 0.011209194854278418)	(38, 0.011705458964398787)	(40, 0.011883021352423506)	(42, 0.012065136622192447)	(44, 0.012420261398241886)	(46, 0.012548500900704184)	(48, 0.012768556851674988)	(50, 0.012907419744873808)	(52, 0.013025035856599584)	(54, 0.0131699692587907)	(56, 0.013361949105672129)	(58, 0.01357138166590641)	(60, 0.01383165473895119)	(62, 0.014099515948236345)	(64, 0.014423529365700256)	(66, 0.014866676522138016)	(68, 0.015400881313460247)	(70, 0.01603145543503521)	(72, 0.01679330431356862)	(74, 0.0176849103218124)	(76, 0.01877987838129817)	(78, 0.020035714929079837)	(80, 0.021611770826205228)	(82, 0.023460240814359996)	(84, 0.025673700155676688)	(86, 0.028420605474691572)	(88, 0.03168805693979601)	(90, 0.03559898235808406)	(92, 0.04031273259060353)	(94, 0.04572535017086131)	(96, 0.05220637733376355)	(98, 0.05967082695341809)	(100, 0.068079999534999)	(102, 0.07762739255263582)	(104, 0.0886666131551299)	(106, 0.10122042575120234)	(108, 0.11555745036376236)	(110, 0.13138933781567574)	(112, 0.14892552066717685)	(114, 0.16890053050633372)	(116, 0.19120661579853304)	(118, 0.21602892706803992)	(120, 0.24336974075572645)	(122, 0.27399014692650203)	(124, 0.3072019016233649)	(126, 0.3435080982790517)	(128, 0.38319253318895236)	(130, 0.4267681643629161)	(132, 0.4746257808173221)	(134, 0.5266682544082937)	(136, 0.5834586248448662)	(138, 0.6292674445143717)
WT_Cd0_Rep1_R2 - illumina_universal_adapter	(1, 0.0001532803520555267)	(2, 0.0003050430768629789)	(3, 0.0005008169918645922)	(4, 0.0013355119783055793)	(5, 0.001434157749430423)	(6, 0.00191979846881427)	(7, 0.002702894128820723)	(8, 0.004694021078294496)	(9, 0.00485640719383847)	(10, 0.005278307568803186)	(12, 0.005549204032584489)	(14, 0.006261730025555477)	(16, 0.007146506711182924)	(18, 0.008249821720533101)	(20, 0.00933871927102657)	(22, 0.010109673913048428)	(24, 0.011073367215575749)	(26, 0.011949796951338784)	(28, 0.013625257433213057)	(30, 0.018792019399282767)	(32, 0.023344142329882293)	(34, 0.025703293887014138)	(36, 0.026014407472869414)	(38, 0.02640140242112842)	(40, 0.026862002290919035)	(42, 0.027117722482219594)	(44, 0.027629921678444747)	(46, 0.0278469423749194)	(48, 0.028216484609825544)	(50, 0.02867329041149598)	(52, 0.029109608245317404)	(54, 0.029357740300377588)	(56, 0.029643813036639634)	(58, 0.029881321700963297)	(60, 0.030183329523330128)	(62, 0.030529348535891117)	(64, 0.030898890770797265)	(66, 0.03141640166239068)	(68, 0.031982476625922476)	(70, 0.032630503460850294)	(72, 0.033417393188976935)	(74, 0.03432038140158128)	(76, 0.035444184378780455)	(78, 0.03673037347152361)	(80, 0.03832995259099416)	(82, 0.040207257496862346)	(84, 0.04243134022891555)	(86, 0.04519569826128329)	(88, 0.04846922023538004)	(90, 0.05241125701225361)	(92, 0.05715156572161438)	(94, 0.06258239482884906)	(96, 0.0690307930059177)	(98, 0.07650358957543665)	(100, 0.08490820927527334)	(102, 0.09445104941116594)	(104, 0.10556691018968778)	(106, 0.11817156329857072)	(108, 0.1325328699470999)	(110, 0.14838145129874214)	(112, 0.16591156364125093)	(114, 0.18584635635833383)	(116, 0.20815623571865333)	(118, 0.23298158224265636)	(120, 0.2602328559227065)	(122, 0.2904753729087115)	(124, 0.32358013488458515)	(126, 0.35981348543236435)	(128, 0.3994205213526132)	(130, 0.4428853657374675)	(132, 0.4905737667537132)	(134, 0.5423848021893534)	(136, 0.5990750092275531)	(138, 0.6448610644883374)
WT_Cd0_Rep2_R1 - illumina_universal_adapter	(1, 0.002487731268254432)	(2, 0.002510016461133656)	(3, 0.0025440307028966823)	(4, 0.0026343443793019586)	(5, 0.0026671857161766044)	(6, 0.0027234851508188547)	(7, 0.002797378158786808)	(8, 0.002922878981843491)	(9, 0.003010846848472007)	(10, 0.0032254884430455858)	(12, 0.0034055293434119486)	(14, 0.00368819942151158)	(16, 0.004006056646262617)	(18, 0.004437685645186536)	(20, 0.005134977601328573)	(22, 0.006313747014150687)	(24, 0.007409240179897806)	(26, 0.008615572857596857)	(28, 0.011073395051197591)	(30, 0.013851420279326126)	(32, 0.015217268021844884)	(34, 0.016373752241787776)	(36, 0.017108577154357978)	(38, 0.017970075794873246)	(40, 0.018994608214873362)	(42, 0.01975640993987631)	(44, 0.020429657345806554)	(46, 0.02091758577937272)	(48, 0.02136563544673396)	(50, 0.021940945294484454)	(52, 0.024519576691588354)	(54, 0.033650641247628316)	(56, 0.034950219863953594)	(58, 0.03555543878635778)	(60, 0.03617766482964348)	(62, 0.03673010303207056)	(64, 0.03743971048954059)	(66, 0.038280683294509205)	(68, 0.03930286990473256)	(70, 0.04049395481888267)	(72, 0.04189557616049702)	(74, 0.04381034339077772)	(76, 0.046207760982626876)	(78, 0.04899692880719502)	(80, 0.05238017295772775)	(82, 0.05672109394962291)	(84, 0.06205898409664126)	(86, 0.06849588612407187)	(88, 0.07614498535364343)	(90, 0.08529716219767425)	(92, 0.09628904035912941)	(94, 0.10930359300059625)	(96, 0.12470148837525168)	(98, 0.1427847494918536)	(100, 0.16317218226167848)	(102, 0.1865317560186588)	(104, 0.21267815179043054)	(106, 0.24205179536258037)	(108, 0.27539982714900657)	(110, 0.3134594178720561)	(112, 0.3551819905615171)	(114, 0.4017515927022093)	(116, 0.45435285823139665)	(118, 0.5125459478159368)	(120, 0.5757672806569628)	(122, 0.6463485916725746)	(124, 0.721268477870305)	(126, 0.8021496531632277)	(128, 0.8894759408177997)	(130, 0.9847105396822753)	(132, 1.0875056834572498)	(134, 1.1979311599835816)	(136, 1.3161329959198742)	(138, 1.4119886479227473)
WT_Cd0_Rep2_R2 - illumina_universal_adapter	(1, 9.85240106239379e-05)	(2, 0.00018062735281055282)	(3, 0.0002873616976531522)	(4, 0.0007752901312193209)	(5, 0.0008421457098569929)	(6, 0.001122469978179864)	(7, 0.0015670009308759647)	(8, 0.0026495921428509013)	(9, 0.002780957490349485)	(10, 0.003023748802244189)	(12, 0.0032184510137153047)	(14, 0.003655944537081124)	(16, 0.004248261505713132)	(18, 0.0050182735649347415)	(20, 0.005641086060664635)	(22, 0.0061512996871100276)	(24, 0.006781736064614392)	(26, 0.007357632364809076)	(28, 0.008461922317219046)	(30, 0.011514407289228552)	(32, 0.01409948966321854)	(34, 0.01546709676306987)	(36, 0.015702264193190103)	(38, 0.015997836225061915)	(40, 0.016315693449812957)	(42, 0.016495147897735124)	(44, 0.016726210160746026)	(46, 0.016941438207763795)	(48, 0.017197131473430684)	(50, 0.01755252165460989)	(52, 0.017963624817987155)	(54, 0.01827972268540562)	(56, 0.018581159241719335)	(58, 0.018955902353556812)	(60, 0.01936935132671084)	(62, 0.019845550711393205)	(64, 0.020484783875560422)	(66, 0.02125303657744946)	(68, 0.022166143033053455)	(70, 0.023268087175686666)	(72, 0.0246057852008843)	(74, 0.02642847939742715)	(76, 0.028651134160907657)	(78, 0.031398077409494116)	(80, 0.03476607379647789)	(82, 0.03907180764172166)	(84, 0.04432759444655339)	(86, 0.05069764089534633)	(88, 0.05829571876227335)	(90, 0.06743147493786683)	(92, 0.078411037597994)	(94, 0.0913751553292605)	(96, 0.10665869247729887)	(98, 0.1245824385290811)	(100, 0.14474467356033696)	(102, 0.16786907988719704)	(104, 0.19390287678968426)	(106, 0.22298798575929257)	(108, 0.2561125791644824)	(110, 0.29387249268855076)	(112, 0.33524026164927667)	(114, 0.3814175271048057)	(116, 0.43357074296663184)	(118, 0.49126476152116616)	(120, 0.5538990554655578)	(122, 0.6236053794344382)	(124, 0.6977335548325119)	(126, 0.7779966092492582)	(128, 0.864473713764643)	(130, 0.9586110601060388)	(132, 1.060223915753526)	(134, 1.1694946674172475)	(136, 1.2865570262544788)	(138, 1.381496639539527)
