Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
PX_Cd0_Rep1_R1	0.2785325298443084	1.2021835811421455
PX_Cd0_Rep1_R2	0.12601294015571995	0.3488389640311666
PX_Cd0_Rep2_R1	0.25904379052278786	1.0905187786726371
PX_Cd0_Rep2_R2	0.11844372593316865	0.32290957713315627
PX_Cd0_Rep3_R1	0.31642551135969504	1.3307476159563638
PX_Cd0_Rep3_R2	0.1269711952493432	0.5484135881435208
WT_Cd0_Rep1_R1	0.3139561016909206	1.3399935315691431
WT_Cd0_Rep1_R2	0.12702236540934134	0.8503660054046046
WT_Cd0_Rep2_R1	0.28994326131247705	1.7556978693185732
WT_Cd0_Rep2_R2	0.13576491373489805	0.9376823317302264
WT_Cd0_Rep3_R1	0.3015569339279482	1.9906813929365434
WT_Cd0_Rep3_R2	0.15138188763288998	1.1354082768681368
