Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PX_Cd0_Rep1_R1	(1, 0.0021220728521511648)	(2, 0.021485359548062462)	(3, 0.0)	(4, 0.0020333042166626)	(5, 0.0)	(6, 0.00010886719446710789)	(7, 0.0)	(8, 0.0)	(9, 0.00756543257550656)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 3.0147838467814493e-06)	(30, 0.00013566527310516523)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00019964568585352708)	(65, 0.0)	(70, 5.895577300372612e-05)	(75, 1.0049279489271497e-05)	(80, 9.044351540344349e-06)	(85, 4.689663761660033e-06)	(90, 1.0049279489271497e-05)	(95, 0.00023950782782763735)	(100, 5.996070095265327e-05)	(105, 6.699519659514332e-07)	(110, 0.0)	(115, 0.0001775372709771298)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 4.1202045906013145e-05)	(145, 0.0)	(150, 0.0)
PX_Cd0_Rep1_R2	(1, 0.01371056698319608)	(2, 0.0005393113325909037)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 2.0098558978542997e-06)	(20, 3.0147838467814493e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0025019356168456274)	(40, 0.00371387872325177)	(45, 0.0003376557908395223)	(50, 7.905433198226911e-05)	(55, 0.00017251263123249405)	(60, 0.0)	(65, 4.019711795708599e-06)	(70, 8.374399574392916e-06)	(75, 8.039423591417198e-05)	(80, 1.6748799148785828e-06)	(85, 3.6847358127328826e-05)	(90, 0.00012461106566696658)	(95, 1.8423679063664413e-05)	(100, 0.0002586014588572532)	(105, 0.0014022094647363496)	(110, 2.0098558978542997e-06)	(115, 2.8472958552935913e-05)	(120, 0.00032827646331620226)	(125, 0.000483370343433959)	(130, 0.0005440009963525637)	(135, 0.0005654394592630096)	(140, 5.4601085225041814e-05)	(145, 0.00010283762677354499)	(150, 0.0010015781890973926)
PX_Cd0_Rep2_R1	(1, 0.0031055787975539147)	(2, 0.05179656048240696)	(3, 0.0019532244943788702)	(4, 3.2099005659471986e-06)	(5, 0.0)	(6, 0.00016370492886330713)	(7, 0.0)	(8, 0.003625582689237361)	(9, 0.0)	(10, 0.0009571923487654546)	(15, 0.0002529401645966392)	(20, 0.0)	(25, 0.0009790196726138956)	(30, 1.8296433225899032e-05)	(35, 1.2839602263788794e-06)	(40, 0.0001229391916757777)	(45, 0.0)	(50, 0.0008104998929016675)	(55, 1.5086532659951834e-05)	(60, 0.0025820440152479265)	(65, 0.0006933385222445948)	(70, 0.0)	(75, 0.0006933385222445948)	(80, 0.0)	(85, 0.0013006517093218047)	(90, 0.00681237197110974)	(95, 0.002034755968753929)	(100, 9.629701697841594e-07)	(105, 0.004516972076400898)	(110, 0.0037985963297419143)	(115, 0.004242204587955818)	(120, 1.2839602263788794e-06)	(125, 1.2197622150599355e-05)	(130, 0.00753331563822148)	(135, 0.0012984047789256418)	(140, 0.0005598066587011914)	(145, 0.006131552061072338)	(150, 0.0009244513629927931)
PX_Cd0_Rep2_R2	(1, 0.010133656086695305)	(2, 0.048021717416853064)	(3, 0.006381282325103032)	(4, 0.0)	(5, 0.0012422315190215659)	(6, 0.002203596738522752)	(7, 3.2099005659471986e-06)	(8, 0.0381833721822249)	(9, 0.0011603790545899122)	(10, 0.004935222120143818)	(15, 0.0022722886106340216)	(20, 0.0035366684435606233)	(25, 0.0009218834425400355)	(30, 0.0015327275202397872)	(35, 0.0014312946623558558)	(40, 0.0002250140296728986)	(45, 0.0010778846100450692)	(50, 0.005148359517722712)	(55, 0.0048922094525601255)	(60, 0.0016701112644623272)	(65, 0.011177515750741334)	(70, 0.0036027923952191353)	(75, 0.009929185420644469)	(80, 0.014870506351863585)	(85, 0.0036419531821236914)	(90, 0.00154107326171125)	(95, 0.00015824809790119688)	(100, 0.002826959428429698)	(105, 0.00977222128296965)	(110, 0.0024090303747433726)	(115, 0.0005713623007386013)	(120, 0.0003890399485928005)	(125, 7.703761358273275e-06)	(130, 0.007512772274599419)	(135, 7.414870307338029e-05)	(140, 0.0)	(145, 0.006172638788316464)	(150, 0.0)
PX_Cd0_Rep3_R1	(1, 0.013522184759966414)	(2, 0.009545669400556062)	(3, 0.01226346303064594)	(4, 0.0)	(5, 0.0)	(6, 0.00014808490933182028)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00010772451247471631)	(15, 0.0001094666878786201)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 8.710877019518841e-07)	(40, 1.9744654577576037e-05)	(45, 1.0743414990739903e-05)	(50, 5.516888779028598e-06)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 1.1614502692691787e-06)	(75, 1.5098853500499322e-05)	(80, 0.0)	(85, 0.0008432128954894236)	(90, 1.1033777558057196e-05)	(95, 0.00014314874568742628)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 5.516888779028598e-06)	(120, 2.613263105855652e-06)	(125, 0.0)	(130, 0.00011353176382106222)	(135, 0.0)	(140, 4.065075942442125e-06)	(145, 0.0)	(150, 0.0)
PX_Cd0_Rep3_R2	(1, 0.09416167695532549)	(2, 0.010394979909959148)	(3, 0.0020572187894430326)	(4, 0.0)	(5, 0.0)	(6, 0.007267775059951885)	(7, 6.533157764639129e-05)	(8, 1.742175403903768e-05)	(9, 0.00242888287560917)	(10, 8.856058303177487e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.00047387170986182487)	(40, 0.0050186266135121204)	(45, 0.0)	(50, 0.0)	(55, 0.00017276572755379032)	(60, 9.059312100299593e-05)	(65, 0.0)	(70, 5.807251346345894e-07)	(75, 0.0)	(80, 0.00017073318958256924)	(85, 2.3229005385383575e-06)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00014837527189913758)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 7.57846300698139e-05)	(130, 0.00017073318958256924)	(135, 0.0)	(140, 0.0)	(145, 9.001239586836135e-06)	(150, 0.0)
WT_Cd0_Rep1_R1	(1, 0.013268615029915545)	(2, 0.00953828725414837)	(3, 0.012318580372620893)	(4, 0.0)	(5, 0.0)	(6, 0.0001305159433344089)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00010077044927214824)	(15, 0.00010289512741945259)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 6.070508992298088e-07)	(40, 1.4569221581515408e-05)	(45, 1.0623390736521653e-05)	(50, 5.766983542683183e-06)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 2.428203596919235e-06)	(75, 1.730095062804955e-05)	(80, 0.0)	(85, 0.0008483536316736578)	(90, 7.891661689987514e-06)	(95, 0.00012687363793903003)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 4.249356294608661e-06)	(120, 3.035254496149044e-06)	(125, 0.0)	(130, 0.00010653743281483142)	(135, 0.0)	(140, 6.070508992298088e-06)	(145, 0.0)	(150, 0.0)
WT_Cd0_Rep1_R2	(1, 0.09420519379697787)	(2, 0.010063386281982153)	(3, 0.00204727915765253)	(4, 0.0)	(5, 0.0)	(6, 0.007097942639244539)	(7, 6.677559891527895e-05)	(8, 2.4282035969192352e-05)	(9, 0.002211182900444578)	(10, 9.166468578370112e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0004625727852131142)	(40, 0.00488858089149765)	(45, 0.0)	(50, 0.0)	(55, 0.0001541909284043714)	(60, 9.591404207830978e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00015176272480745218)	(85, 1.2141017984596176e-06)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00013112299423363868)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 6.890027706258329e-05)	(130, 0.00016117201374551423)	(135, 0.0)	(140, 0.0)	(145, 7.5881362403726085e-06)	(150, 0.0)
WT_Cd0_Rep2_R1	(1, 0.017220589571198288)	(2, 0.016367887717345875)	(3, 0.011684478498043683)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.802848352605237e-06)	(15, 0.00026226153304181567)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 3.0026365142533455e-05)	(45, 0.00010391937311048688)	(50, 3.331049882999805e-05)	(55, 0.0)	(60, 0.0)	(65, 2.2754354834576133e-05)	(70, 0.00010063523942302228)	(75, 7.43621699233055e-05)	(80, 0.0)	(85, 0.0008329970517276273)	(90, 0.00013746445291816097)	(95, 0.0001778123810784403)	(100, 0.0)	(105, 1.2667372794506301e-05)	(110, 0.0)	(115, 2.838429829880116e-05)	(120, 2.5803907544364685e-06)	(125, 0.0)	(130, 9.828942964626185e-05)	(135, 0.0)	(140, 1.6420668437322983e-06)	(145, 0.0)	(150, 0.0)
WT_Cd0_Rep2_R2	(1, 0.09566329560117856)	(2, 0.017027060264615552)	(3, 0.002526437129570979)	(4, 4.691619553520852e-06)	(5, 0.0)	(6, 0.006595244187361939)	(7, 0.0005970085881855285)	(8, 2.3458097767604262e-05)	(9, 0.0020842519866516385)	(10, 0.00028783085960850426)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0007919453806343198)	(40, 0.0045839468847675485)	(45, 0.0)	(50, 0.0)	(55, 0.00039409604249575163)	(60, 5.348446291013772e-05)	(65, 1.172904888380213e-06)	(70, 3.706379447281473e-05)	(75, 0.0)	(80, 0.0002601503042427313)	(85, 8.679496174013577e-06)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00018226941965428513)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 5.747233953063044e-05)	(130, 0.00029815242262625017)	(135, 0.0)	(140, 0.0)	(145, 5.254613899943355e-05)	(150, 0.0)
WT_Cd0_Rep3_R1	(1, 0.017524313644624187)	(2, 0.01602831909536585)	(3, 0.011632647270957058)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.15860189399426e-06)	(15, 0.00026037364296528924)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 2.5521504107129502e-05)	(45, 0.00010045698425146718)	(50, 3.230913817817458e-05)	(55, 0.0)	(60, 0.0)	(65, 1.8190859310400814e-05)	(70, 0.00010045698425146718)	(75, 7.547849087002129e-05)	(80, 0.0)	(85, 0.0008218467333221384)	(90, 0.00014254031549194667)	(95, 0.0001884247218122114)	(100, 0.0)	(105, 1.2760752053564751e-05)	(110, 0.0)	(115, 2.986558991259835e-05)	(120, 2.715053628418032e-06)	(125, 0.0)	(130, 0.00010072848961430898)	(135, 0.0)	(140, 1.6290321770508191e-06)	(145, 0.0)	(150, 0.0)
WT_Cd0_Rep3_R2	(1, 0.09563640653421096)	(2, 0.017115698073547275)	(3, 0.002636317073193909)	(4, 9.502687699463112e-06)	(5, 0.0)	(6, 0.006938319547422281)	(7, 0.0006040994323230121)	(8, 2.307795584155327e-05)	(9, 0.0021408197860076183)	(10, 0.0003084300921882884)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0008508978071462112)	(40, 0.004675322348135851)	(45, 0.0)	(50, 0.0)	(55, 0.0004135026676080663)	(60, 5.511558865688605e-05)	(65, 1.0860214513672128e-06)	(70, 3.746774007216884e-05)	(75, 0.0)	(80, 0.00027747848082432285)	(85, 8.416666248095898e-06)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00019331181834336388)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 5.837365301098769e-05)	(130, 0.0003054435331970286)	(135, 0.0)	(140, 0.0)	(145, 5.5387094019727845e-05)	(150, 0.0)
