Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PX_Cd0_Rep1_R1	(1, 36.48456372887091)	(2, 36.45204796192824)	(3, 36.52918944705732)	(4, 36.55952735089788)	(5, 36.599425301804565)	(6, 36.60745435788931)	(7, 36.560513017727786)	(8, 36.58510069034698)	(9, 36.58750616962953)	(10, 36.6202988880154)	(15, 36.60364272982447)	(20, 36.58991466369592)	(25, 36.549263348453756)	(30, 36.52651200077419)	(35, 36.510099279679366)	(40, 36.4945835874196)	(45, 36.47613325096721)	(50, 36.463828799268704)	(55, 36.43518420572161)	(60, 36.4281122865623)	(65, 36.40516523251445)	(70, 36.392048979920254)	(75, 36.36560145364838)	(80, 36.34088891203201)	(85, 36.32461356458781)	(90, 36.30393457932451)	(95, 36.279785353419676)	(100, 36.251490555193044)	(105, 36.21630665764934)	(110, 36.21115140406941)	(115, 36.16662654380171)	(120, 36.133225606173795)	(125, 36.08682614661065)	(130, 36.042035154623996)	(135, 35.974528295613894)	(140, 35.9221360252718)	(145, 35.8383243811281)	(150, 35.78370089940884)
PX_Cd0_Rep1_R2	(1, 36.429534393600434)	(2, 36.411541058182095)	(3, 36.47801228534467)	(4, 36.440237445715674)	(5, 36.47872796153229)	(6, 36.478148151603364)	(7, 36.48068492472244)	(8, 36.508012499896786)	(9, 36.51868027904102)	(10, 36.519187419280215)	(15, 36.49837600461181)	(20, 36.482353939207854)	(25, 36.45191659774675)	(30, 36.42865515533984)	(35, 36.40655405298915)	(40, 36.382819557499076)	(45, 36.35812236448224)	(50, 36.32181498093995)	(55, 36.29850705391588)	(60, 36.263291487742734)	(65, 36.23897230507341)	(70, 36.20893519291677)	(75, 36.181321156331066)	(80, 36.14713341706504)	(85, 36.11833153554515)	(90, 36.08195742478704)	(95, 36.03306933820286)	(100, 36.00676690007849)	(105, 35.963121552751694)	(110, 35.934940264486656)	(115, 35.8526433214423)	(120, 35.84255197901884)	(125, 35.78262372718966)	(130, 35.66091741580835)	(135, 35.60561929245937)	(140, 35.51058665633556)	(145, 35.40662891007206)	(150, 35.325441595069876)
PX_Cd0_Rep2_R1	(1, 36.3494824661268)	(2, 36.30276647206217)	(3, 36.315124781835095)	(4, 36.34448123240152)	(5, 36.3855620213296)	(6, 36.36338789982401)	(7, 36.321667185119104)	(8, 36.33639133605467)	(9, 36.35963847917094)	(10, 36.383767513578604)	(15, 36.3580405072118)	(20, 36.34522321375694)	(25, 36.28905235485849)	(30, 36.27135923849346)	(35, 36.25251939799085)	(40, 36.22924988828744)	(45, 36.21987213489491)	(50, 36.20602117321032)	(55, 36.182517947436786)	(60, 36.1786987210761)	(65, 36.164312132913764)	(70, 36.148846536676174)	(75, 36.12025185650217)	(80, 36.09689556713695)	(85, 36.069681991620044)	(90, 36.05527868308565)	(95, 36.024369170278895)	(100, 35.99315324036412)	(105, 35.96015260894459)	(110, 35.953827063332916)	(115, 35.9308309569102)	(120, 35.89287031330844)	(125, 35.86530646060218)	(130, 35.79621722527015)	(135, 35.755399102505386)	(140, 35.7318359639378)	(145, 35.68531015648169)	(150, 35.639312172235044)
PX_Cd0_Rep2_R2	(1, 36.25510026718249)	(2, 36.18322476754141)	(3, 36.238849246795226)	(4, 36.204988615606155)	(5, 36.288299755151996)	(6, 36.25075481614283)	(7, 36.28594192269128)	(8, 36.31653087877801)	(9, 36.314406052999374)	(10, 36.32164498865669)	(15, 36.309259619421994)	(20, 36.29253253547189)	(25, 36.263371359206396)	(30, 36.23273583388225)	(35, 36.222493862910866)	(40, 36.20322308362756)	(45, 36.184788159241755)	(50, 36.15415438010352)	(55, 36.135133453060476)	(60, 36.11653167483335)	(65, 36.08683428146841)	(70, 36.0705353051667)	(75, 36.047585950945724)	(80, 36.02486352064526)	(85, 35.98881991632881)	(90, 35.95138100675514)	(95, 35.910007404277636)	(100, 35.90038094457937)	(105, 35.84882702369064)	(110, 35.80917942005635)	(115, 35.78857468634537)	(120, 35.757460542377544)	(125, 35.71506438755595)	(130, 35.62545063713797)	(135, 35.571357925644136)	(140, 35.47829838548743)	(145, 35.41906760541707)	(150, 35.350630342618686)
PX_Cd0_Rep3_R1	(1, 36.48482560867761)	(2, 36.504838950256854)	(3, 36.531788196999734)	(4, 36.56392397251068)	(5, 36.57496303466746)	(6, 36.58316240898839)	(7, 36.54868060556043)	(8, 36.56779987724051)	(9, 36.577139215000734)	(10, 36.589483064908144)	(15, 36.57349941278526)	(20, 36.555882671571396)	(25, 36.514631918552375)	(30, 36.49291317598838)	(35, 36.47866889146337)	(40, 36.465183858593896)	(45, 36.44878096067093)	(50, 36.43571451738214)	(55, 36.41128901786924)	(60, 36.40419875306118)	(65, 36.38873625528863)	(70, 36.38026351041782)	(75, 36.34703224049477)	(80, 36.32310560419789)	(85, 36.31273148393477)	(90, 36.28489954660175)	(95, 36.26242396529517)	(100, 36.23648689632933)	(105, 36.21560469993627)	(110, 36.17613086129872)	(115, 36.15290567418109)	(120, 36.10425988599611)	(125, 36.077378552154094)	(130, 36.02314781130069)	(135, 35.99688240615097)	(140, 35.91473736662232)	(145, 35.86147279850077)	(150, 35.824361425205176)
PX_Cd0_Rep3_R2	(1, 36.42181565397446)	(2, 36.4367048366651)	(3, 36.47948762679444)	(4, 36.472436534800345)	(5, 36.528028277597414)	(6, 36.49003317421368)	(7, 36.52046309867789)	(8, 36.53836951139616)	(9, 36.53931558523113)	(10, 36.54238615776601)	(15, 36.52583109243602)	(20, 36.514124637725516)	(25, 36.492332404395725)	(30, 36.46367873518995)	(35, 36.449024984276136)	(40, 36.43594102631727)	(45, 36.41077548263267)	(50, 36.38922600402367)	(55, 36.370580124955204)	(60, 36.347442720248935)	(65, 36.35023304644834)	(70, 36.321567576907825)	(75, 36.30665403860503)	(80, 36.26203070113762)	(85, 36.23325382528727)	(90, 36.20655938331172)	(95, 36.17756623961399)	(100, 36.13563954576725)	(105, 36.10031701204374)	(110, 36.05471163643378)	(115, 36.02082917618826)	(120, 35.99472651635391)	(125, 35.93655638009169)	(130, 35.86942373280186)	(135, 35.81020636038623)	(140, 35.77475389231748)	(145, 35.66043811181752)	(150, 35.64027716152356)
WT_Cd0_Rep1_R1	(1, 36.46862335258337)	(2, 36.48263973291096)	(3, 36.514416115756596)	(4, 36.542668188725386)	(5, 36.55471426394934)	(6, 36.56134043698225)	(7, 36.52830427175799)	(8, 36.54721041672633)	(9, 36.55497790615488)	(10, 36.56871085441761)	(15, 36.54692151816813)	(20, 36.53339239028006)	(25, 36.48991224821255)	(30, 36.4663155787791)	(35, 36.453656558191675)	(40, 36.43760745578701)	(45, 36.42173727859962)	(50, 36.40862474242641)	(55, 36.38033016375365)	(60, 36.37361549484065)	(65, 36.35787756065641)	(70, 36.35053572924789)	(75, 36.3155926137871)	(80, 36.2935582839357)	(85, 36.281796014112906)	(90, 36.25479483629757)	(95, 36.22679387903901)	(100, 36.20486749194326)	(105, 36.18499387174529)	(110, 36.14669028337485)	(115, 36.124773821561305)	(120, 36.07564121610325)	(125, 36.04904397906203)	(130, 35.99527069105294)	(135, 35.96632641008477)	(140, 35.8856045027272)	(145, 35.82983242375103)	(150, 35.79451956876379)
WT_Cd0_Rep1_R2	(1, 36.36888326597876)	(2, 36.352602084980056)	(3, 36.39432578597574)	(4, 36.37156515614647)	(5, 36.42349025644607)	(6, 36.38576700570004)	(7, 36.4056764995709)	(8, 36.42888715140804)	(9, 36.416644406869004)	(10, 36.431646325225735)	(15, 36.41202083708283)	(20, 36.39908006596154)	(25, 36.375282171296014)	(30, 36.343071103583476)	(35, 36.32491729500608)	(40, 36.3091686706555)	(45, 36.281351704453996)	(50, 36.25560590486301)	(55, 36.23444715791138)	(60, 36.208700059231475)	(65, 36.21230600227799)	(70, 36.17685312493033)	(75, 36.159415757824206)	(80, 36.10731455205873)	(85, 36.07718588139837)	(90, 36.046404175733166)	(95, 36.01344077770018)	(100, 35.96495493034068)	(105, 35.92315897814697)	(110, 35.87154395337619)	(115, 35.831715192115)	(120, 35.804390307442894)	(125, 35.74117436090781)	(130, 35.66327797196071)	(135, 35.59699887087015)	(140, 35.55936716036447)	(145, 35.43436619249769)	(150, 35.418849974548635)
WT_Cd0_Rep2_R1	(1, 36.484075007033034)	(2, 36.51162955722665)	(3, 36.54980546492747)	(4, 36.58635186759593)	(5, 36.605883900830655)	(6, 36.60007311889074)	(7, 36.559860332831704)	(8, 36.58061603427838)	(9, 36.586429044737585)	(10, 36.60482188940786)	(15, 36.58442038412518)	(20, 36.57167700709391)	(25, 36.52991397387741)	(30, 36.50611691128869)	(35, 36.49179147791939)	(40, 36.47531351542408)	(45, 36.45557407741794)	(50, 36.44133183350076)	(55, 36.41961058736672)	(60, 36.41491476412209)	(65, 36.39465517563928)	(70, 36.37355963673025)	(75, 36.340677130894015)	(80, 36.32334854258651)	(85, 36.31194857562723)	(90, 36.279294403877245)	(95, 36.26699234403928)	(100, 36.23201777466984)	(105, 36.211715785675324)	(110, 36.17627120985902)	(115, 36.14031994147674)	(120, 36.08747380155658)	(125, 36.062231121963876)	(130, 36.02101027341528)	(135, 35.9685440256594)	(140, 35.90645596525057)	(145, 35.83212863763989)	(150, 35.784756552741044)
WT_Cd0_Rep2_R2	(1, 36.36056728952413)	(2, 36.34518396162818)	(3, 36.379173724866185)	(4, 36.3731755830994)	(5, 36.43213805137452)	(6, 36.39020403912083)	(7, 36.391454519938534)	(8, 36.42811308750146)	(9, 36.42553420979433)	(10, 36.44250628427778)	(15, 36.42392008858247)	(20, 36.41041434214023)	(25, 36.38001250668482)	(30, 36.34674465467657)	(35, 36.33415814194507)	(40, 36.30934680516249)	(45, 36.28486634015731)	(50, 36.269006202966146)	(55, 36.2532988155244)	(60, 36.2324663028824)	(65, 36.22823881352226)	(70, 36.19121747586059)	(75, 36.16787002524853)	(80, 36.12125606149916)	(85, 36.092107545291285)	(90, 36.06769013096128)	(95, 36.036495510325345)	(100, 36.00614966465769)	(105, 35.94282533434681)	(110, 35.88735542730362)	(115, 35.84322283064057)	(120, 35.78940509853545)	(125, 35.73426972273291)	(130, 35.6607713738018)	(135, 35.586933311736246)	(140, 35.53642423172237)	(145, 35.42853883086365)	(150, 35.33551094463942)
