Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
PX_Cd0_Rep1_R1	(14.0, 6.0)	(15.0, 39.0)	(16.0, 124.0)	(17.0, 315.0)	(18.0, 821.0)	(19.0, 1937.0)	(20.0, 3682.0)	(21.0, 4547.0)	(22.0, 5077.0)	(23.0, 7675.0)	(24.0, 15854.0)	(25.0, 31310.0)	(26.0, 61979.0)	(27.0, 115536.0)	(28.0, 197622.0)	(29.0, 310879.0)	(30.0, 446667.0)	(31.0, 602411.0)	(32.0, 794606.0)	(33.0, 1058798.0)	(34.0, 1584526.0)	(35.0, 3349730.0)	(36.0, 40289312.0)	(37.0, 10822320.0)			
PX_Cd0_Rep1_R2	(11.0, 3.0)	(12.0, 216.0)	(13.0, 677.0)	(14.0, 854.0)	(15.0, 793.0)	(16.0, 814.0)	(17.0, 1032.0)	(18.0, 1780.0)	(19.0, 2797.0)	(20.0, 4613.0)	(21.0, 8355.0)	(22.0, 15643.0)	(23.0, 29152.0)	(24.0, 48768.0)	(25.0, 74472.0)	(26.0, 104348.0)	(27.0, 144324.0)	(28.0, 198790.0)	(29.0, 276492.0)	(30.0, 381844.0)	(31.0, 537620.0)	(32.0, 783443.0)	(33.0, 1217137.0)	(34.0, 2258661.0)	(35.0, 6368549.0)	(36.0, 42130586.0)	(37.0, 5114010.0)
PX_Cd0_Rep2_R1	(13.0, 1.0)	(14.0, 2.0)	(15.0, 18.0)	(16.0, 100.0)	(17.0, 196.0)	(18.0, 549.0)	(19.0, 1391.0)	(20.0, 3113.0)	(21.0, 5393.0)	(22.0, 7577.0)	(23.0, 12862.0)	(24.0, 27987.0)	(25.0, 57849.0)	(26.0, 111039.0)	(27.0, 196972.0)	(28.0, 315703.0)	(29.0, 467026.0)	(30.0, 638243.0)	(31.0, 839506.0)	(32.0, 1079933.0)	(33.0, 1420681.0)	(34.0, 2098135.0)	(35.0, 4648717.0)	(36.0, 45668707.0)	(37.0, 4705526.0)		
PX_Cd0_Rep2_R2	(12.0, 98.0)	(13.0, 716.0)	(14.0, 1266.0)	(15.0, 1298.0)	(16.0, 1378.0)	(17.0, 1553.0)	(18.0, 1979.0)	(19.0, 2882.0)	(20.0, 5371.0)	(21.0, 10874.0)	(22.0, 22533.0)	(23.0, 40510.0)	(24.0, 63509.0)	(25.0, 86969.0)	(26.0, 112939.0)	(27.0, 150169.0)	(28.0, 204087.0)	(29.0, 284328.0)	(30.0, 396963.0)	(31.0, 571154.0)	(32.0, 844487.0)	(33.0, 1335020.0)	(34.0, 2590159.0)	(35.0, 9030955.0)	(36.0, 44161300.0)	(37.0, 2384729.0)	
PX_Cd0_Rep3_R1	(13.0, 1.0)	(14.0, 11.0)	(15.0, 76.0)	(16.0, 206.0)	(17.0, 484.0)	(18.0, 1077.0)	(19.0, 2707.0)	(20.0, 4792.0)	(21.0, 6062.0)	(22.0, 7751.0)	(23.0, 13776.0)	(24.0, 29146.0)	(25.0, 56224.0)	(26.0, 100729.0)	(27.0, 167500.0)	(28.0, 261972.0)	(29.0, 384855.0)	(30.0, 527692.0)	(31.0, 691426.0)	(32.0, 884882.0)	(33.0, 1160693.0)	(34.0, 1734109.0)	(35.0, 3715862.0)	(36.0, 47458869.0)	(37.0, 11668500.0)		
PX_Cd0_Rep3_R2	(11.0, 14.0)	(12.0, 277.0)	(13.0, 1212.0)	(14.0, 1581.0)	(15.0, 1445.0)	(16.0, 1329.0)	(17.0, 1585.0)	(18.0, 2278.0)	(19.0, 4154.0)	(20.0, 8086.0)	(21.0, 15027.0)	(22.0, 26430.0)	(23.0, 43748.0)	(24.0, 66357.0)	(25.0, 90539.0)	(26.0, 114709.0)	(27.0, 146116.0)	(28.0, 190457.0)	(29.0, 254555.0)	(30.0, 343012.0)	(31.0, 474647.0)	(32.0, 681693.0)	(33.0, 1051932.0)	(34.0, 1959712.0)	(35.0, 5846546.0)	(36.0, 51657129.0)	(37.0, 5894832.0)
WT_Cd0_Rep1_R1	(14.0, 19.0)	(15.0, 95.0)	(16.0, 223.0)	(17.0, 508.0)	(18.0, 1102.0)	(19.0, 2499.0)	(20.0, 4375.0)	(21.0, 5484.0)	(22.0, 7420.0)	(23.0, 13750.0)	(24.0, 30653.0)	(25.0, 60113.0)	(26.0, 108222.0)	(27.0, 180855.0)	(28.0, 276345.0)	(29.0, 397145.0)	(30.0, 531945.0)	(31.0, 686057.0)	(32.0, 870017.0)	(33.0, 1138272.0)	(34.0, 1686036.0)	(35.0, 3629185.0)	(36.0, 45762867.0)	(37.0, 10499146.0)			
WT_Cd0_Rep1_R2	(11.0, 21.0)	(12.0, 631.0)	(13.0, 1872.0)	(14.0, 2111.0)	(15.0, 1787.0)	(16.0, 1657.0)	(17.0, 1847.0)	(18.0, 2770.0)	(19.0, 5269.0)	(20.0, 9937.0)	(21.0, 18401.0)	(22.0, 32836.0)	(23.0, 54749.0)	(24.0, 83068.0)	(25.0, 113618.0)	(26.0, 146026.0)	(27.0, 186422.0)	(28.0, 240122.0)	(29.0, 315141.0)	(30.0, 412485.0)	(31.0, 558038.0)	(32.0, 785701.0)	(33.0, 1199784.0)	(34.0, 2266223.0)	(35.0, 7174974.0)	(36.0, 48601196.0)	(37.0, 3675647.0)
WT_Cd0_Rep2_R1	(14.0, 16.0)	(15.0, 80.0)	(16.0, 240.0)	(17.0, 666.0)	(18.0, 1669.0)	(19.0, 3619.0)	(20.0, 6292.0)	(21.0, 7964.0)	(22.0, 9839.0)	(23.0, 17283.0)	(24.0, 37478.0)	(25.0, 73514.0)	(26.0, 132709.0)	(27.0, 217575.0)	(28.0, 329901.0)	(29.0, 475802.0)	(30.0, 648687.0)	(31.0, 842369.0)	(32.0, 1081822.0)	(33.0, 1433002.0)	(34.0, 2186503.0)	(35.0, 4621626.0)	(36.0, 57947308.0)	(37.0, 15182441.0)			
WT_Cd0_Rep2_R2	(11.0, 21.0)	(12.0, 683.0)	(13.0, 2101.0)	(14.0, 2264.0)	(15.0, 1906.0)	(16.0, 1710.0)	(17.0, 2109.0)	(18.0, 3305.0)	(19.0, 6381.0)	(20.0, 12258.0)	(21.0, 22713.0)	(22.0, 39787.0)	(23.0, 68027.0)	(24.0, 106893.0)	(25.0, 148244.0)	(26.0, 189407.0)	(27.0, 238050.0)	(28.0, 305818.0)	(29.0, 401832.0)	(30.0, 529255.0)	(31.0, 723031.0)	(32.0, 1031174.0)	(33.0, 1567235.0)	(34.0, 2988371.0)	(35.0, 9359090.0)	(36.0, 61950321.0)	(37.0, 5556419.0)
WT_Cd0_Rep3_R1	(14.0, 17.0)	(15.0, 91.0)	(16.0, 236.0)	(17.0, 536.0)	(18.0, 1210.0)	(19.0, 2817.0)	(20.0, 5024.0)	(21.0, 6596.0)	(22.0, 8307.0)	(23.0, 13467.0)	(24.0, 28444.0)	(25.0, 54715.0)	(26.0, 97479.0)	(27.0, 162454.0)	(28.0, 253358.0)	(29.0, 376018.0)	(30.0, 519107.0)	(31.0, 681856.0)	(32.0, 880113.0)	(33.0, 1155648.0)	(34.0, 1736153.0)	(35.0, 3739600.0)	(36.0, 50256667.0)	(37.0, 13683457.0)			
WT_Cd0_Rep3_R2	(11.0, 5.0)	(12.0, 404.0)	(13.0, 1622.0)	(14.0, 1791.0)	(15.0, 1599.0)	(16.0, 1597.0)	(17.0, 1863.0)	(18.0, 2935.0)	(19.0, 5587.0)	(20.0, 10420.0)	(21.0, 18429.0)	(22.0, 31845.0)	(23.0, 52601.0)	(24.0, 82000.0)	(25.0, 115998.0)	(26.0, 148882.0)	(27.0, 190718.0)	(28.0, 246423.0)	(29.0, 326198.0)	(30.0, 429332.0)	(31.0, 583268.0)	(32.0, 827835.0)	(33.0, 1251112.0)	(34.0, 2350622.0)	(35.0, 7249011.0)	(36.0, 54124422.0)	(37.0, 5606851.0)
