Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PX_Cd0_Rep1_R1	(1.0, 10.818312040477347)	(2.0, 6.213615704600327)	(3.0, 4.112081498643035)	(4.0, 3.104824829078801)	(5.0, 2.3468421828064425)	(6.0, 1.961273727204063)	(7.0, 1.6764267016112915)	(8.0, 1.5005223530424312)	(9.0, 1.3263055552662906)	('>10', 17.635789797736706)	('>50', 6.2743173865122275)	('>100', 12.941433617879763)	('>500', 5.332582207071687)	('>1k', 11.25565514203419)	('>5k', 3.984044257847176)	('>10k+', 9.515972998188227)
PX_Cd0_Rep1_R2	(1.0, 10.97221012936373)	(2.0, 6.587401422564978)	(3.0, 4.828097624946371)	(4.0, 3.742671639208575)	(5.0, 2.778376668139015)	(6.0, 2.2674280408219083)	(7.0, 1.8548014210483812)	(8.0, 1.5423483181232145)	(9.0, 1.3915222021338745)	('>10', 17.537325383249307)	('>50', 6.102006772038041)	('>100', 13.236321521037667)	('>500', 5.383069899259669)	('>1k', 11.301527445554896)	('>5k', 4.2504343164888905)	('>10k+', 6.224457196021473)
PX_Cd0_Rep2_R1	(1.0, 11.93317104338725)	(2.0, 6.2434581261766136)	(3.0, 4.240004877675772)	(4.0, 3.0486714229511)	(5.0, 2.3281822552528086)	(6.0, 1.8846457598747917)	(7.0, 1.7183235993792851)	(8.0, 1.4553952292432055)	(9.0, 1.344961470041532)	('>10', 17.432686958247817)	('>50', 5.800128799721948)	('>100', 12.417957858226586)	('>500', 5.101653103042983)	('>1k', 11.24080998230177)	('>5k', 4.1024406627955905)	('>10k+', 9.707508851680661)
PX_Cd0_Rep2_R2	(1.0, 12.07103592318894)	(2.0, 6.708240129401599)	(3.0, 4.770057987725053)	(4.0, 3.589019127152883)	(5.0, 2.84255064242128)	(6.0, 2.3039698134930475)	(7.0, 1.7872287976256982)	(8.0, 1.607498083621628)	(9.0, 1.3580027690839194)	('>10', 16.61844187762634)	('>50', 5.740616368275192)	('>100', 12.870168429587384)	('>500', 5.420414387916908)	('>1k', 11.18277909557705)	('>5k', 4.385112298331709)	('>10k+', 6.744864268971611)
PX_Cd0_Rep3_R1	(1.0, 11.205118998035442)	(2.0, 6.049946278830469)	(3.0, 3.9537757287043798)	(4.0, 3.002076035356143)	(5.0, 2.3521305951813174)	(6.0, 1.9748201161752725)	(7.0, 1.7391261338797865)	(8.0, 1.409449783490429)	(9.0, 1.285126682477473)	('>10', 16.675780021210667)	('>50', 5.6439602280780985)	('>100', 12.549629030607823)	('>500', 5.260971939722498)	('>1k', 11.585744549489272)	('>5k', 4.415410366753131)	('>10k+', 10.896933512008056)
PX_Cd0_Rep3_R2	(1.0, 10.650167676982496)	(2.0, 6.383452463615304)	(3.0, 4.565439893954506)	(4.0, 3.4968755148702013)	(5.0, 2.7218948698424987)	(6.0, 2.203172212207224)	(7.0, 1.8793436432090045)	(8.0, 1.5634915980360802)	(9.0, 1.3107414022156447)	('>10', 16.430921652475263)	('>50', 5.752238183738158)	('>100', 12.786628160515818)	('>500', 5.456776185922739)	('>1k', 11.67981986833141)	('>5k', 4.808241652184067)	('>10k+', 8.310795021900057)
WT_Cd0_Rep1_R1	(1.0, 11.320577263162711)	(2.0, 5.857283549840473)	(3.0, 3.821873564908799)	(4.0, 2.8848456582111064)	(5.0, 2.181937424006116)	(6.0, 1.7343242641402277)	(7.0, 1.5571698114596424)	(8.0, 1.3225070535812915)	(9.0, 1.1471629909577472)	('>10', 15.391680688798312)	('>50', 5.671505757062938)	('>100', 12.69117823329834)	('>500', 5.606902976013203)	('>1k', 12.412012315792005)	('>5k', 4.899231204137971)	('>10k+', 11.499807244628943)
WT_Cd0_Rep1_R2	(1.0, 11.443365287373233)	(2.0, 6.0484590247279675)	(3.0, 4.096684813128414)	(4.0, 3.0770940611680584)	(5.0, 2.359383766641965)	(6.0, 1.927176462493772)	(7.0, 1.6391115129009486)	(8.0, 1.3678457206262846)	(9.0, 1.1679914192403904)	('>10', 15.078241177061116)	('>50', 5.604746346114423)	('>100', 13.36800337476729)	('>500', 5.93905344247765)	('>1k', 12.471278258747635)	('>5k', 5.17824994607183)	('>10k+', 9.233315386459513)
WT_Cd0_Rep2_R1	(1.0, 9.056059732895125)	(2.0, 4.625231332479345)	(3.0, 3.058297134536333)	(4.0, 2.2733026328032846)	(5.0, 1.7712523318256506)	(6.0, 1.4899990938230432)	(7.0, 1.2682869672766857)	(8.0, 1.1164394984602757)	(9.0, 0.9809763905243879)	('>10', 13.36767986373287)	('>50', 4.819982778032346)	('>100', 11.591514973131064)	('>500', 5.587510557306887)	('>1k', 14.685555758150134)	('>5k', 6.786320793466941)	('>10k+', 17.52159016155609)
WT_Cd0_Rep2_R2	(1.0, 9.760845132214916)	(2.0, 4.97703451292566)	(3.0, 3.4304613822733927)	(4.0, 2.578250738596937)	(5.0, 2.0453608013604083)	(6.0, 1.6992218335093752)	(7.0, 1.4104736197192147)	(8.0, 1.1942983744154936)	(9.0, 1.0121101708415732)	('>10', 12.805697089833723)	('>50', 4.565970690533811)	('>100', 11.80771166097648)	('>500', 6.212825276057049)	('>1k', 16.490596186637536)	('>5k', 7.175001861851513)	('>10k+', 12.834140668253042)
