Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
PX_Cd0_Rep1_R1	81.46597821604068	43.0	150.0	150	27.27272727272727	59.705773
PX_Cd0_Rep1_R2	80.54047604403412	43.0	150.0	150	18.181818181818183	59.705773
PX_Cd0_Rep2_R1	80.3281147613645	42.0	150.0	150	27.27272727272727	62.307226
PX_Cd0_Rep2_R2	79.47477248258868	42.0	150.0	150	27.27272727272727	62.307226
PX_Cd0_Rep3_R1	81.29432347230473	42.0	150.0	150	27.27272727272727	68.879402
PX_Cd0_Rep3_R2	81.2032443226618	42.0	150.0	150	18.181818181818183	68.879402
WT_Cd0_Rep1_R1	81.54390734375986	42.0	150.0	150	27.27272727272727	65.892333
WT_Cd0_Rep1_R2	81.10861190699956	42.0	150.0	150	27.27272727272727	65.892333
WT_Cd0_Rep2_R1	85.16623342059782	43.0	150.0	150	27.27272727272727	85.258405
WT_Cd0_Rep2_R2	83.98328605720926	43.0	150.0	150	27.27272727272727	85.258405
WT_Cd0_Rep3_R1	83.57314431397702	42.0	150.0	150	27.27272727272727	73.66337
WT_Cd0_Rep3_R2	82.76611613992583	42.0	150.0	150	27.27272727272727	73.66337
